,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Lillard),,2,0
1,1,11:27.0,,D. DeRozan misses 2-pt jump shot from 18 ft,2,0
2,1,11:25.0,Defensive rebound by R. Hood,,2,0
3,1,11:10.0,H. Whiteside makes 2-pt hook shot from 4 ft,,4,0
4,1,10:57.0,,L. Aldridge misses 3-pt jump shot from 26 ft,4,0
5,1,10:53.0,Defensive rebound by N. Little,,4,0
6,1,10:32.0,R. Hood misses 3-pt jump shot from 27 ft,,4,0
7,1,10:27.0,,Defensive rebound by T. Lyles,4,0
8,1,10:09.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by D. DeRozan),4,3
9,1,9:46.0,N. Little misses 2-pt jump shot from 10 ft,,4,3
10,1,9:44.0,,Defensive rebound by L. Aldridge,4,3
11,1,9:30.0,,B. Forbes misses 2-pt jump shot from 19 ft,4,3
12,1,9:26.0,Defensive rebound by C. McCollum,,4,3
13,1,9:16.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,7,3
14,1,8:50.0,,L. Aldridge misses 2-pt jump shot from 19 ft,7,3
15,1,8:48.0,Defensive rebound by C. McCollum,,7,3
16,1,8:41.0,H. Whiteside makes 2-pt jump shot from 13 ft (assist by C. McCollum),,9,3
17,1,8:19.0,,L. Aldridge makes 2-pt jump shot from 9 ft,9,5
18,1,8:04.0,Turnover by R. Hood (lost ball; steal by L. Aldridge),,9,5
19,1,8:01.0,,Shooting foul by D. Lillard (drawn by B. Forbes),9,5
20,1,8:01.0,,B. Forbes makes free throw 1 of 2,9,6
21,1,8:01.0,,B. Forbes makes free throw 2 of 2,9,7
22,1,7:50.0,D. Lillard misses 3-pt jump shot from 26 ft,,9,7
23,1,7:48.0,,Defensive rebound by L. Aldridge,9,7
24,1,7:41.0,,T. Lyles misses 3-pt jump shot from 24 ft,9,7
25,1,7:37.0,Defensive rebound by H. Whiteside,,9,7
26,1,7:28.0,D. Lillard makes 2-pt jump shot from 15 ft,,11,7
27,1,7:10.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Lyles),11,9
28,1,6:55.0,H. Whiteside makes 2-pt jump shot from 7 ft (assist by C. McCollum),,13,9
29,1,6:39.0,,Offensive foul by D. DeRozan (drawn by H. Whiteside),13,9
30,1,6:39.0,,Turnover by D. DeRozan (offensive foul),13,9
31,1,6:39.0,,San Antonio full timeout,13,9
32,1,6:20.0,C. McCollum makes 2-pt jump shot from 20 ft,,15,9
33,1,5:58.0,,B. Forbes makes 2-pt jump shot from 14 ft,15,11
34,1,5:43.0,C. McCollum makes 3-pt jump shot from 26 ft,,18,11
35,1,5:24.0,,L. Aldridge misses 2-pt jump shot from 20 ft,18,11
36,1,5:22.0,Defensive rebound by N. Little,,18,11
37,1,5:17.0,C. McCollum misses 3-pt jump shot from 26 ft,,18,11
38,1,5:15.0,,Defensive rebound by T. Lyles,18,11
39,1,4:59.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by B. Forbes),18,13
40,1,4:45.0,D. Lillard makes 3-pt jump shot from 26 ft,,21,13
41,1,4:30.0,,Shooting foul by D. Lillard (drawn by D. White),21,13
42,1,4:30.0,,D. White makes free throw 1 of 2,21,14
43,1,4:30.0,S. Labissière enters the game for H. Whiteside,,21,14
44,1,4:30.0,,R. Gay enters the game for L. Aldridge,21,14
45,1,4:30.0,,P. Mills enters the game for B. Forbes,21,14
46,1,4:30.0,,J. Poeltl enters the game for T. Lyles,21,14
47,1,4:30.0,,D. White makes free throw 2 of 2,21,15
48,1,4:06.0,S. Labissière makes 2-pt layup from 8 ft (assist by R. Hood),,23,15
49,1,3:54.0,,D. White makes 2-pt jump shot from 14 ft,23,17
50,1,3:38.0,R. Hood makes 3-pt jump shot from 26 ft (assist by C. McCollum),,26,17
51,1,3:29.0,,P. Mills misses 3-pt jump shot from 25 ft,26,17
52,1,3:26.0,Defensive rebound by S. Labissière,,26,17
53,1,3:18.0,N. Little makes 3-pt jump shot from 23 ft (assist by C. McCollum),,29,17
54,1,3:00.0,,J. Poeltl misses 2-pt layup from 2 ft,29,17
55,1,2:58.0,Defensive rebound by C. McCollum,,29,17
56,1,2:54.0,D. Lillard misses 3-pt jump shot from 23 ft,,29,17
57,1,2:51.0,,Defensive rebound by J. Poeltl,29,17
58,1,2:43.0,,P. Mills misses 3-pt jump shot from 22 ft,29,17
59,1,2:39.0,Defensive rebound by N. Little,,29,17
60,1,2:24.0,R. Hood makes 2-pt layup from 7 ft,,31,17
61,1,1:58.0,,D. DeRozan misses 2-pt layup from 2 ft,31,17
62,1,1:57.0,,Offensive rebound by J. Poeltl,31,17
63,1,1:53.0,,P. Mills misses 3-pt jump shot from 25 ft,31,17
64,1,1:51.0,Defensive rebound by S. Labissière,,31,17
65,1,1:42.0,D. Lillard makes 2-pt layup from 1 ft (assist by C. McCollum),,33,17
66,1,1:28.0,,P. Mills makes 2-pt layup from 2 ft (assist by J. Poeltl),33,19
67,1,1:28.0,Portland full timeout,,33,19
68,1,1:28.0,K. Bazemore enters the game for R. Hood,,33,19
69,1,1:28.0,M. Hezonja enters the game for N. Little,,33,19
70,1,1:28.0,A. Simons enters the game for C. McCollum,,33,19
71,1,1:28.0,,M. Belinelli enters the game for D. DeRozan,33,19
72,1,1:28.0,,L. Walker enters the game for D. White,33,19
73,1,1:09.0,A. Simons makes 3-pt jump shot from 26 ft (assist by D. Lillard),,36,19
74,1,0:54.0,,J. Poeltl makes 2-pt jump shot from 7 ft (assist by M. Belinelli),36,21
75,1,0:37.0,Shooting foul by L. Walker (drawn by M. Hezonja),,36,21
76,1,0:37.0,M. Hezonja makes free throw 1 of 2,,37,21
77,1,0:37.0,M. Hezonja makes free throw 2 of 2,,38,21
78,1,0:23.0,,P. Mills misses 2-pt jump shot from 19 ft,38,21
79,1,0:19.0,Defensive rebound by A. Simons,,38,21
80,1,0:04.0,M. Hezonja makes 3-pt jump shot from 23 ft (assist by A. Simons),,41,21
81,1,0:00.0,,L. Walker makes 2-pt jump shot from 17 ft (assist by J. Poeltl),41,23
82,1,0:00.0,,Instant Replay (Request: Ruling Stands),41,23
83,2,11:53.0,,Turnover by M. Belinelli (traveling),41,23
84,2,11:37.0,M. Hezonja makes 2-pt jump shot from 4 ft (assist by S. Labissière),,43,23
85,2,11:26.0,,M. Belinelli misses 2-pt jump shot from 21 ft,43,23
86,2,11:24.0,Defensive rebound by M. Hezonja,,43,23
87,2,11:08.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Hezonja),,46,23
88,2,10:51.0,,P. Mills misses 2-pt layup from 3 ft (block by S. Labissière),46,23
89,2,10:51.0,,Offensive rebound by Team,46,23
90,2,10:48.0,,J. Poeltl makes 2-pt hook shot from 8 ft (assist by P. Mills),46,25
91,2,10:37.0,A. Simons misses 3-pt jump shot from 26 ft,,46,25
92,2,10:34.0,,Defensive rebound by P. Mills,46,25
93,2,10:25.0,,Shooting foul by M. Hezonja (drawn by R. Gay),46,25
94,2,10:25.0,,R. Gay makes free throw 1 of 2,46,26
95,2,10:25.0,,R. Gay makes free throw 2 of 2,46,27
96,2,10:11.0,C. McCollum makes 2-pt jump shot from 13 ft,,48,27
97,2,10:00.0,,Shooting foul by S. Labissière (drawn by J. Poeltl),48,27
98,2,10:00.0,,J. Poeltl makes free throw 1 of 2,48,28
99,2,10:00.0,,J. Poeltl misses free throw 2 of 2,48,28
100,2,9:58.0,Defensive rebound by S. Labissière,,48,28
101,2,9:52.0,S. Labissière misses 3-pt jump shot from 25 ft,,48,28
102,2,9:49.0,,Defensive rebound by J. Poeltl,48,28
103,2,9:43.0,,P. Mills makes 3-pt jump shot from 24 ft,48,31
104,2,9:33.0,Turnover by S. Labissière (traveling),,48,31
105,2,9:27.0,,Shooting foul by S. Labissière (drawn by P. Mills),48,31
106,2,9:27.0,,P. Mills makes free throw 1 of 2,48,32
107,2,9:27.0,,P. Mills makes free throw 2 of 2,48,33
108,2,9:09.0,C. McCollum makes 2-pt jump shot from 18 ft,,50,33
109,2,8:54.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by P. Mills),50,35
110,2,8:27.0,A. Simons misses 2-pt jump shot from 20 ft,,50,35
111,2,8:24.0,,Defensive rebound by J. Poeltl,50,35
112,2,8:17.0,,R. Gay makes 2-pt jump shot from 12 ft,50,37
113,2,8:00.0,Offensive foul by C. McCollum (drawn by P. Mills),,50,37
114,2,8:00.0,Turnover by C. McCollum (offensive foul),,50,37
115,2,8:00.0,,D. White enters the game for P. Mills,50,37
116,2,7:45.0,,R. Gay misses 2-pt hook shot from 5 ft,50,37
117,2,7:45.0,,Offensive rebound by J. Poeltl,50,37
118,2,7:45.0,,J. Poeltl makes 2-pt layup at rim,50,39
119,2,7:45.0,Portland full timeout,,50,39
120,2,7:45.0,,L. Aldridge enters the game for R. Gay,50,39
121,2,7:45.0,,D. DeRozan enters the game for J. Poeltl,50,39
122,2,7:45.0,,T. Lyles enters the game for L. Walker,50,39
123,2,7:37.0,Turnover by M. Hezonja (traveling),,50,39
124,2,7:18.0,,M. Belinelli misses 2-pt jump shot from 16 ft,50,39
125,2,7:16.0,Defensive rebound by S. Labissière,,50,39
126,2,7:08.0,C. McCollum misses 2-pt jump shot from 17 ft (block by L. Aldridge),,50,39
127,2,7:06.0,Offensive rebound by C. McCollum,,50,39
128,2,7:05.0,K. Bazemore misses 3-pt jump shot from 24 ft,,50,39
129,2,7:03.0,,Defensive rebound by D. DeRozan,50,39
130,2,6:53.0,,Shooting foul by S. Labissière (drawn by L. Aldridge),50,39
131,2,6:53.0,,L. Aldridge makes free throw 1 of 2,50,40
132,2,6:53.0,D. Lillard enters the game for S. Labissière,,50,40
133,2,6:53.0,H. Whiteside enters the game for C. McCollum,,50,40
134,2,6:53.0,,B. Forbes enters the game for M. Belinelli,50,40
135,2,6:53.0,,L. Aldridge makes free throw 2 of 2,50,41
136,2,6:29.0,Shooting foul by D. DeRozan (drawn by H. Whiteside),,50,41
137,2,6:29.0,H. Whiteside makes free throw 1 of 2,,51,41
138,2,6:29.0,H. Whiteside makes free throw 2 of 2,,52,41
139,2,6:20.0,,Shooting foul by K. Bazemore (drawn by D. DeRozan),52,41
140,2,6:20.0,,D. DeRozan makes free throw 1 of 2,52,42
141,2,6:20.0,,D. DeRozan makes free throw 2 of 2,52,43
142,2,6:12.0,M. Hezonja misses 3-pt jump shot from 26 ft,,52,43
143,2,6:11.0,,Defensive rebound by Team,52,43
144,2,5:59.0,,B. Forbes misses 3-pt jump shot from 26 ft,52,43
145,2,5:56.0,Defensive rebound by M. Hezonja,,52,43
146,2,5:46.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by A. Simons),,55,43
147,2,5:28.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),55,45
148,2,5:10.0,A. Simons makes 2-pt jump shot from 12 ft (assist by M. Hezonja),,57,45
149,2,5:09.0,,San Antonio full timeout,57,45
150,2,5:09.0,R. Hood enters the game for K. Bazemore,,57,45
151,2,5:09.0,N. Little enters the game for M. Hezonja,,57,45
152,2,4:55.0,,D. DeRozan misses 2-pt jump shot from 14 ft,57,45
153,2,4:53.0,Defensive rebound by D. Lillard,,57,45
154,2,4:45.0,N. Little misses 3-pt jump shot from 23 ft,,57,45
155,2,4:40.0,,Defensive rebound by L. Aldridge,57,45
156,2,4:27.0,,L. Aldridge misses 2-pt jump shot from 16 ft,57,45
157,2,4:26.0,,Offensive rebound by D. White,57,45
158,2,4:21.0,,B. Forbes makes 2-pt layup from 2 ft (assist by T. Lyles),57,47
