,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:43.0,,S. Ibaka misses 3-pt jump shot from 26 ft,0,0
1,1,11:40.0,Defensive rebound by T. Lyles,,0,0
2,1,11:24.0,B. Forbes misses 3-pt jump shot from 27 ft,,0,0
3,1,11:22.0,,Defensive rebound by S. Ibaka,0,0
4,1,11:13.0,,P. Siakam makes 2-pt jump shot from 7 ft,0,2
5,1,10:52.0,L. Aldridge makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,3,2
6,1,10:29.0,,K. Lowry makes 2-pt jump shot from 17 ft (assist by N. Powell),3,4
7,1,10:09.0,L. Aldridge misses 2-pt jump shot from 18 ft,,3,4
8,1,10:07.0,,Defensive rebound by O. Anunoby,3,4
9,1,10:01.0,,K. Lowry misses 2-pt layup from 4 ft,3,4
10,1,9:59.0,Defensive rebound by T. Lyles,,3,4
11,1,9:52.0,D. Murray makes 2-pt jump shot from 16 ft,,5,4
12,1,9:30.0,,O. Anunoby makes 2-pt jump shot from 5 ft,5,6
13,1,9:30.0,,Shooting foul by B. Forbes (drawn by O. Anunoby),5,6
14,1,9:30.0,,O. Anunoby makes free throw 1 of 1,5,7
15,1,9:13.0,D. Murray makes 2-pt jump shot from 10 ft (assist by L. Aldridge),,7,7
16,1,9:06.0,,N. Powell makes 2-pt jump shot from 4 ft (assist by K. Lowry),7,9
17,1,8:51.0,T. Lyles misses 2-pt jump shot from 16 ft,,7,9
18,1,8:47.0,Offensive rebound by T. Lyles,,7,9
19,1,8:46.0,T. Lyles misses 2-pt layup from 2 ft (block by S. Ibaka),,7,9
20,1,8:43.0,,Defensive rebound by S. Ibaka,7,9
21,1,8:28.0,,P. Siakam makes 2-pt jump shot from 14 ft,7,11
22,1,8:10.0,L. Aldridge misses 3-pt jump shot from 26 ft,,7,11
23,1,8:06.0,Offensive rebound by D. Murray,,7,11
24,1,8:02.0,T. Lyles makes 2-pt layup from 2 ft (assist by D. Murray),,9,11
25,1,7:55.0,,Turnover by K. Lowry (bad pass; steal by D. DeRozan),9,11
26,1,7:48.0,B. Forbes misses 3-pt jump shot from 27 ft,,9,11
27,1,7:44.0,,Defensive rebound by P. Siakam,9,11
28,1,7:39.0,,S. Ibaka makes 2-pt layup from 3 ft (assist by P. Siakam),9,13
29,1,7:39.0,San Antonio full timeout,,9,13
30,1,7:17.0,D. Murray makes 2-pt jump shot from 20 ft,,11,13
31,1,7:01.0,,P. Siakam makes 2-pt jump shot from 15 ft (assist by N. Powell),11,15
32,1,6:52.0,Shooting foul by O. Anunoby (drawn by D. DeRozan),,11,15
33,1,6:52.0,D. DeRozan misses free throw 1 of 2,,11,15
34,1,6:52.0,Offensive rebound by Team,,11,15
35,1,6:52.0,D. DeRozan misses free throw 2 of 2,,11,15
36,1,6:49.0,,Defensive rebound by P. Siakam,11,15
37,1,6:44.0,,P. Siakam makes 3-pt jump shot from 28 ft,11,18
38,1,6:24.0,D. Murray misses 2-pt jump shot from 9 ft,,11,18
39,1,6:22.0,,Defensive rebound by S. Ibaka,11,18
40,1,6:19.0,,Personal foul by D. DeRozan (drawn by K. Lowry),11,18
41,1,6:19.0,P. Mills enters the game for B. Forbes,,11,18
42,1,6:19.0,D. White enters the game for D. Murray,,11,18
43,1,6:19.0,,P. McCaw enters the game for N. Powell,11,18
44,1,6:19.0,,Violation by Team (delay of game),11,18
45,1,6:12.0,,P. Siakam misses 2-pt jump shot from 15 ft,11,18
46,1,6:10.0,,Offensive rebound by S. Ibaka,11,18
47,1,6:07.0,,S. Ibaka makes 2-pt hook shot from 5 ft,11,20
48,1,5:53.0,P. Mills misses 3-pt jump shot from 26 ft,,11,20
49,1,5:51.0,Offensive rebound by T. Lyles,,11,20
50,1,5:36.0,D. DeRozan misses 2-pt layup from 1 ft,,11,20
51,1,5:34.0,,Defensive rebound by S. Ibaka,11,20
52,1,5:30.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by K. Lowry),11,23
53,1,5:18.0,P. Mills misses 2-pt layup from 5 ft,,11,23
54,1,5:16.0,,Defensive rebound by P. McCaw,11,23
55,1,5:10.0,,P. Siakam misses 3-pt jump shot from 26 ft,11,23
56,1,5:08.0,Defensive rebound by D. DeRozan,,11,23
57,1,4:56.0,Def 3 sec tech foul by Team,,11,23
58,1,4:56.0,D. DeRozan misses technical free throw,,11,23
59,1,4:56.0,Offensive rebound by Team,,11,23
60,1,4:56.0,R. Gay enters the game for L. Aldridge,,11,23
61,1,4:56.0,J. Poeltl enters the game for T. Lyles,,11,23
62,1,4:56.0,,R. Hollis-Jefferson enters the game for P. Siakam,11,23
63,1,4:54.0,Shooting foul by S. Ibaka (drawn by D. White),,11,23
64,1,4:54.0,D. White misses free throw 1 of 2,,11,23
65,1,4:54.0,Offensive rebound by Team,,11,23
66,1,4:54.0,D. White makes free throw 2 of 2,,12,23
67,1,4:43.0,,P. McCaw misses 3-pt jump shot from 27 ft,12,23
68,1,4:40.0,Defensive rebound by J. Poeltl,,12,23
69,1,4:23.0,P. Mills misses 3-pt jump shot from 23 ft,,12,23
70,1,4:21.0,,Defensive rebound by R. Hollis-Jefferson,12,23
71,1,4:18.0,,K. Lowry misses 3-pt jump shot from 28 ft,12,23
72,1,4:15.0,Defensive rebound by J. Poeltl,,12,23
73,1,4:11.0,D. White makes 2-pt jump shot from 5 ft,,14,23
74,1,4:11.0,Shooting foul by R. Hollis-Jefferson (drawn by D. White),,14,23
75,1,4:11.0,L. Walker enters the game for D. DeRozan,,14,23
76,1,4:11.0,,C. Boucher enters the game for S. Ibaka,14,23
77,1,4:11.0,D. White makes free throw 1 of 1,,15,23
78,1,3:48.0,,K. Lowry misses 3-pt jump shot from 27 ft (block by J. Poeltl),15,23
79,1,3:47.0,,Offensive rebound by Team,15,23
80,1,3:47.0,,Turnover by Team (shot clock),15,23
81,1,3:40.0,R. Gay makes 2-pt jump shot from 15 ft (assist by J. Poeltl),,17,23
82,1,3:32.0,,Toronto full timeout,17,23
83,1,3:32.0,,T. Davis enters the game for O. Anunoby,17,23
84,1,3:32.0,,M. Thomas enters the game for K. Lowry,17,23
85,1,3:18.0,,C. Boucher misses 3-pt jump shot from 23 ft,17,23
86,1,3:15.0,Defensive rebound by D. White,,17,23
87,1,2:59.0,L. Walker misses 2-pt jump shot from 9 ft (block by C. Boucher),,17,23
88,1,2:56.0,,Defensive rebound by T. Davis,17,23
89,1,2:47.0,,T. Davis misses 3-pt jump shot from 26 ft,17,23
90,1,2:44.0,Defensive rebound by J. Poeltl,,17,23
91,1,2:38.0,Turnover by D. White (bad pass; steal by C. Boucher),,17,23
92,1,2:20.0,,T. Davis misses 3-pt jump shot from 26 ft,17,23
93,1,2:17.0,Defensive rebound by P. Mills,,17,23
94,1,2:01.0,D. White misses 2-pt jump shot from 9 ft,,17,23
95,1,2:00.0,,Defensive rebound by Team,17,23
96,1,1:52.0,,Offensive foul by R. Hollis-Jefferson (drawn by L. Walker),17,23
97,1,1:52.0,,Turnover by R. Hollis-Jefferson (offensive foul),17,23
98,1,1:39.0,R. Gay misses 2-pt jump shot from 10 ft,,17,23
99,1,1:37.0,,Defensive rebound by P. McCaw,17,23
100,1,1:26.0,,Turnover by T. Davis (lost ball; steal by L. Walker),17,23
101,1,1:20.0,L. Walker makes 2-pt dunk at rim (assist by D. White),,19,23
102,1,0:55.0,,T. Davis misses 3-pt jump shot from 23 ft,19,23
103,1,0:53.0,Defensive rebound by L. Walker,,19,23
104,1,0:44.0,L. Walker misses 3-pt jump shot from 27 ft,,19,23
105,1,0:41.0,,Defensive rebound by C. Boucher,19,23
