,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:44.0,K. Porziņģis misses 2-pt jump shot from 21 ft,,0,0
1,1,11:41.0,,Defensive rebound by R. O'Neale,0,0
2,1,11:33.0,,Turnover by D. Mitchell (bad pass; steal by K. Porziņģis),0,0
3,1,11:18.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by S. Curry),,2,0
4,1,10:57.0,,D. Mitchell misses 3-pt jump shot from 28 ft,2,0
5,1,10:54.0,Defensive rebound by L. Dončić,,2,0
6,1,10:49.0,L. Dončić makes 2-pt layup from 3 ft,,4,0
7,1,10:31.0,,Personal foul by T. Hardaway (drawn by D. Mitchell),4,0
8,1,10:23.0,,D. Mitchell makes 2-pt layup from 2 ft,4,2
9,1,10:03.0,T. Hardaway misses 2-pt jump shot from 20 ft,,4,2
10,1,10:00.0,,Defensive rebound by J. Ingles,4,2
11,1,9:50.0,,J. Ingles misses 3-pt jump shot from 25 ft,4,2
12,1,9:47.0,Defensive rebound by D. Finney-Smith,,4,2
13,1,9:41.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by L. Dončić),,7,2
14,1,9:26.0,,Personal foul by L. Dončić (drawn by R. Gobert),7,2
15,1,9:26.0,,Instant Replay (Request: Ruling Stands),7,2
16,1,9:20.0,,Shooting foul by K. Porziņģis (drawn by R. Gobert),7,2
17,1,9:20.0,,R. Gobert makes free throw 1 of 2,7,3
18,1,9:20.0,,R. Gobert misses free throw 2 of 2,7,3
19,1,9:19.0,Defensive rebound by K. Porziņģis,,7,3
20,1,9:12.0,Personal foul by R. O'Neale (drawn by K. Porziņģis),,7,3
21,1,9:08.0,L. Dončić misses 3-pt jump shot from 27 ft,,7,3
22,1,9:05.0,,Defensive rebound by D. Mitchell,7,3
23,1,9:04.0,,Personal take foul by S. Curry (drawn by D. Mitchell),7,3
24,1,8:56.0,,J. Ingles makes 2-pt layup from 3 ft (assist by D. Mitchell),7,5
25,1,8:43.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,7,5
26,1,8:40.0,,Defensive rebound by D. Mitchell,7,5
27,1,8:32.0,,Turnover by D. Mitchell (lost ball; steal by L. Dončić),7,5
28,1,8:27.0,L. Dončić makes 2-pt layup from 2 ft,,9,5
29,1,8:13.0,,J. Ingles misses 2-pt layup from 4 ft (block by K. Porziņģis),9,5
30,1,8:10.0,Defensive rebound by T. Hardaway,,9,5
31,1,8:05.0,T. Hardaway misses 2-pt layup from 7 ft (block by B. Bogdanović),,9,5
32,1,8:01.0,Offensive rebound by S. Curry,,9,5
33,1,8:00.0,S. Curry makes 2-pt jump shot from 15 ft,,11,5
34,1,7:47.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,11,5
35,1,7:47.0,Defensive rebound by K. Porziņģis,,11,5
36,1,7:36.0,L. Dončić misses 2-pt layup from 7 ft,,11,5
37,1,7:34.0,,Defensive rebound by R. Gobert,11,5
38,1,7:27.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by R. O'Neale),11,8
39,1,7:05.0,Away from play foul by J. Ingles (drawn by T. Hardaway),,11,8
40,1,7:05.0,S. Curry makes free throw 1 of 1,,12,8
41,1,7:04.0,S. Curry makes 3-pt jump shot from 23 ft (assist by L. Dončić),,15,8
42,1,6:37.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,15,8
43,1,6:35.0,,Offensive rebound by J. Ingles,15,8
44,1,6:34.0,,R. O'Neale misses 3-pt jump shot from 24 ft,15,8
45,1,6:30.0,Defensive rebound by L. Dončić,,15,8
46,1,6:19.0,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by S. Curry),,18,8
47,1,6:16.0,,Utah full timeout,18,8
48,1,6:16.0,J. Jackson enters the game for T. Hardaway,,18,8
49,1,6:16.0,M. Kleber enters the game for K. Porziņģis,,18,8
50,1,6:16.0,,J. Clarkson enters the game for D. Mitchell,18,8
51,1,6:16.0,,G. Niang enters the game for R. O'Neale,18,8
52,1,6:02.0,,Shooting foul by J. Jackson (drawn by B. Bogdanović),18,8
53,1,6:02.0,,B. Bogdanović makes free throw 1 of 2,18,9
54,1,6:02.0,,B. Bogdanović makes free throw 2 of 2,18,10
55,1,5:49.0,L. Dončić makes 2-pt dunk from 2 ft,,20,10
56,1,5:25.0,,J. Ingles makes 2-pt layup from 3 ft,20,12
57,1,5:14.0,L. Dončić misses 3-pt jump shot from 25 ft,,20,12
58,1,5:11.0,,Defensive rebound by R. Gobert,20,12
59,1,4:59.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Ingles),20,15
60,1,4:42.0,Personal foul by J. Clarkson (drawn by M. Kleber),,20,15
61,1,4:42.0,,M. Conley enters the game for J. Ingles,20,15
62,1,4:33.0,L. Dončić makes 2-pt jump shot from 2 ft,,22,15
63,1,4:23.0,,Shooting foul by D. Finney-Smith (drawn by B. Bogdanović),22,15
64,1,4:23.0,,B. Bogdanović makes free throw 1 of 2,22,16
65,1,4:23.0,D. Wright enters the game for D. Finney-Smith,,22,16
66,1,4:23.0,,B. Bogdanović makes free throw 2 of 2,22,17
67,1,4:12.0,L. Dončić misses 2-pt layup from 5 ft,,22,17
68,1,4:09.0,Offensive rebound by M. Kleber,,22,17
69,1,4:08.0,S. Curry misses 3-pt jump shot from 25 ft,,22,17
70,1,4:06.0,,Defensive rebound by R. Gobert,22,17
71,1,4:00.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,22,17
72,1,3:56.0,Defensive rebound by Team,,22,17
73,1,3:50.0,Personal foul by B. Bogdanović (drawn by L. Dončić),,22,17
74,1,3:35.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Wright),,25,17
75,1,3:21.0,,M. Conley misses 3-pt jump shot from 25 ft,25,17
76,1,3:18.0,Defensive rebound by D. Wright,,25,17
77,1,3:09.0,J. Jackson misses 2-pt jump shot from 12 ft,,25,17
78,1,3:07.0,,Defensive rebound by R. Gobert,25,17
79,1,2:57.0,,B. Bogdanović makes 2-pt dunk from 3 ft (assist by J. Clarkson),25,19
80,1,2:56.0,Dallas full timeout,,25,19
81,1,2:56.0,T. Hardaway enters the game for S. Curry,,25,19
82,1,2:56.0,,T. Bradley enters the game for B. Bogdanović,25,19
83,1,2:56.0,,D. Mitchell enters the game for R. Gobert,25,19
84,1,2:56.0,,R. O'Neale enters the game for G. Niang,25,19
85,1,2:41.0,L. Dončić makes 3-pt jump shot from 24 ft,,28,19
86,1,2:21.0,,J. Clarkson misses 3-pt jump shot from 26 ft,28,19
87,1,2:18.0,Defensive rebound by T. Hardaway,,28,19
88,1,2:08.0,Shooting foul by T. Bradley (drawn by L. Dončić),,28,19
89,1,2:08.0,L. Dončić misses free throw 1 of 2,,28,19
90,1,2:08.0,Offensive rebound by Team,,28,19
91,1,2:08.0,L. Dončić makes free throw 2 of 2,,29,19
92,1,1:55.0,,J. Clarkson misses 2-pt layup from 2 ft (block by M. Kleber),29,19
93,1,1:52.0,Defensive rebound by L. Dončić,,29,19
94,1,1:36.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by D. Wright),,32,19
95,1,1:19.0,,D. Mitchell makes 3-pt jump shot from 25 ft,32,22
96,1,1:01.0,M. Kleber makes 2-pt dunk from 2 ft (assist by L. Dončić),,34,22
97,1,0:49.0,,D. Mitchell makes 3-pt jump shot from 26 ft,34,25
98,1,0:33.0,M. Kleber misses 3-pt jump shot from 25 ft,,34,25
99,1,0:30.0,,Defensive rebound by D. Mitchell,34,25
100,1,0:30.0,J. Brunson enters the game for L. Dončić,,34,25
101,1,0:08.0,,Turnover by D. Mitchell (lost ball; steal by T. Hardaway),34,25
