,QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
0,1,11:41.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by M. Conley),,3,0
1,1,11:20.0,,D. Sabonis makes 2-pt layup from 2 ft,3,2
2,1,10:58.0,D. Mitchell makes 2-pt jump shot from 5 ft,,5,2
3,1,10:41.0,,M. Turner misses 2-pt jump shot from 16 ft,5,2
4,1,10:38.0,Defensive rebound by R. Gobert,,5,2
5,1,10:22.0,R. O'Neale misses 3-pt jump shot from 28 ft,,5,2
6,1,10:19.0,,Defensive rebound by J. Lamb,5,2
7,1,10:08.0,,Def 3 sec tech foul by Team,5,2
8,1,10:08.0,,M. Brogdon misses technical free throw,5,2
9,1,10:08.0,,Offensive rebound by Team,5,2
10,1,9:55.0,,J. Lamb makes 2-pt jump shot from 19 ft,5,4
11,1,9:35.0,Personal foul by M. Turner (drawn by R. Gobert),,5,4
12,1,9:29.0,Shooting foul by T. Warren (drawn by B. Bogdanović),,5,4
13,1,9:29.0,B. Bogdanović makes free throw 1 of 2,,6,4
14,1,9:29.0,B. Bogdanović makes free throw 2 of 2,,7,4
15,1,9:14.0,,M. Turner misses 2-pt jump shot from 7 ft,7,4
16,1,9:10.0,,Offensive rebound by D. Sabonis,7,4
17,1,9:10.0,,D. Sabonis makes 2-pt layup at rim,7,6
18,1,8:57.0,R. O'Neale misses 3-pt jump shot from 29 ft,,7,6
19,1,8:54.0,,Defensive rebound by Team,7,6
20,1,8:45.0,,T. Warren misses 2-pt jump shot from 13 ft,7,6
21,1,8:40.0,Defensive rebound by R. Gobert,,7,6
22,1,8:31.0,D. Mitchell misses 2-pt layup from 1 ft,,7,6
23,1,8:28.0,,Defensive rebound by D. Sabonis,7,6
24,1,8:22.0,,J. Lamb misses 3-pt jump shot from 27 ft,7,6
25,1,8:20.0,Defensive rebound by R. Gobert,,7,6
26,1,8:12.0,M. Conley makes 2-pt layup from 1 ft,,9,6
27,1,7:54.0,,T. Warren misses 3-pt jump shot from 23 ft,9,6
28,1,7:50.0,Defensive rebound by R. Gobert,,9,6
29,1,7:45.0,D. Mitchell misses 2-pt layup from 2 ft (block by M. Turner),,9,6
30,1,7:42.0,,Defensive rebound by M. Brogdon,9,6
31,1,7:42.0,,Personal take foul by B. Bogdanović (drawn by M. Brogdon),9,6
32,1,7:29.0,,D. Sabonis misses 3-pt jump shot from 28 ft,9,6
33,1,7:26.0,Defensive rebound by B. Bogdanović,,9,6
34,1,7:11.0,D. Mitchell misses 3-pt jump shot from 28 ft,,9,6
35,1,7:08.0,,Defensive rebound by D. Sabonis,9,6
36,1,7:00.0,,Personal foul by M. Conley (drawn by D. Sabonis),9,6
37,1,6:58.0,,Personal foul by R. O'Neale (drawn by T. Warren),9,6
38,1,6:58.0,,Indiana full timeout,9,6
39,1,6:58.0,J. Ingles enters the game for D. Mitchell,,9,6
40,1,6:49.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Warren),9,8
41,1,6:27.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),,11,8
42,1,6:16.0,,M. Brogdon misses 3-pt jump shot from 27 ft,11,8
43,1,6:10.0,,Offensive rebound by M. Turner,11,8
44,1,6:08.0,,J. Lamb misses 2-pt jump shot from 16 ft,11,8
45,1,6:05.0,,Offensive rebound by J. Lamb,11,8
46,1,6:05.0,,J. Lamb makes 2-pt layup from 3 ft,11,10
47,1,5:49.0,Turnover by B. Bogdanović (bad pass; steal by T. Warren),,11,10
48,1,5:42.0,,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Brogdon),11,13
49,1,5:29.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,13,13
50,1,5:18.0,,Offensive foul by M. Turner (drawn by M. Conley),13,13
51,1,5:18.0,,Turnover by M. Turner (offensive foul),13,13
52,1,5:18.0,,J. Holiday enters the game for M. Turner,13,13
53,1,5:07.0,J. Ingles makes 2-pt jump shot from 8 ft,,15,13
54,1,4:51.0,,M. Brogdon misses 2-pt jump shot from 20 ft,15,13
55,1,4:48.0,Defensive rebound by R. Gobert,,15,13
56,1,4:35.0,J. Ingles misses 3-pt jump shot from 27 ft,,15,13
57,1,4:32.0,,Defensive rebound by D. Sabonis,15,13
58,1,4:25.0,,M. Brogdon misses 2-pt layup from 1 ft,15,13
59,1,4:22.0,,Offensive rebound by D. Sabonis,15,13
60,1,4:22.0,,D. Sabonis misses 2-pt layup at rim,15,13
61,1,4:22.0,,Offensive rebound by Team,15,13
62,1,4:22.0,E. Mudiay enters the game for M. Conley,,15,13
63,1,4:09.0,,J. Lamb misses 3-pt jump shot from 28 ft,15,13
64,1,4:07.0,,Offensive rebound by D. Sabonis,15,13
65,1,4:07.0,,Personal foul by E. Mudiay (drawn by D. Sabonis),15,13
66,1,4:07.0,,A. Holiday enters the game for J. Lamb,15,13
67,1,4:00.0,,M. Brogdon makes 2-pt layup from 2 ft,15,15
68,1,3:47.0,B. Bogdanović makes 2-pt jump shot from 6 ft,,17,15
69,1,3:36.0,,M. Brogdon misses 2-pt layup from 2 ft,17,15
70,1,3:34.0,Defensive rebound by R. Gobert,,17,15
71,1,3:25.0,E. Mudiay misses 2-pt jump shot from 21 ft,,17,15
72,1,3:22.0,,Defensive rebound by J. Holiday,17,15
73,1,3:12.0,,M. Brogdon makes 2-pt jump shot from 15 ft,17,17
74,1,2:51.0,E. Mudiay misses 3-pt jump shot from 23 ft,,17,17
75,1,2:47.0,,Defensive rebound by D. Sabonis,17,17
76,1,2:36.0,,T. Warren misses 2-pt jump shot from 10 ft,17,17
77,1,2:33.0,Defensive rebound by J. Ingles,,17,17
78,1,2:25.0,J. Ingles makes 2-pt layup from 2 ft,,19,17
79,1,2:12.0,,M. Brogdon makes 2-pt layup from 2 ft,19,19
80,1,2:12.0,Utah full timeout,,19,19
81,1,2:12.0,J. Green enters the game for B. Bogdanović,,19,19
82,1,2:12.0,D. Mitchell enters the game for R. Gobert,,19,19
83,1,2:12.0,G. Niang enters the game for R. O'Neale,,19,19
84,1,2:12.0,,T. McConnell enters the game for M. Brogdon,19,19
85,1,2:12.0,,D. McDermott enters the game for T. Warren,19,19
86,1,1:55.0,Shooting foul by A. Holiday (drawn by J. Green),,19,19
87,1,1:55.0,J. Green misses free throw 1 of 2,,19,19
88,1,1:55.0,Offensive rebound by Team,,19,19
89,1,1:55.0,J. Green makes free throw 2 of 2,,20,19
90,1,1:39.0,,Turnover by T. McConnell (traveling),20,19
91,1,1:39.0,,G. Bitadze enters the game for D. Sabonis,20,19
92,1,1:22.0,J. Ingles misses 3-pt jump shot from 24 ft,,20,19
93,1,1:21.0,,Defensive rebound by G. Bitadze,20,19
