,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
0,1,11:44.0,T. Ariza misses 2-pt layup from 3 ft,,0,0
1,1,11:41.0,,Defensive rebound by M. Brogdon,0,0
2,1,11:26.0,,M. Brogdon makes 2-pt jump shot from 19 ft (assist by D. Sabonis),0,2
3,1,11:13.0,H. Whiteside misses 2-pt jump shot from 8 ft,,0,2
4,1,11:10.0,,Defensive rebound by M. Turner,0,2
5,1,11:02.0,,M. Turner misses 2-pt layup from 2 ft,0,2
6,1,11:00.0,Defensive rebound by C. Anthony,,0,2
7,1,10:49.0,G. Trent misses 2-pt jump shot from 21 ft,,0,2
8,1,10:46.0,,Defensive rebound by D. Sabonis,0,2
9,1,10:39.0,,M. Brogdon misses 2-pt layup from 1 ft,0,2
10,1,10:36.0,Defensive rebound by H. Whiteside,,0,2
11,1,10:15.0,C. Anthony makes 2-pt jump shot from 17 ft,,2,2
12,1,9:57.0,,T. Warren makes 3-pt jump shot from 26 ft (assist by M. Brogdon),2,5
13,1,9:33.0,C. McCollum misses 3-pt jump shot from 28 ft,,2,5
14,1,9:30.0,,Defensive rebound by V. Oladipo,2,5
15,1,9:20.0,,Offensive foul by D. Sabonis (drawn by C. Anthony),2,5
16,1,9:20.0,,Turnover by D. Sabonis (offensive foul),2,5
17,1,9:03.0,T. Ariza makes 3-pt jump shot from 28 ft (assist by C. McCollum),,5,5
18,1,8:35.0,,Turnover by Team (shot clock),5,5
19,1,8:22.0,H. Whiteside misses 2-pt jump shot from 7 ft,,5,5
20,1,8:19.0,,Defensive rebound by T. Warren,5,5
21,1,8:04.0,,M. Turner misses 3-pt jump shot from 27 ft,5,5
22,1,8:00.0,Defensive rebound by C. McCollum,,5,5
23,1,7:41.0,H. Whiteside misses 2-pt jump shot from 9 ft,,5,5
24,1,7:38.0,,Defensive rebound by D. Sabonis,5,5
25,1,7:32.0,,Shooting foul by H. Whiteside (drawn by D. Sabonis),5,5
26,1,7:32.0,,D. Sabonis makes free throw 1 of 2,5,6
27,1,7:32.0,,D. Sabonis makes free throw 2 of 2,5,7
28,1,7:24.0,C. McCollum makes 2-pt hook shot from 5 ft,,7,7
29,1,7:10.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by M. Brogdon),7,9
30,1,7:00.0,Turnover by C. McCollum (bad pass; steal by T. Warren),,7,9
31,1,6:57.0,,T. Warren makes 2-pt dunk from 2 ft,7,11
32,1,6:42.0,C. McCollum misses 3-pt jump shot from 28 ft,,7,11
33,1,6:42.0,,Defensive rebound by D. Sabonis,7,11
