,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
0,1,11:51.0,,M. Smart makes 3-pt jump shot from 26 ft,0,3
1,1,11:29.0,D. Booker misses 3-pt jump shot from 25 ft,,0,3
2,1,11:26.0,,Defensive rebound by M. Smart,0,3
3,1,11:16.0,,J. Tatum misses 3-pt jump shot from 24 ft,0,3
4,1,11:14.0,Defensive rebound by D. Booker,,0,3
5,1,11:06.0,D. Booker makes 2-pt jump shot from 18 ft,,2,3
6,1,10:50.0,,G. Hayward misses 2-pt jump shot from 14 ft,2,3
7,1,10:48.0,Defensive rebound by D. Ayton,,2,3
8,1,10:39.0,Turnover by D. Booker (bad pass; steal by D. Theis),,2,3
9,1,10:33.0,,Turnover by D. Theis (bad pass),2,3
10,1,10:23.0,D. Booker makes 2-pt jump shot from 19 ft (assist by D. Šarić),,4,3
11,1,10:08.0,,M. Smart misses 3-pt jump shot from 25 ft,4,3
12,1,10:06.0,Defensive rebound by M. Bridges,,4,3
13,1,9:53.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),,6,3
14,1,9:37.0,,G. Hayward misses 2-pt layup from 4 ft (block by M. Bridges),6,3
15,1,9:36.0,,Offensive rebound by Team,6,3
16,1,9:31.0,,G. Hayward misses 2-pt jump shot from 17 ft,6,3
17,1,9:29.0,Defensive rebound by D. Ayton,,6,3
18,1,9:11.0,Shooting foul by G. Williams (drawn by R. Rubio),,6,3
19,1,9:11.0,R. Rubio makes free throw 1 of 2,,7,3
20,1,9:11.0,R. Rubio makes free throw 2 of 2,,8,3
21,1,9:03.0,,Personal foul by M. Bridges (drawn by J. Tatum),8,3
22,1,8:55.0,,J. Tatum misses 2-pt jump shot from 7 ft,8,3
23,1,8:53.0,Defensive rebound by D. Šarić,,8,3
24,1,8:42.0,D. Šarić makes 2-pt layup from 5 ft,,10,3
25,1,8:30.0,,M. Smart misses 3-pt jump shot from 27 ft,10,3
26,1,8:28.0,Defensive rebound by D. Šarić,,10,3
27,1,8:13.0,D. Šarić misses 3-pt jump shot from 26 ft,,10,3
28,1,8:11.0,,Defensive rebound by J. Tatum,10,3
29,1,7:59.0,,Turnover by G. Williams (step out of bounds),10,3
30,1,7:59.0,,E. Freedom enters the game for D. Theis,10,3
31,1,7:49.0,D. Booker misses 2-pt jump shot from 18 ft,,10,3
32,1,7:47.0,,Defensive rebound by E. Freedom,10,3
33,1,7:40.0,,Turnover by G. Hayward (lost ball; steal by M. Bridges),10,3
34,1,7:38.0,M. Bridges makes 2-pt dunk at rim,,12,3
35,1,7:38.0,,Boston full timeout,12,3
36,1,7:38.0,,J. Green enters the game for G. Williams,12,3
37,1,7:22.0,,M. Smart misses 3-pt jump shot from 25 ft,12,3
38,1,7:20.0,Defensive rebound by D. Šarić,,12,3
39,1,7:14.0,Turnover by R. Rubio (bad pass; steal by J. Green),,12,3
40,1,7:09.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by J. Green),12,5
41,1,6:55.0,Turnover by R. Rubio (bad pass; steal by G. Hayward),,12,5
42,1,6:50.0,,J. Green misses 2-pt dunk from 2 ft,12,5
43,1,6:46.0,Defensive rebound by R. Rubio,,12,5
44,1,6:44.0,Personal foul by M. Smart (drawn by D. Booker),,12,5
45,1,6:36.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Booker),,15,5
46,1,6:17.0,,E. Freedom makes 2-pt layup at rim (assist by G. Hayward),15,7
47,1,6:12.0,R. Rubio misses 2-pt layup from 1 ft,,15,7
48,1,6:10.0,,Defensive rebound by G. Hayward,15,7
49,1,6:06.0,,J. Tatum misses 3-pt jump shot from 23 ft,15,7
50,1,6:05.0,Defensive rebound by D. Ayton,,15,7
51,1,5:52.0,Shooting foul by E. Freedom (drawn by D. Booker),,15,7
