,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by C. Paul),,3,0
1,1,11:21.0,,G. Robinson misses 2-pt jump shot from 21 ft,3,0
2,1,11:19.0,,Offensive rebound by K. Bowman,3,0
3,1,11:17.0,,K. Bowman makes 2-pt layup from 2 ft,3,2
4,1,11:00.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by T. Ferguson),,5,2
5,1,10:49.0,,E. Paschall misses 2-pt jump shot from 18 ft,5,2
6,1,10:48.0,Defensive rebound by S. Adams,,5,2
7,1,10:35.0,Shooting foul by E. Paschall (drawn by D. Gallinari),,5,2
8,1,10:35.0,D. Gallinari makes free throw 1 of 2,,6,2
9,1,10:35.0,D. Gallinari makes free throw 2 of 2,,7,2
10,1,10:22.0,,K. Bowman makes 2-pt jump shot from 18 ft,7,4
11,1,10:11.0,T. Ferguson makes 2-pt jump shot from 22 ft (assist by C. Paul),,9,4
12,1,10:02.0,,Turnover by G. Robinson (bad pass; steal by D. Gallinari),9,4
13,1,9:47.0,Shooting foul by G. Robinson (drawn by S. Adams),,9,4
14,1,9:47.0,S. Adams misses free throw 1 of 2,,9,4
15,1,9:47.0,Offensive rebound by Team,,9,4
16,1,9:47.0,S. Adams makes free throw 2 of 2,,10,4
17,1,9:34.0,,A. Burks misses 2-pt layup from 3 ft,10,4
18,1,9:33.0,,Offensive rebound by Team,10,4
19,1,9:33.0,,Turnover by A. Burks (traveling),10,4
20,1,9:19.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Adams),,13,4
21,1,9:02.0,,W. Cauley-Stein makes 2-pt hook shot from 9 ft (assist by K. Bowman),13,6
22,1,8:51.0,Personal foul by K. Bowman (drawn by S. Gilgeous-Alexander),,13,6
23,1,8:44.0,T. Ferguson misses 3-pt jump shot from 25 ft,,13,6
24,1,8:42.0,,Defensive rebound by A. Burks,13,6
25,1,8:35.0,,Personal foul by T. Ferguson (drawn by A. Burks),13,6
26,1,8:25.0,,A. Burks misses 2-pt jump shot from 13 ft,13,6
27,1,8:23.0,Defensive rebound by Team,,13,6
28,1,8:08.0,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft (block by G. Robinson),,13,6
29,1,8:03.0,,Defensive rebound by A. Burks,13,6
30,1,8:00.0,,Shooting foul by T. Ferguson (drawn by G. Robinson),13,6
31,1,8:00.0,,G. Robinson makes free throw 1 of 2,13,7
32,1,8:00.0,,G. Robinson misses free throw 2 of 2,13,7
33,1,7:59.0,Defensive rebound by S. Gilgeous-Alexander,,13,7
34,1,7:46.0,Turnover by C. Paul (bad pass; steal by K. Bowman),,13,7
35,1,7:43.0,,G. Robinson makes 2-pt dunk from 1 ft (assist by K. Bowman),13,9
36,1,7:28.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by W. Cauley-Stein),,13,9
37,1,7:17.0,,K. Bowman misses 3-pt jump shot from 25 ft,13,9
38,1,7:15.0,Defensive rebound by S. Adams,,13,9
39,1,7:12.0,C. Paul misses 3-pt jump shot from 26 ft,,13,9
40,1,7:10.0,,Defensive rebound by E. Paschall,13,9
41,1,6:53.0,,A. Burks misses 2-pt jump shot from 12 ft,13,9
42,1,6:52.0,Defensive rebound by C. Paul,,13,9
43,1,6:34.0,D. Gallinari misses 2-pt jump shot from 17 ft,,13,9
44,1,6:33.0,,Defensive rebound by E. Paschall,13,9
45,1,6:20.0,,Offensive foul by E. Paschall (drawn by D. Gallinari),13,9
46,1,6:20.0,,Turnover by E. Paschall (offensive foul),13,9
47,1,6:20.0,,Golden State full timeout,13,9
48,1,6:20.0,N. Noel enters the game for S. Adams,,13,9
49,1,6:20.0,D. Schröder enters the game for T. Ferguson,,13,9
50,1,6:20.0,,J. Poole enters the game for K. Bowman,13,9
51,1,6:20.0,,O. Spellman enters the game for E. Paschall,13,9
52,1,6:08.0,Turnover by D. Gallinari (traveling),,13,9
53,1,5:54.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Poole),13,9
54,1,5:54.0,,J. Poole makes free throw 1 of 2,13,10
55,1,5:54.0,,J. Poole misses free throw 2 of 2,13,10
56,1,5:52.0,,Offensive rebound by J. Poole,13,10
57,1,5:49.0,,G. Robinson makes 3-pt jump shot from 27 ft (assist by J. Poole),13,13
58,1,5:29.0,N. Noel makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),,15,13
59,1,5:12.0,,J. Poole misses 2-pt jump shot from 20 ft,15,13
60,1,5:10.0,Defensive rebound by D. Gallinari,,15,13
61,1,4:56.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by D. Gallinari),,17,13
62,1,4:47.0,,A. Burks makes 2-pt layup from 4 ft,17,15
63,1,4:23.0,N. Noel misses 2-pt dunk from 4 ft,,17,15
64,1,4:22.0,,Defensive rebound by J. Poole,17,15
65,1,4:18.0,,G. Robinson makes 2-pt jump shot from 3 ft (assist by J. Poole),17,17
66,1,4:06.0,D. Gallinari misses 3-pt jump shot from 28 ft,,17,17
67,1,4:04.0,,Defensive rebound by O. Spellman,17,17
68,1,3:54.0,,G. Robinson misses 2-pt jump shot from 9 ft,17,17
69,1,3:53.0,Defensive rebound by D. Gallinari,,17,17
70,1,3:44.0,D. Schröder misses 3-pt jump shot from 24 ft,,17,17
71,1,3:43.0,,Defensive rebound by J. Poole,17,17
72,1,3:43.0,,Personal foul by C. Paul (drawn by J. Poole),17,17
73,1,3:43.0,A. Nader enters the game for C. Paul,,17,17
74,1,3:43.0,,M. Chriss enters the game for W. Cauley-Stein,17,17
75,1,3:32.0,,G. Robinson makes 2-pt jump shot from 19 ft (assist by A. Burks),17,19
76,1,3:10.0,D. Schröder makes 2-pt layup from 3 ft,,19,19
77,1,2:52.0,,J. Poole misses 2-pt jump shot from 10 ft,19,19
78,1,2:51.0,,Offensive rebound by Team,19,19
79,1,2:51.0,Oklahoma City full timeout,,19,19
80,1,2:51.0,D. Bazley enters the game for D. Gallinari,,19,19
81,1,2:51.0,D. Burton enters the game for S. Gilgeous-Alexander,,19,19
82,1,2:51.0,,K. Bowman enters the game for A. Burks,19,19
83,1,2:46.0,,M. Chriss makes 2-pt jump shot from 7 ft (assist by G. Robinson),19,21
84,1,2:45.0,Turnover by N. Noel (bad pass; steal by K. Bowman),,19,21
85,1,2:44.0,,Shooting foul by N. Noel (drawn by K. Bowman),19,21
86,1,2:44.0,,K. Bowman makes free throw 1 of 2,19,22
87,1,2:44.0,,K. Bowman makes free throw 2 of 2,19,23
88,1,2:35.0,Personal foul by J. Poole (drawn by D. Schröder),,19,23
