,QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
0,1,11:45.0,D. Sabonis misses 2-pt hook shot from 6 ft (block by G. Dieng),,0,0
1,1,11:41.0,Offensive rebound by M. Turner,,0,0
2,1,11:37.0,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Turner),,2,0
3,1,11:18.0,,R. Covington makes 2-pt layup from 1 ft (assist by G. Dieng),2,2
4,1,11:04.0,J. Lamb misses 3-pt jump shot from 27 ft,,2,2
5,1,11:00.0,,Defensive rebound by G. Dieng,2,2
6,1,10:49.0,,Shooting foul by T. Warren (drawn by A. Wiggins),2,2
7,1,10:49.0,,A. Wiggins makes free throw 1 of 2,2,3
8,1,10:49.0,,A. Wiggins misses free throw 2 of 2,2,3
9,1,10:47.0,Defensive rebound by D. Sabonis,,2,3
10,1,10:36.0,Turnover by M. Turner (lost ball; steal by R. Covington),,2,3
11,1,10:22.0,,S. Napier misses 3-pt jump shot from 25 ft,2,3
12,1,10:17.0,Defensive rebound by T. Warren,,2,3
13,1,10:05.0,D. Sabonis misses 2-pt jump shot from 20 ft,,2,3
14,1,10:02.0,,Defensive rebound by J. Culver,2,3
15,1,9:52.0,,A. Wiggins misses 2-pt jump shot from 11 ft,2,3
16,1,9:49.0,Defensive rebound by M. Brogdon,,2,3
17,1,9:44.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,5,3
18,1,9:21.0,,G. Dieng makes 2-pt jump shot from 9 ft (assist by S. Napier),5,5
19,1,9:06.0,Offensive foul by J. Lamb (drawn by S. Napier),,5,5
20,1,9:06.0,Turnover by J. Lamb (offensive foul),,5,5
21,1,9:05.0,Violation by Team (delay of game),,5,5
22,1,8:54.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by A. Wiggins),5,8
23,1,8:37.0,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),,7,8
24,1,8:24.0,,R. Covington misses 3-pt jump shot from 23 ft,7,8
25,1,8:24.0,Defensive rebound by M. Brogdon,,7,8
26,1,8:09.0,M. Turner misses 3-pt jump shot from 24 ft,,7,8
27,1,8:07.0,,Defensive rebound by R. Covington,7,8
28,1,7:59.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by S. Napier),7,10
29,1,7:45.0,T. Warren misses 2-pt jump shot from 13 ft,,7,10
30,1,7:42.0,,Defensive rebound by R. Covington,7,10
31,1,7:32.0,,G. Dieng misses 3-pt jump shot from 26 ft,7,10
32,1,7:29.0,Defensive rebound by J. Lamb,,7,10
33,1,7:19.0,M. Brogdon misses 2-pt jump shot from 17 ft,,7,10
34,1,7:16.0,,Defensive rebound by R. Covington,7,10
35,1,7:08.0,,Turnover by R. Covington (traveling),7,10
36,1,7:08.0,,J. Okogie enters the game for J. Culver,7,10
37,1,6:57.0,D. Sabonis makes 2-pt layup from 5 ft (assist by M. Brogdon),,9,10
38,1,6:42.0,,Minnesota full timeout,9,10
39,1,6:38.0,,R. Covington misses 3-pt jump shot from 27 ft,9,10
40,1,6:35.0,Defensive rebound by T. Warren,,9,10
41,1,6:14.0,M. Brogdon makes 2-pt jump shot from 19 ft,,11,10
42,1,5:59.0,,G. Dieng makes 2-pt layup from 1 ft (assist by S. Napier),11,12
43,1,5:46.0,M. Brogdon misses 2-pt jump shot from 10 ft,,11,12
44,1,5:46.0,,Defensive rebound by R. Covington,11,12
45,1,5:39.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by S. Napier),11,15
46,1,5:39.0,,Shooting foul by D. Sabonis (drawn by R. Covington),11,15
47,1,5:39.0,,J. Teague enters the game for G. Dieng,11,15
48,1,5:39.0,,N. Vonleh enters the game for S. Napier,11,15
49,1,5:39.0,,R. Covington misses free throw 1 of 1,11,15
50,1,5:37.0,Defensive rebound by M. Turner,,11,15
51,1,5:19.0,T. Warren makes 2-pt jump shot from 6 ft (assist by D. Sabonis),,13,15
52,1,5:16.0,,Turnover by J. Teague (dbl dribble),13,15
53,1,5:16.0,J. Holiday enters the game for D. Sabonis,,13,15
54,1,5:06.0,M. Turner misses 3-pt jump shot from 25 ft,,13,15
55,1,5:02.0,,Defensive rebound by N. Vonleh,13,15
56,1,4:53.0,,A. Wiggins misses 3-pt jump shot from 24 ft,13,15
57,1,4:49.0,Defensive rebound by M. Brogdon,,13,15
58,1,4:38.0,J. Holiday misses 3-pt jump shot from 23 ft,,13,15
59,1,4:34.0,,Defensive rebound by N. Vonleh,13,15
60,1,4:23.0,,Shooting foul by M. Turner (drawn by N. Vonleh),13,15
61,1,4:23.0,,N. Vonleh misses free throw 1 of 2,13,15
62,1,4:23.0,,Offensive rebound by Team,13,15
63,1,4:23.0,,N. Vonleh makes free throw 2 of 2,13,16
64,1,4:11.0,Def 3 sec tech foul by Team,,13,16
65,1,4:11.0,M. Brogdon makes technical free throw,,14,16
66,1,4:05.0,M. Brogdon makes 2-pt layup from 4 ft (assist by T. Warren),,16,16
67,1,4:05.0,,Violation by Team (def goaltending),16,16
68,1,3:52.0,,Turnover by R. Covington (lost ball; steal by T. Warren),16,16
69,1,3:49.0,Turnover by J. Holiday (bad pass),,16,16
70,1,3:39.0,,A. Wiggins misses 2-pt hook shot from 5 ft,16,16
71,1,3:37.0,,Offensive rebound by N. Vonleh,16,16
72,1,3:35.0,,N. Vonleh makes 2-pt hook shot from 9 ft,16,18
73,1,3:23.0,M. Turner misses 2-pt layup from 3 ft,,16,18
74,1,3:22.0,,Defensive rebound by R. Covington,16,18
75,1,3:15.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Teague),16,21
76,1,3:07.0,Indiana full timeout,,16,21
77,1,3:07.0,A. Holiday enters the game for M. Brogdon,,16,21
78,1,3:07.0,T. McConnell enters the game for J. Lamb,,16,21
79,1,3:07.0,,K. Bates-Diop enters the game for R. Covington,16,21
80,1,3:07.0,,J. Culver enters the game for A. Wiggins,16,21
81,1,2:59.0,T. Warren misses 2-pt jump shot from 15 ft,,16,21
82,1,2:55.0,,Defensive rebound by N. Vonleh,16,21
83,1,2:44.0,,J. Teague makes 2-pt jump shot from 14 ft (assist by N. Vonleh),16,23
84,1,2:20.0,Personal foul by J. Okogie (drawn by A. Holiday),,16,23
85,1,2:20.0,D. McDermott enters the game for M. Turner,,16,23
86,1,2:20.0,D. Sabonis enters the game for T. Warren,,16,23
87,1,2:16.0,D. Sabonis makes 2-pt layup from 4 ft (assist by T. McConnell),,18,23
88,1,2:16.0,Shooting foul by N. Vonleh (drawn by D. Sabonis),,18,23
89,1,2:16.0,D. Sabonis makes free throw 1 of 1,,19,23
90,1,2:02.0,,N. Vonleh misses 2-pt layup from 8 ft (block by D. Sabonis),19,23
91,1,2:00.0,Defensive rebound by D. Sabonis,,19,23
92,1,1:50.0,A. Holiday misses 2-pt jump shot from 6 ft,,19,23
93,1,1:46.0,Offensive rebound by D. Sabonis,,19,23
94,1,1:45.0,D. Sabonis makes 2-pt layup from 1 ft,,21,23
95,1,1:35.0,,Turnover by J. Okogie (bad pass; steal by D. McDermott),21,23
96,1,1:30.0,A. Holiday misses 3-pt jump shot from 24 ft,,21,23
97,1,1:28.0,,Defensive rebound by K. Bates-Diop,21,23
98,1,1:16.0,,Shooting foul by D. Sabonis (drawn by J. Teague),21,23
99,1,1:16.0,,J. Teague makes free throw 1 of 2,21,24
100,1,1:16.0,G. Bitadze enters the game for D. Sabonis,,21,24
101,1,1:16.0,,J. Teague makes free throw 2 of 2,21,25
102,1,1:05.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by T. McConnell),,24,25
103,1,0:51.0,,K. Bates-Diop misses 2-pt jump shot from 8 ft,24,25
104,1,0:50.0,,Offensive rebound by K. Bates-Diop,24,25
105,1,0:49.0,,K. Bates-Diop makes 2-pt layup from 1 ft,24,27
106,1,0:41.0,D. McDermott misses 3-pt jump shot from 26 ft (block by K. Bates-Diop),,24,27
107,1,0:38.0,,Defensive rebound by J. Okogie,24,27
108,1,0:34.0,,N. Vonleh makes 3-pt jump shot from 25 ft (assist by K. Bates-Diop),24,30
109,1,0:12.0,Personal foul by J. Okogie (drawn by J. Holiday),,24,30
110,1,0:12.0,,T. Graham enters the game for J. Okogie,24,30
111,1,0:02.0,T. McConnell misses 2-pt layup from 6 ft (block by J. Culver),,24,30
112,1,0:02.0,,Defensive rebound by J. Teague,24,30
113,2,11:40.0,,J. Culver makes 2-pt layup from 2 ft (assist by N. Vonleh),24,32
114,2,11:21.0,Turnover by A. Holiday (traveling),,24,32
115,2,11:21.0,D. Sabonis enters the game for G. Bitadze,,24,32
116,2,11:01.0,,T. Graham misses 2-pt layup from 8 ft (block by J. Holiday),24,32
117,2,10:58.0,Defensive rebound by D. Sabonis,,24,32
118,2,10:49.0,D. Sabonis makes 2-pt layup from 3 ft (assist by A. Holiday),,26,32
119,2,10:32.0,,Turnover by J. Culver (out of bounds lost ball),26,32
120,2,10:32.0,,N. Reid enters the game for N. Vonleh,26,32
121,2,10:20.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. McDermott),,28,32
122,2,10:02.0,,T. Graham makes 3-pt jump shot from 25 ft (assist by K. Bates-Diop),28,35
123,2,9:44.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. McDermott),,30,35
124,2,9:29.0,,J. Culver misses 3-pt jump shot from 26 ft,30,35
125,2,9:27.0,Defensive rebound by D. Sabonis,,30,35
126,2,9:20.0,Shooting foul by N. Reid (drawn by D. Sabonis),,30,35
127,2,9:20.0,D. Sabonis makes free throw 1 of 2,,31,35
128,2,9:20.0,D. Sabonis makes free throw 2 of 2,,32,35
129,2,9:11.0,,N. Reid makes 2-pt jump shot from 9 ft (assist by J. Culver),32,37
130,2,8:55.0,D. McDermott misses 2-pt jump shot from 16 ft,,32,37
131,2,8:53.0,,Defensive rebound by J. Culver,32,37
132,2,8:46.0,,J. Culver misses 2-pt layup from 1 ft,32,37
133,2,8:42.0,,Offensive rebound by J. Culver,32,37
134,2,8:42.0,,J. Culver makes 2-pt layup at rim,32,39
135,2,8:27.0,D. Sabonis makes 2-pt layup from 1 ft,,34,39
136,2,8:01.0,,K. Bates-Diop makes 2-pt jump shot from 10 ft,34,41
137,2,7:51.0,Indiana full timeout,,34,41
138,2,7:51.0,Instant Replay (Challenge: Ruling Stands),,34,41
139,2,7:39.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. McConnell),,36,41
140,2,7:21.0,,J. Teague misses 2-pt jump shot from 15 ft,36,41
141,2,7:18.0,Defensive rebound by J. Holiday,,36,41
142,2,7:13.0,Turnover by A. Holiday (dbl dribble),,36,41
143,2,6:55.0,,J. Culver makes 3-pt jump shot from 25 ft (assist by J. Teague),36,44
144,2,6:39.0,J. Holiday misses 2-pt layup from 3 ft,,36,44
145,2,6:33.0,Offensive rebound by D. Sabonis,,36,44
146,2,6:33.0,D. Sabonis makes 2-pt layup from 1 ft,,38,44
147,2,6:23.0,,K. Bates-Diop misses 2-pt jump shot from 14 ft,38,44
148,2,6:21.0,,Offensive rebound by K. Bates-Diop,38,44
149,2,6:19.0,,T. Graham makes 2-pt layup from 2 ft (assist by K. Bates-Diop),38,46
150,2,6:09.0,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),,40,46
151,2,6:09.0,Shooting foul by N. Reid (drawn by D. McDermott),,40,46
152,2,6:09.0,M. Brogdon enters the game for A. Holiday,,40,46
153,2,6:09.0,J. Lamb enters the game for J. Holiday,,40,46
154,2,6:09.0,T. Warren enters the game for T. McConnell,,40,46
155,2,6:09.0,,R. Covington enters the game for K. Bates-Diop,40,46
156,2,6:09.0,,G. Dieng enters the game for T. Graham,40,46
157,2,6:09.0,,S. Napier enters the game for N. Reid,40,46
158,2,6:09.0,,A. Wiggins enters the game for J. Teague,40,46
159,2,6:09.0,D. McDermott misses free throw 1 of 1,,40,46
160,2,6:07.0,,Defensive rebound by G. Dieng,40,46
161,2,5:57.0,,A. Wiggins makes 2-pt jump shot from 10 ft (assist by G. Dieng),40,48
162,2,5:45.0,Personal foul by R. Covington (drawn by D. Sabonis),,40,48
163,2,5:33.0,M. Brogdon misses 2-pt jump shot from 12 ft,,40,48
164,2,5:31.0,Offensive rebound by M. Brogdon,,40,48
165,2,5:29.0,T. Warren makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,43,48
166,2,5:06.0,,J. Culver misses 2-pt layup from 2 ft,43,48
167,2,5:04.0,Defensive rebound by D. Sabonis,,43,48
168,2,4:59.0,D. McDermott misses 3-pt jump shot from 23 ft,,43,48
169,2,4:56.0,,Defensive rebound by R. Covington,43,48
170,2,4:44.0,,Personal foul by D. McDermott (drawn by S. Napier),43,48
171,2,4:44.0,J. Holiday enters the game for D. McDermott,,43,48
172,2,4:44.0,M. Turner enters the game for D. Sabonis,,43,48
173,2,4:44.0,,J. Okogie enters the game for J. Culver,43,48
174,2,4:32.0,,G. Dieng makes 2-pt jump shot from 23 ft (assist by S. Napier),43,50
175,2,4:10.0,Turnover by M. Turner (bad pass; steal by A. Wiggins),,43,50
176,2,4:06.0,,Personal foul by M. Turner (drawn by S. Napier),43,50
177,2,3:58.0,,A. Wiggins misses 2-pt jump shot from 20 ft,43,50
178,2,3:55.0,Defensive rebound by J. Lamb,,43,50
179,2,3:48.0,Turnover by J. Lamb (out of bounds lost ball),,43,50
180,2,3:40.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by S. Napier),43,52
181,2,3:25.0,M. Brogdon misses 3-pt jump shot from 24 ft,,43,52
182,2,3:22.0,,Defensive rebound by A. Wiggins,43,52
183,2,3:14.0,,G. Dieng misses 2-pt jump shot from 23 ft,43,52
184,2,3:13.0,Defensive rebound by Team,,43,52
185,2,2:56.0,M. Turner makes 3-pt jump shot from 25 ft (assist by T. Warren),,46,52
186,2,2:44.0,,A. Wiggins makes 2-pt layup at rim,46,54
187,2,2:35.0,M. Turner misses 3-pt jump shot from 26 ft,,46,54
188,2,2:31.0,,Defensive rebound by J. Okogie,46,54
189,2,2:22.0,,Turnover by R. Covington (bad pass; steal by M. Turner),46,54
190,2,2:11.0,Turnover by M. Brogdon (out of bounds lost ball),,46,54
191,2,2:11.0,,Minnesota full timeout,46,54
192,2,2:11.0,G. Bitadze enters the game for M. Turner,,46,54
193,2,2:02.0,,Turnover by J. Okogie (bad pass; steal by J. Lamb),46,54
194,2,1:57.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,49,54
195,2,1:43.0,,Turnover by S. Napier (bad pass; steal by J. Lamb),49,54
196,2,1:40.0,Shooting foul by R. Covington (drawn by T. Warren),,49,54
197,2,1:40.0,T. Warren misses free throw 1 of 2,,49,54
198,2,1:40.0,Offensive rebound by Team,,49,54
199,2,1:40.0,T. Warren makes free throw 2 of 2,,50,54
200,2,1:29.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by G. Dieng),50,57
201,2,1:08.0,J. Lamb makes 2-pt jump shot from 15 ft (assist by M. Brogdon),,52,57
202,2,0:48.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by A. Wiggins),52,59
203,2,0:30.0,M. Brogdon misses 2-pt layup from 6 ft (block by J. Okogie),,52,59
204,2,0:27.0,Offensive rebound by G. Bitadze,,52,59
205,2,0:27.0,G. Bitadze makes 2-pt dunk from 1 ft,,54,59
206,2,0:08.0,,J. Okogie misses 2-pt jump shot from 10 ft,54,59
207,2,0:06.0,Defensive rebound by G. Bitadze,,54,59
208,2,0:01.0,Turnover by M. Brogdon (bad pass; steal by R. Covington),,54,59
209,3,11:35.0,,Turnover by G. Dieng (lost ball; steal by D. Sabonis),54,59
210,3,11:31.0,Turnover by D. Sabonis (lost ball; steal by J. Culver),,54,59
211,3,11:25.0,,G. Dieng misses 3-pt jump shot from 25 ft,54,59
212,3,11:22.0,Defensive rebound by M. Brogdon,,54,59
213,3,11:11.0,Turnover by D. Sabonis (lost ball; steal by J. Culver),,54,59
214,3,11:06.0,,J. Culver misses 2-pt layup from 3 ft,54,59
215,3,11:06.0,Defensive rebound by D. Sabonis,,54,59
216,3,10:52.0,J. Lamb makes 2-pt jump shot from 13 ft,,56,59
217,3,10:40.0,,R. Covington misses 3-pt jump shot from 25 ft,56,59
218,3,10:37.0,Defensive rebound by M. Brogdon,,56,59
219,3,10:31.0,M. Brogdon makes 2-pt layup from 1 ft,,58,59
220,3,10:18.0,,A. Wiggins misses 2-pt jump shot from 10 ft,58,59
221,3,10:14.0,Defensive rebound by T. Warren,,58,59
222,3,10:10.0,Offensive foul by T. Warren (drawn by R. Covington),,58,59
223,3,10:10.0,Turnover by T. Warren (offensive foul),,58,59
224,3,9:58.0,,Offensive foul by G. Dieng (drawn by M. Brogdon),58,59
225,3,9:58.0,,Turnover by G. Dieng (offensive foul),58,59
226,3,9:44.0,T. Warren misses 2-pt layup from 7 ft (block by A. Wiggins),,58,59
227,3,9:40.0,,Defensive rebound by A. Wiggins,58,59
228,3,9:40.0,,Shooting foul by J. Lamb (drawn by S. Napier),58,59
229,3,9:40.0,,S. Napier makes free throw 1 of 2,58,60
230,3,9:40.0,,S. Napier makes free throw 2 of 2,58,61
231,3,9:21.0,T. Warren makes 2-pt jump shot from 15 ft (assist by D. Sabonis),,60,61
232,3,9:01.0,,R. Covington misses 2-pt jump shot from 8 ft,60,61
233,3,8:59.0,Defensive rebound by T. Warren,,60,61
234,3,8:53.0,M. Brogdon misses 3-pt jump shot from 23 ft,,60,61
235,3,8:49.0,,Defensive rebound by S. Napier,60,61
236,3,8:32.0,,S. Napier misses 2-pt jump shot from 14 ft,60,61
237,3,8:30.0,Defensive rebound by D. Sabonis,,60,61
238,3,8:14.0,D. Sabonis misses 2-pt layup from 3 ft,,60,61
239,3,8:10.0,Offensive rebound by J. Lamb,,60,61
240,3,8:09.0,J. Lamb misses 2-pt jump shot from 8 ft,,60,61
241,3,8:07.0,,Defensive rebound by G. Dieng,60,61
242,3,7:59.0,,G. Dieng makes 2-pt layup from 3 ft (assist by S. Napier),60,63
243,3,7:48.0,T. Warren makes 2-pt jump shot from 6 ft (assist by D. Sabonis),,62,63
244,3,7:31.0,,S. Napier misses 3-pt jump shot from 26 ft,62,63
245,3,7:29.0,Defensive rebound by J. Lamb,,62,63
246,3,7:15.0,M. Brogdon misses 2-pt layup from 6 ft (block by R. Covington),,62,63
247,3,7:12.0,,Defensive rebound by G. Dieng,62,63
248,3,6:55.0,,J. Culver makes 2-pt layup from 1 ft,62,65
249,3,6:39.0,J. Lamb misses 3-pt jump shot from 23 ft,,62,65
250,3,6:37.0,,Defensive rebound by A. Wiggins,62,65
251,3,6:31.0,,G. Dieng misses 3-pt jump shot from 25 ft,62,65
252,3,6:29.0,Defensive rebound by D. Sabonis,,62,65
253,3,6:17.0,M. Brogdon makes 2-pt jump shot from 14 ft (assist by D. Sabonis),,64,65
254,3,6:08.0,,Minnesota full timeout,64,65
255,3,6:08.0,,J. Okogie enters the game for J. Culver,64,65
256,3,5:49.0,,R. Covington misses 2-pt layup from 3 ft,64,65
257,3,5:46.0,,Offensive rebound by G. Dieng,64,65
258,3,5:46.0,,G. Dieng misses 2-pt layup from 1 ft,64,65
259,3,5:45.0,Defensive rebound by T. Warren,,64,65
260,3,5:30.0,M. Turner makes 2-pt jump shot from 14 ft (assist by J. Lamb),,66,65
261,3,5:01.0,,G. Dieng misses 2-pt layup from 2 ft (block by M. Turner),66,65
262,3,4:58.0,,Offensive rebound by G. Dieng,66,65
263,3,4:57.0,,G. Dieng misses 2-pt layup from 2 ft,66,65
264,3,4:57.0,Defensive rebound by M. Turner,,66,65
265,3,4:49.0,T. Warren misses 2-pt jump shot from 7 ft,,66,65
266,3,4:45.0,,Defensive rebound by G. Dieng,66,65
267,3,4:35.0,,A. Wiggins misses 3-pt jump shot from 22 ft,66,65
268,3,4:33.0,Defensive rebound by J. Lamb,,66,65
269,3,4:17.0,M. Brogdon makes 2-pt jump shot from 18 ft,,68,65
270,3,4:03.0,,A. Wiggins misses 2-pt jump shot from 8 ft,68,65
271,3,4:00.0,Defensive rebound by T. Warren,,68,65
272,3,3:56.0,T. Warren makes 2-pt layup from 1 ft,,70,65
273,3,3:48.0,,Minnesota full timeout,70,65
274,3,3:48.0,A. Holiday enters the game for J. Lamb,,70,65
275,3,3:48.0,J. Holiday enters the game for D. Sabonis,,70,65
276,3,3:48.0,,K. Bates-Diop enters the game for R. Covington,70,65
277,3,3:48.0,,N. Reid enters the game for G. Dieng,70,65
278,3,3:48.0,,J. Teague enters the game for S. Napier,70,65
279,3,3:44.0,,Personal foul by T. Warren (drawn by N. Reid),70,65
280,3,3:35.0,,K. Bates-Diop makes 3-pt jump shot from 26 ft (assist by J. Teague),70,68
281,3,3:18.0,T. Warren misses 2-pt jump shot from 15 ft,,70,68
282,3,3:16.0,,Defensive rebound by K. Bates-Diop,70,68
283,3,3:08.0,,K. Bates-Diop misses 2-pt layup from 4 ft,70,68
284,3,3:07.0,,Offensive rebound by Team,70,68
285,3,2:54.0,,J. Teague misses 2-pt layup from 1 ft,70,68
286,3,2:52.0,Defensive rebound by J. Holiday,,70,68
287,3,2:46.0,Personal foul by J. Okogie (drawn by M. Turner),,70,68
288,3,2:46.0,T. McConnell enters the game for M. Brogdon,,70,68
289,3,2:46.0,,J. Culver enters the game for A. Wiggins,70,68
290,3,2:38.0,M. Turner makes 2-pt dunk from 2 ft (assist by T. McConnell),,72,68
291,3,2:23.0,,J. Culver makes 2-pt layup from 4 ft,72,70
292,3,2:07.0,M. Turner misses 3-pt jump shot from 25 ft,,72,70
293,3,2:05.0,,Defensive rebound by J. Culver,72,70
294,3,1:53.0,,N. Reid misses 2-pt dunk from 2 ft,72,70
295,3,1:52.0,,Offensive rebound by Team,72,70
296,3,1:52.0,,Turnover by N. Reid (off goaltending),72,70
297,3,1:52.0,D. McDermott enters the game for M. Turner,,72,70
298,3,1:52.0,D. Sabonis enters the game for T. Warren,,72,70
299,3,1:38.0,Turnover by A. Holiday (lost ball; steal by J. Okogie),,72,70
300,3,1:33.0,,K. Bates-Diop misses 2-pt jump shot from 7 ft,72,70
301,3,1:33.0,,Offensive rebound by K. Bates-Diop,72,70
302,3,1:33.0,,Shooting foul by D. Sabonis (drawn by K. Bates-Diop),72,70
303,3,1:33.0,,K. Bates-Diop makes free throw 1 of 2,72,71
304,3,1:33.0,,K. Bates-Diop makes free throw 2 of 2,72,72
305,3,1:21.0,J. Holiday misses 3-pt jump shot from 23 ft,,72,72
306,3,1:18.0,,Defensive rebound by K. Bates-Diop,72,72
307,3,1:08.0,,K. Bates-Diop misses 2-pt jump shot from 14 ft,72,72
308,3,1:05.0,,Offensive rebound by N. Reid,72,72
309,3,0:59.0,,J. Culver makes 2-pt layup from 1 ft (assist by J. Teague),72,74
310,3,0:50.0,A. Holiday misses 2-pt layup from 4 ft,,72,74
311,3,0:50.0,Offensive rebound by D. Sabonis,,72,74
312,3,0:50.0,D. Sabonis makes 2-pt layup at rim,,74,74
313,3,0:36.0,,N. Reid misses 3-pt jump shot from 26 ft,74,74
314,3,0:33.0,Defensive rebound by D. McDermott,,74,74
315,3,0:19.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. McConnell),,76,74
316,3,0:01.0,,Shooting foul by T. McConnell (drawn by K. Bates-Diop),76,74
317,3,0:01.0,,K. Bates-Diop makes free throw 1 of 3,76,75
318,3,0:01.0,,K. Bates-Diop makes free throw 2 of 3,76,76
319,3,0:01.0,,K. Bates-Diop makes free throw 3 of 3,76,77
320,3,0:00.0,A. Holiday misses 3-pt jump shot from 31 ft,,76,77
321,3,0:00.0,Offensive rebound by Team,,76,77
322,4,11:47.0,T. McConnell makes 2-pt jump shot from 9 ft,,78,77
323,4,11:20.0,,J. Teague makes 3-pt jump shot from 26 ft,78,80
324,4,11:03.0,D. McDermott makes 2-pt layup from 3 ft (assist by D. Sabonis),,80,80
325,4,11:03.0,,Violation by Team (def goaltending),80,80
326,4,10:51.0,,N. Vonleh misses 2-pt layup from 2 ft,80,80
327,4,10:51.0,Defensive rebound by D. Sabonis,,80,80
328,4,10:33.0,A. Holiday misses 2-pt jump shot from 16 ft (block by J. Teague),,80,80
329,4,10:30.0,,Defensive rebound by J. Okogie,80,80
330,4,10:24.0,,K. Bates-Diop makes 3-pt jump shot from 27 ft (assist by J. Teague),80,83
331,4,10:10.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by T. McConnell),,83,83
332,4,9:49.0,,Turnover by T. Graham (step out of bounds),83,83
333,4,9:29.0,D. Sabonis makes 2-pt layup from 2 ft (assist by T. McConnell),,85,83
334,4,9:09.0,,N. Vonleh misses 2-pt layup from 3 ft,85,83
335,4,9:07.0,Defensive rebound by J. Holiday,,85,83
336,4,8:51.0,D. Sabonis misses 2-pt jump shot from 17 ft,,85,83
337,4,8:48.0,,Defensive rebound by J. Okogie,85,83
338,4,8:34.0,,J. Teague makes 2-pt jump shot from 13 ft,85,85
339,4,8:21.0,D. McDermott misses 3-pt jump shot from 25 ft,,85,85
340,4,8:19.0,,Defensive rebound by N. Vonleh,85,85
341,4,8:10.0,,J. Teague misses 2-pt jump shot from 6 ft,85,85
