,QUARTER,TIME_REMAINING,INDIANA_ACTION,HOUSTON_ACTION,INDIANA_SCORE,HOUSTON_SCORE
0,1,11:36.0,Turnover by D. Sabonis (lost ball; steal by J. Harden),,0,0
1,1,11:32.0,,B. McLemore makes 2-pt layup from 1 ft (assist by J. Harden),0,2
2,1,11:21.0,A. Holiday misses 3-pt jump shot from 26 ft,,0,2
3,1,11:20.0,,Defensive rebound by B. McLemore,0,2
4,1,11:12.0,,T. Chandler misses 2-pt layup from 2 ft,0,2
5,1,11:11.0,Defensive rebound by D. Sabonis,,0,2
6,1,10:57.0,M. Brogdon misses 3-pt jump shot from 23 ft,,0,2
7,1,10:55.0,,Defensive rebound by P. Tucker,0,2
8,1,10:41.0,,R. Westbrook misses 2-pt jump shot from 16 ft,0,2
9,1,10:40.0,Defensive rebound by D. Sabonis,,0,2
10,1,10:33.0,Personal foul by T. Chandler (drawn by D. Sabonis),,0,2
11,1,10:26.0,Turnover by M. Brogdon (step out of bounds),,0,2
12,1,10:09.0,,Offensive foul by T. Chandler (drawn by M. Brogdon),0,2
13,1,10:09.0,,Turnover by T. Chandler (offensive foul),0,2
14,1,9:56.0,T. Warren misses 3-pt jump shot from 23 ft (block by P. Tucker),,0,2
15,1,9:56.0,Offensive rebound by Team,,0,2
16,1,9:45.0,T. Warren misses 3-pt jump shot from 29 ft,,0,2
17,1,9:45.0,Offensive rebound by Team,,0,2
18,1,9:45.0,Turnover by Team (shot clock),,0,2
19,1,9:36.0,,R. Westbrook misses 2-pt jump shot from 6 ft,0,2
20,1,9:34.0,,Offensive rebound by T. Chandler,0,2
21,1,9:32.0,,B. McLemore misses 3-pt jump shot from 26 ft,0,2
22,1,9:31.0,Defensive rebound by D. Sabonis,,0,2
23,1,9:22.0,M. Brogdon makes 2-pt layup from 2 ft,,2,2
24,1,9:05.0,,J. Harden makes 3-pt jump shot from 25 ft,2,5
25,1,8:50.0,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),,4,5
26,1,8:27.0,,Turnover by B. McLemore (traveling),4,5
27,1,8:14.0,D. Sabonis misses 2-pt hook shot from 5 ft,,4,5
28,1,8:13.0,,Defensive rebound by J. Harden,4,5
29,1,7:54.0,,B. McLemore makes 2-pt layup from 1 ft (assist by R. Westbrook),4,7
30,1,7:54.0,,Shooting foul by D. Sabonis (drawn by B. McLemore),4,7
31,1,7:54.0,,I. Hartenstein enters the game for T. Chandler,4,7
32,1,7:54.0,,B. McLemore makes free throw 1 of 1,4,8
33,1,7:41.0,J. Sampson makes 2-pt dunk from 1 ft (assist by M. Brogdon),,6,8
34,1,7:24.0,,R. Westbrook misses 3-pt jump shot from 25 ft,6,8
35,1,7:23.0,,Offensive rebound by R. Westbrook,6,8
36,1,7:20.0,,R. Westbrook misses 2-pt layup from 1 ft (block by J. Sampson),6,8
37,1,7:20.0,Defensive rebound by T. Warren,,6,8
38,1,7:16.0,Turnover by T. Warren (bad pass; steal by J. Harden),,6,8
39,1,7:13.0,,Shooting foul by A. Holiday (drawn by J. Harden),6,8
40,1,7:13.0,,J. Harden makes free throw 1 of 2,6,9
41,1,7:13.0,,A. Rivers enters the game for B. McLemore,6,9
42,1,7:13.0,,J. Harden makes free throw 2 of 2,6,10
43,1,6:56.0,D. Sabonis misses 2-pt layup from 2 ft (block by I. Hartenstein),,6,10
44,1,6:55.0,,Defensive rebound by R. Westbrook,6,10
45,1,6:49.0,,J. Harden misses 3-pt jump shot from 29 ft,6,10
46,1,6:46.0,Defensive rebound by J. Sampson,,6,10
47,1,6:45.0,Personal foul by I. Hartenstein (drawn by J. Sampson),,6,10
48,1,6:45.0,,Houston full timeout,6,10
49,1,6:45.0,,C. Clemons enters the game for R. Westbrook,6,10
50,1,6:25.0,T. Warren makes 3-pt jump shot from 23 ft (assist by A. Holiday),,9,10
51,1,6:09.0,,P. Tucker misses 3-pt jump shot from 25 ft,9,10
52,1,6:07.0,Defensive rebound by M. Brogdon,,9,10
53,1,5:57.0,M. Brogdon misses 3-pt jump shot from 30 ft,,9,10
54,1,5:56.0,,Defensive rebound by A. Rivers,9,10
55,1,5:39.0,,Personal foul by T. Warren (drawn by A. Rivers),9,10
56,1,5:39.0,J. Holiday enters the game for J. Sampson,,9,10
57,1,5:39.0,,T. Sefolosha enters the game for P. Tucker,9,10
58,1,5:25.0,,J. Harden makes 2-pt jump shot from 7 ft,9,12
59,1,5:15.0,T. Warren misses 3-pt jump shot from 26 ft,,9,12
60,1,5:14.0,Offensive rebound by A. Holiday,,9,12
61,1,5:06.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,12,12
62,1,4:47.0,,A. Rivers misses 3-pt jump shot from 26 ft,12,12
63,1,4:44.0,Defensive rebound by A. Holiday,,12,12
64,1,4:40.0,J. Holiday misses 3-pt jump shot from 24 ft,,12,12
65,1,4:40.0,,Defensive rebound by A. Rivers,12,12
66,1,4:30.0,,J. Harden misses 3-pt jump shot from 27 ft,12,12
67,1,4:29.0,Defensive rebound by D. Sabonis,,12,12
68,1,4:18.0,D. Sabonis makes 2-pt layup from 1 ft (assist by A. Holiday),,14,12
69,1,4:01.0,,I. Hartenstein makes 2-pt layup from 1 ft (assist by A. Rivers),14,14
70,1,3:39.0,M. Brogdon misses 3-pt jump shot from 26 ft,,14,14
71,1,3:38.0,,Defensive rebound by J. Harden,14,14
72,1,3:29.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,14,14
73,1,3:27.0,Defensive rebound by D. Sabonis,,14,14
74,1,3:21.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,17,14
75,1,3:00.0,,A. Rivers makes 2-pt jump shot from 6 ft,17,16
76,1,2:53.0,Indiana full timeout,,17,16
77,1,2:53.0,T. Leaf enters the game for M. Brogdon,,17,16
78,1,2:53.0,T. McConnell enters the game for A. Holiday,,17,16
79,1,2:53.0,D. McDermott enters the game for D. Sabonis,,17,16
80,1,2:53.0,,R. Westbrook enters the game for J. Harden,17,16
81,1,2:43.0,T. Warren misses 2-pt jump shot from 7 ft,,17,16
82,1,2:42.0,,Defensive rebound by A. Rivers,17,16
83,1,2:30.0,,Turnover by C. Clemons (bad pass; steal by T. Leaf),17,16
84,1,2:24.0,D. McDermott misses 2-pt jump shot from 22 ft,,17,16
85,1,2:24.0,,Defensive rebound by T. Sefolosha,17,16
86,1,2:12.0,,I. Hartenstein makes 2-pt layup from 1 ft (assist by R. Westbrook),17,18
87,1,1:50.0,Def 3 sec tech foul by Team,,17,18
88,1,1:50.0,D. McDermott makes technical free throw,,18,18
89,1,1:44.0,T. McConnell makes 2-pt jump shot from 9 ft,,20,18
90,1,1:31.0,,C. Clemons makes 3-pt jump shot from 27 ft (assist by R. Westbrook),20,21
91,1,1:10.0,D. McDermott misses 3-pt jump shot from 24 ft,,20,21
92,1,1:09.0,,Defensive rebound by C. Clemons,20,21
93,1,0:58.0,,R. Westbrook misses 2-pt jump shot from 12 ft,20,21
94,1,0:57.0,Defensive rebound by T. Warren,,20,21
95,1,0:53.0,Personal foul by T. Sefolosha (drawn by T. Warren),,20,21
