,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,,N. Bjelica makes 2-pt jump shot from 19 ft (assist by B. Hield),0,2
1,1,11:09.0,C. McCollum makes 2-pt layup from 3 ft,,2,2
2,1,10:57.0,,R. Holmes misses 2-pt jump shot from 15 ft,2,2
3,1,10:56.0,,Offensive rebound by N. Bjelica,2,2
4,1,10:56.0,,N. Bjelica makes 2-pt layup from 1 ft,2,4
5,1,10:36.0,H. Whiteside makes 2-pt hook shot from 10 ft,,4,4
6,1,10:10.0,,Shooting foul by H. Whiteside (drawn by R. Holmes),4,4
7,1,10:10.0,,R. Holmes makes free throw 1 of 2,4,5
8,1,10:10.0,,R. Holmes misses free throw 2 of 2,4,5
9,1,10:08.0,Defensive rebound by H. Whiteside,,4,5
10,1,10:00.0,Personal foul by R. Holmes (drawn by H. Whiteside),,4,5
11,1,9:52.0,C. McCollum makes 2-pt jump shot from 19 ft,,6,5
12,1,9:32.0,,N. Bjelica misses 2-pt layup from 4 ft,6,5
13,1,9:29.0,,Offensive rebound by N. Bjelica,6,5
14,1,9:20.0,,B. Hield misses 3-pt jump shot from 27 ft,6,5
15,1,9:16.0,Defensive rebound by C. McCollum,,6,5
16,1,9:09.0,C. McCollum makes 2-pt jump shot from 14 ft,,8,5
17,1,8:48.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,5
18,1,8:46.0,Defensive rebound by H. Whiteside,,8,5
19,1,8:39.0,C. McCollum misses 3-pt jump shot from 25 ft,,8,5
20,1,8:39.0,,Defensive rebound by Team,8,5
21,1,8:24.0,,C. Joseph misses 2-pt jump shot from 15 ft (block by D. Lillard),8,5
22,1,8:21.0,Defensive rebound by M. Hezonja,,8,5
23,1,8:19.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by M. Hezonja),,11,5
24,1,8:03.0,,N. Bjelica misses 3-pt jump shot from 24 ft,11,5
25,1,8:01.0,Defensive rebound by H. Whiteside,,11,5
26,1,7:54.0,Offensive foul by H. Whiteside (drawn by C. Joseph),,11,5
27,1,7:54.0,Turnover by H. Whiteside (offensive foul),,11,5
28,1,7:42.0,,B. Hield misses 3-pt jump shot from 26 ft,11,5
29,1,7:38.0,Defensive rebound by K. Bazemore,,11,5
30,1,7:28.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by K. Bazemore),,13,5
31,1,7:03.0,,B. Hield misses 3-pt jump shot from 24 ft,13,5
32,1,7:00.0,Defensive rebound by D. Lillard,,13,5
33,1,6:49.0,H. Whiteside misses 2-pt hook shot from 6 ft (block by R. Holmes),,13,5
34,1,6:46.0,Offensive rebound by H. Whiteside,,13,5
35,1,6:41.0,Turnover by M. Hezonja (bad pass),,13,5
36,1,6:41.0,,Sacramento full timeout,13,5
37,1,6:28.0,,H. Barnes misses 3-pt jump shot from 25 ft,13,5
38,1,6:26.0,Defensive rebound by Team,,13,5
39,1,6:26.0,,Loose ball foul by R. Holmes (drawn by H. Whiteside),13,5
40,1,6:26.0,,T. Ariza enters the game for H. Barnes,13,5
41,1,6:26.0,,D. Dedmon enters the game for R. Holmes,13,5
42,1,6:05.0,M. Hezonja misses 2-pt layup from 3 ft,,13,5
43,1,6:02.0,Offensive rebound by M. Hezonja,,13,5
44,1,5:55.0,D. Lillard makes 2-pt jump shot from 18 ft (assist by K. Bazemore),,15,5
45,1,5:55.0,Shooting foul by C. Joseph (drawn by D. Lillard),,15,5
46,1,5:55.0,,B. Bogdanović enters the game for C. Joseph,15,5
47,1,5:55.0,,Violation by Team (delay of game),15,5
48,1,5:55.0,D. Lillard makes free throw 1 of 1,,16,5
49,1,5:38.0,,Shooting foul by H. Whiteside (drawn by T. Ariza),16,5
50,1,5:38.0,,T. Ariza misses free throw 1 of 2,16,5
51,1,5:38.0,,Offensive rebound by Team,16,5
52,1,5:38.0,S. Labissière enters the game for K. Bazemore,,16,5
53,1,5:38.0,A. Simons enters the game for H. Whiteside,,16,5
54,1,5:38.0,,Turnover by D. Dedmon (lane violation),16,5
55,1,5:28.0,Turnover by D. Lillard (step out of bounds),,16,5
56,1,5:11.0,,T. Ariza misses 3-pt jump shot from 24 ft,16,5
57,1,5:10.0,,Offensive rebound by Team,16,5
58,1,5:10.0,Loose ball foul by S. Labissière (drawn by D. Dedmon),,16,5
59,1,4:58.0,,B. Hield misses 3-pt jump shot from 23 ft,16,5
60,1,4:54.0,Defensive rebound by C. McCollum,,16,5
61,1,4:50.0,C. McCollum misses 2-pt layup from 2 ft (block by D. Dedmon),,16,5
62,1,4:46.0,,Defensive rebound by T. Ariza,16,5
