,QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
0,1,11:44.0,,D. Mitchell makes 2-pt layup from 8 ft (assist by R. Gobert),0,2
1,1,11:18.0,K. Oubre makes 2-pt jump shot from 7 ft (assist by D. Booker),,2,2
2,1,11:00.0,,Shooting foul by K. Oubre (drawn by B. Bogdanović),2,2
3,1,11:00.0,,B. Bogdanović makes free throw 1 of 2,2,3
4,1,11:00.0,,B. Bogdanović makes free throw 2 of 2,2,4
5,1,10:48.0,D. Booker makes 2-pt jump shot from 14 ft (assist by R. Rubio),,4,4
6,1,10:31.0,,Turnover by B. Bogdanović (bad pass; steal by R. Rubio),4,4
7,1,10:26.0,K. Oubre makes 2-pt dunk from 2 ft (assist by R. Rubio),,6,4
8,1,10:12.0,,J. Ingles misses 2-pt jump shot from 12 ft,6,4
9,1,10:08.0,Defensive rebound by K. Oubre,,6,4
10,1,10:04.0,Shooting foul by D. Mitchell (drawn by K. Oubre),,6,4
11,1,10:04.0,K. Oubre makes free throw 1 of 2,,7,4
12,1,10:04.0,K. Oubre misses free throw 2 of 2,,7,4
13,1,10:02.0,,Defensive rebound by B. Bogdanović,7,4
14,1,9:50.0,,M. Conley misses 3-pt jump shot from 26 ft,7,4
15,1,9:47.0,Defensive rebound by D. Ayton,,7,4
16,1,9:40.0,Turnover by R. Rubio (bad pass),,7,4
17,1,9:26.0,,R. Gobert misses 2-pt layup from 2 ft,7,4
18,1,9:23.0,Defensive rebound by D. Ayton,,7,4
19,1,9:17.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Booker),,10,4
20,1,9:06.0,,Personal foul by K. Oubre (drawn by J. Ingles),10,4
21,1,8:50.0,,D. Mitchell makes 3-pt jump shot from 28 ft (assist by J. Ingles),10,7
22,1,8:35.0,D. Ayton makes 2-pt dunk from 2 ft (assist by D. Booker),,12,7
23,1,8:19.0,,Shooting foul by D. Ayton (drawn by J. Ingles),12,7
24,1,8:19.0,,J. Ingles misses free throw 1 of 2,12,7
25,1,8:19.0,,Offensive rebound by Team,12,7
26,1,8:19.0,,J. Ingles makes free throw 2 of 2,12,8
27,1,8:09.0,D. Ayton misses 2-pt jump shot from 4 ft,,12,8
28,1,8:06.0,,Defensive rebound by R. Gobert,12,8
29,1,7:55.0,,Turnover by B. Bogdanović (bad pass),12,8
30,1,7:46.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by R. Rubio),,14,8
31,1,7:22.0,,Turnover by J. Ingles (lost ball; steal by R. Rubio),14,8
32,1,7:18.0,Personal foul by J. Ingles (drawn by R. Rubio),,14,8
33,1,7:05.0,D. Booker misses 2-pt layup from 6 ft,,14,8
34,1,7:01.0,,Defensive rebound by D. Mitchell,14,8
35,1,6:56.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by M. Conley),14,11
36,1,6:39.0,Personal foul by M. Conley (drawn by R. Rubio),,14,11
37,1,6:39.0,,Utah full timeout,14,11
38,1,6:39.0,,J. Clarkson enters the game for M. Conley,14,11
39,1,6:39.0,,R. O'Neale enters the game for J. Ingles,14,11
40,1,6:32.0,D. Ayton makes 2-pt dunk from 2 ft (assist by R. Rubio),,16,11
41,1,6:12.0,,Shooting foul by M. Bridges (drawn by B. Bogdanović),16,11
42,1,6:12.0,,B. Bogdanović makes free throw 1 of 2,16,12
43,1,6:12.0,,B. Bogdanović makes free throw 2 of 2,16,13
44,1,5:57.0,R. Rubio misses 2-pt jump shot from 9 ft,,16,13
45,1,5:54.0,,Defensive rebound by D. Mitchell,16,13
46,1,5:50.0,,Turnover by D. Mitchell (traveling),16,13
47,1,5:50.0,C. Johnson enters the game for K. Oubre,,16,13
48,1,5:50.0,E. Okobo enters the game for R. Rubio,,16,13
49,1,5:41.0,Turnover by E. Okobo (bad pass; steal by R. O'Neale),,16,13
50,1,5:27.0,,D. Mitchell makes 3-pt jump shot from 25 ft,16,16
51,1,5:09.0,Turnover by D. Booker (bad pass; steal by R. O'Neale),,16,16
52,1,5:05.0,,D. Mitchell makes 3-pt jump shot from 22 ft (assist by R. O'Neale),16,19
53,1,5:03.0,Phoenix full timeout,,16,19
54,1,4:46.0,D. Ayton makes 2-pt hook shot from 9 ft,,18,19
55,1,4:31.0,,Offensive foul by D. Mitchell (drawn by M. Bridges),18,19
56,1,4:31.0,,Turnover by D. Mitchell (offensive foul),18,19
57,1,4:21.0,Turnover by E. Okobo (bad pass; steal by J. Clarkson),,18,19
