,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHICAGO_ACTION,DALLAS_SCORE,CHICAGO_SCORE
0,1,11:41.0,T. Hardaway makes 2-pt jump shot from 7 ft (assist by L. Dončić),,2,0
1,1,11:22.0,,W. Carter misses 2-pt hook shot from 4 ft,2,0
2,1,11:19.0,Defensive rebound by M. Kleber,,2,0
3,1,11:12.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by M. Kleber),,4,0
4,1,10:59.0,,D. Valentine misses 3-pt jump shot from 26 ft,4,0
5,1,10:55.0,Defensive rebound by L. Dončić,,4,0
6,1,10:51.0,Personal foul by W. Carter (drawn by L. Dončić),,4,0
7,1,10:47.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),,7,0
8,1,10:32.0,,T. Young misses 3-pt jump shot from 27 ft,7,0
9,1,10:31.0,,Offensive rebound by Team,7,0
10,1,10:31.0,Loose ball foul by C. Lee (drawn by S. Harrison),,7,0
11,1,10:16.0,,S. Harrison misses 2-pt hook shot from 5 ft,7,0
12,1,10:13.0,,Offensive rebound by T. Young,7,0
13,1,10:13.0,,T. Young makes 2-pt layup at rim,7,2
14,1,10:00.0,L. Dončić makes 2-pt layup from 2 ft,,9,2
15,1,9:53.0,,Personal foul by C. Lee (drawn by W. Carter),9,2
16,1,9:46.0,,D. Valentine makes 2-pt jump shot from 11 ft,9,4
17,1,9:24.0,M. Kleber misses 3-pt jump shot from 25 ft,,9,4
18,1,9:22.0,Offensive rebound by D. Finney-Smith,,9,4
19,1,9:18.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,9,4
20,1,9:16.0,,Defensive rebound by S. Harrison,9,4
21,1,8:56.0,,T. Satoranský misses 2-pt jump shot from 9 ft,9,4
22,1,8:53.0,Defensive rebound by L. Dončić,,9,4
23,1,8:46.0,T. Hardaway misses 3-pt jump shot from 25 ft,,9,4
24,1,8:42.0,,Defensive rebound by T. Young,9,4
25,1,8:39.0,,T. Satoranský makes 2-pt jump shot from 6 ft,9,6
26,1,8:19.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),,12,6
27,1,8:02.0,,S. Harrison misses 3-pt jump shot from 23 ft,12,6
28,1,8:00.0,Defensive rebound by L. Dončić,,12,6
29,1,8:00.0,,D. Gafford enters the game for W. Carter,12,6
30,1,8:00.0,,C. White enters the game for D. Valentine,12,6
31,1,7:41.0,C. Lee makes 3-pt jump shot from 23 ft (assist by L. Dončić),,15,6
32,1,7:25.0,,C. White makes 3-pt jump shot from 23 ft (assist by T. Young),15,9
