,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BROOKLYN_ACTION,SAN ANTONIO_SCORE,BROOKLYN_SCORE
0,1,11:46.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by C. LeVert),0,3
1,1,11:27.0,D. DeRozan makes 2-pt jump shot from 11 ft (assist by D. White),,2,3
2,1,11:16.0,,Shooting foul by D. White (drawn by J. Allen),2,3
3,1,11:16.0,,J. Allen makes free throw 1 of 2,2,4
4,1,11:16.0,,J. Allen makes free throw 2 of 2,2,5
5,1,11:02.0,B. Forbes makes 2-pt jump shot from 21 ft (assist by D. Murray),,4,5
6,1,10:53.0,,Personal foul by D. Murray (drawn by J. Allen),4,5
7,1,10:41.0,,J. Allen misses 2-pt layup from 2 ft (block by D. White),4,5
8,1,10:39.0,Defensive rebound by D. DeRozan,,4,5
9,1,10:32.0,T. Lyles misses 3-pt jump shot from 25 ft,,4,5
10,1,10:30.0,,Defensive rebound by J. Allen,4,5
11,1,10:20.0,,J. Harris makes 2-pt layup at rim (assist by S. Dinwiddie),4,7
12,1,10:06.0,D. Murray makes 2-pt jump shot from 11 ft,,6,7
13,1,9:46.0,,C. LeVert misses 2-pt layup from 4 ft,6,7
14,1,9:44.0,,Offensive rebound by C. LeVert,6,7
15,1,9:43.0,,C. LeVert makes 2-pt layup from 1 ft,6,9
16,1,9:31.0,D. Murray misses 3-pt jump shot from 24 ft,,6,9
17,1,9:27.0,,Defensive rebound by C. LeVert,6,9
18,1,9:19.0,,J. Harris makes 2-pt jump shot from 14 ft (assist by C. LeVert),6,11
19,1,8:57.0,B. Forbes misses 2-pt layup from 4 ft,,6,11
20,1,8:56.0,,Defensive rebound by W. Chandler,6,11
21,1,8:45.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),6,14
22,1,8:43.0,San Antonio full timeout,,6,14
23,1,8:34.0,D. White misses 2-pt jump shot from 13 ft,,6,14
24,1,8:31.0,,Defensive rebound by J. Allen,6,14
25,1,8:08.0,,S. Dinwiddie makes 2-pt layup from 2 ft,6,16
26,1,7:56.0,D. Murray misses 2-pt jump shot from 13 ft,,6,16
27,1,7:53.0,,Defensive rebound by J. Allen,6,16
28,1,7:50.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,6,16
29,1,7:46.0,Defensive rebound by D. DeRozan,,6,16
30,1,7:42.0,D. DeRozan misses 2-pt jump shot from 7 ft,,6,16
31,1,7:39.0,,Defensive rebound by J. Harris,6,16
32,1,7:31.0,,J. Harris misses 3-pt jump shot from 25 ft,6,16
33,1,7:28.0,Defensive rebound by B. Forbes,,6,16
34,1,7:14.0,T. Lyles misses 2-pt jump shot from 7 ft,,6,16
35,1,7:11.0,,Defensive rebound by J. Allen,6,16
36,1,7:07.0,,Shooting foul by B. Forbes (drawn by S. Dinwiddie),6,16
37,1,7:07.0,,S. Dinwiddie misses free throw 1 of 2,6,16
38,1,7:07.0,,Offensive rebound by Team,6,16
39,1,7:07.0,R. Gay enters the game for T. Lyles,,6,16
40,1,7:07.0,L. Walker enters the game for D. White,,6,16
41,1,7:07.0,,S. Dinwiddie makes free throw 2 of 2,6,17
42,1,6:52.0,R. Gay misses 3-pt jump shot from 25 ft,,6,17
43,1,6:48.0,,Defensive rebound by J. Allen,6,17
44,1,6:46.0,,Shooting foul by R. Gay (drawn by C. LeVert),6,17
45,1,6:46.0,,C. LeVert misses free throw 1 of 2,6,17
46,1,6:46.0,,Offensive rebound by Team,6,17
47,1,6:46.0,,C. LeVert makes free throw 2 of 2,6,18
48,1,6:27.0,D. Murray misses 2-pt jump shot from 9 ft,,6,18
49,1,6:24.0,,Defensive rebound by J. Harris,6,18
50,1,6:16.0,,C. LeVert makes 2-pt layup from 1 ft,6,20
51,1,6:16.0,San Antonio full timeout,,6,20
52,1,6:16.0,,T. Luwawu-Cabarrot enters the game for W. Chandler,6,20
53,1,6:16.0,,T. Prince enters the game for C. LeVert,6,20
54,1,5:58.0,D. Murray misses 3-pt jump shot from 25 ft,,6,20
55,1,5:55.0,,Defensive rebound by J. Allen,6,20
56,1,5:48.0,,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),6,22
57,1,5:40.0,Personal foul by S. Dinwiddie (drawn by D. DeRozan),,6,22
58,1,5:40.0,P. Mills enters the game for D. Murray,,6,22
59,1,5:35.0,D. DeRozan makes 2-pt layup from 2 ft,,8,22
60,1,5:14.0,,T. Prince makes 2-pt layup from 4 ft,8,24
61,1,5:03.0,Offensive foul by D. DeRozan (drawn by T. Prince),,8,24
62,1,5:03.0,Turnover by D. DeRozan (offensive foul),,8,24
63,1,5:03.0,D. White enters the game for B. Forbes,,8,24
64,1,5:03.0,,D. Jordan enters the game for J. Allen,8,24
65,1,4:46.0,,T. Prince makes 2-pt jump shot from 6 ft (assist by J. Harris),8,26
66,1,4:30.0,Turnover by D. White (bad pass; steal by J. Harris),,8,26
67,1,4:24.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),8,29
