,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,,P. George misses 2-pt jump shot from 11 ft,0,0
1,1,11:42.0,Defensive rebound by D. Šarić,,0,0
2,1,11:35.0,D. Ayton misses 2-pt jump shot from 19 ft,,0,0
3,1,11:32.0,,Defensive rebound by I. Zubac,0,0
4,1,11:23.0,,P. Beverley makes 2-pt layup from 2 ft,0,2
5,1,11:04.0,K. Oubre makes 2-pt dunk from 2 ft (assist by D. Ayton),,2,2
6,1,10:52.0,,P. George makes 3-pt jump shot from 25 ft,2,5
7,1,10:33.0,R. Rubio misses 3-pt jump shot from 28 ft,,2,5
8,1,10:30.0,,Defensive rebound by Team,2,5
9,1,10:18.0,,K. Leonard misses 3-pt jump shot from 26 ft,2,5
10,1,10:14.0,Defensive rebound by R. Rubio,,2,5
11,1,10:10.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by R. Rubio),,5,5
12,1,9:58.0,,P. George misses 3-pt jump shot from 26 ft,5,5
13,1,9:56.0,Defensive rebound by D. Šarić,,5,5
14,1,9:49.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by R. Rubio),,8,5
15,1,9:36.0,,P. Beverley misses 3-pt jump shot from 23 ft,8,5
16,1,9:31.0,,Offensive rebound by P. Beverley,8,5
17,1,9:29.0,,I. Zubac misses 2-pt jump shot from 19 ft,8,5
18,1,9:25.0,Defensive rebound by D. Šarić,,8,5
19,1,9:14.0,D. Ayton misses 2-pt jump shot from 19 ft,,8,5
20,1,9:11.0,,Defensive rebound by K. Leonard,8,5
21,1,9:05.0,,P. Beverley makes 3-pt jump shot from 28 ft (assist by K. Leonard),8,8
22,1,8:36.0,D. Šarić makes 2-pt jump shot from 16 ft,,10,8
23,1,8:20.0,,K. Leonard makes 2-pt jump shot from 16 ft,10,10
24,1,8:05.0,D. Ayton makes 2-pt jump shot from 18 ft (assist by R. Rubio),,12,10
25,1,7:54.0,,Personal foul by M. Bridges (drawn by K. Leonard),12,10
26,1,7:47.0,,K. Leonard makes 2-pt jump shot from 15 ft,12,12
27,1,7:34.0,Turnover by K. Oubre (bad pass; steal by M. Harkless),,12,12
28,1,7:31.0,,P. George makes 2-pt layup from 2 ft (assist by M. Harkless),12,14
29,1,7:16.0,D. Ayton misses 2-pt jump shot from 20 ft,,12,14
30,1,7:13.0,,Defensive rebound by M. Harkless,12,14
31,1,7:08.0,,P. George makes 3-pt jump shot from 25 ft,12,17
32,1,7:08.0,Phoenix full timeout,,12,17
33,1,6:51.0,Turnover by K. Oubre (bad pass; steal by K. Leonard),,12,17
34,1,6:49.0,,Offensive foul by P. George (drawn by K. Oubre),12,17
35,1,6:49.0,,Turnover by P. George (offensive foul),12,17
36,1,6:26.0,R. Rubio misses 2-pt jump shot from 18 ft,,12,17
37,1,6:23.0,,Defensive rebound by K. Leonard,12,17
38,1,6:06.0,,P. George misses 2-pt layup from 1 ft,12,17
39,1,6:03.0,,Offensive rebound by I. Zubac,12,17
40,1,6:03.0,,I. Zubac makes 2-pt layup at rim,12,19
41,1,5:46.0,R. Rubio makes 2-pt jump shot from 7 ft,,14,19
42,1,5:29.0,,P. George misses 2-pt jump shot from 6 ft,14,19
43,1,5:26.0,Defensive rebound by R. Rubio,,14,19
44,1,5:23.0,Turnover by D. Ayton (traveling),,14,19
45,1,5:23.0,A. Baynes enters the game for D. Ayton,,14,19
46,1,5:13.0,,P. George misses 2-pt layup from 2 ft,14,19
47,1,5:10.0,Defensive rebound by D. Šarić,,14,19
48,1,5:06.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by R. Rubio),,17,19
49,1,4:51.0,,P. Beverley misses 2-pt hook shot from 2 ft,17,19
50,1,4:48.0,Defensive rebound by D. Šarić,,17,19
51,1,4:44.0,D. Šarić misses 3-pt jump shot from 27 ft,,17,19
52,1,4:41.0,,Defensive rebound by K. Leonard,17,19
53,1,4:34.0,,P. Beverley misses 3-pt jump shot from 24 ft,17,19
54,1,4:30.0,Defensive rebound by M. Bridges,,17,19
55,1,4:23.0,Turnover by R. Rubio (lost ball; steal by P. George),,17,19
56,1,4:23.0,,Personal foul by R. Rubio (drawn by P. George),17,19
57,1,4:23.0,J. Carter enters the game for M. Bridges,,17,19
58,1,4:23.0,F. Kaminsky enters the game for R. Rubio,,17,19
59,1,4:23.0,E. Okobo enters the game for D. Šarić,,17,19
60,1,4:23.0,,M. Harrell enters the game for P. Beverley,17,19
61,1,4:23.0,,L. Shamet enters the game for P. George,17,19
62,1,4:23.0,,L. Williams enters the game for I. Zubac,17,19
63,1,4:17.0,,M. Harrell makes 2-pt dunk from 1 ft,17,21
64,1,3:56.0,K. Oubre misses 3-pt jump shot from 27 ft,,17,21
65,1,3:54.0,,Defensive rebound by M. Harrell,17,21
66,1,3:49.0,,Personal foul by K. Oubre (drawn by K. Leonard),17,21
67,1,3:40.0,,K. Leonard misses 2-pt hook shot from 8 ft,17,21
68,1,3:37.0,Defensive rebound by A. Baynes,,17,21
69,1,3:30.0,E. Okobo makes 2-pt layup from 2 ft,,19,21
70,1,3:30.0,,LA Clippers full timeout,19,21
71,1,3:30.0,,R. McGruder enters the game for M. Harkless,19,21
72,1,3:18.0,,Shooting foul by J. Carter (drawn by K. Leonard),19,21
73,1,3:18.0,,K. Leonard makes free throw 1 of 2,19,22
74,1,3:18.0,,K. Leonard makes free throw 2 of 2,19,23
75,1,3:04.0,A. Baynes misses 3-pt jump shot from 25 ft,,19,23
76,1,3:01.0,,Defensive rebound by R. McGruder,19,23
77,1,3:01.0,T. Jerome enters the game for K. Oubre,,19,23
78,1,3:01.0,,P. Patterson enters the game for K. Leonard,19,23
79,1,2:44.0,,M. Harrell misses 2-pt layup from 3 ft,19,23
80,1,2:40.0,,Offensive rebound by M. Harrell,19,23
81,1,2:40.0,,M. Harrell misses 2-pt layup at rim,19,23
82,1,2:39.0,Defensive rebound by J. Carter,,19,23
83,1,2:25.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,19,23
84,1,2:22.0,,Defensive rebound by R. McGruder,19,23
85,1,2:11.0,,R. McGruder makes 2-pt layup from 2 ft (assist by L. Williams),19,25
86,1,1:54.0,F. Kaminsky misses 2-pt hook shot from 3 ft,,19,25
87,1,1:52.0,,Defensive rebound by M. Harrell,19,25
88,1,1:48.0,,M. Harrell misses 2-pt layup at rim,19,25
89,1,1:46.0,Defensive rebound by F. Kaminsky,,19,25
90,1,1:40.0,T. Jerome misses 2-pt jump shot from 6 ft,,19,25
91,1,1:40.0,Offensive rebound by Team,,19,25
92,1,1:40.0,,Loose ball foul by M. Harrell (drawn by A. Baynes),19,25
93,1,1:31.0,Turnover by E. Okobo (bad pass; steal by R. McGruder),,19,25
94,1,1:23.0,,L. Williams misses 2-pt layup from 2 ft,19,25
95,1,1:21.0,,Offensive rebound by M. Harrell,19,25
96,1,1:19.0,,L. Williams misses 3-pt jump shot from 24 ft,19,25
97,1,1:15.0,Defensive rebound by A. Baynes,,19,25
98,1,1:07.0,Shooting foul by R. McGruder (drawn by F. Kaminsky),,19,25
99,1,1:07.0,F. Kaminsky makes free throw 1 of 2,,20,25
100,1,1:07.0,F. Kaminsky makes free throw 2 of 2,,21,25
101,1,0:53.0,,P. Patterson makes 3-pt jump shot from 27 ft (assist by M. Harrell),21,28
102,1,0:40.0,A. Baynes misses 3-pt jump shot from 25 ft,,21,28
103,1,0:38.0,,Defensive rebound by R. McGruder,21,28
104,1,0:32.0,,P. Patterson makes 3-pt jump shot from 26 ft (assist by L. Williams),21,31
105,1,0:15.0,T. Jerome makes 2-pt jump shot from 4 ft,,23,31
106,1,0:00.0,,Turnover by R. McGruder (bad pass; steal by T. Jerome),23,31
107,2,11:45.0,D. Ayton misses 2-pt jump shot from 17 ft,,23,31
108,2,11:41.0,,Defensive rebound by R. McGruder,23,31
109,2,11:35.0,,L. Williams misses 2-pt jump shot from 17 ft,23,31
110,2,11:33.0,Defensive rebound by D. Ayton,,23,31
111,2,11:26.0,R. Rubio misses 2-pt jump shot from 16 ft,,23,31
112,2,11:23.0,,Defensive rebound by R. McGruder,23,31
113,2,11:15.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by L. Williams),23,33
114,2,11:00.0,T. Jerome misses 2-pt jump shot from 14 ft,,23,33
115,2,10:58.0,,Defensive rebound by R. McGruder,23,33
116,2,10:51.0,,P. Patterson misses 3-pt jump shot from 25 ft,23,33
117,2,10:50.0,Defensive rebound by Team,,23,33
118,2,10:33.0,T. Jerome misses 2-pt jump shot from 13 ft,,23,33
119,2,10:31.0,,Defensive rebound by P. Patterson,23,33
120,2,10:23.0,,L. Williams misses 2-pt jump shot from 10 ft,23,33
121,2,10:20.0,Defensive rebound by F. Kaminsky,,23,33
122,2,10:10.0,Turnover by D. Ayton (traveling),,23,33
123,2,10:00.0,,L. Shamet misses 3-pt jump shot from 27 ft,23,33
124,2,9:58.0,Defensive rebound by D. Ayton,,23,33
125,2,9:50.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,23,33
126,2,9:47.0,,Defensive rebound by L. Williams,23,33
