,QUARTER,TIME_REMAINING,MIAMI_ACTION,ATLANTA_ACTION,MIAMI_SCORE,ATLANTA_SCORE
0,1,11:33.0,,D. Hunter makes 2-pt layup from 2 ft,0,2
1,1,11:11.0,K. Nunn makes 2-pt layup from 1 ft (assist by B. Adebayo),,2,2
2,1,10:55.0,,D. Hunter misses 2-pt jump shot from 7 ft,2,2
3,1,10:55.0,Defensive rebound by Team,,2,2
4,1,10:37.0,D. Robinson misses 3-pt jump shot from 25 ft,,2,2
5,1,10:33.0,,Defensive rebound by T. Young,2,2
6,1,10:28.0,,T. Young misses 3-pt jump shot from 25 ft,2,2
7,1,10:25.0,Defensive rebound by J. Butler,,2,2
8,1,10:17.0,Shooting foul by D. Hunter (drawn by J. Butler),,2,2
9,1,10:17.0,J. Butler makes free throw 1 of 2,,3,2
10,1,10:17.0,J. Butler misses free throw 2 of 2,,3,2
11,1,10:13.0,,Defensive rebound by D. Dedmon,3,2
12,1,10:01.0,,K. Huerter misses 2-pt jump shot from 10 ft,3,2
13,1,9:55.0,Defensive rebound by B. Adebayo,,3,2
14,1,9:55.0,Shooting foul by D. Hunter (drawn by B. Adebayo),,3,2
15,1,9:55.0,B. Adebayo makes free throw 1 of 2,,4,2
16,1,9:55.0,,C. Reddish enters the game for D. Hunter,4,2
17,1,9:55.0,B. Adebayo makes free throw 2 of 2,,5,2
18,1,9:46.0,,Turnover by T. Young (bad pass),5,2
19,1,9:37.0,K. Nunn makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,8,2
20,1,9:25.0,,Shooting foul by J. Crowder (drawn by T. Young),8,2
21,1,9:25.0,,T. Young makes free throw 1 of 2,8,3
22,1,9:25.0,,T. Young makes free throw 2 of 2,8,4
23,1,9:14.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,11,4
24,1,9:00.0,,J. Collins makes 2-pt jump shot from 5 ft (assist by T. Young),11,6
25,1,8:54.0,J. Crowder misses 3-pt jump shot from 25 ft,,11,6
26,1,8:50.0,,Defensive rebound by D. Dedmon,11,6
27,1,8:46.0,,T. Young makes 3-pt jump shot from 28 ft,11,9
28,1,8:36.0,K. Nunn makes 2-pt layup from 1 ft (assist by B. Adebayo),,13,9
29,1,8:21.0,,T. Young misses 2-pt jump shot from 22 ft,13,9
30,1,8:18.0,Defensive rebound by B. Adebayo,,13,9
31,1,8:13.0,J. Butler misses 2-pt layup from 2 ft,,13,9
32,1,8:09.0,,Defensive rebound by D. Dedmon,13,9
33,1,7:59.0,,K. Huerter makes 2-pt jump shot from 7 ft,13,11
34,1,7:51.0,Personal foul by D. Dedmon (drawn by B. Adebayo),,13,11
35,1,7:41.0,Turnover by J. Butler (bad pass; steal by J. Collins),,13,11
36,1,7:40.0,,Personal foul by J. Crowder (drawn by C. Reddish),13,11
37,1,7:26.0,,K. Huerter misses 3-pt jump shot from 25 ft,13,11
38,1,7:23.0,Defensive rebound by J. Butler,,13,11
39,1,7:06.0,J. Butler makes 2-pt layup from 2 ft (assist by D. Robinson),,15,11
40,1,6:56.0,,Turnover by T. Young (lost ball; steal by J. Butler),15,11
41,1,6:56.0,Personal take foul by D. Dedmon (drawn by J. Crowder),,15,11
42,1,6:56.0,,Atlanta full timeout,15,11
43,1,6:56.0,S. Hill enters the game for J. Crowder,,15,11
44,1,6:56.0,,J. Teague enters the game for D. Dedmon,15,11
45,1,6:42.0,Shooting foul by J. Teague (drawn by K. Nunn),,15,11
46,1,6:42.0,K. Nunn makes free throw 1 of 2,,16,11
47,1,6:42.0,K. Nunn makes free throw 2 of 2,,17,11
48,1,6:29.0,,T. Young makes 3-pt jump shot from 30 ft (assist by J. Teague),17,14
49,1,6:20.0,B. Adebayo misses 2-pt layup from 3 ft (block by J. Collins),,17,14
50,1,6:20.0,Offensive rebound by Team,,17,14
51,1,6:17.0,D. Robinson makes 2-pt layup from 1 ft (assist by J. Butler),,19,14
52,1,6:05.0,,K. Huerter misses 3-pt jump shot from 26 ft,19,14
53,1,6:01.0,Defensive rebound by B. Adebayo,,19,14
54,1,5:55.0,D. Robinson misses 3-pt jump shot from 25 ft,,19,14
55,1,5:52.0,,Defensive rebound by J. Collins,19,14
56,1,5:38.0,,J. Collins makes 2-pt layup from 2 ft (assist by K. Huerter),19,16
57,1,5:27.0,B. Adebayo makes 2-pt jump shot from 13 ft,,21,16
58,1,5:21.0,,Shooting foul by S. Hill (drawn by T. Young),21,16
59,1,5:21.0,,T. Young makes free throw 1 of 2,21,17
60,1,5:21.0,G. Dragić enters the game for D. Robinson,,21,17
61,1,5:21.0,,T. Young makes free throw 2 of 2,21,18
62,1,5:07.0,J. Butler misses 2-pt jump shot from 5 ft,,21,18
63,1,5:03.0,,Defensive rebound by C. Reddish,21,18
64,1,5:02.0,,Personal foul by G. Dragić (drawn by C. Reddish),21,18
65,1,4:47.0,,J. Collins makes 2-pt jump shot from 17 ft (assist by J. Teague),21,20
66,1,4:27.0,J. Butler makes 2-pt jump shot from 2 ft,,23,20
67,1,4:19.0,,T. Young makes 3-pt jump shot from 35 ft,23,23
68,1,4:17.0,Miami full timeout,,23,23
69,1,4:17.0,,V. Carter enters the game for J. Collins,23,23
70,1,4:17.0,,B. Fernando enters the game for K. Huerter,23,23
71,1,4:03.0,J. Butler misses 2-pt jump shot from 13 ft,,23,23
72,1,4:01.0,,Defensive rebound by V. Carter,23,23
73,1,3:50.0,,V. Carter misses 2-pt jump shot from 16 ft,23,23
74,1,3:46.0,Defensive rebound by B. Adebayo,,23,23
75,1,3:40.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,26,23
76,1,3:31.0,,T. Young misses 3-pt jump shot from 26 ft,26,23
77,1,3:26.0,Defensive rebound by B. Adebayo,,26,23
78,1,3:19.0,Turnover by G. Dragić (bad pass; steal by J. Teague),,26,23
79,1,3:13.0,,B. Fernando misses 2-pt hook shot from 7 ft,26,23
80,1,3:09.0,Defensive rebound by B. Adebayo,,26,23
81,1,3:02.0,Shooting foul by B. Fernando (drawn by B. Adebayo),,26,23
82,1,3:02.0,B. Adebayo makes free throw 1 of 2,,27,23
83,1,3:02.0,D. Jones enters the game for K. Nunn,,27,23
84,1,3:02.0,,B. Goodwin enters the game for T. Young,27,23
85,1,3:02.0,B. Adebayo makes free throw 2 of 2,,28,23
86,1,2:55.0,,Turnover by J. Teague (bad pass; steal by B. Adebayo),28,23
87,1,2:50.0,B. Adebayo makes 2-pt dunk from 1 ft,,30,23
88,1,2:40.0,,J. Teague makes 2-pt layup from 2 ft (assist by B. Goodwin),30,25
89,1,2:22.0,G. Dragić makes 2-pt jump shot from 21 ft,,32,25
90,1,2:08.0,,Personal foul by D. Jones (drawn by B. Goodwin),32,25
91,1,2:08.0,,B. Goodwin makes free throw 1 of 2,32,26
92,1,2:08.0,A. Iguodala enters the game for B. Adebayo,,32,26
93,1,2:08.0,K. Olynyk enters the game for J. Butler,,32,26
94,1,2:08.0,,B. Goodwin misses free throw 2 of 2,32,26
95,1,2:06.0,Defensive rebound by K. Olynyk,,32,26
96,1,2:01.0,Personal foul by B. Goodwin (drawn by G. Dragić),,32,26
97,1,2:01.0,G. Dragić makes free throw 1 of 2,,33,26
98,1,2:01.0,G. Dragić makes free throw 2 of 2,,34,26
99,1,1:56.0,Violation by Team (kicked ball),,34,26
100,1,1:49.0,,Shooting foul by D. Jones (drawn by J. Teague),34,26
101,1,1:49.0,,J. Teague makes free throw 1 of 2,34,27
102,1,1:49.0,,J. Teague makes free throw 2 of 2,34,28
103,1,1:35.0,D. Jones misses 3-pt jump shot from 24 ft,,34,28
104,1,1:29.0,Offensive rebound by S. Hill,,34,28
105,1,1:21.0,G. Dragić misses 3-pt jump shot from 25 ft,,34,28
106,1,1:17.0,,Defensive rebound by B. Goodwin,34,28
