,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,A. Wiggins misses 2-pt layup from 2 ft,0,0
1,1,11:41.0,Defensive rebound by F. Kaminsky,,0,0
2,1,11:27.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,3,0
3,1,11:05.0,,J. Teague misses 3-pt jump shot from 25 ft (block by T. Johnson),3,0
4,1,11:04.0,,Offensive rebound by Team,3,0
5,1,11:03.0,,Personal foul by D. Šarić (drawn by N. Vonleh),3,0
6,1,10:55.0,,Turnover by K. Towns (lost ball; steal by K. Oubre),3,0
7,1,10:51.0,K. Oubre misses 2-pt layup from 1 ft (block by A. Wiggins),,3,0
8,1,10:47.0,Offensive rebound by D. Booker,,3,0
9,1,10:47.0,D. Booker misses 2-pt layup from 1 ft,,3,0
10,1,10:46.0,,Defensive rebound by N. Vonleh,3,0
11,1,10:41.0,,Personal foul by T. Johnson (drawn by N. Vonleh),3,0
12,1,10:28.0,,A. Wiggins misses 2-pt jump shot from 16 ft,3,0
13,1,10:25.0,Defensive rebound by K. Oubre,,3,0
14,1,10:20.0,T. Johnson misses 2-pt jump shot from 12 ft,,3,0
15,1,10:17.0,,Defensive rebound by K. Towns,3,0
16,1,10:12.0,,K. Towns misses 3-pt jump shot from 26 ft,3,0
17,1,10:09.0,Defensive rebound by D. Šarić,,3,0
18,1,10:02.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Booker),,6,0
19,1,9:51.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Teague),6,2
20,1,9:39.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by D. Booker),,9,2
21,1,9:25.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by J. Culver),9,4
22,1,9:09.0,Turnover by D. Booker (bad pass),,9,4
23,1,8:56.0,,A. Wiggins makes 2-pt layup from 7 ft,9,6
24,1,8:56.0,,Shooting foul by D. Šarić (drawn by A. Wiggins),9,6
25,1,8:56.0,M. Bridges enters the game for D. Šarić,,9,6
26,1,8:56.0,,K. Bates-Diop enters the game for N. Vonleh,9,6
27,1,8:56.0,,A. Wiggins makes free throw 1 of 1,9,7
28,1,8:44.0,D. Booker misses 3-pt jump shot from 28 ft (block by A. Wiggins),,9,7
29,1,8:40.0,,Defensive rebound by J. Culver,9,7
30,1,8:34.0,,J. Culver makes 2-pt layup from 2 ft,9,9
31,1,8:12.0,K. Oubre misses 3-pt jump shot from 25 ft,,9,9
32,1,8:08.0,,Defensive rebound by K. Bates-Diop,9,9
33,1,8:03.0,,K. Bates-Diop makes 2-pt layup from 1 ft,9,11
34,1,7:57.0,Turnover by D. Booker (out of bounds lost ball),,9,11
35,1,7:51.0,,J. Culver makes 3-pt jump shot from 24 ft (assist by K. Bates-Diop),9,14
36,1,7:50.0,Phoenix full timeout,,9,14
37,1,7:34.0,D. Booker misses 2-pt jump shot from 12 ft,,9,14
38,1,7:30.0,,Defensive rebound by K. Towns,9,14
39,1,7:22.0,,J. Teague makes 2-pt layup from 1 ft,9,16
40,1,7:09.0,Turnover by D. Booker (bad pass; steal by J. Teague),,9,16
41,1,7:01.0,,Personal foul by K. Oubre (drawn by K. Towns),9,16
42,1,6:49.0,,K. Towns misses 3-pt jump shot from 25 ft,9,16
43,1,6:46.0,Defensive rebound by K. Oubre,,9,16
44,1,6:40.0,K. Oubre makes 2-pt layup at rim,,11,16
45,1,6:30.0,,J. Culver misses 3-pt jump shot from 25 ft,11,16
46,1,6:27.0,Defensive rebound by M. Bridges,,11,16
47,1,6:20.0,T. Johnson makes 3-pt jump shot from 24 ft (assist by D. Booker),,14,16
48,1,6:05.0,,K. Bates-Diop misses 3-pt jump shot from 25 ft,14,16
49,1,6:03.0,Defensive rebound by K. Oubre,,14,16
50,1,5:56.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by T. Johnson),,17,16
51,1,5:55.0,,Minnesota full timeout,17,16
52,1,5:55.0,,J. Nowell enters the game for J. Culver,17,16
53,1,5:40.0,,A. Wiggins misses 2-pt layup from 3 ft (block by F. Kaminsky),17,16
54,1,5:36.0,,Offensive rebound by K. Towns,17,16
55,1,5:36.0,,K. Towns makes 2-pt layup from 2 ft,17,18
