,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
0,1,11:45.0,,W. Carter misses 2-pt jump shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by P. George,,0,0
2,1,11:26.0,Turnover by P. George (bad pass; steal by W. Carter),,0,0
3,1,11:23.0,,Z. LaVine makes 2-pt layup from 2 ft,0,2
4,1,11:09.0,P. George makes 2-pt jump shot from 17 ft,,2,2
5,1,10:50.0,,Z. LaVine misses 3-pt jump shot from 26 ft,2,2
6,1,10:47.0,Defensive rebound by M. Harkless,,2,2
7,1,10:31.0,Turnover by P. George (bad pass; steal by W. Carter),,2,2
8,1,10:26.0,,Z. LaVine makes 2-pt layup from 3 ft (assist by T. Satoranský),2,4
9,1,10:09.0,Def 3 sec tech foul by Team,,2,4
10,1,10:09.0,P. George makes technical free throw,,3,4
11,1,10:00.0,P. George makes 2-pt layup from 1 ft (assist by T. Mann),,5,4
12,1,9:46.0,,W. Carter misses 2-pt jump shot from 14 ft,5,4
13,1,9:44.0,Defensive rebound by T. Mann,,5,4
14,1,9:38.0,Shooting foul by T. Satoranský (drawn by T. Mann),,5,4
15,1,9:38.0,T. Mann makes free throw 1 of 2,,6,4
16,1,9:38.0,T. Mann misses free throw 2 of 2,,6,4
17,1,9:36.0,,Defensive rebound by L. Markkanen,6,4
18,1,9:27.0,,T. Satoranský misses 3-pt jump shot from 25 ft,6,4
19,1,9:24.0,Defensive rebound by I. Zubac,,6,4
20,1,9:16.0,P. George misses 2-pt jump shot from 11 ft,,6,4
21,1,9:13.0,,Defensive rebound by T. Satoranský,6,4
22,1,8:58.0,,W. Carter misses 2-pt hook shot from 6 ft,6,4
23,1,8:56.0,Defensive rebound by M. Harkless,,6,4
24,1,8:40.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by T. Mann),,9,4
25,1,8:18.0,,Z. LaVine misses 2-pt layup from 2 ft,9,4
26,1,8:17.0,,Offensive rebound by Z. LaVine,9,4
27,1,8:15.0,,Z. LaVine misses 2-pt layup from 1 ft,9,4
28,1,8:15.0,Defensive rebound by I. Zubac,,9,4
29,1,8:03.0,I. Zubac misses 2-pt jump shot from 13 ft,,9,4
30,1,8:00.0,,Defensive rebound by L. Markkanen,9,4
31,1,7:47.0,,Turnover by L. Markkanen (bad pass; steal by M. Harkless),9,4
32,1,7:39.0,M. Harkless makes 2-pt jump shot from 3 ft,,11,4
33,1,7:28.0,,Shooting foul by T. Mann (drawn by T. Satoranský),11,4
34,1,7:28.0,,T. Satoranský makes free throw 1 of 2,11,5
35,1,7:28.0,LA Clippers full timeout,,11,5
36,1,7:28.0,,T. Young enters the game for W. Carter,11,5
37,1,7:28.0,,T. Satoranský misses free throw 2 of 2,11,5
38,1,7:26.0,Defensive rebound by I. Zubac,,11,5
39,1,7:04.0,T. Mann misses 2-pt jump shot from 4 ft,,11,5
40,1,7:01.0,,Defensive rebound by Z. LaVine,11,5
41,1,6:52.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by T. Satoranský),11,8
42,1,6:35.0,I. Zubac misses 2-pt layup from 1 ft,,11,8
43,1,6:32.0,,Defensive rebound by T. Young,11,8
44,1,6:11.0,,T. Satoranský makes 2-pt jump shot from 3 ft,11,10
45,1,5:50.0,I. Zubac makes 2-pt hook shot from 4 ft (assist by P. George),,13,10
46,1,5:36.0,,T. Young makes 2-pt hook shot from 4 ft,13,12
47,1,5:20.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by M. Harkless),,16,12
48,1,5:07.0,,T. Young misses 2-pt hook shot from 3 ft,16,12
49,1,5:04.0,Defensive rebound by L. Shamet,,16,12
50,1,5:02.0,L. Shamet misses 3-pt jump shot from 27 ft,,16,12
51,1,4:59.0,,Defensive rebound by K. Dunn,16,12
52,1,4:48.0,,Z. LaVine misses 2-pt jump shot from 12 ft,16,12
53,1,4:46.0,Defensive rebound by M. Harkless,,16,12
54,1,4:43.0,Turnover by M. Harkless (bad pass; steal by T. Young),,16,12
55,1,4:40.0,,T. Young makes 2-pt dunk from 1 ft,16,14
56,1,4:30.0,P. George makes 3-pt jump shot from 26 ft,,19,14
57,1,4:08.0,,T. Young makes 2-pt layup from 2 ft (assist by T. Satoranský),19,16
58,1,3:58.0,P. George misses 2-pt layup from 2 ft (block by K. Dunn),,19,16
59,1,3:51.0,,Defensive rebound by K. Dunn,19,16
60,1,3:49.0,,Z. LaVine misses 2-pt layup from 2 ft,19,16
61,1,3:46.0,,Offensive rebound by T. Satoranský,19,16
62,1,3:46.0,,T. Satoranský makes 2-pt layup at rim,19,18
63,1,3:45.0,Personal foul by K. Dunn (drawn by P. George),,19,18
64,1,3:45.0,M. Harrell enters the game for P. George,,19,18
65,1,3:45.0,R. McGruder enters the game for L. Shamet,,19,18
66,1,3:45.0,D. Walton enters the game for I. Zubac,,19,18
67,1,3:45.0,,W. Carter enters the game for K. Dunn,19,18
68,1,3:45.0,,C. White enters the game for L. Markkanen,19,18
69,1,3:29.0,M. Harrell makes 2-pt hook shot from 3 ft (assist by D. Walton),,21,18
70,1,3:17.0,,T. Satoranský misses 2-pt jump shot from 16 ft,21,18
71,1,3:13.0,Defensive rebound by M. Harkless,,21,18
72,1,3:06.0,R. McGruder misses 2-pt layup from 5 ft (block by W. Carter),,21,18
73,1,3:03.0,,Defensive rebound by W. Carter,21,18
74,1,2:58.0,,Personal foul by T. Mann (drawn by T. Young),21,18
75,1,2:58.0,,Chicago full timeout,21,18
76,1,2:58.0,P. Patterson enters the game for M. Harkless,,21,18
77,1,2:58.0,J. Robinson enters the game for T. Mann,,21,18
78,1,2:58.0,,R. Arcidiacono enters the game for Z. LaVine,21,18
79,1,2:58.0,,D. Valentine enters the game for T. Satoranský,21,18
80,1,2:52.0,,T. Young misses 3-pt jump shot from 24 ft,21,18
81,1,2:47.0,,Offensive rebound by W. Carter,21,18
82,1,2:45.0,,T. Young makes 2-pt dunk from 2 ft (assist by W. Carter),21,20
83,1,2:23.0,D. Walton misses 2-pt jump shot from 19 ft,,21,20
84,1,2:20.0,,Defensive rebound by D. Valentine,21,20
85,1,2:09.0,,R. Arcidiacono misses 2-pt jump shot from 8 ft,21,20
86,1,2:05.0,Defensive rebound by P. Patterson,,21,20
87,1,2:00.0,M. Harrell makes 2-pt layup from 1 ft,,23,20
88,1,2:00.0,Shooting foul by W. Carter (drawn by M. Harrell),,23,20
89,1,2:00.0,M. Harrell makes free throw 1 of 1,,24,20
90,1,1:48.0,,Personal foul by J. Robinson (drawn by R. Arcidiacono),24,20
91,1,1:39.0,Violation by Team (kicked ball),,24,20
92,1,1:32.0,,C. White makes 2-pt jump shot from 19 ft,24,22
93,1,1:17.0,M. Harrell misses 2-pt jump shot from 16 ft,,24,22
94,1,1:15.0,,Defensive rebound by T. Young,24,22
95,1,1:01.0,,T. Young makes 2-pt hook shot from 3 ft,24,24
96,1,0:44.0,D. Walton makes 3-pt jump shot from 26 ft (assist by R. McGruder),,27,24
97,1,0:32.0,,C. White misses 2-pt jump shot from 20 ft,27,24
98,1,0:27.0,Defensive rebound by R. McGruder,,27,24
99,1,0:18.0,Shooting foul by T. Young (drawn by M. Harrell),,27,24
100,1,0:18.0,M. Harrell makes free throw 1 of 2,,28,24
101,1,0:18.0,M. Harrell makes free throw 2 of 2,,29,24
102,1,0:01.0,,Turnover by C. White (bad pass),29,24
103,1,0:00.0,M. Harrell misses 3-pt jump shot from 44 ft,,29,24
104,1,0:00.0,Offensive rebound by Team,,29,24
105,2,11:48.0,M. Harrell misses 2-pt jump shot from 2 ft,,29,24
106,2,11:46.0,,Defensive rebound by L. Markkanen,29,24
107,2,11:36.0,,D. Valentine misses 2-pt jump shot from 1 ft,29,24
108,2,11:32.0,,Offensive rebound by W. Carter,29,24
109,2,11:32.0,,W. Carter makes 2-pt dunk at rim,29,26
110,2,11:17.0,M. Harrell makes 2-pt layup from 2 ft,,31,26
111,2,10:59.0,,W. Carter makes 2-pt layup from 2 ft,31,28
112,2,10:40.0,Turnover by D. Walton (bad pass; steal by C. White),,31,28
113,2,10:35.0,,C. White misses 3-pt jump shot from 24 ft,31,28
114,2,10:31.0,Defensive rebound by J. Robinson,,31,28
115,2,10:28.0,J. Robinson makes 2-pt layup from 1 ft,,33,28
116,2,10:28.0,Shooting foul by R. Arcidiacono (drawn by J. Robinson),,33,28
117,2,10:28.0,J. Robinson makes free throw 1 of 1,,34,28
118,2,10:20.0,,R. Arcidiacono misses 2-pt jump shot from 14 ft,34,28
119,2,10:16.0,Defensive rebound by Team,,34,28
120,2,9:55.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by J. Robinson),,37,28
121,2,9:39.0,,W. Carter makes 2-pt dunk from 1 ft (assist by C. White),37,30
122,2,9:21.0,R. McGruder makes 2-pt layup from 1 ft (assist by J. Robinson),,39,30
123,2,9:14.0,,Personal foul by J. Robinson (drawn by C. White),39,30
124,2,9:06.0,,D. Valentine makes 3-pt jump shot from 22 ft (assist by L. Markkanen),39,33
125,2,8:45.0,M. Harrell misses 2-pt hook shot from 4 ft (block by W. Carter),,39,33
126,2,8:43.0,,Defensive rebound by L. Markkanen,39,33
127,2,8:43.0,,T. Young enters the game for W. Carter,39,33
128,2,8:35.0,,T. Young makes 3-pt jump shot from 24 ft (assist by D. Valentine),39,36
129,2,8:16.0,J. Robinson misses 2-pt jump shot from 22 ft,,39,36
130,2,8:13.0,,Defensive rebound by C. White,39,36
131,2,8:10.0,,D. Valentine misses 3-pt jump shot from 25 ft,39,36
132,2,8:05.0,Defensive rebound by P. Patterson,,39,36
133,2,8:01.0,M. Harrell makes 2-pt layup from 2 ft,,41,36
134,2,8:01.0,Shooting foul by T. Young (drawn by M. Harrell),,41,36
135,2,8:01.0,,Z. LaVine enters the game for R. Arcidiacono,41,36
136,2,8:01.0,M. Harrell misses free throw 1 of 1,,41,36
137,2,7:59.0,,Defensive rebound by L. Markkanen,41,36
138,2,7:47.0,,C. White misses 2-pt jump shot from 13 ft,41,36
139,2,7:44.0,Defensive rebound by M. Harrell,,41,36
140,2,7:30.0,M. Harrell makes 2-pt layup from 1 ft (assist by D. Walton),,43,36
141,2,7:18.0,,L. Markkanen misses 2-pt layup from 2 ft,43,36
142,2,7:15.0,Defensive rebound by P. Patterson,,43,36
143,2,7:07.0,M. Harrell makes 2-pt layup from 1 ft,,45,36
144,2,6:55.0,,T. Young misses 3-pt jump shot from 25 ft,45,36
145,2,6:53.0,Defensive rebound by J. Robinson,,45,36
146,2,6:53.0,M. Harrell makes 2-pt layup from 1 ft (assist by J. Robinson),,47,36
147,2,6:53.0,Shooting foul by T. Young (drawn by M. Harrell),,47,36
148,2,6:53.0,,Chicago full timeout,47,36
149,2,6:53.0,,W. Carter enters the game for C. White,47,36
150,2,6:53.0,,K. Dunn enters the game for T. Young,47,36
151,2,6:53.0,M. Harrell misses free throw 1 of 1,,47,36
152,2,6:51.0,,Defensive rebound by D. Valentine,47,36
153,2,6:42.0,,L. Markkanen misses 3-pt jump shot from 26 ft,47,36
154,2,6:39.0,Defensive rebound by R. McGruder,,47,36
155,2,6:29.0,,Violation by Team (kicked ball),47,36
156,2,6:29.0,M. Harkless enters the game for R. McGruder,,47,36
157,2,6:28.0,Personal foul by D. Valentine (drawn by J. Robinson),,47,36
158,2,6:14.0,M. Harrell misses 2-pt hook shot from 6 ft,,47,36
159,2,6:13.0,,Defensive rebound by W. Carter,47,36
160,2,6:05.0,,D. Valentine misses 2-pt layup from 4 ft,47,36
161,2,6:04.0,Defensive rebound by M. Harrell,,47,36
162,2,6:04.0,LA Clippers full timeout,,47,36
163,2,6:04.0,,T. Satoranský enters the game for D. Valentine,47,36
164,2,5:48.0,M. Harrell misses 2-pt layup from 3 ft (block by W. Carter),,47,36
165,2,5:45.0,,Defensive rebound by L. Markkanen,47,36
166,2,5:44.0,,Turnover by L. Markkanen (lost ball; steal by D. Walton),47,36
167,2,5:40.0,D. Walton makes 2-pt layup from 2 ft,,49,36
168,2,5:20.0,,Turnover by T. Satoranský (bad pass; steal by M. Harrell),49,36
169,2,5:09.0,Personal foul by K. Dunn (drawn by P. Patterson),,49,36
170,2,5:09.0,P. Patterson makes free throw 1 of 2,,50,36
171,2,5:09.0,P. Patterson makes free throw 2 of 2,,51,36
172,2,4:46.0,,K. Dunn makes 2-pt layup from 1 ft (assist by L. Markkanen),51,38
173,2,4:26.0,M. Harrell misses 2-pt jump shot from 5 ft,,51,38
174,2,4:24.0,,Defensive rebound by K. Dunn,51,38
175,2,4:09.0,,Turnover by L. Markkanen (lost ball; steal by M. Harkless),51,38
176,2,4:06.0,Shooting foul by Z. LaVine (drawn by M. Harkless),,51,38
177,2,4:06.0,M. Harkless misses free throw 1 of 2,,51,38
178,2,4:06.0,Offensive rebound by Team,,51,38
179,2,4:06.0,P. George enters the game for M. Harrell,,51,38
180,2,4:06.0,I. Zubac enters the game for P. Patterson,,51,38
181,2,4:06.0,M. Harkless makes free throw 2 of 2,,52,38
182,2,3:47.0,,K. Dunn makes 2-pt layup from 2 ft,52,40
183,2,3:33.0,Turnover by I. Zubac (lost ball; steal by K. Dunn),,52,40
184,2,3:28.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by K. Dunn),52,42
185,2,3:06.0,I. Zubac makes 2-pt layup from 2 ft (assist by P. George),,54,42
186,2,2:53.0,,Shooting foul by I. Zubac (drawn by L. Markkanen),54,42
187,2,2:53.0,,L. Markkanen makes free throw 1 of 2,54,43
188,2,2:53.0,T. Mann enters the game for D. Walton,,54,43
189,2,2:53.0,,L. Markkanen makes free throw 2 of 2,54,44
190,2,2:38.0,Turnover by J. Robinson (bad pass; steal by Z. LaVine),,54,44
191,2,2:33.0,,W. Carter makes 2-pt layup from 2 ft (assist by Z. LaVine),54,46
192,2,2:13.0,P. George misses 2-pt layup from 3 ft,,54,46
193,2,2:11.0,,Defensive rebound by W. Carter,54,46
194,2,2:08.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),54,49
195,2,1:51.0,J. Robinson misses 3-pt jump shot from 25 ft,,54,49
196,2,1:47.0,,Defensive rebound by L. Markkanen,54,49
197,2,1:34.0,,Z. LaVine misses 2-pt jump shot from 15 ft,54,49
198,2,1:33.0,Defensive rebound by J. Robinson,,54,49
199,2,1:12.0,J. Robinson misses 2-pt jump shot from 5 ft (block by L. Markkanen),,54,49
200,2,1:09.0,,Defensive rebound by K. Dunn,54,49
201,2,0:59.0,,Shooting foul by I. Zubac (drawn by Z. LaVine),54,49
202,2,0:59.0,,Z. LaVine makes free throw 1 of 2,54,50
203,2,0:59.0,M. Harrell enters the game for J. Robinson,,54,50
204,2,0:59.0,R. McGruder enters the game for I. Zubac,,54,50
205,2,0:59.0,,Z. LaVine makes free throw 2 of 2,54,51
206,2,0:40.0,P. George makes 2-pt layup from 2 ft,,56,51
207,2,0:40.0,Shooting foul by K. Dunn (drawn by P. George),,56,51
208,2,0:40.0,P. George makes free throw 1 of 1,,57,51
209,2,0:35.0,,Shooting foul by M. Harkless (drawn by Z. LaVine),57,51
210,2,0:35.0,,Z. LaVine makes free throw 1 of 2,57,52
211,2,0:35.0,,S. Harrison enters the game for K. Dunn,57,52
212,2,0:35.0,,Z. LaVine makes free throw 2 of 2,57,53
213,2,0:28.0,P. George misses 3-pt jump shot from 26 ft,,57,53
214,2,0:25.0,,Defensive rebound by L. Markkanen,57,53
215,2,0:08.0,,Z. LaVine makes 2-pt layup from 1 ft,57,55
216,2,0:01.0,Turnover by P. George (lost ball; steal by Z. LaVine),,57,55
217,3,11:45.0,M. Harkless misses 2-pt jump shot from 4 ft,,57,55
218,3,11:43.0,,Defensive rebound by K. Dunn,57,55
219,3,11:42.0,,Turnover by K. Dunn (out of bounds lost ball),57,55
220,3,11:29.0,I. Zubac misses 2-pt layup from 4 ft (block by K. Dunn),,57,55
221,3,11:26.0,,Defensive rebound by K. Dunn,57,55
222,3,11:20.0,,Turnover by T. Satoranský (bad pass; steal by P. George),57,55
223,3,11:17.0,Shooting foul by W. Carter (drawn by I. Zubac),,57,55
224,3,11:17.0,I. Zubac misses free throw 1 of 2,,57,55
225,3,11:17.0,Offensive rebound by Team,,57,55
226,3,11:17.0,I. Zubac misses free throw 2 of 2,,57,55
227,3,11:15.0,Offensive rebound by L. Shamet,,57,55
228,3,11:04.0,P. George misses 3-pt jump shot from 25 ft,,57,55
