,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:44.0,T. Prince misses 3-pt jump shot from 23 ft,,0,0
1,1,11:44.0,,Defensive rebound by Team,0,0
2,1,11:31.0,,T. Davis makes 3-pt jump shot from 25 ft (assist by F. VanVleet),0,3
3,1,11:31.0,,Shooting foul by C. LeVert (drawn by T. Davis),0,3
4,1,11:31.0,,T. Davis makes free throw 1 of 1,0,4
5,1,11:11.0,T. Prince misses 2-pt jump shot from 2 ft,,0,4
6,1,11:08.0,,Defensive rebound by P. Siakam,0,4
7,1,10:59.0,,P. Siakam misses 2-pt jump shot from 9 ft,0,4
8,1,10:57.0,,Offensive rebound by T. Davis,0,4
9,1,10:56.0,,T. Davis misses 2-pt jump shot from 3 ft,0,4
10,1,10:54.0,Defensive rebound by J. Allen,,0,4
11,1,10:44.0,S. Dinwiddie makes 2-pt jump shot from 8 ft,,2,4
12,1,10:19.0,,F. VanVleet makes 2-pt jump shot from 12 ft,2,6
13,1,10:06.0,C. LeVert makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,5,6
14,1,9:50.0,,P. Siakam misses 3-pt jump shot from 25 ft,5,6
15,1,9:47.0,Defensive rebound by J. Allen,,5,6
16,1,9:41.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,8,6
17,1,9:20.0,,F. VanVleet makes 3-pt jump shot from 25 ft,8,9
18,1,9:04.0,T. Prince misses 2-pt jump shot from 10 ft,,8,9
19,1,9:01.0,,Defensive rebound by T. Davis,8,9
20,1,8:52.0,,Personal foul by T. Prince (drawn by S. Ibaka),8,9
21,1,8:45.0,,T. Davis misses 2-pt jump shot from 4 ft (block by T. Prince),8,9
22,1,8:43.0,,Offensive rebound by T. Davis,8,9
23,1,8:39.0,,T. Davis makes 3-pt jump shot from 23 ft (assist by P. Siakam),8,12
24,1,8:38.0,Brooklyn full timeout,,8,12
25,1,8:26.0,C. LeVert makes 3-pt jump shot from 25 ft,,11,12
26,1,8:10.0,,Turnover by T. Davis (bad pass; steal by S. Dinwiddie),11,12
27,1,8:07.0,S. Dinwiddie makes 2-pt dunk at rim,,13,12
28,1,7:50.0,,S. Ibaka makes 3-pt jump shot from 24 ft (assist by P. Siakam),13,15
29,1,7:39.0,T. Prince misses 3-pt jump shot from 27 ft,,13,15
30,1,7:36.0,,Defensive rebound by T. Davis,13,15
31,1,7:29.0,,Turnover by T. Davis (bad pass; steal by J. Allen),13,15
32,1,7:20.0,C. LeVert misses 3-pt jump shot from 25 ft,,13,15
33,1,7:16.0,,Defensive rebound by P. Siakam,13,15
34,1,7:09.0,,Shooting foul by J. Allen (drawn by P. Siakam),13,15
35,1,7:09.0,,P. Siakam misses free throw 1 of 2,13,15
36,1,7:09.0,,Offensive rebound by Team,13,15
37,1,7:09.0,,P. Siakam makes free throw 2 of 2,13,16
38,1,7:01.0,S. Dinwiddie makes 2-pt layup from 3 ft (assist by C. LeVert),,15,16
39,1,6:41.0,,Personal foul by S. Dinwiddie (drawn by S. Ibaka),15,16
40,1,6:33.0,,P. Siakam makes 2-pt hook shot from 6 ft,15,18
41,1,6:21.0,Personal foul by S. Ibaka (drawn by J. Allen),,15,18
