,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,INDIANA_ACTION,OKLAHOMA CITY_SCORE,INDIANA_SCORE
0,1,11:37.0,S. Adams misses 2-pt jump shot from 6 ft,,0,0
1,1,11:34.0,Offensive rebound by S. Gilgeous-Alexander,,0,0
2,1,11:24.0,S. Adams misses 2-pt layup from 1 ft,,0,0
3,1,11:19.0,,Defensive rebound by J. Sampson,0,0
4,1,11:02.0,,D. Sabonis misses 2-pt hook shot from 6 ft,0,0
5,1,11:00.0,Defensive rebound by D. Gallinari,,0,0
6,1,10:54.0,D. Gallinari misses 3-pt jump shot from 26 ft,,0,0
7,1,10:52.0,,Defensive rebound by J. Sampson,0,0
8,1,10:46.0,,M. Brogdon makes 2-pt jump shot from 17 ft,0,2
9,1,10:29.0,S. Adams misses 2-pt dunk from 2 ft,,0,2
10,1,10:28.0,,Defensive rebound by M. Brogdon,0,2
11,1,10:24.0,,A. Holiday misses 3-pt jump shot from 26 ft,0,2
12,1,10:20.0,Defensive rebound by H. Diallo,,0,2
13,1,10:09.0,S. Gilgeous-Alexander misses 2-pt jump shot from 5 ft,,0,2
14,1,10:09.0,,Defensive rebound by A. Holiday,0,2
15,1,10:05.0,,Shooting foul by H. Diallo (drawn by A. Holiday),0,2
16,1,10:05.0,,A. Holiday makes free throw 1 of 2,0,3
17,1,10:05.0,,A. Holiday makes free throw 2 of 2,0,4
18,1,9:57.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,0,4
19,1,9:54.0,,Defensive rebound by T. Warren,0,4
20,1,9:43.0,,M. Brogdon makes 2-pt jump shot from 18 ft,0,6
21,1,9:29.0,S. Adams makes 2-pt jump shot from 8 ft (assist by C. Paul),,2,6
22,1,9:13.0,,D. Sabonis misses 2-pt layup from 4 ft,2,6
23,1,9:11.0,Defensive rebound by S. Adams,,2,6
24,1,8:54.0,H. Diallo misses 3-pt jump shot from 24 ft,,2,6
25,1,8:49.0,,Defensive rebound by D. Sabonis,2,6
26,1,8:40.0,,T. Warren makes 2-pt jump shot from 16 ft (assist by M. Brogdon),2,8
27,1,8:14.0,D. Gallinari makes 2-pt jump shot from 10 ft,,4,8
28,1,7:59.0,,D. Sabonis misses 2-pt layup from 2 ft,4,8
29,1,7:59.0,,Offensive rebound by D. Sabonis,4,8
30,1,7:59.0,,D. Sabonis misses 2-pt layup from 1 ft,4,8
31,1,7:58.0,Defensive rebound by S. Adams,,4,8
32,1,7:49.0,S. Adams makes 2-pt layup from 2 ft (assist by C. Paul),,6,8
33,1,7:33.0,,T. Warren makes 2-pt jump shot from 8 ft,6,10
34,1,7:20.0,D. Gallinari makes 2-pt jump shot from 18 ft (assist by C. Paul),,8,10
35,1,7:06.0,,T. Warren misses 3-pt jump shot from 27 ft,8,10
36,1,7:03.0,Defensive rebound by S. Adams,,8,10
37,1,6:57.0,Shooting foul by A. Holiday (drawn by S. Gilgeous-Alexander),,8,10
38,1,6:57.0,,Indiana full timeout,8,10
39,1,6:57.0,S. Gilgeous-Alexander makes free throw 1 of 2,,9,10
40,1,6:57.0,S. Gilgeous-Alexander makes free throw 2 of 2,,10,10
41,1,6:37.0,,Turnover by J. Sampson (lost ball; steal by D. Gallinari),10,10
