,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
0,1,11:38.0,,B. Adebayo misses 2-pt jump shot from 19 ft,0,0
1,1,11:36.0,Defensive rebound by D. Murray,,0,0
2,1,11:24.0,B. Forbes makes 3-pt jump shot from 25 ft,,3,0
3,1,11:10.0,,J. Butler misses 2-pt jump shot from 9 ft,3,0
4,1,11:09.0,,Offensive rebound by B. Adebayo,3,0
5,1,11:02.0,,K. Nunn makes 2-pt jump shot from 19 ft,3,2
6,1,10:47.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,6,2
7,1,10:28.0,,D. Robinson makes 3-pt jump shot from 22 ft (assist by J. Butler),6,5
8,1,10:13.0,Turnover by D. Murray (bad pass; steal by J. Butler),,6,5
9,1,10:08.0,,J. Butler makes 2-pt dunk from 1 ft,6,7
10,1,9:47.0,L. Aldridge misses 2-pt jump shot from 17 ft,,6,7
11,1,9:45.0,,Defensive rebound by B. Adebayo,6,7
12,1,9:36.0,,Personal foul by T. Lyles (drawn by J. Butler),6,7
13,1,9:28.0,,D. Robinson misses 3-pt jump shot from 25 ft,6,7
14,1,9:24.0,Defensive rebound by D. DeRozan,,6,7
15,1,9:16.0,T. Lyles misses 3-pt jump shot from 24 ft,,6,7
16,1,9:13.0,,Defensive rebound by B. Adebayo,6,7
17,1,9:03.0,,Turnover by J. Butler (lost ball; steal by B. Forbes),6,7
18,1,8:57.0,B. Forbes misses 3-pt jump shot from 23 ft,,6,7
19,1,8:54.0,,Defensive rebound by K. Nunn,6,7
20,1,8:37.0,,B. Adebayo misses 2-pt layup at rim (block by T. Lyles),6,7
21,1,8:35.0,,Offensive rebound by B. Adebayo,6,7
22,1,8:28.0,,K. Nunn makes 2-pt jump shot from 8 ft,6,9
23,1,8:00.0,B. Forbes misses 2-pt jump shot from 12 ft,,6,9
24,1,7:58.0,,Defensive rebound by M. Leonard,6,9
25,1,7:52.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Butler),6,11
26,1,7:52.0,San Antonio full timeout,,6,11
27,1,7:26.0,D. Murray makes 2-pt jump shot from 12 ft,,8,11
28,1,7:09.0,,J. Butler misses 2-pt jump shot from 10 ft,8,11
29,1,7:07.0,,Offensive rebound by J. Butler,8,11
