,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BOSTON_ACTION,ORLANDO_SCORE,BOSTON_SCORE
0,1,11:39.0,,E. Freedom makes 2-pt layup from 4 ft,0,2
1,1,11:20.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),,2,2
2,1,11:03.0,,Turnover by R. Langford (step out of bounds),2,2
3,1,10:41.0,A. Gordon misses 2-pt jump shot from 18 ft,,2,2
4,1,10:38.0,,Defensive rebound by R. Langford,2,2
5,1,10:28.0,,J. Tatum misses 2-pt jump shot from 12 ft,2,2
6,1,10:23.0,Defensive rebound by N. Vučević,,2,2
7,1,10:20.0,A. Gordon makes 2-pt layup from 3 ft,,4,2
8,1,10:20.0,Shooting foul by J. Tatum (drawn by A. Gordon),,4,2
9,1,10:20.0,A. Gordon makes free throw 1 of 1,,5,2
10,1,10:05.0,,J. Brown makes 2-pt jump shot from 14 ft,5,4
11,1,9:49.0,N. Vučević makes 2-pt layup from 4 ft (assist by M. Fultz),,7,4
12,1,9:31.0,,E. Freedom misses 2-pt layup from 2 ft (block by N. Vučević),7,4
13,1,9:28.0,Defensive rebound by M. Fultz,,7,4
14,1,9:26.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Fultz),,10,4
15,1,9:10.0,,Shooting foul by A. Gordon (drawn by J. Brown),10,4
16,1,9:10.0,,J. Brown misses free throw 1 of 2,10,4
17,1,9:10.0,,Offensive rebound by Team,10,4
18,1,9:10.0,,J. Brown makes free throw 2 of 2,10,5
19,1,8:52.0,M. Fultz makes 2-pt jump shot from 18 ft,,12,5
20,1,8:36.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by G. Hayward),12,8
21,1,8:14.0,E. Fournier misses 2-pt layup from 6 ft (block by R. Langford),,12,8
22,1,8:11.0,,Defensive rebound by E. Freedom,12,8
23,1,8:09.0,,J. Brown makes 2-pt jump shot from 15 ft,12,10
24,1,7:49.0,Turnover by M. Fultz (lost ball; steal by R. Langford),,12,10
25,1,7:39.0,,J. Tatum misses 3-pt jump shot from 25 ft,12,10
26,1,7:37.0,Defensive rebound by N. Vučević,,12,10
27,1,7:23.0,Turnover by N. Vučević (lost ball; steal by J. Tatum),,12,10
28,1,7:18.0,,J. Tatum misses 2-pt layup from 5 ft (block by A. Gordon),12,10
29,1,7:17.0,Defensive rebound by Team,,12,10
30,1,6:54.0,N. Vučević misses 2-pt jump shot from 16 ft,,12,10
31,1,6:51.0,,Defensive rebound by J. Tatum,12,10
32,1,6:45.0,,G. Hayward makes 2-pt jump shot from 17 ft (assist by J. Tatum),12,12
33,1,6:19.0,A. Gordon misses 2-pt jump shot from 17 ft,,12,12
34,1,6:17.0,,Defensive rebound by J. Tatum,12,12
35,1,6:05.0,,G. Hayward makes 2-pt jump shot from 8 ft,12,14
36,1,5:59.0,Orlando full timeout,,12,14
37,1,5:59.0,T. Ross enters the game for W. Iwundu,,12,14
38,1,5:43.0,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Fournier),,14,14
39,1,5:24.0,,J. Brown misses 3-pt jump shot from 26 ft,14,14
40,1,5:21.0,Defensive rebound by A. Gordon,,14,14
41,1,5:11.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),,17,14
