,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
0,1,11:39.0,M. Harkless misses 3-pt jump shot from 24 ft,,0,0
1,1,11:36.0,,Defensive rebound by P. Siakam,0,0
2,1,11:30.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by P. Siakam),0,2
3,1,11:18.0,P. Beverley misses 3-pt jump shot from 22 ft,,0,2
4,1,11:15.0,Offensive rebound by M. Harkless,,0,2
5,1,11:13.0,P. George makes 3-pt jump shot from 30 ft (assist by M. Harkless),,3,2
6,1,10:56.0,,N. Powell makes 2-pt layup from 1 ft (assist by M. Gasol),3,4
7,1,10:41.0,,Violation by Team (kicked ball),3,4
8,1,10:32.0,M. Harkless makes 2-pt dunk from 1 ft (assist by I. Zubac),,5,4
9,1,10:17.0,,M. Gasol misses 3-pt jump shot from 26 ft,5,4
10,1,10:14.0,,Offensive rebound by O. Anunoby,5,4
11,1,10:13.0,,O. Anunoby makes 2-pt layup from 1 ft,5,6
12,1,10:04.0,Shooting foul by K. Lowry (drawn by I. Zubac),,5,6
13,1,10:04.0,I. Zubac makes free throw 1 of 2,,6,6
14,1,10:04.0,I. Zubac misses free throw 2 of 2,,6,6
15,1,10:01.0,,Defensive rebound by P. Siakam,6,6
16,1,9:49.0,,P. Siakam makes 3-pt jump shot from 27 ft (assist by K. Lowry),6,9
17,1,9:37.0,P. Beverley misses 3-pt jump shot from 26 ft,,6,9
18,1,9:34.0,,Defensive rebound by O. Anunoby,6,9
19,1,9:18.0,,P. Siakam misses 3-pt jump shot from 26 ft,6,9
20,1,9:15.0,Defensive rebound by P. Beverley,,6,9
21,1,9:00.0,Personal foul by P. Siakam (drawn by K. Leonard),,6,9
22,1,8:54.0,Turnover by M. Harkless (lost ball; steal by K. Lowry),,6,9
23,1,8:47.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by K. Lowry),6,11
24,1,8:28.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by P. George),,9,11
25,1,8:05.0,,Shooting foul by M. Harkless (drawn by K. Lowry),9,11
26,1,8:05.0,,K. Lowry makes free throw 1 of 2,9,12
27,1,8:05.0,,S. Ibaka enters the game for M. Gasol,9,12
28,1,8:05.0,,K. Lowry makes free throw 2 of 2,9,13
29,1,7:47.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by P. Beverley),,12,13
30,1,7:37.0,,Shooting foul by I. Zubac (drawn by N. Powell),12,13
31,1,7:37.0,,N. Powell makes free throw 1 of 2,12,14
32,1,7:37.0,,N. Powell makes free throw 2 of 2,12,15
33,1,7:25.0,P. George misses 3-pt jump shot from 25 ft,,12,15
34,1,7:21.0,Offensive rebound by P. Beverley,,12,15
35,1,7:10.0,M. Harkless misses 2-pt jump shot from 20 ft,,12,15
36,1,7:08.0,,Defensive rebound by S. Ibaka,12,15
37,1,7:01.0,,O. Anunoby makes 3-pt jump shot from 27 ft,12,18
38,1,6:43.0,Personal foul by O. Anunoby (drawn by K. Leonard),,12,18
39,1,6:43.0,,Toronto full timeout,12,18
40,1,6:32.0,M. Harkless makes 2-pt dunk from 1 ft (assist by P. Beverley),,14,18
41,1,6:19.0,,K. Lowry misses 3-pt jump shot from 26 ft,14,18
42,1,6:17.0,Defensive rebound by I. Zubac,,14,18
43,1,6:09.0,I. Zubac misses 2-pt hook shot from 2 ft,,14,18
44,1,6:03.0,Offensive rebound by I. Zubac,,14,18
45,1,6:03.0,I. Zubac misses 2-pt layup at rim,,14,18
46,1,6:01.0,,Defensive rebound by O. Anunoby,14,18
47,1,5:56.0,,S. Ibaka misses 3-pt jump shot from 26 ft,14,18
48,1,5:53.0,Defensive rebound by K. Leonard,,14,18
49,1,5:42.0,Turnover by K. Leonard (bad pass),,14,18
50,1,5:42.0,L. Williams enters the game for M. Harkless,,14,18
51,1,5:28.0,,S. Ibaka misses 3-pt jump shot from 23 ft,14,18
52,1,5:26.0,Defensive rebound by P. Beverley,,14,18
53,1,5:18.0,P. Beverley makes 2-pt jump shot from 6 ft,,16,18
54,1,5:03.0,,Turnover by O. Anunoby (bad pass; steal by I. Zubac),16,18
55,1,4:54.0,Turnover by I. Zubac (3 sec),,16,18
56,1,4:54.0,M. Harrell enters the game for I. Zubac,,16,18
57,1,4:38.0,,O. Anunoby misses 2-pt jump shot from 12 ft,16,18
58,1,4:34.0,,Offensive rebound by O. Anunoby,16,18
59,1,4:34.0,,O. Anunoby makes 2-pt layup from 1 ft,16,20
60,1,4:22.0,L. Williams makes 2-pt jump shot from 6 ft,,18,20
61,1,4:08.0,,O. Anunoby misses 3-pt jump shot from 23 ft,18,20
62,1,4:06.0,Defensive rebound by P. George,,18,20
63,1,3:58.0,K. Leonard makes 2-pt jump shot from 14 ft (assist by L. Williams),,20,20
64,1,3:48.0,,Toronto full timeout,20,20
65,1,3:48.0,P. Patterson enters the game for P. George,,20,20
66,1,3:48.0,,M. Gasol enters the game for K. Lowry,20,20
67,1,3:40.0,,Turnover by M. Gasol (bad pass; steal by P. Beverley),20,20
68,1,3:35.0,L. Williams misses 3-pt jump shot from 23 ft,,20,20
69,1,3:31.0,,Defensive rebound by O. Anunoby,20,20
70,1,3:19.0,,P. Siakam misses 2-pt jump shot from 18 ft,20,20
71,1,3:17.0,Defensive rebound by L. Williams,,20,20
72,1,3:12.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,22,20
73,1,3:01.0,,Personal foul by L. Williams (drawn by N. Powell),22,20
74,1,3:01.0,J. Robinson enters the game for K. Leonard,,22,20
75,1,3:01.0,,T. Davis enters the game for O. Anunoby,22,20
76,1,2:54.0,,M. Gasol misses 2-pt layup from 2 ft,22,20
