,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHARLOTTE_ACTION,NEW ORLEANS_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,J. Holiday makes 2-pt layup from 2 ft,,2,0
1,1,11:25.0,,D. Bacon misses 2-pt jump shot from 16 ft,2,0
2,1,11:22.0,Defensive rebound by B. Ingram,,2,0
3,1,11:15.0,B. Ingram makes 3-pt jump shot from 26 ft (assist by J. Holiday),,5,0
4,1,10:48.0,,Turnover by T. Rozier (bad pass; steal by J. Redick),5,0
5,1,10:36.0,J. Redick misses 3-pt jump shot from 25 ft,,5,0
6,1,10:34.0,,Defensive rebound by M. Bridges,5,0
7,1,10:26.0,,C. Zeller misses 2-pt layup from 2 ft,5,0
8,1,10:25.0,,Offensive rebound by Team,5,0
9,1,10:18.0,,M. Bridges misses 3-pt jump shot from 27 ft,5,0
10,1,10:15.0,Defensive rebound by D. Favors,,5,0
11,1,10:11.0,Shooting foul by M. Bridges (drawn by B. Ingram),,5,0
12,1,10:11.0,B. Ingram misses free throw 1 of 2,,5,0
13,1,10:11.0,Offensive rebound by Team,,5,0
14,1,10:11.0,B. Ingram misses free throw 2 of 2,,5,0
15,1,10:07.0,,Defensive rebound by P. Washington,5,0
16,1,9:50.0,,M. Bridges makes 2-pt jump shot from 4 ft,5,2
17,1,9:35.0,Turnover by J. Holiday (bad pass),,5,2
18,1,9:20.0,,D. Bacon makes 2-pt jump shot from 9 ft (assist by T. Rozier),5,4
19,1,9:04.0,K. Williams makes 3-pt jump shot from 23 ft (assist by D. Favors),,8,4
20,1,8:55.0,,Def 3 sec tech foul by Team,8,4
21,1,8:55.0,,T. Rozier makes technical free throw,8,5
22,1,8:46.0,,Personal foul by J. Holiday (drawn by T. Rozier),8,5
23,1,8:41.0,,T. Rozier misses 2-pt layup from 3 ft (block by J. Redick),8,5
24,1,8:41.0,,Offensive rebound by Team,8,5
25,1,8:34.0,,Turnover by M. Bridges (bad pass; steal by J. Holiday),8,5
26,1,8:23.0,J. Redick makes 3-pt jump shot from 28 ft (assist by J. Holiday),,11,5
27,1,8:17.0,,Shooting foul by J. Redick (drawn by P. Washington),11,5
28,1,8:17.0,,P. Washington misses free throw 1 of 2,11,5
29,1,8:17.0,,Offensive rebound by Team,11,5
30,1,8:17.0,,P. Washington makes free throw 2 of 2,11,6
31,1,8:07.0,J. Redick misses 3-pt jump shot from 23 ft,,11,6
32,1,8:03.0,,Defensive rebound by C. Zeller,11,6
33,1,7:51.0,,C. Zeller misses 3-pt jump shot from 25 ft,11,6
34,1,7:49.0,Defensive rebound by D. Favors,,11,6
35,1,7:36.0,Turnover by J. Redick (bad pass; steal by P. Washington),,11,6
36,1,7:32.0,,Turnover by P. Washington (lost ball; steal by J. Holiday),11,6
37,1,7:32.0,Turnover by J. Redick (step out of bounds),,11,6
38,1,7:32.0,,Technical foul by J. Redick,11,6
39,1,7:32.0,,T. Rozier makes technical free throw,11,7
40,1,7:18.0,,M. Bridges makes 3-pt jump shot from 27 ft (assist by T. Rozier),11,10
41,1,7:07.0,D. Favors makes 2-pt dunk from 2 ft (assist by B. Ingram),,13,10
42,1,6:58.0,,Offensive foul by D. Bacon (drawn by B. Ingram),13,10
43,1,6:58.0,,Turnover by D. Bacon (offensive foul),13,10
44,1,6:58.0,,Charlotte full timeout,13,10
45,1,6:58.0,,D. Graham enters the game for D. Bacon,13,10
46,1,6:58.0,,M. Williams enters the game for C. Zeller,13,10
47,1,6:51.0,Offensive foul by D. Favors (drawn by T. Rozier),,13,10
48,1,6:51.0,Turnover by D. Favors (offensive foul),,13,10
49,1,6:39.0,,P. Washington makes 2-pt dunk from 1 ft (assist by D. Graham),13,12
50,1,6:24.0,D. Favors misses 2-pt layup from 3 ft (block by M. Bridges),,13,12
51,1,6:21.0,,Defensive rebound by M. Williams,13,12
52,1,6:17.0,,Turnover by D. Graham (bad pass; steal by K. Williams),13,12
53,1,6:12.0,Personal foul by M. Bridges (drawn by J. Redick),,13,12
54,1,6:04.0,D. Favors makes 2-pt dunk from 1 ft (assist by J. Holiday),,15,12
55,1,5:50.0,,Def 3 sec tech foul by Team,15,12
56,1,5:50.0,,T. Rozier makes technical free throw,15,13
57,1,5:47.0,,Offensive foul by P. Washington (drawn by J. Redick),15,13
58,1,5:47.0,,Turnover by P. Washington (offensive foul),15,13
59,1,5:32.0,J. Holiday makes 2-pt layup from 2 ft,,17,13
60,1,5:18.0,,M. Bridges misses 2-pt jump shot at rim (block by K. Williams),17,13
61,1,5:18.0,Defensive rebound by K. Williams,,17,13
62,1,5:14.0,Shooting foul by D. Graham (drawn by B. Ingram),,17,13
63,1,5:14.0,B. Ingram makes free throw 1 of 2,,18,13
64,1,5:14.0,B. Ingram misses free throw 2 of 2,,18,13
65,1,5:11.0,,Defensive rebound by M. Bridges,18,13
66,1,5:01.0,,P. Washington makes 2-pt layup from 2 ft (assist by D. Graham),18,15
67,1,5:01.0,,Shooting foul by D. Favors (drawn by P. Washington),18,15
68,1,5:01.0,,P. Washington makes free throw 1 of 1,18,16
69,1,4:52.0,J. Holiday misses 3-pt jump shot from 26 ft,,18,16
70,1,4:49.0,,Defensive rebound by P. Washington,18,16
71,1,4:46.0,,Shooting foul by J. Redick (drawn by D. Graham),18,16
72,1,4:46.0,,D. Graham misses free throw 1 of 2,18,16
73,1,4:46.0,,Offensive rebound by Team,18,16
74,1,4:46.0,J. Hayes enters the game for D. Favors,,18,16
75,1,4:46.0,F. Jackson enters the game for J. Redick,,18,16
76,1,4:46.0,,D. Bacon enters the game for M. Bridges,18,16
77,1,4:46.0,,D. Graham makes free throw 2 of 2,18,17
78,1,4:36.0,Turnover by B. Ingram (lost ball; steal by M. Williams),,18,17
79,1,4:30.0,,P. Washington makes 2-pt dunk from 1 ft (assist by D. Graham),18,19
80,1,4:14.0,F. Jackson misses 3-pt jump shot from 26 ft,,18,19
81,1,4:10.0,,Defensive rebound by T. Rozier,18,19
82,1,4:06.0,,Turnover by D. Bacon (traveling),18,19
83,1,3:55.0,B. Ingram makes 2-pt layup from 1 ft (assist by K. Williams),,20,19
84,1,3:38.0,,P. Washington misses 2-pt jump shot from 7 ft,20,19
85,1,3:36.0,Defensive rebound by K. Williams,,20,19
86,1,3:28.0,Turnover by B. Ingram (bad pass; steal by D. Bacon),,20,19
87,1,3:21.0,,D. Graham makes 2-pt layup from 3 ft (assist by D. Bacon),20,21
88,1,2:58.0,,Violation by Team (kicked ball),20,21
89,1,2:58.0,New Orleans full timeout,,20,21
90,1,2:58.0,N. Alexander-Walker enters the game for J. Holiday,,20,21
91,1,2:58.0,J. Hart enters the game for K. Williams,,20,21
92,1,2:58.0,,M. Monk enters the game for T. Rozier,20,21
93,1,2:58.0,,C. Zeller enters the game for P. Washington,20,21
94,1,2:50.0,Personal foul by D. Bacon (drawn by J. Hart),,20,21
95,1,2:50.0,,C. Martin enters the game for D. Bacon,20,21
96,1,2:42.0,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by J. Hart),,23,21
97,1,2:30.0,,Shooting foul by F. Jackson (drawn by C. Zeller),23,21
98,1,2:30.0,,C. Zeller makes free throw 1 of 2,23,22
99,1,2:30.0,,C. Zeller misses free throw 2 of 2,23,22
100,1,2:26.0,Defensive rebound by B. Ingram,,23,22
101,1,2:19.0,Shooting foul by M. Williams (drawn by B. Ingram),,23,22
102,1,2:19.0,B. Ingram makes free throw 1 of 2,,24,22
103,1,2:19.0,B. Ingram makes free throw 2 of 2,,25,22
104,1,2:10.0,,Personal foul by J. Hayes (drawn by D. Graham),25,22
105,1,2:10.0,,D. Graham makes free throw 1 of 2,25,23
106,1,2:10.0,,D. Graham makes free throw 2 of 2,25,24
107,1,2:00.0,Personal foul by C. Zeller (drawn by F. Jackson),,25,24
108,1,2:00.0,F. Jackson misses free throw 1 of 2,,25,24
109,1,2:00.0,Offensive rebound by Team,,25,24
110,1,2:00.0,F. Jackson makes free throw 2 of 2,,26,24
111,1,1:50.0,,Personal foul by N. Alexander-Walker (drawn by M. Williams),26,24
112,1,1:50.0,,M. Williams makes free throw 1 of 2,26,25
113,1,1:50.0,,M. Williams makes free throw 2 of 2,26,26
114,1,1:43.0,N. Alexander-Walker misses 2-pt layup from 2 ft,,26,26
115,1,1:42.0,Offensive rebound by B. Ingram,,26,26
116,1,1:42.0,B. Ingram makes 2-pt layup at rim,,28,26
117,1,1:42.0,Violation by Team (delay of game),,28,26
118,1,1:31.0,,D. Graham misses 3-pt jump shot from 27 ft,28,26
119,1,1:27.0,Defensive rebound by B. Ingram,,28,26
120,1,1:17.0,N. Alexander-Walker misses 3-pt jump shot from 25 ft,,28,26
121,1,1:13.0,Offensive rebound by J. Hart,,28,26
122,1,1:11.0,J. Hart makes 3-pt jump shot from 23 ft (assist by F. Jackson),,31,26
123,1,0:54.0,,C. Martin misses 3-pt jump shot from 23 ft,31,26
124,1,0:52.0,Defensive rebound by N. Alexander-Walker,,31,26
125,1,0:48.0,Turnover by N. Alexander-Walker (bad pass; steal by C. Zeller),,31,26
126,1,0:43.0,,C. Martin makes 2-pt layup from 2 ft (assist by C. Zeller),31,28
127,1,0:24.0,Turnover by B. Ingram (lost ball; steal by D. Graham),,31,28
128,1,0:21.0,,Turnover by C. Zeller (bad pass; steal by F. Jackson),31,28
129,1,0:04.0,N. Alexander-Walker makes 2-pt jump shot from 1 ft,,33,28
130,1,0:00.0,,D. Graham misses 3-pt jump shot from 30 ft,33,28
131,1,0:00.0,,Offensive rebound by Team,33,28
132,2,11:48.0,,Turnover by M. Monk (traveling),33,28
133,2,11:38.0,Turnover by N. Melli (step out of bounds),,33,28
134,2,11:38.0,Instant Replay (Request: Ruling Stands),,33,28
135,2,11:15.0,,Turnover by C. Zeller (bad pass),33,28
136,2,11:07.0,Turnover by N. Alexander-Walker (bad pass),,33,28
137,2,10:56.0,,C. Zeller makes 2-pt dunk from 2 ft (assist by M. Monk),33,30
138,2,10:47.0,Turnover by F. Jackson (bad pass),,33,30
139,2,10:36.0,,M. Monk misses 2-pt jump shot from 23 ft,33,30
140,2,10:33.0,Defensive rebound by J. Hart,,33,30
141,2,10:33.0,,B. Biyombo enters the game for C. Zeller,33,30
142,2,10:29.0,Personal foul by C. Martin (drawn by N. Alexander-Walker),,33,30
143,2,10:25.0,Turnover by N. Alexander-Walker (palming),,33,30
144,2,10:09.0,,M. Monk makes 2-pt jump shot from 12 ft (assist by P. Washington),33,32
145,2,9:58.0,Turnover by N. Melli (traveling),,33,32
146,2,9:42.0,,P. Washington misses 2-pt jump shot from 4 ft,33,32
147,2,9:40.0,,Offensive rebound by P. Washington,33,32
148,2,9:38.0,,P. Washington misses 2-pt layup from 4 ft (block by J. Hayes),33,32
149,2,9:38.0,,Offensive rebound by P. Washington,33,32
150,2,9:33.0,,D. Graham makes 3-pt jump shot from 26 ft (assist by P. Washington),33,35
151,2,9:29.0,New Orleans full timeout,,33,35
152,2,9:29.0,D. Favors enters the game for N. Alexander-Walker,,33,35
153,2,9:29.0,J. Holiday enters the game for J. Hayes,,33,35
154,2,9:29.0,E. Moore enters the game for F. Jackson,,33,35
155,2,9:14.0,N. Melli misses 3-pt jump shot from 23 ft,,33,35
156,2,9:08.0,,Defensive rebound by C. Martin,33,35
157,2,9:00.0,,M. Monk makes 2-pt jump shot from 7 ft,33,37
158,2,8:37.0,N. Melli misses 3-pt jump shot from 23 ft,,33,37
159,2,8:37.0,,Defensive rebound by D. Graham,33,37
160,2,8:29.0,,Turnover by D. Graham (bad pass; steal by D. Favors),33,37
161,2,8:20.0,Turnover by J. Holiday (bad pass; steal by P. Washington),,33,37
162,2,8:14.0,,M. Monk makes 2-pt dunk from 3 ft (assist by D. Graham),33,39
163,2,8:08.0,J. Holiday misses 3-pt jump shot from 26 ft,,33,39
164,2,8:08.0,Offensive rebound by N. Melli,,33,39
165,2,8:08.0,Turnover by N. Melli (bad pass; steal by B. Biyombo),,33,39
166,2,7:58.0,,C. Martin makes 2-pt dunk from 2 ft (assist by D. Graham),33,41
167,2,7:50.0,New Orleans full timeout,,33,41
168,2,7:30.0,E. Moore makes 2-pt jump shot from 16 ft,,35,41
169,2,7:30.0,B. Ingram enters the game for N. Melli,,35,41
170,2,7:30.0,,T. Rozier enters the game for D. Graham,35,41
171,2,7:03.0,,Turnover by Team (shot clock),35,41
172,2,7:03.0,,Violation by Team (delay of game),35,41
173,2,6:48.0,J. Holiday misses 2-pt jump shot from 6 ft,,35,41
174,2,6:45.0,,Defensive rebound by B. Biyombo,35,41
175,2,6:32.0,,P. Washington misses 2-pt hook shot from 6 ft,35,41
176,2,6:29.0,Defensive rebound by J. Holiday,,35,41
177,2,6:20.0,J. Hart misses 3-pt jump shot from 25 ft,,35,41
178,2,6:15.0,,Defensive rebound by M. Monk,35,41
179,2,6:11.0,,Turnover by T. Rozier (lost ball; steal by E. Moore),35,41
180,2,6:08.0,Personal foul by M. Monk (drawn by J. Holiday),,35,41
181,2,6:08.0,,M. Bridges enters the game for C. Martin,35,41
182,2,5:59.0,J. Holiday misses 3-pt jump shot from 23 ft,,35,41
183,2,5:56.0,,Defensive rebound by T. Rozier,35,41
184,2,5:50.0,,Personal foul by J. Holiday (drawn by T. Rozier),35,41
185,2,5:50.0,J. Redick enters the game for J. Hart,,35,41
186,2,5:45.0,,M. Monk misses 2-pt jump shot from 5 ft,35,41
187,2,5:43.0,,Offensive rebound by B. Biyombo,35,41
188,2,5:41.0,,B. Biyombo misses 2-pt hook shot from 9 ft,35,41
189,2,5:38.0,Defensive rebound by D. Favors,,35,41
190,2,5:28.0,J. Redick makes 3-pt jump shot from 25 ft (assist by D. Favors),,38,41
191,2,5:27.0,,Charlotte full timeout,38,41
192,2,5:27.0,,D. Bacon enters the game for P. Washington,38,41
193,2,5:12.0,,T. Rozier makes 3-pt jump shot from 26 ft,38,44
194,2,4:53.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Holiday),,40,44
195,2,4:41.0,,B. Biyombo misses 2-pt layup from 2 ft (block by J. Holiday),40,44
196,2,4:41.0,,Offensive rebound by Team,40,44
197,2,4:34.0,,Turnover by M. Monk (bad pass; steal by D. Favors),40,44
198,2,4:32.0,B. Ingram makes 2-pt dunk from 1 ft,,42,44
199,2,4:32.0,Shooting foul by M. Monk (drawn by B. Ingram),,42,44
200,2,4:32.0,,D. Graham enters the game for M. Monk,42,44
201,2,4:32.0,B. Ingram makes free throw 1 of 1,,43,44
202,2,4:23.0,,T. Rozier misses 3-pt jump shot from 26 ft,43,44
203,2,4:17.0,,Offensive rebound by D. Graham,43,44
204,2,4:14.0,,D. Bacon makes 3-pt jump shot from 24 ft (assist by D. Graham),43,47
205,2,3:49.0,B. Ingram misses 2-pt jump shot from 10 ft,,43,47
206,2,3:49.0,Offensive rebound by Team,,43,47
207,2,3:49.0,,Loose ball foul by B. Biyombo (drawn by D. Favors),43,47
208,2,3:43.0,D. Favors misses 2-pt layup from 2 ft,,43,47
209,2,3:42.0,,Defensive rebound by T. Rozier,43,47
210,2,3:39.0,,D. Graham makes 3-pt jump shot from 27 ft (assist by T. Rozier),43,50
211,2,3:28.0,Shooting foul by M. Bridges (drawn by J. Redick),,43,50
212,2,3:28.0,J. Redick makes free throw 1 of 3,,44,50
213,2,3:28.0,J. Redick makes free throw 2 of 3,,45,50
214,2,3:28.0,,C. Martin enters the game for M. Bridges,45,50
215,2,3:28.0,J. Redick makes free throw 3 of 3,,46,50
216,2,3:15.0,,Shooting foul by E. Moore (drawn by D. Graham),46,50
217,2,3:15.0,,D. Graham makes free throw 1 of 2,46,51
218,2,3:15.0,,D. Graham makes free throw 2 of 2,46,52
219,2,3:05.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Holiday),,49,52
220,2,2:46.0,,T. Rozier misses 2-pt jump shot from 23 ft,49,52
221,2,2:43.0,Defensive rebound by B. Ingram,,49,52
222,2,2:35.0,E. Moore misses 3-pt jump shot from 24 ft,,49,52
223,2,2:34.0,,Defensive rebound by Team,49,52
224,2,2:34.0,Loose ball foul by D. Favors (drawn by B. Biyombo),,49,52
225,2,2:34.0,J. Hayes enters the game for D. Favors,,49,52
226,2,2:19.0,,D. Bacon makes 3-pt jump shot from 26 ft (assist by T. Rozier),49,55
227,2,2:08.0,J. Hayes makes 2-pt layup from 2 ft (assist by J. Holiday),,51,55
228,2,1:56.0,,B. Biyombo misses 2-pt layup from 3 ft (block by J. Hayes),51,55
229,2,1:53.0,Defensive rebound by J. Redick,,51,55
230,2,1:47.0,E. Moore misses 2-pt jump shot from 6 ft,,51,55
231,2,1:45.0,,Defensive rebound by T. Rozier,51,55
232,2,1:41.0,,C. Martin makes 2-pt dunk from 2 ft (assist by T. Rozier),51,57
233,2,1:28.0,J. Redick misses 2-pt layup from 1 ft,,51,57
234,2,1:25.0,,Defensive rebound by D. Graham,51,57
235,2,1:20.0,,Turnover by B. Biyombo (lost ball; steal by B. Ingram),51,57
236,2,1:14.0,Offensive foul by B. Ingram (drawn by D. Graham),,51,57
237,2,1:14.0,Turnover by B. Ingram (offensive foul),,51,57
238,2,1:14.0,K. Williams enters the game for E. Moore,,51,57
239,2,1:14.0,,P. Washington enters the game for B. Biyombo,51,57
240,2,1:05.0,,Personal foul by K. Williams (drawn by D. Graham),51,57
241,2,0:49.0,,T. Rozier misses 3-pt jump shot from 28 ft,51,57
242,2,0:46.0,Defensive rebound by K. Williams,,51,57
243,2,0:39.0,J. Hayes makes 2-pt layup from 3 ft (assist by B. Ingram),,53,57
244,2,0:28.0,,Shooting foul by K. Williams (drawn by P. Washington),53,57
245,2,0:28.0,,P. Washington makes free throw 1 of 2,53,58
246,2,0:28.0,,P. Washington makes free throw 2 of 2,53,59
247,2,0:16.0,Shooting foul by T. Rozier (drawn by J. Holiday),,53,59
248,2,0:16.0,J. Holiday makes free throw 1 of 2,,54,59
249,2,0:16.0,F. Jackson enters the game for J. Redick,,54,59
250,2,0:16.0,,M. Williams enters the game for C. Martin,54,59
251,2,0:16.0,J. Holiday makes free throw 2 of 2,,55,59
252,2,0:01.0,,Shooting foul by J. Hayes (drawn by D. Graham),55,59
253,2,0:01.0,,D. Graham misses free throw 1 of 3,55,59
254,2,0:01.0,,Offensive rebound by Team,55,59
255,2,0:01.0,,D. Graham makes free throw 2 of 3,55,60
256,2,0:01.0,,D. Graham makes free throw 3 of 3,55,61
257,3,11:43.0,,Turnover by D. Bacon (bad pass),55,61
258,3,11:43.0,,M. Williams enters the game for P. Washington,55,61
259,3,11:33.0,Shooting foul by C. Zeller (drawn by K. Williams),,55,61
260,3,11:33.0,K. Williams misses free throw 1 of 2,,55,61
261,3,11:33.0,Offensive rebound by Team,,55,61
262,3,11:33.0,K. Williams misses free throw 2 of 2,,55,61
263,3,11:30.0,,Defensive rebound by M. Bridges,55,61
264,3,11:20.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by D. Bacon),55,64
265,3,11:03.0,B. Ingram misses 3-pt jump shot from 25 ft,,55,64
266,3,11:00.0,,Defensive rebound by C. Zeller,55,64
267,3,10:52.0,,T. Rozier misses 3-pt jump shot from 25 ft,55,64
268,3,10:48.0,Defensive rebound by J. Redick,,55,64
269,3,10:44.0,J. Redick makes 3-pt jump shot from 28 ft (assist by J. Holiday),,58,64
270,3,10:24.0,,D. Bacon misses 2-pt jump shot from 2 ft,58,64
271,3,10:20.0,Defensive rebound by J. Redick,,58,64
272,3,10:16.0,K. Williams misses 3-pt jump shot from 26 ft,,58,64
273,3,10:14.0,,Defensive rebound by C. Zeller,58,64
274,3,10:01.0,,M. Williams misses 3-pt jump shot from 26 ft,58,64
275,3,9:57.0,,Offensive rebound by C. Zeller,58,64
276,3,9:50.0,,D. Bacon misses 3-pt jump shot from 26 ft,58,64
277,3,9:45.0,,Offensive rebound by M. Bridges,58,64
278,3,9:40.0,,M. Williams misses 2-pt jump shot from 8 ft (block by J. Redick),58,64
279,3,9:36.0,Defensive rebound by J. Holiday,,58,64
280,3,9:31.0,J. Holiday makes 2-pt jump shot from 13 ft,,60,64
281,3,9:16.0,,Offensive foul by T. Rozier (drawn by B. Ingram),60,64
282,3,9:16.0,,Turnover by T. Rozier (offensive foul),60,64
283,3,9:06.0,K. Williams makes 3-pt jump shot from 23 ft (assist by J. Holiday),,63,64
284,3,8:47.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Bacon),63,67
285,3,8:29.0,D. Favors makes 2-pt layup from 3 ft (assist by K. Williams),,65,67
286,3,8:14.0,,D. Bacon misses 2-pt jump shot from 11 ft,65,67
