,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,J. Richardson makes 2-pt jump shot from 5 ft,,2,0
1,1,11:24.0,,P. George makes 2-pt jump shot from 7 ft,2,2
2,1,11:06.0,T. Harris makes 3-pt jump shot from 28 ft (assist by A. Horford),,5,2
3,1,10:52.0,,K. Leonard misses 2-pt jump shot from 15 ft,5,2
4,1,10:48.0,Defensive rebound by A. Horford,,5,2
5,1,10:44.0,A. Horford misses 3-pt jump shot from 26 ft,,5,2
6,1,10:39.0,,Defensive rebound by P. George,5,2
7,1,10:35.0,,P. George misses 2-pt dunk from 1 ft,5,2
8,1,10:32.0,Defensive rebound by G. Robinson,,5,2
9,1,10:27.0,G. Robinson misses 3-pt jump shot from 27 ft,,5,2
10,1,10:22.0,,Defensive rebound by P. Beverley,5,2
11,1,10:19.0,,P. Beverley misses 2-pt layup from 2 ft,5,2
12,1,10:17.0,,Offensive rebound by K. Leonard,5,2
13,1,10:08.0,,K. Leonard misses 2-pt jump shot from 10 ft,5,2
14,1,10:04.0,,Offensive rebound by P. George,5,2
15,1,10:02.0,,P. George makes 3-pt jump shot from 27 ft,5,5
16,1,9:43.0,J. Richardson makes 2-pt jump shot from 20 ft,,7,5
17,1,9:32.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by P. Beverley),7,7
18,1,9:16.0,Personal foul by P. Beverley (drawn by T. Harris),,7,7
19,1,9:08.0,S. Milton makes 2-pt jump shot from 14 ft,,9,7
20,1,8:55.0,,Offensive foul by P. George (drawn by J. Richardson),9,7
21,1,8:55.0,,Turnover by P. George (offensive foul),9,7
22,1,8:40.0,S. Milton makes 2-pt layup from 2 ft,,11,7
23,1,8:25.0,,P. Beverley misses 3-pt jump shot from 24 ft,11,7
24,1,8:23.0,Defensive rebound by J. Richardson,,11,7
25,1,8:16.0,J. Richardson makes 2-pt jump shot from 14 ft (assist by T. Harris),,13,7
26,1,7:59.0,,K. Leonard makes 2-pt jump shot from 15 ft (assist by I. Zubac),13,9
27,1,7:44.0,T. Harris makes 2-pt layup from 1 ft (assist by S. Milton),,15,9
28,1,7:27.0,,K. Leonard misses 3-pt jump shot from 25 ft,15,9
29,1,7:24.0,Defensive rebound by S. Milton,,15,9
30,1,7:12.0,T. Harris makes 3-pt jump shot from 25 ft,,18,9
31,1,6:57.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by P. George),18,11
32,1,6:31.0,S. Milton makes 2-pt jump shot from 14 ft,,20,11
33,1,6:13.0,,Turnover by I. Zubac (bad pass; steal by S. Milton),20,11
34,1,6:10.0,S. Milton makes 2-pt dunk at rim,,22,11
35,1,6:10.0,,LA Clippers full timeout,22,11
36,1,6:10.0,F. Korkmaz enters the game for G. Robinson,,22,11
37,1,5:53.0,,K. Leonard misses 2-pt jump shot from 22 ft,22,11
38,1,5:51.0,Defensive rebound by A. Horford,,22,11
39,1,5:43.0,T. Harris misses 2-pt jump shot from 6 ft,,22,11
40,1,5:42.0,Offensive rebound by A. Horford,,22,11
41,1,5:37.0,Personal foul by M. Morris (drawn by J. Richardson),,22,11
42,1,5:32.0,S. Milton makes 3-pt jump shot from 27 ft,,25,11
43,1,5:17.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by I. Zubac),25,13
44,1,4:55.0,A. Horford misses 2-pt hook shot from 2 ft,,25,13
45,1,4:53.0,,Defensive rebound by K. Leonard,25,13
46,1,4:44.0,,P. George misses 3-pt jump shot from 26 ft,25,13
47,1,4:43.0,,Offensive rebound by I. Zubac,25,13
48,1,4:43.0,,I. Zubac makes 2-pt layup from 1 ft,25,15
49,1,4:43.0,Philadelphia full timeout,,25,15
50,1,4:43.0,M. Thybulle enters the game for J. Richardson,,25,15
51,1,4:43.0,,L. Shamet enters the game for P. George,25,15
52,1,4:27.0,T. Harris makes 2-pt jump shot from 13 ft,,27,15
53,1,4:03.0,,K. Leonard makes 2-pt jump shot from 10 ft,27,17
54,1,3:48.0,F. Korkmaz misses 2-pt jump shot from 12 ft,,27,17
55,1,3:46.0,,Defensive rebound by K. Leonard,27,17
56,1,3:46.0,,M. Harrell enters the game for P. Beverley,27,17
57,1,3:46.0,,L. Williams enters the game for I. Zubac,27,17
58,1,3:31.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by L. Shamet),27,20
59,1,3:18.0,T. Harris makes 3-pt jump shot from 26 ft,,30,20
60,1,3:05.0,,Shooting foul by S. Milton (drawn by L. Williams),30,20
61,1,3:05.0,,L. Williams makes free throw 1 of 3,30,21
62,1,3:05.0,,L. Williams makes free throw 2 of 3,30,22
63,1,3:05.0,A. Burks enters the game for A. Horford,,30,22
64,1,3:05.0,K. O'Quinn enters the game for S. Milton,,30,22
65,1,3:05.0,,R. Jackson enters the game for K. Leonard,30,22
66,1,3:05.0,,L. Williams makes free throw 3 of 3,30,23
67,1,2:53.0,M. Thybulle makes 3-pt jump shot from 28 ft (assist by T. Harris),,33,23
68,1,2:38.0,,M. Harrell makes 2-pt hook shot from 6 ft (assist by L. Williams),33,25
69,1,2:20.0,K. O'Quinn misses 3-pt jump shot from 23 ft,,33,25
70,1,2:18.0,,Defensive rebound by L. Williams,33,25
71,1,2:17.0,,Personal foul by F. Korkmaz (drawn by L. Shamet),33,25
72,1,2:17.0,J. Richardson enters the game for F. Korkmaz,,33,25
73,1,2:17.0,,J. Green enters the game for M. Morris,33,25
74,1,2:14.0,,R. Jackson misses 2-pt jump shot from 6 ft,33,25
75,1,2:12.0,Defensive rebound by T. Harris,,33,25
76,1,1:57.0,Personal foul by J. Green (drawn by T. Harris),,33,25
77,1,1:49.0,A. Burks misses 2-pt jump shot from 15 ft,,33,25
78,1,1:47.0,,Defensive rebound by M. Harrell,33,25
79,1,1:35.0,,L. Shamet misses 2-pt jump shot from 14 ft,33,25
80,1,1:32.0,,Offensive rebound by M. Harrell,33,25
81,1,1:32.0,,M. Harrell makes 2-pt layup from 2 ft,33,27
82,1,1:32.0,,Shooting foul by K. O'Quinn (drawn by M. Harrell),33,27
83,1,1:32.0,,M. Harrell misses free throw 1 of 1,33,27
84,1,1:30.0,Defensive rebound by K. O'Quinn,,33,27
85,1,1:16.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by K. O'Quinn),,36,27
86,1,1:07.0,,L. Williams makes 2-pt layup from 2 ft,36,29
87,1,0:54.0,T. Harris misses 2-pt layup from 1 ft,,36,29
88,1,0:52.0,,Defensive rebound by R. Jackson,36,29
