,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:40.0,M. Gasol misses 3-pt jump shot from 26 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Randle,0,0
2,1,11:18.0,,R. Bullock misses 3-pt jump shot from 25 ft,0,0
3,1,11:16.0,Defensive rebound by P. Siakam,,0,0
4,1,11:08.0,F. VanVleet misses 3-pt jump shot from 26 ft,,0,0
5,1,11:06.0,Offensive rebound by M. Gasol,,0,0
6,1,10:58.0,P. Siakam makes 2-pt layup from 2 ft,,2,0
7,1,10:44.0,,Turnover by J. Randle (bad pass; steal by F. VanVleet),2,0
8,1,10:40.0,P. Siakam makes 2-pt layup from 2 ft (assist by F. VanVleet),,4,0
9,1,10:17.0,,T. Gibson misses 2-pt layup from 4 ft,4,0
10,1,10:15.0,,Offensive rebound by T. Gibson,4,0
11,1,10:10.0,,E. Payton misses 2-pt jump shot from 8 ft,4,0
12,1,10:08.0,Defensive rebound by P. Siakam,,4,0
13,1,9:59.0,Turnover by P. Siakam (lost ball; steal by T. Gibson),,4,0
14,1,9:51.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by T. Gibson),4,3
15,1,9:21.0,F. VanVleet makes 2-pt layup from 2 ft,,6,3
16,1,9:08.0,,M. Morris misses 3-pt jump shot from 24 ft,6,3
17,1,9:06.0,Defensive rebound by K. Lowry,,6,3
18,1,8:53.0,M. Gasol misses 2-pt hook shot from 4 ft,,6,3
19,1,8:51.0,Offensive rebound by M. Gasol,,6,3
20,1,8:47.0,K. Lowry misses 3-pt jump shot from 26 ft,,6,3
21,1,8:45.0,,Defensive rebound by J. Randle,6,3
22,1,8:32.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by E. Payton),6,6
23,1,8:07.0,O. Anunoby misses 2-pt layup from 1 ft,,6,6
24,1,8:05.0,,Defensive rebound by E. Payton,6,6
25,1,8:00.0,,M. Morris misses 3-pt jump shot from 25 ft,6,6
26,1,7:58.0,,Offensive rebound by J. Randle,6,6
27,1,7:55.0,,J. Randle misses 3-pt jump shot from 22 ft,6,6
28,1,7:53.0,Defensive rebound by O. Anunoby,,6,6
29,1,7:46.0,F. VanVleet misses 2-pt layup from 1 ft,,6,6
30,1,7:44.0,,Defensive rebound by J. Randle,6,6
31,1,7:42.0,,Turnover by J. Randle (lost ball; steal by K. Lowry),6,6
32,1,7:39.0,K. Lowry makes 2-pt layup from 1 ft (assist by M. Gasol),,8,6
33,1,7:14.0,,E. Payton misses 2-pt layup from 2 ft,8,6
34,1,7:13.0,,Offensive rebound by T. Gibson,8,6
35,1,7:11.0,,T. Gibson makes 2-pt layup from 1 ft,8,8
36,1,7:00.0,Personal foul by M. Morris (drawn by F. VanVleet),,8,8
37,1,6:51.0,K. Lowry makes 3-pt jump shot from 26 ft,,11,8
38,1,6:37.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by E. Payton),11,10
39,1,6:24.0,P. Siakam misses 3-pt jump shot from 25 ft,,11,10
40,1,6:22.0,,Defensive rebound by T. Gibson,11,10
41,1,6:16.0,,R. Bullock misses 3-pt jump shot from 27 ft,11,10
42,1,6:14.0,Defensive rebound by P. Siakam,,11,10
43,1,6:05.0,P. Siakam misses 2-pt layup from 3 ft (block by J. Randle),,11,10
44,1,6:03.0,,Defensive rebound by T. Gibson,11,10
45,1,6:00.0,,R. Bullock makes 2-pt layup from 1 ft (assist by E. Payton),11,12
46,1,5:52.0,O. Anunoby misses 2-pt layup from 1 ft (block by J. Randle),,11,12
47,1,5:50.0,,Defensive rebound by E. Payton,11,12
48,1,5:45.0,,T. Gibson misses 2-pt layup from 1 ft,11,12
49,1,5:44.0,,Offensive rebound by T. Gibson,11,12
50,1,5:42.0,,T. Gibson makes 2-pt layup from 1 ft,11,14
51,1,5:32.0,Toronto full timeout,,11,14
52,1,5:32.0,,M. Robinson enters the game for T. Gibson,11,14
53,1,5:25.0,Personal foul by M. Robinson (drawn by M. Gasol),,11,14
54,1,5:19.0,P. Siakam misses 2-pt layup from 2 ft (block by M. Robinson),,11,14
55,1,5:17.0,,Defensive rebound by M. Morris,11,14
56,1,5:11.0,,R. Bullock makes 3-pt jump shot from 25 ft,11,17
57,1,5:04.0,K. Lowry misses 3-pt jump shot from 25 ft,,11,17
58,1,5:02.0,,Defensive rebound by E. Payton,11,17
59,1,4:50.0,,M. Robinson makes 2-pt dunk at rim (assist by E. Payton),11,19
60,1,4:26.0,F. VanVleet misses 3-pt jump shot from 25 ft,,11,19
61,1,4:24.0,,Defensive rebound by J. Randle,11,19
62,1,4:15.0,,Turnover by E. Payton (bad pass; steal by K. Lowry),11,19
63,1,4:10.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),,13,19
64,1,3:44.0,,Personal foul by K. Lowry (drawn by M. Robinson),13,19
65,1,3:44.0,S. Ibaka enters the game for M. Gasol,,13,19
66,1,3:44.0,N. Powell enters the game for F. VanVleet,,13,19
67,1,3:44.0,,D. Dotson enters the game for R. Bullock,13,19
68,1,3:33.0,,J. Randle makes 2-pt jump shot from 7 ft,13,21
69,1,3:20.0,S. Ibaka misses 2-pt jump shot from 13 ft,,13,21
70,1,3:18.0,,Defensive rebound by M. Morris,13,21
