,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,T. Harris makes 2-pt layup from 2 ft,0,2
1,1,11:32.0,Personal foul by A. Horford (drawn by P. Siakam),,0,2
2,1,11:27.0,P. Siakam misses 2-pt jump shot from 11 ft,,0,2
3,1,11:23.0,Offensive rebound by K. Lowry,,0,2
4,1,11:20.0,P. Siakam makes 2-pt dunk at rim (assist by K. Lowry),,2,2
5,1,11:05.0,,J. Embiid misses 2-pt jump shot from 15 ft,2,2
6,1,11:03.0,Defensive rebound by K. Lowry,,2,2
7,1,10:57.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),,5,2
8,1,10:41.0,,Turnover by J. Embiid (bad pass; steal by K. Lowry),5,2
9,1,10:34.0,K. Lowry misses 2-pt jump shot from 22 ft,,5,2
10,1,10:32.0,,Defensive rebound by B. Simmons,5,2
11,1,10:29.0,,B. Simmons misses 2-pt layup from 3 ft (block by M. Gasol),5,2
12,1,10:26.0,,Offensive rebound by B. Simmons,5,2
13,1,10:25.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Simmons),5,5
14,1,10:08.0,O. Anunoby misses 2-pt layup from 3 ft (block by T. Harris),,5,5
15,1,10:04.0,Offensive rebound by O. Anunoby,,5,5
16,1,10:03.0,O. Anunoby makes 2-pt layup from 3 ft,,7,5
17,1,9:37.0,,Shooting foul by M. Gasol (drawn by J. Embiid),7,5
18,1,9:37.0,,J. Embiid makes free throw 1 of 2,7,6
19,1,9:37.0,,J. Embiid misses free throw 2 of 2,7,6
20,1,9:33.0,Defensive rebound by O. Anunoby,,7,6
21,1,9:14.0,P. Siakam misses 2-pt jump shot from 19 ft,,7,6
22,1,9:11.0,,Defensive rebound by B. Simmons,7,6
23,1,8:54.0,,Turnover by J. Embiid (lost ball; steal by F. VanVleet),7,6
24,1,8:50.0,Shooting foul by F. Korkmaz (drawn by F. VanVleet),,7,6
25,1,8:50.0,F. VanVleet makes free throw 1 of 2,,8,6
26,1,8:50.0,F. VanVleet makes free throw 2 of 2,,9,6
27,1,8:29.0,,T. Harris misses 2-pt jump shot from 18 ft,9,6
28,1,8:25.0,Defensive rebound by O. Anunoby,,9,6
29,1,8:09.0,O. Anunoby misses 3-pt jump shot from 24 ft,,9,6
30,1,8:07.0,,Defensive rebound by J. Embiid,9,6
31,1,7:56.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,9,6
32,1,7:54.0,Defensive rebound by Team,,9,6
33,1,7:30.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,12,6
34,1,7:15.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by A. Horford),12,8
35,1,6:55.0,Offensive foul by M. Gasol (drawn by B. Simmons),,12,8
36,1,6:55.0,Turnover by M. Gasol (offensive foul),,12,8
37,1,6:55.0,,Philadelphia full timeout,12,8
38,1,6:55.0,S. Ibaka enters the game for M. Gasol,,12,8
39,1,6:55.0,,J. Ennis enters the game for J. Embiid,12,8
40,1,6:55.0,,M. Thybulle enters the game for F. Korkmaz,12,8
41,1,6:43.0,,Shooting foul by O. Anunoby (drawn by T. Harris),12,8
42,1,6:43.0,,T. Harris makes free throw 1 of 2,12,9
43,1,6:43.0,,T. Harris makes free throw 2 of 2,12,10
44,1,6:31.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by F. VanVleet),,15,10
45,1,6:05.0,,A. Horford misses 2-pt jump shot from 16 ft,15,10
46,1,6:03.0,,Offensive rebound by J. Ennis,15,10
47,1,6:01.0,,J. Ennis misses 3-pt jump shot from 24 ft,15,10
48,1,5:58.0,,Offensive rebound by M. Thybulle,15,10
49,1,5:56.0,,T. Harris misses 3-pt jump shot from 26 ft,15,10
50,1,5:54.0,Defensive rebound by Team,,15,10
51,1,5:41.0,P. Siakam misses 3-pt jump shot from 26 ft,,15,10
52,1,5:39.0,Offensive rebound by Team,,15,10
53,1,5:39.0,,Loose ball foul by J. Ennis (drawn by S. Ibaka),15,10
54,1,5:29.0,Offensive foul by S. Ibaka (drawn by M. Thybulle),,15,10
55,1,5:29.0,Turnover by S. Ibaka (offensive foul),,15,10
56,1,5:12.0,,T. Harris makes 2-pt layup from 1 ft,15,12
57,1,5:04.0,Turnover by S. Ibaka (bad pass),,15,12
58,1,5:04.0,N. Powell enters the game for K. Lowry,,15,12
59,1,4:53.0,,M. Thybulle misses 3-pt jump shot from 25 ft,15,12
60,1,4:48.0,,Offensive rebound by B. Simmons,15,12
61,1,4:43.0,,J. Ennis misses 2-pt layup from 4 ft,15,12
62,1,4:41.0,Defensive rebound by N. Powell,,15,12
63,1,4:39.0,Turnover by N. Powell (bad pass),,15,12
64,1,4:27.0,,A. Horford misses 3-pt jump shot from 26 ft,15,12
65,1,4:24.0,Defensive rebound by O. Anunoby,,15,12
66,1,4:13.0,P. Siakam misses 2-pt jump shot from 10 ft,,15,12
67,1,4:11.0,,Defensive rebound by B. Simmons,15,12
68,1,4:09.0,,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),15,14
69,1,4:02.0,Personal foul by M. Thybulle (drawn by F. VanVleet),,15,14
70,1,4:02.0,R. Hollis-Jefferson enters the game for O. Anunoby,,15,14
71,1,4:02.0,,M. Scott enters the game for T. Harris,15,14
72,1,3:56.0,F. VanVleet misses 3-pt jump shot from 26 ft,,15,14
73,1,3:53.0,,Defensive rebound by J. Ennis,15,14
74,1,3:39.0,,Turnover by B. Simmons (traveling),15,14
75,1,3:28.0,R. Hollis-Jefferson makes 3-pt jump shot from 25 ft (assist by P. Siakam),,18,14
76,1,3:06.0,,Turnover by J. Ennis (lost ball; steal by N. Powell),18,14
77,1,3:04.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,18,14
78,1,2:58.0,,J. Ennis misses 3-pt jump shot from 26 ft,18,14
79,1,2:51.0,Defensive rebound by P. Siakam,,18,14
80,1,2:48.0,S. Ibaka misses 2-pt layup from 2 ft (block by A. Horford),,18,14
81,1,2:44.0,,Defensive rebound by A. Horford,18,14
82,1,2:41.0,,B. Simmons makes 2-pt layup from 3 ft (assist by A. Horford),18,16
83,1,2:40.0,Toronto full timeout,,18,16
84,1,2:40.0,Technical foul by N. Nurse,,18,16
85,1,2:40.0,,J. Embiid enters the game for J. Ennis,18,16
86,1,2:40.0,,F. Korkmaz enters the game for A. Horford,18,16
87,1,2:40.0,,M. Scott misses technical free throw,18,16
88,1,2:40.0,Defensive rebound by Team,,18,16
89,1,2:21.0,P. Siakam misses 2-pt jump shot from 7 ft,,18,16
90,1,2:17.0,,Defensive rebound by F. Korkmaz,18,16
91,1,2:16.0,,Offensive foul by B. Simmons (drawn by R. Hollis-Jefferson),18,16
92,1,2:16.0,,Turnover by B. Simmons (offensive foul),18,16
93,1,2:16.0,T. Davis enters the game for P. Siakam,,18,16
94,1,2:16.0,K. Lowry enters the game for F. VanVleet,,18,16
95,1,1:57.0,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,,18,16
96,1,1:54.0,,Defensive rebound by J. Embiid,18,16
97,1,1:46.0,,B. Simmons makes 2-pt layup from 1 ft (assist by M. Scott),18,18
98,1,1:33.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by K. Lowry),,20,18
99,1,1:16.0,,M. Thybulle misses 3-pt jump shot from 26 ft,20,18
100,1,1:14.0,Defensive rebound by K. Lowry,,20,18
101,1,1:01.0,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,,20,18
102,1,0:58.0,,Defensive rebound by M. Scott,20,18
103,1,0:53.0,,M. Scott misses 3-pt jump shot from 26 ft,20,18
104,1,0:50.0,Defensive rebound by K. Lowry,,20,18
105,1,0:43.0,S. Ibaka misses 2-pt jump shot from 15 ft,,20,18
106,1,0:41.0,,Defensive rebound by M. Scott,20,18
107,1,0:34.0,,Instant Replay (Request: Ruling Stands),20,18
108,1,0:34.0,,Flagrant foul type 1 by T. Davis (drawn by M. Scott),20,18
109,1,0:34.0,,M. Scott misses flagrant free throw 1 of 3,20,18
110,1,0:34.0,,Offensive rebound by Team,20,18
111,1,0:34.0,,M. Scott makes flagrant free throw 2 of 3,20,19
112,1,0:34.0,,M. Scott makes flagrant free throw 3 of 3,20,20
113,1,0:34.0,,R. Neto enters the game for B. Simmons,20,20
114,1,0:30.0,,R. Neto makes 3-pt jump shot from 27 ft (assist by J. Embiid),20,23
115,1,0:11.0,Personal foul by M. Scott (drawn by R. Hollis-Jefferson),,20,23
