,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
26,1,8:23.0,T. Young misses 3-pt jump shot from 28 ft,,11,4
27,1,8:21.0,Offensive rebound by D. Jones,,11,4
28,1,8:21.0,D. Jones makes 2-pt layup at rim,,13,4
29,1,8:21.0,Shooting foul by L. Kennard (drawn by D. Jones),,13,4
30,1,8:21.0,D. Jones makes free throw 1 of 1,,14,4
31,1,8:07.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by B. Griffin),14,7
32,1,7:54.0,J. Parker makes 3-pt jump shot from 26 ft (assist by T. Young),,17,7
33,1,7:33.0,,Turnover by B. Brown (bad pass),17,7
34,1,7:17.0,D. Hunter misses 3-pt jump shot from 23 ft,,17,7
35,1,7:15.0,,Defensive rebound by A. Drummond,17,7
36,1,7:06.0,,A. Drummond misses 3-pt jump shot from 26 ft,17,7
37,1,7:02.0,Defensive rebound by J. Parker,,17,7
38,1,6:55.0,J. Parker misses 3-pt jump shot from 26 ft,,17,7
39,1,6:50.0,,Defensive rebound by L. Galloway,17,7
40,1,6:28.0,,A. Drummond misses 2-pt jump shot from 8 ft,17,7
41,1,6:28.0,Defensive rebound by T. Young,,17,7
42,1,6:23.0,T. Young misses 2-pt jump shot from 22 ft,,17,7
43,1,6:22.0,,Defensive rebound by B. Griffin,17,7
44,1,6:16.0,,Shooting foul by J. Parker (drawn by B. Griffin),17,7
45,1,6:16.0,V. Carter enters the game for D. Bembry,,17,7
46,1,6:16.0,A. Crabbe enters the game for D. Hunter,,17,7
47,1,6:16.0,B. Fernando enters the game for J. Parker,,17,7
48,1,6:16.0,,B. Griffin makes free throw 1 of 2,17,8
49,1,6:16.0,,B. Griffin makes free throw 2 of 2,17,9
50,1,6:00.0,Turnover by V. Carter (bad pass; steal by B. Brown),,17,9
51,1,5:54.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by B. Brown),17,12
52,1,5:53.0,Atlanta full timeout,,17,12
53,1,5:53.0,D. Hunter enters the game for D. Jones,,17,12
54,1,5:53.0,,D. Rose enters the game for L. Galloway,17,12
55,1,5:40.0,Turnover by T. Young (bad pass; steal by L. Kennard),,17,12
56,1,5:34.0,,B. Brown misses 2-pt layup from 2 ft,17,12
57,1,5:29.0,,Offensive rebound by A. Drummond,17,12
