,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
0,1,11:30.0,T. Snell misses 3-pt jump shot from 25 ft,,0,0
1,1,11:28.0,,Defensive rebound by E. Payton,0,0
2,1,11:20.0,,T. Gibson misses 2-pt hook shot from 4 ft,0,0
3,1,11:18.0,Defensive rebound by S. Mykhailiuk,,0,0
4,1,11:00.0,B. Brown misses 2-pt hook shot from 3 ft,,0,0
5,1,10:58.0,,Defensive rebound by M. Harkless,0,0
6,1,10:44.0,,R. Barrett misses 2-pt jump shot from 19 ft,0,0
7,1,10:42.0,Defensive rebound by S. Mykhailiuk,,0,0
8,1,10:31.0,S. Mykhailiuk makes 3-pt jump shot from 25 ft,,3,0
9,1,10:31.0,Instant Replay (Request: Ruling Stands),,3,0
10,1,10:15.0,,E. Payton misses 2-pt jump shot from 17 ft,3,0
11,1,10:13.0,Defensive rebound by T. Snell,,3,0
12,1,9:57.0,Def 3 sec tech foul by Team,,3,0
13,1,9:57.0,T. Snell makes technical free throw,,4,0
14,1,9:43.0,J. Henson makes 2-pt layup at rim (assist by T. Snell),,6,0
15,1,9:22.0,,Shooting foul by S. Mykhailiuk (drawn by E. Payton),6,0
16,1,9:22.0,,E. Payton makes free throw 1 of 2,6,1
17,1,9:22.0,,E. Payton makes free throw 2 of 2,6,2
18,1,9:12.0,B. Brown makes 2-pt dunk at rim (assist by J. Henson),,8,2
19,1,8:56.0,,R. Barrett makes 2-pt jump shot from 19 ft,8,4
20,1,8:36.0,Turnover by S. Mykhailiuk (bad pass; steal by J. Randle),,8,4
21,1,8:34.0,,J. Randle misses 2-pt layup from 1 ft,8,4
22,1,8:31.0,Defensive rebound by C. Wood,,8,4
23,1,8:23.0,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,8,4
24,1,8:21.0,,Defensive rebound by J. Randle,8,4
25,1,8:13.0,,J. Randle misses 2-pt jump shot from 5 ft,8,4
26,1,8:10.0,Defensive rebound by T. Snell,,8,4
27,1,7:51.0,C. Wood makes 2-pt hook shot from 9 ft (assist by B. Brown),,10,4
28,1,7:43.0,,E. Payton makes 2-pt layup from 6 ft (assist by R. Barrett),10,6
29,1,7:43.0,,Shooting foul by B. Brown (drawn by E. Payton),10,6
30,1,7:43.0,,E. Payton misses free throw 1 of 1,10,6
31,1,7:42.0,,Offensive rebound by T. Gibson,10,6
32,1,7:42.0,,T. Gibson makes 2-pt layup from 1 ft,10,8
33,1,7:17.0,B. Brown makes 2-pt jump shot from 6 ft (assist by S. Mykhailiuk),,12,8
34,1,7:02.0,,E. Payton makes 2-pt layup at rim,12,10
35,1,6:49.0,T. Snell misses 3-pt jump shot from 27 ft,,12,10
36,1,6:47.0,,Defensive rebound by J. Randle,12,10
37,1,6:36.0,,R. Barrett misses 3-pt jump shot from 26 ft,12,10
38,1,6:34.0,Defensive rebound by C. Wood,,12,10
39,1,6:21.0,B. Brown misses 3-pt jump shot from 24 ft,,12,10
40,1,6:19.0,Offensive rebound by T. Snell,,12,10
41,1,6:15.0,Turnover by S. Mykhailiuk (bad pass; steal by R. Barrett),,12,10
42,1,6:15.0,,Personal take foul by J. Henson (drawn by R. Barrett),12,10
43,1,6:15.0,,New York full timeout,12,10
44,1,6:15.0,S. Doumbouya enters the game for J. Henson,,12,10
45,1,6:15.0,K. Thomas enters the game for S. Mykhailiuk,,12,10
46,1,6:15.0,,M. Robinson enters the game for T. Gibson,12,10
47,1,6:03.0,,J. Randle misses 2-pt jump shot from 6 ft,12,10
48,1,6:01.0,Defensive rebound by S. Doumbouya,,12,10
49,1,5:46.0,S. Doumbouya misses 3-pt jump shot from 24 ft,,12,10
50,1,5:44.0,,Defensive rebound by M. Robinson,12,10
51,1,5:35.0,,R. Barrett misses 2-pt layup from 1 ft,12,10
52,1,5:33.0,,Offensive rebound by M. Robinson,12,10
53,1,5:33.0,,M. Robinson makes 2-pt dunk from 1 ft,12,12
54,1,5:14.0,K. Thomas makes 3-pt jump shot from 24 ft (assist by T. Snell),,15,12
55,1,4:59.0,,M. Harkless misses 3-pt jump shot from 24 ft,15,12
56,1,4:57.0,Defensive rebound by C. Wood,,15,12
57,1,4:49.0,S. Doumbouya makes 2-pt layup from 2 ft (assist by B. Brown),,17,12
58,1,4:39.0,,J. Randle misses 2-pt layup at rim,17,12
59,1,4:38.0,Defensive rebound by C. Wood,,17,12
60,1,4:32.0,K. Thomas makes 3-pt jump shot from 22 ft (assist by B. Brown),,20,12
61,1,4:21.0,,New York full timeout,20,12
62,1,4:21.0,L. Galloway enters the game for B. Brown,,20,12
63,1,4:21.0,J. McRae enters the game for S. Doumbouya,,20,12
64,1,4:15.0,,E. Payton makes 2-pt layup from 1 ft,20,14
65,1,3:46.0,J. McRae misses 3-pt jump shot from 25 ft,,20,14
66,1,3:44.0,,Defensive rebound by E. Payton,20,14
67,1,3:34.0,,J. Randle makes 2-pt layup from 4 ft (assist by R. Barrett),20,16
68,1,3:22.0,Personal foul by R. Barrett (drawn by C. Wood),,20,16
69,1,3:22.0,S. Doumbouya enters the game for T. Snell,,20,16
70,1,3:22.0,,K. Knox enters the game for M. Harkless,20,16
71,1,3:09.0,S. Doumbouya makes 2-pt jump shot from 10 ft (assist by C. Wood),,22,16
72,1,3:00.0,,Shooting foul by K. Thomas (drawn by R. Barrett),22,16
73,1,3:00.0,,R. Barrett misses free throw 1 of 2,22,16
74,1,3:00.0,,Offensive rebound by Team,22,16
75,1,3:00.0,,R. Barrett misses free throw 2 of 2,22,16
76,1,2:59.0,,Offensive rebound by M. Robinson,22,16
77,1,2:59.0,,M. Robinson misses 2-pt layup from 1 ft,22,16
78,1,2:58.0,,Offensive rebound by M. Robinson,22,16
