,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
0,1,11:45.0,B. Hield misses 3-pt jump shot from 25 ft,,0,0
1,1,11:42.0,,Defensive rebound by A. Holiday,0,0
2,1,11:23.0,,D. Sabonis misses 2-pt layup from 2 ft,0,0
3,1,11:21.0,Defensive rebound by N. Bjelica,,0,0
4,1,11:11.0,N. Bjelica makes 2-pt layup from 6 ft,,2,0
5,1,10:58.0,,M. Brogdon makes 2-pt layup from 6 ft,2,2
6,1,10:37.0,H. Barnes misses 2-pt hook shot from 4 ft,,2,2
7,1,10:36.0,,Defensive rebound by Team,2,2
8,1,10:23.0,,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Sabonis),2,5
9,1,10:23.0,Turnover by H. Barnes (bad pass; steal by M. Turner),,2,5
10,1,9:55.0,,M. Brogdon misses 3-pt jump shot from 27 ft,2,5
11,1,9:52.0,Defensive rebound by B. Hield,,2,5
12,1,9:44.0,N. Bjelica makes 2-pt dunk at rim (assist by H. Barnes),,4,5
13,1,9:25.0,,Personal foul by R. Holmes (drawn by D. Sabonis),4,5
14,1,9:18.0,,M. Brogdon makes 2-pt jump shot from 19 ft (assist by M. Turner),4,7
15,1,8:55.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,7,7
16,1,8:37.0,,Shooting foul by N. Bjelica (drawn by M. Turner),7,7
17,1,8:37.0,,M. Turner makes free throw 1 of 2,7,8
18,1,8:37.0,,M. Turner makes free throw 2 of 2,7,9
19,1,8:14.0,N. Bjelica misses 2-pt layup from 1 ft (block by D. Sabonis),,7,9
20,1,8:13.0,Offensive rebound by Team,,7,9
21,1,8:13.0,Turnover by Team (shot clock),,7,9
22,1,7:59.0,,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Sabonis),7,11
23,1,7:42.0,R. Holmes makes 2-pt layup from 5 ft (assist by B. Hield),,9,11
24,1,7:25.0,,Shooting foul by B. Hield (drawn by A. Holiday),9,11
25,1,7:25.0,,A. Holiday makes free throw 1 of 2,9,12
26,1,7:25.0,,A. Holiday makes free throw 2 of 2,9,13
27,1,7:11.0,Shooting foul by D. Sabonis (drawn by N. Bjelica),,9,13
28,1,7:11.0,N. Bjelica makes free throw 1 of 2,,10,13
29,1,7:11.0,N. Bjelica makes free throw 2 of 2,,11,13
30,1,7:01.0,,T. Warren makes 3-pt jump shot from 23 ft (assist by M. Brogdon),11,16
31,1,6:48.0,N. Bjelica makes 2-pt hook shot from 4 ft (assist by C. Joseph),,13,16
32,1,6:31.0,,D. Sabonis makes 2-pt jump shot from 21 ft (assist by M. Brogdon),13,18
33,1,6:19.0,C. Joseph makes 2-pt jump shot from 15 ft,,15,18
34,1,6:04.0,,D. Sabonis makes 2-pt layup at rim,15,20
35,1,5:47.0,N. Bjelica makes 3-pt jump shot from 29 ft (assist by B. Hield),,18,20
36,1,5:33.0,,Indiana full timeout,18,20
37,1,5:33.0,M. Bagley enters the game for H. Barnes,,18,20
38,1,5:33.0,D. Fox enters the game for R. Holmes,,18,20
39,1,5:27.0,,Turnover by M. Brogdon (lost ball; steal by D. Fox),18,20
40,1,5:22.0,B. Hield misses 2-pt layup from 3 ft (block by T. Warren),,18,20
41,1,5:19.0,,Defensive rebound by M. Brogdon,18,20
42,1,5:05.0,,M. Turner misses 3-pt jump shot from 27 ft,18,20
43,1,5:02.0,Defensive rebound by Team,,18,20
44,1,4:53.0,N. Bjelica misses 3-pt jump shot from 24 ft,,18,20
45,1,4:51.0,,Defensive rebound by A. Holiday,18,20
46,1,4:45.0,,T. Warren makes 2-pt jump shot from 4 ft,18,22
47,1,4:30.0,C. Joseph makes 3-pt jump shot from 25 ft (assist by B. Hield),,21,22
48,1,4:12.0,,M. Brogdon misses 2-pt layup from 2 ft,21,22
49,1,4:11.0,,Offensive rebound by D. Sabonis,21,22
