,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,D. Gallinari makes 2-pt jump shot from 22 ft (assist by C. Paul),0,2
1,1,11:17.0,Turnover by K. Love (bad pass; steal by C. Paul),,0,2
2,1,11:12.0,,Personal foul by J. Henson (drawn by S. Adams),0,2
3,1,11:00.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,0,4
4,1,10:45.0,D. Garland makes 2-pt jump shot from 14 ft,,2,4
5,1,10:28.0,,L. Dort misses 2-pt layup from 5 ft,2,4
6,1,10:26.0,Defensive rebound by K. Love,,2,4
7,1,10:14.0,C. Sexton makes 2-pt layup from 5 ft,,4,4
8,1,10:01.0,,D. Gallinari misses 3-pt jump shot from 24 ft,4,4
9,1,9:57.0,Defensive rebound by J. Henson,,4,4
10,1,9:48.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Henson),,7,4
11,1,9:18.0,,L. Dort misses 3-pt jump shot from 24 ft,7,4
12,1,9:15.0,Defensive rebound by K. Love,,7,4
13,1,9:09.0,J. Henson makes 3-pt jump shot from 23 ft (assist by C. Osman),,10,4
14,1,8:57.0,,C. Paul makes 2-pt jump shot from 4 ft,10,6
15,1,8:57.0,,Shooting foul by D. Garland (drawn by C. Paul),10,6
16,1,8:57.0,,C. Paul makes free throw 1 of 1,10,7
17,1,8:42.0,K. Love misses 2-pt jump shot from 20 ft,,10,7
18,1,8:41.0,,Defensive rebound by C. Paul,10,7
19,1,8:22.0,,Shooting foul by C. Osman (drawn by D. Gallinari),10,7
20,1,8:22.0,,D. Gallinari makes free throw 1 of 2,10,8
21,1,8:22.0,,D. Gallinari makes free throw 2 of 2,10,9
22,1,8:16.0,K. Love misses 3-pt jump shot from 26 ft,,10,9
23,1,8:14.0,,Defensive rebound by S. Gilgeous-Alexander,10,9
24,1,8:09.0,,L. Dort makes 2-pt dunk from 1 ft (assist by D. Gallinari),10,11
25,1,8:00.0,C. Sexton makes 2-pt jump shot from 21 ft,,12,11
26,1,7:51.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,12,11
27,1,7:48.0,Defensive rebound by C. Osman,,12,11
28,1,7:41.0,Shooting foul by S. Gilgeous-Alexander (drawn by C. Osman),,12,11
29,1,7:41.0,C. Osman makes free throw 1 of 2,,13,11
30,1,7:41.0,,N. Noel enters the game for S. Adams,13,11
31,1,7:41.0,C. Osman misses free throw 2 of 2,,13,11
32,1,7:39.0,,Defensive rebound by S. Gilgeous-Alexander,13,11
33,1,7:28.0,,Personal foul by C. Osman (drawn by D. Gallinari),13,11
34,1,7:28.0,L. Nance enters the game for J. Henson,,13,11
35,1,7:28.0,K. Porter enters the game for C. Osman,,13,11
36,1,7:21.0,,L. Dort misses 3-pt jump shot from 24 ft,13,11
37,1,7:20.0,,Offensive rebound by N. Noel,13,11
38,1,7:17.0,,Turnover by N. Noel (bad pass),13,11
39,1,7:00.0,K. Love makes 2-pt layup from 2 ft (assist by L. Nance),,15,11
40,1,6:53.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,15,13
41,1,6:34.0,Shooting foul by C. Paul (drawn by K. Porter),,15,13
42,1,6:34.0,,Oklahoma City full timeout,15,13
43,1,6:34.0,K. Porter makes free throw 1 of 2,,16,13
44,1,6:34.0,K. Porter misses free throw 2 of 2,,16,13
45,1,6:31.0,,Defensive rebound by S. Gilgeous-Alexander,16,13
46,1,6:14.0,,D. Gallinari misses 2-pt layup from 2 ft,16,13
47,1,6:13.0,Defensive rebound by K. Love,,16,13
48,1,6:09.0,D. Garland misses 3-pt jump shot from 23 ft,,16,13
49,1,6:06.0,,Defensive rebound by D. Gallinari,16,13
50,1,5:51.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),16,16
51,1,5:27.0,Turnover by K. Porter (bad pass; steal by S. Gilgeous-Alexander),,16,16
52,1,5:23.0,,N. Noel makes 2-pt dunk from 2 ft (assist by C. Paul),16,18
53,1,4:57.0,K. Love misses 2-pt jump shot from 18 ft,,16,18
54,1,4:54.0,,Defensive rebound by D. Gallinari,16,18
55,1,4:45.0,,Personal foul by L. Nance (drawn by D. Gallinari),16,18
56,1,4:45.0,,D. Gallinari misses free throw 1 of 2,16,18
57,1,4:45.0,,Offensive rebound by Team,16,18
58,1,4:45.0,,T. Ferguson enters the game for L. Dort,16,18
59,1,4:45.0,,D. Schröder enters the game for C. Paul,16,18
60,1,4:45.0,,D. Gallinari makes free throw 2 of 2,16,19
61,1,4:31.0,C. Sexton makes 2-pt jump shot from 9 ft (assist by D. Garland),,18,19
62,1,4:15.0,,D. Gallinari misses 2-pt layup from 7 ft,18,19
63,1,4:12.0,Defensive rebound by L. Nance,,18,19
64,1,4:03.0,K. Porter misses 3-pt jump shot from 26 ft,,18,19
65,1,3:59.0,Offensive rebound by L. Nance,,18,19
66,1,3:58.0,K. Porter makes 2-pt layup from 4 ft (assist by L. Nance),,20,19
67,1,3:58.0,Shooting foul by N. Noel (drawn by K. Porter),,20,19
68,1,3:58.0,D. Exum enters the game for D. Garland,,20,19
69,1,3:58.0,,D. Bazley enters the game for D. Gallinari,20,19
70,1,3:58.0,K. Porter makes free throw 1 of 1,,21,19
71,1,3:43.0,,S. Gilgeous-Alexander makes 2-pt dunk from 2 ft,21,21
72,1,3:26.0,K. Love misses 2-pt jump shot from 6 ft (block by S. Gilgeous-Alexander),,21,21
73,1,3:25.0,Offensive rebound by Team,,21,21
74,1,3:25.0,J. Henson enters the game for K. Love,,21,21
75,1,3:19.0,Shooting foul by N. Noel (drawn by J. Henson),,21,21
76,1,3:19.0,J. Henson misses free throw 1 of 2,,21,21
77,1,3:19.0,Offensive rebound by Team,,21,21
78,1,3:19.0,,S. Adams enters the game for N. Noel,21,21
79,1,3:19.0,J. Henson makes free throw 2 of 2,,22,21
80,1,3:03.0,,Personal foul by K. Porter (drawn by S. Gilgeous-Alexander),22,21
81,1,3:03.0,,S. Gilgeous-Alexander misses free throw 1 of 2,22,21
82,1,3:03.0,,Offensive rebound by Team,22,21
83,1,3:03.0,,S. Gilgeous-Alexander makes free throw 2 of 2,22,22
84,1,2:47.0,K. Porter misses 2-pt layup from 6 ft (block by S. Gilgeous-Alexander),,22,22
85,1,2:44.0,Offensive rebound by J. Henson,,22,22
86,1,2:43.0,J. Henson misses 2-pt layup from 2 ft,,22,22
87,1,2:43.0,,Defensive rebound by D. Schröder,22,22
88,1,2:35.0,,D. Schröder makes 2-pt jump shot from 9 ft,22,24
89,1,2:12.0,C. Sexton misses 2-pt jump shot from 22 ft,,22,24
