,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:49.0,,J. Embiid makes 2-pt jump shot from 4 ft (assist by T. Harris),0,2
1,1,11:36.0,T. Young makes 2-pt layup from 2 ft (assist by T. Satoranský),,2,2
2,1,11:17.0,,J. Embiid misses 2-pt jump shot from 14 ft,2,2
3,1,11:14.0,Defensive rebound by C. Hutchison,,2,2
4,1,11:07.0,Shooting foul by T. Harris (drawn by C. Hutchison),,2,2
5,1,11:07.0,C. Hutchison misses free throw 1 of 2,,2,2
6,1,11:07.0,Offensive rebound by Team,,2,2
7,1,11:07.0,C. Hutchison misses free throw 2 of 2,,2,2
8,1,11:05.0,,Defensive rebound by A. Horford,2,2
9,1,10:54.0,,B. Simmons makes 2-pt jump shot from 6 ft (assist by S. Milton),2,4
10,1,10:34.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,5,4
11,1,10:23.0,,Shooting foul by T. Satoranský (drawn by B. Simmons),5,4
12,1,10:23.0,,B. Simmons misses free throw 1 of 2,5,4
13,1,10:23.0,,Offensive rebound by Team,5,4
14,1,10:23.0,,B. Simmons misses free throw 2 of 2,5,4
15,1,10:21.0,Defensive rebound by T. Young,,5,4
16,1,10:10.0,Turnover by L. Kornet (bad pass; steal by B. Simmons),,5,4
17,1,10:07.0,,S. Milton makes 2-pt layup from 2 ft (assist by B. Simmons),5,6
18,1,9:55.0,Z. LaVine misses 3-pt jump shot from 26 ft,,5,6
19,1,9:52.0,,Defensive rebound by T. Harris,5,6
20,1,9:40.0,,B. Simmons misses 2-pt jump shot from 5 ft,5,6
21,1,9:39.0,,Offensive rebound by J. Embiid,5,6
22,1,9:39.0,,Shooting foul by L. Kornet (drawn by J. Embiid),5,6
23,1,9:39.0,,J. Embiid makes free throw 1 of 2,5,7
24,1,9:39.0,,J. Embiid makes free throw 2 of 2,5,8
25,1,9:21.0,T. Satoranský misses 3-pt jump shot from 26 ft,,5,8
26,1,9:19.0,,Defensive rebound by T. Harris,5,8
27,1,9:09.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Harris),5,10
28,1,8:52.0,C. Hutchison misses 2-pt layup from 8 ft,,5,10
29,1,8:50.0,Offensive rebound by C. Hutchison,,5,10
30,1,8:48.0,C. Hutchison misses 2-pt layup from 5 ft (block by J. Embiid),,5,10
31,1,8:46.0,,Defensive rebound by B. Simmons,5,10
32,1,8:42.0,,S. Milton misses 2-pt layup from 6 ft,5,10
33,1,8:39.0,,Offensive rebound by S. Milton,5,10
34,1,8:37.0,,Turnover by S. Milton (lost ball; steal by T. Young),5,10
35,1,8:28.0,L. Kornet makes 2-pt layup from 6 ft (assist by Z. LaVine),,7,10
36,1,8:12.0,,Turnover by J. Embiid (back court),7,10
37,1,7:56.0,L. Kornet makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,10,10
38,1,7:33.0,,Shooting foul by L. Kornet (drawn by J. Embiid),10,10
39,1,7:33.0,,J. Embiid makes free throw 1 of 2,10,11
40,1,7:33.0,C. Felício enters the game for L. Kornet,,10,11
41,1,7:33.0,,F. Korkmaz enters the game for S. Milton,10,11
42,1,7:33.0,,J. Embiid makes free throw 2 of 2,10,12
43,1,7:16.0,Z. LaVine makes 2-pt layup from 2 ft,,12,12
44,1,6:53.0,,A. Horford misses 2-pt jump shot from 13 ft,12,12
45,1,6:50.0,Defensive rebound by C. Felício,,12,12
46,1,6:42.0,C. Hutchison makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,15,12
47,1,6:41.0,,Philadelphia full timeout,15,12
48,1,6:41.0,,M. Thybulle enters the game for J. Embiid,15,12
49,1,6:21.0,,T. Harris misses 2-pt jump shot from 10 ft,15,12
50,1,6:17.0,Defensive rebound by C. Felício,,15,12
51,1,6:03.0,Turnover by Z. LaVine (lost ball; steal by B. Simmons),,15,12
52,1,5:58.0,,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by B. Simmons),15,15
53,1,5:47.0,Shooting foul by A. Horford (drawn by C. Felício),,15,15
54,1,5:47.0,C. Felício misses free throw 1 of 2,,15,15
55,1,5:47.0,Offensive rebound by Team,,15,15
56,1,5:47.0,C. White enters the game for C. Hutchison,,15,15
57,1,5:47.0,C. Felício makes free throw 2 of 2,,16,15
58,1,5:39.0,,F. Korkmaz makes 2-pt layup from 2 ft (assist by B. Simmons),16,17
59,1,5:39.0,,Shooting foul by Z. LaVine (drawn by F. Korkmaz),16,17
60,1,5:39.0,,F. Korkmaz makes free throw 1 of 1,16,18
61,1,5:30.0,Z. LaVine misses 3-pt jump shot from 26 ft,,16,18
62,1,5:27.0,,Defensive rebound by B. Simmons,16,18
63,1,5:21.0,,T. Harris makes 2-pt layup from 2 ft (assist by B. Simmons),16,20
