,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,D. Murray makes 3-pt jump shot from 26 ft (assist by D. DeRozan),0,3
1,1,11:14.0,E. Fournier misses 3-pt jump shot from 25 ft,,0,3
2,1,11:11.0,,Defensive rebound by D. DeRozan,0,3
3,1,11:02.0,,T. Lyles misses 2-pt layup from 2 ft,0,3
4,1,10:58.0,Defensive rebound by J. Ennis,,0,3
5,1,10:53.0,,Violation by Team (kicked ball),0,3
6,1,10:42.0,N. Vučević misses 2-pt jump shot from 19 ft,,0,3
7,1,10:38.0,,Defensive rebound by B. Forbes,0,3
8,1,10:25.0,,B. Forbes makes 3-pt jump shot from 28 ft (assist by D. DeRozan),0,6
9,1,10:09.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by J. Ennis),,2,6
10,1,9:50.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by D. DeRozan),2,9
11,1,9:38.0,E. Fournier misses 2-pt layup from 2 ft,,2,9
12,1,9:38.0,Offensive rebound by E. Fournier,,2,9
13,1,9:38.0,Shooting foul by T. Lyles (drawn by E. Fournier),,2,9
14,1,9:38.0,E. Fournier makes free throw 1 of 2,,3,9
15,1,9:38.0,E. Fournier makes free throw 2 of 2,,4,9
16,1,9:26.0,,Turnover by D. DeRozan (lost ball; steal by J. Ennis),4,9
17,1,9:15.0,M. Fultz misses 2-pt jump shot from 4 ft (block by D. DeRozan),,4,9
18,1,9:11.0,,Defensive rebound by D. DeRozan,4,9
19,1,9:04.0,,D. DeRozan makes 2-pt jump shot from 2 ft,4,11
20,1,8:49.0,N. Vučević misses 2-pt layup from 5 ft,,4,11
21,1,8:49.0,,Defensive rebound by T. Lyles,4,11
22,1,8:40.0,,T. Lyles makes 2-pt hook shot from 5 ft (assist by D. Murray),4,13
23,1,8:34.0,Orlando full timeout,,4,13
24,1,8:29.0,E. Fournier misses 3-pt jump shot from 26 ft,,4,13
25,1,8:25.0,,Defensive rebound by Team,4,13
26,1,8:12.0,,T. Lyles makes 2-pt layup from 1 ft (assist by J. Poeltl),4,15
27,1,7:54.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),,6,15
28,1,7:46.0,,Offensive foul by J. Poeltl (drawn by M. Fultz),6,15
29,1,7:46.0,,Turnover by J. Poeltl (offensive foul),6,15
30,1,7:46.0,,R. Gay enters the game for J. Poeltl,6,15
31,1,7:32.0,N. Vučević makes 2-pt hook shot from 4 ft,,8,15
32,1,7:20.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by B. Forbes),8,18
33,1,6:56.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),,11,18
34,1,6:33.0,,B. Forbes misses 2-pt layup from 5 ft (block by E. Fournier),11,18
35,1,6:33.0,,Offensive rebound by Team,11,18
