,QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,D. Sabonis misses 2-pt hook shot from 6 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Murray,0,0
2,1,11:20.0,,D. Murray makes 2-pt jump shot from 16 ft,0,2
3,1,11:04.0,T. Warren misses 3-pt jump shot from 24 ft,,0,2
4,1,11:01.0,,Defensive rebound by D. Murray,0,2
5,1,10:52.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by D. DeRozan),0,5
6,1,10:35.0,M. Brogdon misses 3-pt jump shot from 26 ft,,0,5
7,1,10:33.0,,Defensive rebound by D. Eubanks,0,5
8,1,10:29.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. Murray),0,8
9,1,10:13.0,Turnover by A. Holiday (bad pass),,0,8
10,1,10:05.0,,D. Murray makes 2-pt jump shot from 18 ft,0,10
11,1,9:59.0,Indiana full timeout,,0,10
12,1,9:53.0,Shooting foul by D. Murray (drawn by M. Brogdon),,0,10
13,1,9:53.0,M. Brogdon makes free throw 1 of 2,,1,10
14,1,9:53.0,M. Brogdon makes free throw 2 of 2,,2,10
15,1,9:36.0,,T. Lyles misses 2-pt layup from 1 ft (block by M. Turner),2,10
16,1,9:32.0,Defensive rebound by A. Holiday,,2,10
17,1,9:26.0,T. Warren misses 2-pt jump shot from 9 ft,,2,10
18,1,9:24.0,,Defensive rebound by D. DeRozan,2,10
19,1,9:16.0,,Turnover by B. Forbes (bad pass; steal by M. Turner),2,10
20,1,8:58.0,M. Brogdon misses 2-pt jump shot from 20 ft,,2,10
21,1,8:54.0,,Defensive rebound by D. DeRozan,2,10
22,1,8:52.0,,Personal foul by A. Holiday (drawn by D. DeRozan),2,10
23,1,8:52.0,J. Holiday enters the game for M. Turner,,2,10
24,1,8:35.0,,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),2,13
25,1,8:23.0,A. Holiday makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,5,13
26,1,8:02.0,,B. Forbes misses 3-pt jump shot from 26 ft,5,13
27,1,8:02.0,Defensive rebound by D. Sabonis,,5,13
28,1,7:42.0,Shooting foul by D. Eubanks (drawn by T. Warren),,5,13
29,1,7:42.0,T. Warren makes free throw 1 of 2,,6,13
30,1,7:42.0,T. Warren makes free throw 2 of 2,,7,13
31,1,7:21.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by D. Murray),7,16
32,1,7:00.0,J. Holiday makes 3-pt jump shot from 27 ft (assist by M. Brogdon),,10,16
33,1,6:46.0,,Turnover by D. Murray (bad pass; steal by J. Holiday),10,16
34,1,6:38.0,J. Holiday misses 2-pt jump shot from 15 ft,,10,16
35,1,6:35.0,,Defensive rebound by T. Lyles,10,16
36,1,6:19.0,,D. Murray misses 2-pt jump shot from 12 ft,10,16
37,1,6:17.0,Defensive rebound by T. Warren,,10,16
38,1,6:06.0,T. Warren misses 2-pt jump shot from 8 ft,,10,16
39,1,6:02.0,,Defensive rebound by T. Lyles,10,16
40,1,6:00.0,,San Antonio full timeout,10,16
41,1,6:00.0,,R. Gay enters the game for D. Eubanks,10,16
42,1,6:00.0,,D. White enters the game for D. Murray,10,16
43,1,5:53.0,,B. Forbes makes 3-pt jump shot from 28 ft (assist by D. DeRozan),10,19
44,1,5:28.0,M. Brogdon makes 2-pt jump shot from 16 ft,,12,19
45,1,5:06.0,,T. Lyles makes 2-pt layup from 1 ft (assist by D. White),12,21
46,1,4:54.0,J. Holiday misses 3-pt jump shot from 24 ft,,12,21
47,1,4:50.0,,Defensive rebound by D. White,12,21
48,1,4:39.0,,Turnover by R. Gay (lost ball; steal by J. Holiday),12,21
49,1,4:19.0,T. Warren makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,15,21
50,1,3:57.0,,D. DeRozan misses 2-pt jump shot from 19 ft,15,21
51,1,3:54.0,Defensive rebound by D. Sabonis,,15,21
52,1,3:45.0,M. Brogdon makes 2-pt layup from 1 ft,,17,21
53,1,3:28.0,,Turnover by D. White (bad pass; steal by T. Warren),17,21
54,1,3:22.0,T. Warren makes 2-pt dunk from 3 ft,,19,21
55,1,3:00.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by R. Gay),19,24
56,1,2:46.0,D. Sabonis misses 2-pt layup from 3 ft,,19,24
57,1,2:46.0,Offensive rebound by Team,,19,24
58,1,2:46.0,T. McConnell enters the game for M. Brogdon,,19,24
59,1,2:46.0,M. Turner enters the game for D. Sabonis,,19,24
60,1,2:46.0,,P. Mills enters the game for D. DeRozan,19,24
61,1,2:46.0,,L. Walker enters the game for B. Forbes,19,24
62,1,2:31.0,T. McConnell misses 2-pt jump shot from 9 ft,,19,24
63,1,2:27.0,,Defensive rebound by T. Lyles,19,24
64,1,2:23.0,,D. White makes 2-pt jump shot from 6 ft,19,26
65,1,2:03.0,M. Turner makes 2-pt jump shot from 11 ft (assist by A. Holiday),,21,26
66,1,1:41.0,,Turnover by D. White (lost ball; steal by T. McConnell),21,26
67,1,1:39.0,Turnover by T. Warren (traveling),,21,26
68,1,1:39.0,D. McDermott enters the game for A. Holiday,,21,26
69,1,1:39.0,E. Sumner enters the game for T. Warren,,21,26
70,1,1:39.0,,M. Belinelli enters the game for T. Lyles,21,26
71,1,1:32.0,,Offensive foul by R. Gay (drawn by J. Holiday),21,26
72,1,1:32.0,,Turnover by R. Gay (offensive foul),21,26
73,1,1:24.0,T. McConnell makes 2-pt jump shot from 13 ft,,23,26
74,1,1:24.0,Shooting foul by P. Mills (drawn by T. McConnell),,23,26
75,1,1:24.0,T. McConnell makes free throw 1 of 1,,24,26
76,1,1:18.0,,Personal foul by D. McDermott (drawn by L. Walker),24,26
77,1,1:07.0,,R. Gay makes 2-pt jump shot from 17 ft,24,28
78,1,0:53.0,J. Holiday misses 3-pt jump shot from 23 ft,,24,28
79,1,0:50.0,,Defensive rebound by L. Walker,24,28
80,1,0:41.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by L. Walker),24,31
81,1,0:41.0,,Shooting foul by E. Sumner (drawn by P. Mills),24,31
82,1,0:41.0,,P. Mills makes free throw 1 of 1,24,32
83,1,0:38.0,Turnover by J. Holiday (bad pass; steal by P. Mills),,24,32
84,1,0:37.0,,P. Mills makes 2-pt layup from 2 ft,24,34
85,1,0:21.0,E. Sumner misses 2-pt layup from 3 ft (block by D. White),,24,34
86,1,0:20.0,Offensive rebound by M. Turner,,24,34
87,1,0:19.0,M. Turner makes 2-pt layup at rim,,26,34
