,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
0,1,11:40.0,Turnover by C. Joseph (bad pass; steal by L. James),,0,0
1,1,11:20.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft,0,0
2,1,11:18.0,,Offensive rebound by J. McGee,0,0
3,1,11:16.0,,J. McGee misses 2-pt layup from 1 ft,0,0
4,1,11:16.0,Defensive rebound by C. Joseph,,0,0
5,1,11:08.0,N. Bjelica misses 2-pt layup from 2 ft,,0,0
6,1,11:06.0,Offensive rebound by N. Bjelica,,0,0
7,1,11:06.0,N. Bjelica misses 2-pt layup from 2 ft,,0,0
8,1,11:04.0,Offensive rebound by B. Hield,,0,0
9,1,11:00.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by H. Barnes),,3,0
10,1,10:37.0,,A. Davis misses 3-pt jump shot from 24 ft,3,0
11,1,10:33.0,,Offensive rebound by L. James,3,0
12,1,10:32.0,,D. Green misses 3-pt jump shot from 26 ft,3,0
13,1,10:29.0,Defensive rebound by N. Bjelica,,3,0
14,1,10:21.0,C. Joseph misses 2-pt jump shot from 21 ft,,3,0
15,1,10:19.0,,Defensive rebound by J. McGee,3,0
16,1,10:17.0,,Personal foul by N. Bjelica (drawn by A. Davis),3,0
17,1,10:00.0,,L. James makes 2-pt layup from 3 ft (assist by A. Davis),3,2
18,1,9:46.0,B. Hield misses 3-pt jump shot from 25 ft,,3,2
19,1,9:45.0,,Defensive rebound by Team,3,2
20,1,9:36.0,,Turnover by D. Green (bad pass; steal by H. Barnes),3,2
21,1,9:32.0,B. Hield makes 3-pt jump shot from 26 ft (assist by C. Joseph),,6,2
22,1,9:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,6,2
23,1,9:23.0,Defensive rebound by H. Barnes,,6,2
24,1,9:14.0,B. Hield makes 3-pt jump shot from 25 ft (assist by C. Joseph),,9,2
25,1,8:57.0,,A. Davis makes 2-pt dunk from 5 ft (assist by L. James),9,4
26,1,8:42.0,R. Holmes makes 2-pt jump shot from 13 ft (assist by C. Joseph),,11,4
27,1,8:29.0,,J. McGee misses 2-pt hook shot from 6 ft,11,4
28,1,8:27.0,,Offensive rebound by K. Caldwell-Pope,11,4
29,1,8:22.0,,Shooting foul by R. Holmes (drawn by L. James),11,4
30,1,8:22.0,,L. James makes free throw 1 of 2,11,5
31,1,8:22.0,,A. Caruso enters the game for K. Caldwell-Pope,11,5
32,1,8:22.0,,L. James makes free throw 2 of 2,11,6
33,1,8:09.0,C. Joseph misses 3-pt jump shot from 25 ft,,11,6
34,1,8:03.0,,Defensive rebound by A. Davis,11,6
35,1,7:53.0,,J. McGee misses 2-pt hook shot from 4 ft,11,6
36,1,7:51.0,Defensive rebound by H. Barnes,,11,6
37,1,7:45.0,R. Holmes makes 2-pt dunk from 3 ft (assist by H. Barnes),,13,6
38,1,7:45.0,,LA Lakers full timeout,13,6
39,1,7:31.0,,D. Green makes 2-pt jump shot from 3 ft (assist by J. McGee),13,8
40,1,7:31.0,,Shooting foul by C. Joseph (drawn by D. Green),13,8
41,1,7:31.0,,D. Green makes free throw 1 of 1,13,9
42,1,7:16.0,C. Joseph makes 2-pt layup from 3 ft,,15,9
43,1,6:58.0,,A. Caruso misses 3-pt jump shot from 24 ft,15,9
44,1,6:56.0,Defensive rebound by H. Barnes,,15,9
45,1,6:44.0,,Violation by Team (kicked ball),15,9
46,1,6:31.0,C. Joseph misses 2-pt jump shot from 7 ft,,15,9
47,1,6:30.0,,Defensive rebound by J. McGee,15,9
48,1,6:30.0,,Personal foul by B. Hield (drawn by A. Caruso),15,9
49,1,6:21.0,,A. Caruso misses 3-pt jump shot from 26 ft,15,9
50,1,6:18.0,Defensive rebound by R. Holmes,,15,9
51,1,6:09.0,Turnover by B. Hield (bad pass; steal by D. Green),,15,9
52,1,6:04.0,,A. Caruso misses 3-pt jump shot from 23 ft,15,9
53,1,6:00.0,Defensive rebound by R. Holmes,,15,9
54,1,5:52.0,R. Holmes misses 2-pt jump shot from 14 ft,,15,9
55,1,5:48.0,Offensive rebound by B. Hield,,15,9
56,1,5:46.0,B. Hield misses 3-pt jump shot from 27 ft,,15,9
57,1,5:44.0,,Defensive rebound by D. Green,15,9
58,1,5:41.0,,Shooting foul by C. Joseph (drawn by A. Davis),15,9
59,1,5:41.0,,A. Davis makes free throw 1 of 2,15,10
60,1,5:41.0,,A. Davis misses free throw 2 of 2,15,10
61,1,5:36.0,,Offensive rebound by J. McGee,15,10
62,1,5:31.0,,L. James makes 3-pt jump shot from 26 ft,15,13
63,1,5:30.0,Sacramento full timeout,,15,13
64,1,5:30.0,B. Bogdanović enters the game for H. Barnes,,15,13
65,1,5:30.0,Y. Ferrell enters the game for C. Joseph,,15,13
66,1,5:05.0,Y. Ferrell makes 2-pt jump shot from 3 ft (assist by B. Hield),,17,13
67,1,4:44.0,,A. Caruso makes 3-pt jump shot from 25 ft (assist by L. James),17,16
68,1,4:44.0,D. Dedmon enters the game for R. Holmes,,17,16
69,1,4:44.0,,K. Kuzma enters the game for D. Green,17,16
70,1,4:44.0,,R. Rondo enters the game for J. McGee,17,16
71,1,4:15.0,N. Bjelica makes 2-pt layup from 4 ft (assist by B. Bogdanović),,19,16
72,1,3:52.0,,L. James misses 3-pt jump shot from 25 ft,19,16
73,1,3:48.0,,Offensive rebound by Team,19,16
74,1,3:43.0,,Turnover by K. Kuzma (lost ball; steal by B. Bogdanović),19,16
75,1,3:38.0,Personal foul by A. Caruso (drawn by B. Bogdanović),,19,16
76,1,3:38.0,,J. Dudley enters the game for L. James,19,16
77,1,3:31.0,B. Bogdanović misses 2-pt jump shot from 22 ft (block by A. Davis),,19,16
78,1,3:27.0,,Defensive rebound by K. Kuzma,19,16
79,1,3:23.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by R. Rondo),19,19
80,1,3:07.0,Personal foul by J. Dudley (drawn by D. Dedmon),,19,19
81,1,3:07.0,H. Barnes enters the game for N. Bjelica,,19,19
82,1,2:56.0,B. Hield makes 3-pt jump shot from 27 ft,,22,19
83,1,2:32.0,,Turnover by A. Davis (traveling),22,19
84,1,2:24.0,Turnover by B. Bogdanović (lost ball; steal by R. Rondo),,22,19
85,1,2:20.0,,J. Dudley misses 2-pt layup from 2 ft,22,19
86,1,2:17.0,Defensive rebound by B. Hield,,22,19
87,1,2:13.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),,25,19
88,1,1:59.0,,R. Rondo misses 3-pt jump shot from 28 ft,25,19
89,1,1:57.0,Defensive rebound by D. Dedmon,,25,19
90,1,1:37.0,D. Dedmon misses 3-pt jump shot from 27 ft,,25,19
91,1,1:35.0,,Defensive rebound by J. Dudley,25,19
92,1,1:33.0,,Personal foul by B. Hield (drawn by A. Davis),25,19
93,1,1:33.0,,A. Davis misses free throw 1 of 2,25,19
94,1,1:33.0,,Offensive rebound by Team,25,19
95,1,1:33.0,D. Jeffries enters the game for B. Hield,,25,19
96,1,1:33.0,,A. Davis makes free throw 2 of 2,25,20
97,1,1:16.0,H. Barnes makes 2-pt jump shot from 5 ft (assist by B. Bogdanović),,27,20
98,1,0:56.0,,K. Kuzma misses 2-pt hook shot from 11 ft,27,20
99,1,0:54.0,Defensive rebound by B. Bogdanović,,27,20
100,1,0:45.0,B. Bogdanović misses 2-pt layup from 6 ft,,27,20
101,1,0:43.0,,Defensive rebound by A. Davis,27,20
102,1,0:38.0,,A. Davis misses 3-pt jump shot from 27 ft,27,20
103,1,0:38.0,Defensive rebound by D. Dedmon,,27,20
104,1,0:29.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,27,20
105,1,0:28.0,,Defensive rebound by Team,27,20
106,1,0:04.0,,R. Rondo misses 3-pt jump shot from 32 ft,27,20
107,1,0:01.0,Defensive rebound by H. Barnes,,27,20
108,1,0:00.0,H. Barnes makes 3-pt jump shot from 47 ft,,30,20
109,1,0:00.0,Instant Replay (Request: Ruling Stands),,30,20
110,2,11:46.0,,Def 3 sec tech foul by Team,30,20
111,2,11:46.0,,K. Caldwell-Pope makes technical free throw,30,21
112,2,11:35.0,,Shooting foul by W. Gabriel (drawn by K. Kuzma),30,21
113,2,11:35.0,,K. Kuzma makes free throw 1 of 2,30,22
114,2,11:35.0,,K. Kuzma makes free throw 2 of 2,30,23
115,2,11:14.0,H. Barnes misses 3-pt jump shot from 27 ft,,30,23
116,2,11:12.0,,Defensive rebound by R. Rondo,30,23
117,2,11:07.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by K. Kuzma),30,26
