,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHARLOTTE_ACTION,WASHINGTON_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,T. Rozier makes 2-pt jump shot from 19 ft,0,2
1,1,11:20.0,B. Beal misses 2-pt layup from 2 ft,,0,2
2,1,11:17.0,Offensive rebound by I. Bonga,,0,2
3,1,11:15.0,M. Wagner makes 2-pt dunk from 1 ft (assist by B. Beal),,2,2
4,1,10:57.0,,P. Washington makes 3-pt jump shot from 23 ft (assist by T. Rozier),2,5
5,1,10:39.0,R. Hachimura misses 2-pt jump shot from 14 ft,,2,5
6,1,10:37.0,,Defensive rebound by B. Biyombo,2,5
7,1,10:34.0,,Shooting foul by I. Bonga (drawn by D. Graham),2,5
8,1,10:34.0,,D. Graham misses free throw 1 of 2,2,5
9,1,10:34.0,,Offensive rebound by Team,2,5
10,1,10:34.0,,D. Graham makes free throw 2 of 2,2,6
11,1,10:18.0,R. Hachimura misses 2-pt hook shot from 6 ft,,2,6
12,1,10:16.0,,Defensive rebound by B. Biyombo,2,6
13,1,10:03.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by P. Washington),2,9
14,1,9:40.0,R. Hachimura makes 2-pt layup from 2 ft (assist by M. Wagner),,4,9
15,1,9:17.0,,M. Bridges misses 2-pt layup from 3 ft,4,9
16,1,9:11.0,,Offensive rebound by T. Rozier,4,9
17,1,9:10.0,,Turnover by T. Rozier (bad pass; steal by I. Bonga),4,9
18,1,9:05.0,B. Beal misses 2-pt layup from 2 ft,,4,9
19,1,9:02.0,Offensive rebound by B. Beal,,4,9
20,1,9:02.0,B. Beal makes 2-pt layup at rim,,6,9
21,1,8:49.0,Violation by Team (kicked ball),,6,9
22,1,8:40.0,,B. Biyombo makes 2-pt dunk from 2 ft (assist by D. Graham),6,11
23,1,8:28.0,Shooting foul by T. Rozier (drawn by B. Beal),,6,11
24,1,8:28.0,B. Beal makes free throw 1 of 2,,7,11
25,1,8:28.0,B. Beal misses free throw 2 of 2,,7,11
26,1,8:26.0,,Defensive rebound by B. Biyombo,7,11
27,1,8:04.0,,D. Graham misses 2-pt jump shot from 23 ft (block by B. Beal),7,11
28,1,8:03.0,Defensive rebound by B. Beal,,7,11
29,1,7:59.0,,Violation by Team (kicked ball),7,11
30,1,7:54.0,I. Bonga misses 3-pt jump shot from 25 ft,,7,11
31,1,7:52.0,,Defensive rebound by B. Biyombo,7,11
32,1,7:47.0,,Shooting foul by B. Beal (drawn by B. Biyombo),7,11
33,1,7:47.0,,B. Biyombo makes free throw 1 of 2,7,12
34,1,7:47.0,,B. Biyombo makes free throw 2 of 2,7,13
35,1,7:30.0,Offensive foul by B. Beal (drawn by D. Graham),,7,13
36,1,7:30.0,Turnover by B. Beal (offensive foul),,7,13
37,1,7:30.0,Instant Replay (Challenge: Ruling Stands),,7,13
38,1,7:30.0,,Charlotte full timeout,7,13
39,1,7:07.0,,M. Bridges makes 2-pt jump shot from 11 ft,7,15
40,1,7:01.0,Turnover by I. Bonga (traveling),,7,15
41,1,7:01.0,,M. Monk enters the game for D. Graham,7,15
42,1,6:49.0,,Turnover by P. Washington (lost ball; steal by R. Hachimura),7,15
43,1,6:38.0,I. Smith makes 2-pt layup from 2 ft (assist by B. Beal),,9,15
44,1,6:29.0,,T. Rozier misses 3-pt jump shot from 26 ft,9,15
45,1,6:27.0,Defensive rebound by B. Beal,,9,15
46,1,6:19.0,B. Beal makes 2-pt layup from 2 ft,,11,15
47,1,6:09.0,,Turnover by M. Monk (bad pass),11,15
48,1,6:09.0,T. Brown enters the game for I. Bonga,,11,15
49,1,6:09.0,I. Mahinmi enters the game for M. Wagner,,11,15
50,1,6:09.0,,M. Kidd-Gilchrist enters the game for M. Bridges,11,15
51,1,5:53.0,R. Hachimura misses 2-pt jump shot from 14 ft,,11,15
52,1,5:49.0,,Defensive rebound by B. Biyombo,11,15
53,1,5:35.0,,T. Rozier misses 2-pt jump shot from 17 ft,11,15
54,1,5:30.0,,Offensive rebound by B. Biyombo,11,15
55,1,5:28.0,,M. Monk makes 3-pt jump shot from 26 ft (assist by P. Washington),11,18
