,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,K. Oubre makes 2-pt jump shot from 18 ft (assist by D. Booker),,2,0
1,1,11:24.0,,C. Joseph misses 3-pt jump shot from 26 ft,2,0
2,1,11:21.0,Defensive rebound by K. Oubre,,2,0
3,1,11:12.0,R. Rubio makes 2-pt layup from 2 ft,,4,0
4,1,11:04.0,Violation by Team (kicked ball),,4,0
5,1,11:00.0,,Personal foul by K. Oubre (drawn by H. Barnes),4,0
6,1,10:48.0,,N. Bjelica misses 2-pt hook shot from 8 ft,4,0
7,1,10:44.0,Defensive rebound by K. Oubre,,4,0
8,1,10:34.0,D. Šarić misses 2-pt layup from 5 ft,,4,0
9,1,10:34.0,,Defensive rebound by C. Joseph,4,0
10,1,10:24.0,,B. Hield misses 2-pt jump shot from 17 ft,4,0
11,1,10:19.0,Defensive rebound by D. Booker,,4,0
12,1,10:10.0,D. Booker misses 3-pt jump shot from 26 ft,,4,0
13,1,10:08.0,,Defensive rebound by N. Bjelica,4,0
14,1,10:06.0,,R. Holmes makes 2-pt layup from 1 ft (assist by B. Hield),4,2
15,1,10:06.0,,Shooting foul by A. Baynes (drawn by R. Holmes),4,2
16,1,10:06.0,,R. Holmes makes free throw 1 of 1,4,3
17,1,9:56.0,Offensive foul by A. Baynes (drawn by C. Joseph),,4,3
18,1,9:56.0,Turnover by A. Baynes (offensive foul),,4,3
19,1,9:56.0,F. Kaminsky enters the game for A. Baynes,,4,3
20,1,9:42.0,,H. Barnes makes 2-pt hook shot from 8 ft,4,5
21,1,9:27.0,D. Šarić misses 3-pt jump shot from 25 ft,,4,5
22,1,9:24.0,,Defensive rebound by H. Barnes,4,5
23,1,9:14.0,,Turnover by N. Bjelica (bad pass; steal by D. Šarić),4,5
24,1,9:09.0,K. Oubre misses 2-pt layup from 3 ft (block by B. Hield),,4,5
25,1,9:06.0,Offensive rebound by K. Oubre,,4,5
26,1,9:05.0,K. Oubre makes 2-pt layup from 3 ft,,6,5
27,1,8:52.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),6,8
28,1,8:41.0,Personal foul by B. Hield (drawn by D. Booker),,6,8
29,1,8:37.0,D. Booker makes 2-pt layup from 3 ft (assist by D. Šarić),,8,8
