,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:45.0,L. Dončić makes 2-pt layup from 4 ft,,2,0
1,1,11:27.0,,Turnover by A. Gordon (lost ball; steal by S. Curry),2,0
2,1,11:21.0,S. Curry makes 2-pt layup from 2 ft,,4,0
3,1,11:05.0,,M. Fultz makes 2-pt jump shot from 15 ft,4,2
4,1,10:56.0,Shooting foul by A. Gordon (drawn by L. Dončić),,4,2
5,1,10:56.0,L. Dončić misses free throw 1 of 2,,4,2
6,1,10:56.0,Offensive rebound by Team,,4,2
7,1,10:56.0,L. Dončić makes free throw 2 of 2,,5,2
8,1,10:41.0,,N. Vučević misses 2-pt jump shot from 2 ft,5,2
9,1,10:37.0,Defensive rebound by K. Porziņģis,,5,2
10,1,10:33.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,5,2
11,1,10:29.0,,Defensive rebound by A. Gordon,5,2
12,1,10:17.0,,N. Vučević makes 2-pt jump shot from 11 ft,5,4
13,1,10:04.0,Turnover by L. Dončić (bad pass; steal by N. Vučević),,5,4
14,1,9:55.0,,N. Vučević misses 3-pt jump shot from 26 ft,5,4
15,1,9:52.0,Defensive rebound by S. Curry,,5,4
16,1,9:41.0,T. Hardaway makes 3-pt jump shot from 22 ft (assist by S. Curry),,8,4
17,1,9:28.0,,J. Ennis misses 3-pt jump shot from 27 ft,8,4
18,1,9:26.0,,Offensive rebound by N. Vučević,8,4
19,1,9:24.0,,J. Ennis misses 3-pt jump shot from 28 ft,8,4
20,1,9:21.0,Defensive rebound by S. Curry,,8,4
21,1,9:16.0,T. Hardaway misses 3-pt jump shot from 26 ft,,8,4
22,1,9:13.0,,Defensive rebound by A. Gordon,8,4
23,1,9:07.0,,N. Vučević misses 3-pt jump shot from 25 ft,8,4
24,1,9:04.0,Defensive rebound by T. Hardaway,,8,4
25,1,8:52.0,L. Dončić misses 2-pt layup from 4 ft,,8,4
26,1,8:52.0,,Defensive rebound by N. Vučević,8,4
27,1,8:46.0,,A. Gordon makes 2-pt layup from 2 ft,8,6
28,1,8:46.0,,Shooting foul by T. Hardaway (drawn by A. Gordon),8,6
29,1,8:46.0,,A. Gordon makes free throw 1 of 1,8,7
30,1,8:25.0,L. Dončić makes 3-pt jump shot from 26 ft,,11,7
31,1,8:07.0,,N. Vučević makes 2-pt layup from 1 ft (assist by M. Fultz),11,9
32,1,7:42.0,S. Curry misses 2-pt jump shot from 4 ft,,11,9
33,1,7:39.0,,Defensive rebound by A. Gordon,11,9
34,1,7:34.0,,J. Ennis misses 2-pt jump shot from 19 ft,11,9
35,1,7:31.0,Defensive rebound by L. Dončić,,11,9
36,1,7:29.0,Turnover by L. Dončić (bad pass; steal by A. Gordon),,11,9
37,1,7:21.0,,M. Fultz misses 2-pt layup from 1 ft (block by K. Porziņģis),11,9
38,1,7:17.0,Defensive rebound by K. Porziņģis,,11,9
39,1,7:14.0,T. Hardaway misses 2-pt layup from 1 ft (block by A. Gordon),,11,9
40,1,7:14.0,Offensive rebound by T. Hardaway,,11,9
41,1,7:09.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by L. Dončić),,14,9
42,1,6:51.0,,N. Vučević misses 2-pt jump shot from 15 ft,14,9
43,1,6:51.0,Defensive rebound by D. Finney-Smith,,14,9
44,1,6:41.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by L. Dončić),,17,9
45,1,6:26.0,,Orlando full timeout,17,9
46,1,6:13.0,,A. Gordon misses 2-pt hook shot from 5 ft,17,9
47,1,6:09.0,Defensive rebound by K. Porziņģis,,17,9
48,1,6:00.0,Turnover by L. Dončić (bad pass),,17,9
49,1,5:50.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by M. Fultz),17,11
50,1,5:39.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,17,11
51,1,5:37.0,,Defensive rebound by J. Ennis,17,11
52,1,5:31.0,,M. Fultz misses 3-pt jump shot from 25 ft,17,11
53,1,5:28.0,Defensive rebound by S. Curry,,17,11
54,1,5:15.0,D. Finney-Smith misses 2-pt layup from 2 ft,,17,11
55,1,5:13.0,,Defensive rebound by N. Vučević,17,11
56,1,5:02.0,,M. Fultz misses 3-pt jump shot from 22 ft,17,11
57,1,5:01.0,,Offensive rebound by Team,17,11
58,1,5:01.0,,Personal foul by K. Porziņģis (drawn by N. Vučević),17,11
59,1,5:01.0,M. Kleber enters the game for S. Curry,,17,11
60,1,5:01.0,D. Wright enters the game for D. Finney-Smith,,17,11
61,1,5:01.0,,G. Clark enters the game for J. Ennis,17,11
62,1,5:01.0,,T. Ross enters the game for A. Gordon,17,11
63,1,4:56.0,,T. Ross misses 2-pt layup from 4 ft (block by K. Porziņģis),17,11
64,1,4:52.0,,Offensive rebound by T. Ross,17,11
65,1,4:50.0,,G. Clark misses 3-pt jump shot from 26 ft,17,11
66,1,4:50.0,Defensive rebound by K. Porziņģis,,17,11
67,1,4:35.0,L. Dončić makes 2-pt layup from 3 ft (assist by K. Porziņģis),,19,11
68,1,4:17.0,,E. Fournier misses 3-pt jump shot from 25 ft,19,11
69,1,4:17.0,Defensive rebound by M. Kleber,,19,11
70,1,4:07.0,L. Dončić makes 3-pt jump shot from 28 ft,,22,11
71,1,3:50.0,,Turnover by M. Fultz (bad pass; steal by D. Wright),22,11
72,1,3:48.0,M. Kleber makes 2-pt dunk from 2 ft (assist by D. Wright),,24,11
73,1,3:37.0,,Orlando full timeout,24,11
74,1,3:37.0,J. Brunson enters the game for T. Hardaway,,24,11
75,1,3:37.0,D. Finney-Smith enters the game for K. Porziņģis,,24,11
76,1,3:37.0,,D. Augustin enters the game for M. Fultz,24,11
77,1,3:30.0,,Shooting foul by D. Finney-Smith (drawn by N. Vučević),24,11
78,1,3:30.0,,N. Vučević makes free throw 1 of 2,24,12
79,1,3:30.0,,N. Vučević makes free throw 2 of 2,24,13
80,1,3:23.0,Turnover by D. Wright (bad pass; steal by T. Ross),,24,13
81,1,3:20.0,,T. Ross misses 2-pt dunk from 4 ft,24,13
82,1,3:18.0,,Offensive rebound by E. Fournier,24,13
83,1,3:16.0,,E. Fournier makes 2-pt hook shot from 4 ft,24,15
84,1,3:00.0,M. Kleber makes 2-pt dunk from 1 ft (assist by L. Dončić),,26,15
85,1,2:46.0,,G. Clark misses 3-pt jump shot from 26 ft,26,15
86,1,2:44.0,Defensive rebound by D. Wright,,26,15
87,1,2:33.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by M. Kleber),,29,15
88,1,2:14.0,,N. Vučević misses 2-pt jump shot from 7 ft,29,15
89,1,2:10.0,Defensive rebound by D. Finney-Smith,,29,15
90,1,2:03.0,L. Dončić makes 2-pt layup from 2 ft,,31,15
91,1,1:51.0,,E. Fournier misses 2-pt jump shot from 15 ft,31,15
92,1,1:50.0,Defensive rebound by Team,,31,15
93,1,1:50.0,M. Kidd-Gilchrist enters the game for D. Finney-Smith,,31,15
94,1,1:50.0,,M. Bamba enters the game for G. Clark,31,15
95,1,1:50.0,,M. Carter-Williams enters the game for E. Fournier,31,15
96,1,1:50.0,,A. Gordon enters the game for N. Vučević,31,15
97,1,1:43.0,L. Dončić misses 3-pt jump shot from 28 ft,,31,15
98,1,1:40.0,,Defensive rebound by M. Carter-Williams,31,15
99,1,1:33.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by M. Bamba),31,18
100,1,1:15.0,M. Kleber makes 2-pt layup from 2 ft,,33,18
101,1,1:15.0,Shooting foul by M. Bamba (drawn by M. Kleber),,33,18
102,1,1:15.0,J. Jackson enters the game for L. Dončić,,33,18
103,1,1:15.0,M. Kleber makes free throw 1 of 1,,34,18
104,1,1:01.0,,M. Bamba misses 2-pt jump shot from 16 ft,34,18
105,1,0:58.0,Defensive rebound by D. Wright,,34,18
106,1,0:39.0,Turnover by D. Wright (lost ball; steal by D. Augustin),,34,18
107,1,0:38.0,,Personal foul by D. Wright (drawn by M. Bamba),34,18
108,1,0:23.0,Violation by Team (kicked ball),,34,18
109,1,0:16.0,,A. Gordon misses 3-pt jump shot from 26 ft,34,18
110,1,0:10.0,,Offensive rebound by M. Carter-Williams,34,18
111,1,0:09.0,,Turnover by M. Carter-Williams (bad pass; steal by J. Jackson),34,18
112,1,0:01.0,M. Kleber misses 3-pt jump shot from 26 ft,,34,18
113,1,0:01.0,,Defensive rebound by T. Ross,34,18
114,1,0:00.0,,T. Ross misses 3-pt jump shot from 72 ft,34,18
115,1,0:00.0,,Offensive rebound by Team,34,18
116,2,11:46.0,,Personal foul by M. Kidd-Gilchrist (drawn by A. Gordon),34,18
117,2,11:43.0,,Offensive foul by A. Gordon (drawn by J. Brunson),34,18
118,2,11:43.0,,Turnover by A. Gordon (offensive foul),34,18
119,2,11:29.0,J. Brunson misses 2-pt jump shot from 16 ft,,34,18
120,2,11:25.0,,Defensive rebound by A. Gordon,34,18
121,2,11:23.0,,A. Gordon makes 2-pt layup from 1 ft,34,20
122,2,11:23.0,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Gordon),34,20
123,2,11:23.0,,A. Gordon misses free throw 1 of 1,34,20
124,2,11:20.0,Defensive rebound by M. Kleber,,34,20
125,2,11:12.0,Shooting foul by T. Ross (drawn by J. Jackson),,34,20
126,2,11:12.0,J. Jackson misses free throw 1 of 2,,34,20
127,2,11:12.0,Offensive rebound by Team,,34,20
128,2,11:12.0,J. Jackson makes free throw 2 of 2,,35,20
129,2,10:57.0,,A. Gordon makes 2-pt jump shot from 11 ft (assist by T. Ross),35,22
130,2,10:44.0,J. Jackson misses 2-pt jump shot from 16 ft,,35,22
131,2,10:43.0,,Defensive rebound by M. Bamba,35,22
132,2,10:23.0,,M. Bamba makes 2-pt jump shot from 13 ft,35,24
133,2,9:58.0,J. Brunson misses 2-pt jump shot from 19 ft,,35,24
134,2,9:56.0,,Defensive rebound by T. Ross,35,24
135,2,9:52.0,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Carter-Williams),35,24
136,2,9:52.0,,M. Carter-Williams makes free throw 1 of 2,35,25
137,2,9:52.0,K. Porziņģis enters the game for M. Kidd-Gilchrist,,35,25
138,2,9:52.0,,M. Carter-Williams makes free throw 2 of 2,35,26
139,2,9:43.0,M. Kleber misses 3-pt jump shot from 26 ft,,35,26
140,2,9:40.0,Offensive rebound by J. Jackson,,35,26
141,2,9:38.0,J. Jackson makes 2-pt layup from 2 ft,,37,26
142,2,9:22.0,Violation by Team (kicked ball),,37,26
143,2,9:20.0,,Shooting foul by J. Jackson (drawn by T. Ross),37,26
144,2,9:20.0,,T. Ross makes free throw 1 of 3,37,27
145,2,9:20.0,,T. Ross makes free throw 2 of 3,37,28
146,2,9:20.0,,T. Ross makes free throw 3 of 3,37,29
147,2,9:07.0,K. Porziņģis makes 2-pt jump shot from 20 ft,,39,29
148,2,9:07.0,Shooting foul by T. Ross (drawn by K. Porziņģis),,39,29
149,2,9:07.0,K. Porziņģis makes free throw 1 of 1,,40,29
150,2,8:51.0,,Personal foul by K. Porziņģis (drawn by T. Ross),40,29
151,2,8:51.0,,T. Ross misses free throw 1 of 2,40,29
152,2,8:51.0,,Offensive rebound by Team,40,29
153,2,8:51.0,D. Finney-Smith enters the game for M. Kleber,,40,29
154,2,8:51.0,,T. Ross makes free throw 2 of 2,40,30
155,2,8:35.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Jackson),,43,30
156,2,8:18.0,,M. Bamba misses 3-pt jump shot from 25 ft,43,30
157,2,8:16.0,Defensive rebound by K. Porziņģis,,43,30
158,2,8:12.0,D. Wright makes 2-pt layup from 2 ft (assist by J. Brunson),,45,30
159,2,8:12.0,Shooting foul by M. Bamba (drawn by D. Wright),,45,30
160,2,8:12.0,,G. Clark enters the game for D. Augustin,45,30
161,2,8:12.0,,M. Fultz enters the game for M. Bamba,45,30
162,2,8:12.0,,N. Vučević enters the game for A. Gordon,45,30
163,2,8:12.0,D. Wright makes free throw 1 of 1,,46,30
164,2,7:58.0,,M. Fultz makes 2-pt layup from 1 ft,46,32
165,2,7:41.0,K. Porziņģis misses 2-pt hook shot from 1 ft,,46,32
166,2,7:41.0,,Defensive rebound by M. Carter-Williams,46,32
167,2,7:36.0,,T. Ross misses 2-pt jump shot from 8 ft,46,32
168,2,7:36.0,,Offensive rebound by M. Carter-Williams,46,32
