,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,D. Fox misses 2-pt jump shot from 9 ft (block by M. Morris),,0,0
1,1,11:43.0,,Defensive rebound by I. Zubac,0,0
2,1,11:37.0,,K. Leonard misses 3-pt jump shot from 26 ft,0,0
3,1,11:35.0,Defensive rebound by H. Barnes,,0,0
4,1,11:35.0,Shooting foul by L. Shamet (drawn by D. Fox),,0,0
5,1,11:35.0,D. Fox makes free throw 1 of 2,,1,0
6,1,11:35.0,D. Fox makes free throw 2 of 2,,2,0
7,1,11:10.0,,R. Jackson misses 3-pt jump shot from 25 ft,2,0
8,1,11:08.0,Defensive rebound by B. Bogdanović,,2,0
9,1,10:54.0,H. Giles makes 2-pt jump shot from 7 ft (assist by D. Fox),,4,0
10,1,10:33.0,,I. Zubac misses 2-pt hook shot from 2 ft,4,0
11,1,10:30.0,Defensive rebound by H. Giles,,4,0
12,1,10:23.0,D. Fox misses 3-pt jump shot from 26 ft,,4,0
13,1,10:23.0,,Defensive rebound by Team,4,0
14,1,10:05.0,,Personal foul by D. Fox (drawn by M. Morris),4,0
15,1,9:58.0,,K. Leonard misses 2-pt jump shot from 6 ft,4,0
16,1,9:53.0,Defensive rebound by H. Barnes,,4,0
17,1,9:46.0,H. Giles misses 2-pt hook shot from 6 ft,,4,0
18,1,9:44.0,,Defensive rebound by K. Leonard,4,0
19,1,9:36.0,,M. Morris misses 3-pt jump shot from 25 ft,4,0
20,1,9:32.0,Defensive rebound by H. Barnes,,4,0
21,1,9:20.0,H. Giles makes 2-pt jump shot from 16 ft (assist by H. Barnes),,6,0
22,1,9:12.0,,Offensive foul by I. Zubac (drawn by B. Bogdanović),6,0
23,1,9:12.0,,Turnover by I. Zubac (offensive foul),6,0
24,1,9:01.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,6,0
25,1,8:56.0,,Defensive rebound by I. Zubac,6,0
26,1,8:44.0,,M. Morris misses 2-pt jump shot from 5 ft,6,0
27,1,8:42.0,Defensive rebound by H. Giles,,6,0
28,1,8:29.0,H. Giles misses 2-pt dunk from 4 ft (block by I. Zubac),,6,0
29,1,8:25.0,Offensive rebound by N. Bjelica,,6,0
30,1,8:24.0,N. Bjelica misses 2-pt layup from 1 ft,,6,0
31,1,8:22.0,Offensive rebound by N. Bjelica,,6,0
32,1,8:22.0,N. Bjelica makes 2-pt layup at rim,,8,0
33,1,8:13.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by R. Jackson),8,3
34,1,8:03.0,D. Fox misses 2-pt jump shot from 8 ft,,8,3
35,1,8:00.0,Offensive rebound by D. Fox,,8,3
36,1,7:57.0,H. Barnes misses 3-pt jump shot from 23 ft,,8,3
37,1,7:54.0,,Defensive rebound by R. Jackson,8,3
38,1,7:40.0,,L. Shamet misses 3-pt jump shot from 24 ft,8,3
39,1,7:37.0,Defensive rebound by B. Bogdanović,,8,3
40,1,7:24.0,N. Bjelica misses 2-pt jump shot from 21 ft,,8,3
41,1,7:22.0,,Defensive rebound by K. Leonard,8,3
42,1,7:16.0,,K. Leonard misses 2-pt layup from 4 ft,8,3
43,1,7:13.0,,Offensive rebound by I. Zubac,8,3
44,1,7:13.0,,I. Zubac misses 2-pt layup from 1 ft,8,3
45,1,7:13.0,Defensive rebound by N. Bjelica,,8,3
46,1,7:13.0,,Violation by Team (kicked ball),8,3
47,1,7:02.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,8,3
48,1,7:00.0,,Defensive rebound by K. Leonard,8,3
49,1,6:58.0,,Shooting foul by N. Bjelica (drawn by K. Leonard),8,3
50,1,6:58.0,,LA Clippers full timeout,8,3
51,1,6:58.0,,K. Leonard makes free throw 1 of 2,8,4
52,1,6:58.0,,K. Leonard makes free throw 2 of 2,8,5
53,1,6:39.0,D. Fox misses 2-pt jump shot from 5 ft,,8,5
54,1,6:36.0,,Defensive rebound by K. Leonard,8,5
55,1,6:20.0,,M. Morris misses 2-pt jump shot from 13 ft,8,5
56,1,6:17.0,,Offensive rebound by I. Zubac,8,5
57,1,6:12.0,,R. Jackson misses 3-pt jump shot from 24 ft,8,5
58,1,6:10.0,Defensive rebound by H. Giles,,8,5
59,1,5:55.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by H. Giles),,10,5
60,1,5:37.0,,K. Leonard misses 2-pt jump shot from 12 ft,10,5
61,1,5:36.0,,Offensive rebound by I. Zubac,10,5
62,1,5:36.0,,I. Zubac misses 2-pt layup from 1 ft,10,5
63,1,5:36.0,,Offensive rebound by I. Zubac,10,5
64,1,5:36.0,,Shooting foul by H. Giles (drawn by I. Zubac),10,5
65,1,5:36.0,,I. Zubac makes free throw 1 of 2,10,6
66,1,5:36.0,K. Bazemore enters the game for N. Bjelica,,10,6
67,1,5:36.0,,L. Williams enters the game for R. Jackson,10,6
68,1,5:36.0,,I. Zubac makes free throw 2 of 2,10,7
69,1,5:26.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Fox),,12,7
70,1,5:10.0,,I. Zubac makes 2-pt hook shot from 3 ft (assist by L. Shamet),12,9
71,1,5:03.0,Personal foul by L. Shamet (drawn by B. Bogdanović),,12,9
72,1,5:03.0,A. Len enters the game for H. Giles,,12,9
73,1,5:03.0,,A. Coffey enters the game for L. Shamet,12,9
74,1,4:56.0,D. Fox misses 2-pt layup from 1 ft,,12,9
75,1,4:53.0,Offensive rebound by A. Len,,12,9
76,1,4:52.0,H. Barnes misses 3-pt jump shot from 28 ft,,12,9
77,1,4:47.0,Offensive rebound by B. Bogdanović,,12,9
78,1,4:43.0,D. Fox misses 3-pt jump shot from 25 ft,,12,9
79,1,4:41.0,,Defensive rebound by K. Leonard,12,9
80,1,4:39.0,,K. Leonard misses 2-pt layup from 1 ft,12,9
81,1,4:39.0,Defensive rebound by K. Bazemore,,12,9
82,1,4:30.0,A. Len misses 2-pt jump shot from 4 ft,,12,9
83,1,4:28.0,,Defensive rebound by I. Zubac,12,9
84,1,4:22.0,,M. Morris misses 2-pt layup from 2 ft,12,9
85,1,4:20.0,Defensive rebound by K. Bazemore,,12,9
86,1,4:14.0,Shooting foul by I. Zubac (drawn by A. Len),,12,9
87,1,4:14.0,A. Len misses free throw 1 of 2,,12,9
88,1,4:14.0,Offensive rebound by Team,,12,9
89,1,4:14.0,C. Joseph enters the game for D. Fox,,12,9
90,1,4:14.0,,M. Harrell enters the game for I. Zubac,12,9
91,1,4:14.0,A. Len makes free throw 2 of 2,,13,9
92,1,3:58.0,,Turnover by M. Morris (bad pass; steal by H. Barnes),13,9
93,1,3:53.0,K. Bazemore makes 2-pt layup from 2 ft (assist by H. Barnes),,15,9
94,1,3:42.0,,Turnover by M. Morris (lost ball; steal by B. Bogdanović),15,9
95,1,3:34.0,B. Bogdanović makes 2-pt jump shot from 12 ft,,17,9
96,1,3:14.0,,L. Williams makes 2-pt jump shot from 11 ft (assist by M. Harrell),17,11
97,1,2:58.0,K. Bazemore misses 3-pt jump shot from 26 ft,,17,11
98,1,2:54.0,,Defensive rebound by M. Harrell,17,11
99,1,2:48.0,,M. Harrell misses 2-pt layup from 2 ft,17,11
100,1,2:45.0,Defensive rebound by A. Len,,17,11
101,1,2:29.0,K. Bazemore makes 2-pt layup from 2 ft (assist by B. Bogdanović),,19,11
102,1,2:29.0,,LA Clippers full timeout,19,11
103,1,2:29.0,N. Bjelica enters the game for H. Barnes,,19,11
104,1,2:29.0,B. Hield enters the game for B. Bogdanović,,19,11
105,1,2:29.0,,J. Green enters the game for K. Leonard,19,11
106,1,2:29.0,,R. McGruder enters the game for M. Morris,19,11
107,1,2:16.0,,Turnover by R. McGruder (bad pass; steal by K. Bazemore),19,11
108,1,2:15.0,Shooting foul by A. Coffey (drawn by K. Bazemore),,19,11
109,1,2:15.0,K. Bazemore makes free throw 1 of 2,,20,11
110,1,2:15.0,K. Bazemore makes free throw 2 of 2,,21,11
111,1,1:54.0,,Turnover by L. Williams (dbl dribble),21,11
112,1,1:35.0,B. Hield misses 2-pt jump shot from 21 ft,,21,11
113,1,1:35.0,,Defensive rebound by Team,21,11
114,1,1:20.0,,R. McGruder misses 3-pt jump shot from 26 ft,21,11
115,1,1:17.0,Defensive rebound by K. Bazemore,,21,11
116,1,1:07.0,K. Bazemore makes 2-pt layup from 2 ft,,23,11
117,1,0:57.0,,L. Williams misses 2-pt layup from 2 ft,23,11
118,1,0:54.0,Defensive rebound by K. Bazemore,,23,11
119,1,0:43.0,Personal foul by L. Williams (drawn by K. Bazemore),,23,11
120,1,0:43.0,K. Bazemore makes free throw 1 of 2,,24,11
121,1,0:43.0,K. Bazemore makes free throw 2 of 2,,25,11
122,1,0:27.0,,M. Harrell misses 2-pt layup from 3 ft,25,11
123,1,0:25.0,Defensive rebound by A. Len,,25,11
124,1,0:12.0,B. Hield misses 3-pt jump shot from 26 ft,,25,11
125,1,0:12.0,,Defensive rebound by Team,25,11
126,1,0:12.0,Loose ball foul by A. Len (drawn by M. Harrell),,25,11
127,1,0:12.0,,P. Patterson enters the game for A. Coffey,25,11
128,1,0:12.0,,L. Shamet enters the game for R. McGruder,25,11
129,1,0:02.0,,L. Williams misses 2-pt jump shot from 18 ft,25,11
130,1,0:02.0,,Offensive rebound by M. Harrell,25,11
131,1,0:01.0,,M. Harrell makes 2-pt layup from 1 ft,25,13
132,2,11:39.0,,Turnover by L. Williams (bad pass; steal by B. Hield),25,13
133,2,11:22.0,Shooting foul by J. Green (drawn by K. Bazemore),,25,13
134,2,11:22.0,K. Bazemore makes free throw 1 of 2,,26,13
135,2,11:22.0,K. Bazemore makes free throw 2 of 2,,27,13
136,2,11:07.0,,J. Green makes 3-pt jump shot from 25 ft (assist by L. Williams),27,16
137,2,10:41.0,B. Hield makes 2-pt jump shot from 12 ft,,29,16
138,2,10:25.0,,J. Green misses 3-pt jump shot from 25 ft,29,16
139,2,10:20.0,Defensive rebound by B. Hield,,29,16
140,2,10:17.0,Offensive foul by B. Hield (drawn by L. Shamet),,29,16
141,2,10:17.0,Turnover by B. Hield (offensive foul),,29,16
142,2,10:17.0,,Technical foul by B. Hield,29,16
143,2,10:17.0,,L. Williams makes technical free throw,29,17
144,2,10:08.0,,Shooting foul by H. Giles (drawn by M. Harrell),29,17
145,2,10:08.0,,M. Harrell makes free throw 1 of 2,29,18
146,2,10:08.0,,M. Harrell makes free throw 2 of 2,29,19
147,2,9:52.0,H. Giles makes 2-pt dunk from 2 ft (assist by B. Hield),,31,19
148,2,9:39.0,,Turnover by L. Williams (bad pass; steal by N. Bjelica),31,19
149,2,9:34.0,Turnover by N. Bjelica (bad pass; steal by L. Williams),,31,19
150,2,9:29.0,,Shooting foul by C. Joseph (drawn by A. Coffey),31,19
151,2,9:29.0,,A. Coffey misses free throw 1 of 2,31,19
152,2,9:29.0,,Offensive rebound by Team,31,19
153,2,9:29.0,,A. Coffey makes free throw 2 of 2,31,20
154,2,9:08.0,B. Hield makes 3-pt jump shot from 26 ft,,34,20
155,2,8:53.0,,Turnover by L. Shamet (traveling),34,20
156,2,8:53.0,H. Barnes enters the game for N. Bjelica,,34,20
157,2,8:41.0,B. Hield misses 2-pt jump shot from 17 ft,,34,20
158,2,8:38.0,,Defensive rebound by M. Harrell,34,20
159,2,8:24.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by A. Coffey),34,23
160,2,8:17.0,C. Joseph misses 2-pt jump shot from 17 ft,,34,23
161,2,8:15.0,,Defensive rebound by M. Harrell,34,23
162,2,8:03.0,,Turnover by L. Williams (bad pass; steal by K. Bazemore),34,23
163,2,7:54.0,C. Joseph makes 2-pt layup from 2 ft (assist by H. Barnes),,36,23
164,2,7:36.0,,A. Coffey misses 2-pt layup from 1 ft,36,23
165,2,7:35.0,,Offensive rebound by Team,36,23
166,2,7:35.0,B. Bogdanović enters the game for K. Bazemore,,36,23
167,2,7:35.0,,R. Jackson enters the game for A. Coffey,36,23
168,2,7:35.0,,K. Leonard enters the game for J. Green,36,23
169,2,7:35.0,,M. Morris enters the game for L. Williams,36,23
170,2,7:18.0,,K. Leonard misses 2-pt jump shot from 3 ft,36,23
171,2,7:16.0,Defensive rebound by H. Giles,,36,23
172,2,7:01.0,H. Barnes misses 2-pt layup from 3 ft,,36,23
173,2,6:58.0,,Defensive rebound by K. Leonard,36,23
174,2,6:56.0,,R. Jackson misses 3-pt jump shot from 26 ft,36,23
175,2,6:53.0,Defensive rebound by H. Giles,,36,23
176,2,6:44.0,Turnover by B. Hield (lost ball; steal by L. Shamet),,36,23
177,2,6:42.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Shamet),36,25
178,2,6:32.0,Sacramento full timeout,,36,25
179,2,6:32.0,N. Bjelica enters the game for H. Giles,,36,25
180,2,6:32.0,D. Fox enters the game for B. Hield,,36,25
181,2,6:32.0,A. Len enters the game for C. Joseph,,36,25
182,2,6:32.0,,I. Zubac enters the game for M. Harrell,36,25
183,2,6:28.0,N. Bjelica misses 3-pt jump shot from 26 ft,,36,25
184,2,6:27.0,,Defensive rebound by Team,36,25
185,2,6:18.0,,K. Leonard makes 2-pt layup from 1 ft (assist by R. Jackson),36,27
186,2,6:18.0,,Shooting foul by H. Barnes (drawn by K. Leonard),36,27
187,2,6:18.0,,K. Leonard makes free throw 1 of 1,36,28
188,2,6:07.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,36,28
189,2,6:02.0,,Defensive rebound by I. Zubac,36,28
190,2,5:55.0,,I. Zubac misses 2-pt jump shot from 9 ft,36,28
191,2,5:52.0,Defensive rebound by D. Fox,,36,28
192,2,5:39.0,Shooting foul by L. Shamet (drawn by H. Barnes),,36,28
