,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
68,1,4:18.0,Turnover by M. Conley (bad pass),,13,12
69,1,4:06.0,,L. Williams misses 2-pt jump shot from 9 ft,13,12
70,1,4:04.0,Defensive rebound by J. Ingles,,13,12
71,1,3:58.0,R. O'Neale misses 3-pt jump shot from 26 ft,,13,12
72,1,3:53.0,,Defensive rebound by M. Harkless,13,12
73,1,3:50.0,,L. Shamet misses 3-pt jump shot from 27 ft,13,12
74,1,3:47.0,Defensive rebound by R. Gobert,,13,12
75,1,3:31.0,J. Ingles misses 3-pt jump shot from 27 ft,,13,12
76,1,3:26.0,Offensive rebound by R. O'Neale,,13,12
77,1,3:19.0,M. Conley misses 2-pt jump shot from 13 ft,,13,12
78,1,3:10.0,Offensive rebound by R. Gobert,,13,12
79,1,3:10.0,R. Gobert misses 2-pt layup from 1 ft,,13,12
80,1,3:09.0,,Defensive rebound by I. Zubac,13,12
81,1,3:01.0,,L. Williams misses 2-pt jump shot from 19 ft (block by B. Bogdanović),13,12
82,1,2:58.0,Defensive rebound by B. Bogdanović,,13,12
83,1,2:47.0,Shooting foul by M. Harkless (drawn by M. Conley),,13,12
84,1,2:47.0,Utah full timeout,,13,12
85,1,2:47.0,T. Bradley enters the game for B. Bogdanović,,13,12
86,1,2:47.0,J. Green enters the game for R. Gobert,,13,12
87,1,2:47.0,G. Niang enters the game for R. O'Neale,,13,12
88,1,2:47.0,,M. Harrell enters the game for I. Zubac,13,12
89,1,2:47.0,M. Conley makes free throw 1 of 3,,14,12
90,1,2:47.0,M. Conley makes free throw 2 of 3,,15,12
91,1,2:47.0,M. Conley makes free throw 3 of 3,,16,12
92,1,2:33.0,,P. Beverley misses 3-pt jump shot from 25 ft,16,12
93,1,2:29.0,Defensive rebound by T. Bradley,,16,12
94,1,2:09.0,M. Conley misses 3-pt jump shot from 24 ft,,16,12
95,1,2:05.0,,Defensive rebound by M. Harkless,16,12
96,1,1:55.0,,M. Harkless makes 2-pt dunk from 2 ft (assist by M. Harrell),16,14
97,1,1:41.0,Offensive foul by T. Bradley (drawn by M. Harrell),,16,14
98,1,1:41.0,Turnover by T. Bradley (offensive foul),,16,14
99,1,1:41.0,D. Mitchell enters the game for M. Conley,,16,14
100,1,1:41.0,,J. Green enters the game for P. Beverley,16,14
101,1,1:41.0,,R. McGruder enters the game for L. Shamet,16,14
102,1,1:31.0,,Turnover by L. Williams (bad pass),16,14
103,1,1:15.0,D. Mitchell misses 2-pt layup from 1 ft,,16,14
104,1,1:13.0,,Defensive rebound by R. McGruder,16,14
105,1,1:12.0,,Shooting foul by G. Niang (drawn by L. Williams),16,14
106,1,1:12.0,,L. Williams makes free throw 1 of 2,16,15
107,1,1:12.0,,L. Williams makes free throw 2 of 2,16,16
108,1,0:50.0,D. Mitchell makes 2-pt layup from 5 ft,,18,16
109,1,0:39.0,,Shooting foul by G. Niang (drawn by M. Harrell),18,16
110,1,0:39.0,,M. Harrell misses free throw 1 of 2,18,16
111,1,0:39.0,,Offensive rebound by Team,18,16
112,1,0:39.0,,M. Harrell misses free throw 2 of 2,18,16
113,1,0:37.0,Defensive rebound by T. Bradley,,18,16
114,1,0:34.0,Personal foul by R. McGruder (drawn by D. Mitchell),,18,16
115,1,0:34.0,D. Mitchell makes free throw 1 of 2,,19,16
116,1,0:34.0,D. Mitchell makes free throw 2 of 2,,20,16
117,1,0:09.0,,Turnover by J. Green (bad pass; steal by D. Mitchell),20,16
118,1,0:01.0,T. Bradley misses 2-pt layup from 2 ft (block by R. McGruder),,20,16
119,1,0:00.0,Offensive rebound by T. Bradley,,20,16
120,1,0:00.0,T. Bradley misses 2-pt layup from 1 ft (block by J. Green),,20,16
121,1,0:00.0,Offensive rebound by Team,,20,16
122,2,11:49.0,,M. Harkless misses 2-pt layup from 2 ft,20,16
123,2,11:46.0,Defensive rebound by J. Green,,20,16
124,2,11:38.0,Shooting foul by M. Harkless (drawn by D. Mitchell),,20,16
125,2,11:38.0,D. Mitchell misses free throw 1 of 2,,20,16
126,2,11:38.0,Offensive rebound by Team,,20,16
127,2,11:38.0,,K. Leonard enters the game for M. Harkless,20,16
128,2,11:38.0,D. Mitchell misses free throw 2 of 2,,20,16
129,2,11:36.0,Offensive rebound by T. Bradley,,20,16
130,2,11:36.0,T. Bradley makes 2-pt layup from 1 ft,,22,16
131,2,11:24.0,,J. Green misses 3-pt jump shot from 27 ft,22,16
132,2,11:22.0,,Offensive rebound by R. McGruder,22,16
133,2,11:15.0,,R. McGruder misses 3-pt jump shot from 24 ft,22,16
134,2,11:14.0,,Offensive rebound by M. Harrell,22,16
135,2,11:14.0,,J. Green misses 2-pt layup from 2 ft,22,16
136,2,11:14.0,,Offensive rebound by J. Green,22,16
137,2,11:11.0,,M. Harrell makes 2-pt layup from 2 ft,22,18
138,2,10:45.0,D. Mitchell misses 3-pt jump shot from 26 ft,,22,18
139,2,10:40.0,,Defensive rebound by L. Williams,22,18
140,2,10:39.0,Loose ball foul by J. Ingles (drawn by M. Harrell),,22,18
141,2,10:26.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by K. Leonard),22,20
142,2,10:05.0,T. Bradley makes 2-pt dunk from 2 ft (assist by D. Mitchell),,24,20
143,2,10:05.0,Shooting foul by M. Harrell (drawn by T. Bradley),,24,20
144,2,10:05.0,T. Bradley misses free throw 1 of 1,,24,20
145,2,10:01.0,,Defensive rebound by K. Leonard,24,20
146,2,9:56.0,,Shooting foul by R. O'Neale (drawn by K. Leonard),24,20
147,2,9:56.0,,K. Leonard makes free throw 1 of 2,24,21
148,2,9:56.0,,K. Leonard makes free throw 2 of 2,24,22
149,2,9:42.0,J. Green misses 3-pt jump shot from 24 ft,,24,22
150,2,9:36.0,,Defensive rebound by R. McGruder,24,22
151,2,9:34.0,,L. Williams makes 2-pt jump shot from 16 ft,24,24
152,2,9:13.0,R. O'Neale misses 3-pt jump shot from 26 ft,,24,24
153,2,9:08.0,,Defensive rebound by R. McGruder,24,24
154,2,8:55.0,,M. Harrell misses 2-pt hook shot from 2 ft,24,24
155,2,8:51.0,,Offensive rebound by K. Leonard,24,24
156,2,8:43.0,,K. Leonard makes 2-pt jump shot from 8 ft,24,26
157,2,8:18.0,R. O'Neale misses 2-pt jump shot from 15 ft,,24,26
158,2,8:18.0,Offensive rebound by Team,,24,26
159,2,8:18.0,Turnover by Team (shot clock),,24,26
160,2,8:18.0,B. Bogdanović enters the game for T. Bradley,,24,26
161,2,8:18.0,M. Conley enters the game for J. Ingles,,24,26
162,2,8:18.0,R. Gobert enters the game for D. Mitchell,,24,26
163,2,8:02.0,,Personal foul by R. O'Neale (drawn by J. Green),24,26
164,2,8:02.0,,P. Beverley enters the game for R. McGruder,24,26
165,2,8:02.0,,L. Shamet enters the game for L. Williams,24,26
166,2,7:57.0,,Shooting foul by B. Bogdanović (drawn by K. Leonard),24,26
167,2,7:57.0,,K. Leonard misses free throw 1 of 2,24,26
168,2,7:57.0,,Offensive rebound by Team,24,26
169,2,7:57.0,,K. Leonard makes free throw 2 of 2,24,27
170,2,7:42.0,J. Green misses 3-pt jump shot from 26 ft,,24,27
171,2,7:38.0,,Defensive rebound by P. Beverley,24,27
172,2,7:34.0,,K. Leonard misses 3-pt jump shot from 26 ft,24,27
173,2,7:32.0,,Offensive rebound by K. Leonard,24,27
174,2,7:29.0,,J. Green misses 3-pt jump shot from 23 ft,24,27
175,2,7:25.0,Defensive rebound by R. O'Neale,,24,27
176,2,6:57.0,M. Conley misses 2-pt jump shot from 22 ft,,24,27
177,2,6:54.0,,Defensive rebound by L. Shamet,24,27
178,2,6:48.0,,K. Leonard misses 2-pt layup from 5 ft,24,27
179,2,6:44.0,,Offensive rebound by J. Green,24,27
180,2,6:39.0,,P. Beverley makes 2-pt layup from 1 ft,24,29
181,2,6:39.0,Utah full timeout,,24,29
182,2,6:21.0,R. O'Neale misses 2-pt jump shot from 5 ft,,24,29
183,2,6:17.0,,Defensive rebound by P. Beverley,24,29
184,2,5:59.0,,L. Shamet makes 2-pt layup from 3 ft (assist by J. Green),24,31
185,2,5:36.0,B. Bogdanović misses 2-pt layup from 3 ft (block by P. Beverley),,24,31
186,2,5:36.0,Offensive rebound by Team,,24,31
187,2,5:36.0,D. Mitchell enters the game for R. O'Neale,,24,31
188,2,5:36.0,,I. Zubac enters the game for M. Harrell,24,31
189,2,5:32.0,Turnover by M. Conley (bad pass; steal by I. Zubac),,24,31
190,2,5:27.0,,K. Leonard misses 2-pt dunk from 2 ft (block by J. Green),24,31
191,2,5:25.0,,Offensive rebound by P. Beverley,24,31
192,2,5:25.0,,P. Beverley makes 2-pt layup from 2 ft,24,33
193,2,5:17.0,Personal foul by J. Green (drawn by M. Conley),,24,33
194,2,5:17.0,,P. Patterson enters the game for J. Green,24,33
195,2,5:17.0,,L. Williams enters the game for K. Leonard,24,33
196,2,5:04.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,24,33
197,2,5:02.0,,Defensive rebound by P. Beverley,24,33
198,2,4:57.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by L. Williams),24,36
199,2,4:36.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,27,36
200,2,4:18.0,,L. Williams misses 2-pt layup from 7 ft,27,36
201,2,4:15.0,Defensive rebound by D. Mitchell,,27,36
202,2,4:09.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,30,36
203,2,4:09.0,,LA Clippers full timeout,30,36
204,2,4:09.0,J. Ingles enters the game for J. Green,,30,36
205,2,3:55.0,,L. Shamet misses 3-pt jump shot from 25 ft,30,36
206,2,3:52.0,Defensive rebound by R. Gobert,,30,36
207,2,3:34.0,R. Gobert misses 2-pt layup from 1 ft (block by I. Zubac),,30,36
208,2,3:30.0,,Defensive rebound by P. Beverley,30,36
209,2,3:23.0,,P. Beverley misses 3-pt jump shot from 26 ft,30,36
210,2,3:18.0,Defensive rebound by D. Mitchell,,30,36
211,2,3:11.0,D. Mitchell misses 2-pt jump shot from 6 ft,,30,36
212,2,3:07.0,,Defensive rebound by L. Shamet,30,36
213,2,3:01.0,,L. Williams misses 2-pt layup from 3 ft,30,36
214,2,2:59.0,Defensive rebound by M. Conley,,30,36
215,2,2:51.0,D. Mitchell makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),,32,36
216,2,2:35.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),32,39
217,2,2:08.0,R. Gobert makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,34,39
218,2,1:44.0,,L. Shamet misses 3-pt jump shot from 25 ft,34,39
219,2,1:42.0,Defensive rebound by J. Ingles,,34,39
220,2,1:34.0,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),,36,39
221,2,1:24.0,,Turnover by P. Patterson (bad pass),36,39
222,2,1:24.0,,M. Harrell enters the game for P. Beverley,36,39
223,2,1:24.0,,K. Leonard enters the game for P. Patterson,36,39
224,2,1:24.0,,R. McGruder enters the game for I. Zubac,36,39
225,2,1:11.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by M. Conley),,39,39
226,2,0:44.0,,L. Shamet misses 3-pt jump shot from 23 ft,39,39
227,2,0:42.0,Defensive rebound by J. Ingles,,39,39
228,2,0:26.0,D. Mitchell makes 2-pt layup from 1 ft (assist by J. Ingles),,41,39
229,2,0:02.0,,L. Shamet misses 2-pt jump shot from 8 ft,41,39
230,2,0:01.0,Defensive rebound by J. Ingles,,41,39
231,3,11:44.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by I. Zubac),41,41
232,3,11:28.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,44,41
233,3,11:14.0,,P. Beverley misses 3-pt jump shot from 24 ft,44,41
234,3,11:11.0,Defensive rebound by B. Bogdanović,,44,41
235,3,11:04.0,D. Mitchell misses 2-pt jump shot from 10 ft,,44,41
236,3,11:02.0,,Defensive rebound by I. Zubac,44,41
237,3,10:55.0,,L. Shamet misses 3-pt jump shot from 25 ft,44,41
238,3,10:53.0,Defensive rebound by D. Mitchell,,44,41
239,3,10:40.0,B. Bogdanović makes 2-pt layup from 1 ft,,46,41
240,3,10:26.0,,K. Leonard misses 2-pt jump shot from 17 ft,46,41
241,3,10:26.0,Defensive rebound by R. Gobert,,46,41
242,3,10:14.0,M. Conley misses 2-pt layup from 3 ft,,46,41
243,3,10:12.0,,Defensive rebound by K. Leonard,46,41
244,3,10:10.0,,Shooting foul by D. Mitchell (drawn by K. Leonard),46,41
245,3,10:10.0,,K. Leonard misses free throw 1 of 2,46,41
246,3,10:10.0,,Offensive rebound by Team,46,41
247,3,10:10.0,,K. Leonard makes free throw 2 of 2,46,42
248,3,10:00.0,Turnover by M. Conley (bad pass; steal by K. Leonard),,46,42
249,3,9:58.0,,K. Leonard makes 2-pt dunk from 1 ft,46,44
250,3,9:41.0,D. Mitchell makes 3-pt jump shot from 25 ft,,49,44
251,3,9:20.0,,I. Zubac makes 2-pt jump shot from 13 ft (assist by P. Patterson),49,46
252,3,8:59.0,R. Gobert makes 2-pt layup from 3 ft (assist by D. Mitchell),,51,46
253,3,8:45.0,,Shooting foul by R. Gobert (drawn by I. Zubac),51,46
254,3,8:45.0,,I. Zubac misses free throw 1 of 2,51,46
255,3,8:45.0,,Offensive rebound by Team,51,46
256,3,8:45.0,,L. Williams enters the game for P. Patterson,51,46
257,3,8:45.0,,I. Zubac makes free throw 2 of 2,51,47
258,3,8:33.0,Personal foul by P. Beverley (drawn by R. Gobert),,51,47
259,3,8:24.0,M. Conley makes 2-pt jump shot from 19 ft,,53,47
260,3,8:09.0,,L. Shamet makes 2-pt jump shot from 11 ft,53,49
261,3,7:58.0,Shooting foul by I. Zubac (drawn by R. Gobert),,53,49
262,3,7:58.0,R. Gobert makes free throw 1 of 2,,54,49
263,3,7:58.0,R. Gobert misses free throw 2 of 2,,54,49
264,3,7:56.0,,Defensive rebound by I. Zubac,54,49
