,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:38.0,,J. Valančiūnas misses 2-pt hook shot from 11 ft (block by D. Green),0,0
1,1,11:34.0,Defensive rebound by W. Cauley-Stein,,0,0
2,1,11:25.0,G. Robinson makes 2-pt jump shot from 11 ft (assist by D. Green),,2,0
3,1,11:08.0,,D. Brooks makes 2-pt layup from 1 ft,2,2
4,1,11:08.0,,Shooting foul by D. Green (drawn by D. Brooks),2,2
5,1,11:08.0,,D. Brooks makes free throw 1 of 1,2,3
6,1,10:51.0,E. Paschall makes 2-pt jump shot from 8 ft (assist by G. Robinson),,4,3
7,1,10:38.0,,J. Jackson misses 2-pt hook shot from 11 ft,4,3
8,1,10:36.0,Defensive rebound by D. Green,,4,3
9,1,10:28.0,G. Robinson makes 3-pt jump shot from 25 ft (assist by E. Paschall),,7,3
10,1,10:15.0,,J. Crowder misses 3-pt jump shot from 25 ft,7,3
11,1,10:10.0,,Offensive rebound by J. Valančiūnas,7,3
12,1,10:08.0,,D. Brooks makes 2-pt layup from 3 ft (assist by J. Valančiūnas),7,5
13,1,10:01.0,Turnover by D. Green (bad pass),,7,5
14,1,9:48.0,,J. Morant misses 3-pt jump shot from 26 ft,7,5
15,1,9:45.0,Defensive rebound by D. Green,,7,5
16,1,9:31.0,W. Cauley-Stein misses 2-pt hook shot from 3 ft,,7,5
17,1,9:28.0,,Defensive rebound by J. Crowder,7,5
18,1,9:20.0,,J. Morant makes 2-pt layup at rim,7,7
19,1,9:11.0,E. Paschall makes 2-pt layup from 1 ft (assist by D. Green),,9,7
20,1,9:11.0,Shooting foul by J. Jackson (drawn by E. Paschall),,9,7
21,1,9:11.0,E. Paschall makes free throw 1 of 1,,10,7
22,1,8:53.0,,J. Valančiūnas misses 2-pt layup from 3 ft (block by A. Burks),10,7
23,1,8:50.0,Defensive rebound by D. Green,,10,7
24,1,8:49.0,G. Robinson makes 2-pt dunk from 1 ft (assist by D. Green),,12,7
25,1,8:48.0,,Memphis full timeout,12,7
26,1,8:39.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by J. Morant),12,10
27,1,8:22.0,A. Burks makes 2-pt jump shot from 11 ft (assist by D. Green),,14,10
28,1,8:00.0,,J. Crowder makes 3-pt jump shot from 26 ft,14,13
29,1,7:48.0,Shooting foul by J. Valančiūnas (drawn by A. Burks),,14,13
30,1,7:48.0,A. Burks makes free throw 1 of 2,,15,13
31,1,7:48.0,A. Burks makes free throw 2 of 2,,16,13
32,1,7:33.0,,J. Morant misses 2-pt layup from 1 ft,16,13
33,1,7:28.0,Defensive rebound by W. Cauley-Stein,,16,13
34,1,7:23.0,G. Robinson makes 2-pt jump shot from 14 ft (assist by D. Green),,18,13
35,1,7:10.0,,J. Crowder misses 3-pt jump shot from 25 ft,18,13
36,1,7:09.0,Defensive rebound by G. Robinson,,18,13
37,1,7:09.0,Personal take foul by J. Crowder (drawn by D. Green),,18,13
38,1,7:09.0,Instant Replay (Request: Ruling Stands),,18,13
39,1,6:51.0,A. Burks misses 3-pt jump shot from 25 ft,,18,13
40,1,6:49.0,,Defensive rebound by J. Crowder,18,13
41,1,6:31.0,,J. Morant misses 2-pt layup from 4 ft (block by E. Paschall),18,13
42,1,6:31.0,,Offensive rebound by Team,18,13
43,1,6:31.0,,B. Clarke enters the game for J. Morant,18,13
44,1,6:31.0,,T. Jones enters the game for J. Valančiūnas,18,13
45,1,6:27.0,,B. Clarke misses 2-pt jump shot from 13 ft,18,13
46,1,6:25.0,,Offensive rebound by J. Crowder,18,13
47,1,6:24.0,,J. Crowder makes 2-pt layup from 1 ft,18,15
48,1,6:04.0,D. Green misses 3-pt jump shot from 25 ft,,18,15
49,1,6:01.0,,Defensive rebound by T. Jones,18,15
50,1,5:57.0,,Personal foul by E. Paschall (drawn by J. Crowder),18,15
51,1,5:57.0,,K. Anderson enters the game for D. Brooks,18,15
52,1,5:51.0,,Turnover by J. Crowder (bad pass; steal by W. Cauley-Stein),18,15
53,1,5:42.0,E. Paschall misses 3-pt jump shot from 24 ft,,18,15
54,1,5:39.0,,Defensive rebound by T. Jones,18,15
55,1,5:32.0,,T. Jones misses 2-pt jump shot from 8 ft,18,15
56,1,5:30.0,Defensive rebound by W. Cauley-Stein,,18,15
57,1,5:22.0,Personal foul by J. Jackson (drawn by D. Green),,18,15
58,1,5:22.0,K. Bowman enters the game for A. Burks,,18,15
59,1,5:22.0,M. Chriss enters the game for W. Cauley-Stein,,18,15
60,1,5:22.0,,S. Hill enters the game for J. Jackson,18,15
61,1,5:18.0,G. Robinson misses 3-pt jump shot from 25 ft,,18,15
62,1,5:14.0,,Defensive rebound by K. Anderson,18,15
63,1,5:07.0,,B. Clarke makes 2-pt dunk from 2 ft (assist by J. Crowder),18,17
64,1,4:52.0,Turnover by E. Paschall (traveling),,18,17
65,1,4:52.0,J. Poole enters the game for D. Green,,18,17
66,1,4:36.0,,T. Jones misses 2-pt jump shot from 6 ft,18,17
67,1,4:34.0,,Offensive rebound by B. Clarke,18,17
68,1,4:33.0,,B. Clarke misses 2-pt layup from 1 ft (block by J. Poole),18,17
69,1,4:33.0,Defensive rebound by E. Paschall,,18,17
70,1,4:17.0,E. Paschall makes 2-pt layup from 1 ft (assist by G. Robinson),,20,17
71,1,4:06.0,,B. Clarke makes 2-pt jump shot from 11 ft (assist by T. Jones),20,19
72,1,4:06.0,,Shooting foul by E. Paschall (drawn by B. Clarke),20,19
73,1,4:06.0,O. Spellman enters the game for E. Paschall,,20,19
74,1,4:06.0,,M. Guduric enters the game for J. Crowder,20,19
