,QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
0,1,11:41.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by M. Conley),,3,0
1,1,11:18.0,,R. Westbrook misses 2-pt jump shot from 12 ft,3,0
2,1,11:16.0,Defensive rebound by R. Gobert,,3,0
3,1,11:01.0,D. Mitchell misses 3-pt jump shot from 26 ft,,3,0
4,1,11:00.0,,Defensive rebound by J. Harden,3,0
5,1,10:54.0,,J. Harden makes 2-pt layup from 2 ft,3,2
6,1,10:30.0,Turnover by B. Bogdanović (bad pass; steal by J. Harden),,3,2
7,1,10:25.0,,Turnover by J. Harden (bad pass; steal by R. Gobert),3,2
8,1,10:20.0,M. Conley misses 2-pt jump shot from 22 ft,,3,2
9,1,10:19.0,,Defensive rebound by R. Westbrook,3,2
10,1,10:08.0,,R. Westbrook misses 2-pt layup from 2 ft,3,2
11,1,10:07.0,Defensive rebound by M. Conley,,3,2
12,1,9:57.0,R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley),,5,2
13,1,9:36.0,,R. Westbrook misses 2-pt jump shot from 18 ft,5,2
14,1,9:34.0,Defensive rebound by Team,,5,2
15,1,9:21.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,7,2
16,1,8:58.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by J. Harden),7,5
17,1,8:28.0,Personal foul by R. Covington (drawn by B. Bogdanović),,7,5
18,1,8:17.0,Personal foul by P. Tucker (drawn by R. Gobert),,7,5
19,1,8:07.0,Turnover by M. Conley (bad pass; steal by R. Covington),,7,5
20,1,8:03.0,,J. Harden misses 3-pt jump shot from 27 ft,7,5
21,1,8:03.0,Defensive rebound by R. Gobert,,7,5
22,1,7:48.0,R. Gobert misses 2-pt jump shot from 12 ft,,7,5
23,1,7:47.0,,Defensive rebound by D. House,7,5
24,1,7:23.0,,Turnover by Team (shot clock),7,5
25,1,7:06.0,R. Gobert makes 2-pt dunk from 1 ft,,9,5
26,1,6:57.0,,R. Westbrook makes 2-pt jump shot from 12 ft,9,7
27,1,6:40.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,12,7
28,1,6:25.0,,R. Westbrook makes 2-pt jump shot from 13 ft,12,9
29,1,6:07.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,12,9
30,1,6:05.0,,Defensive rebound by R. Westbrook,12,9
31,1,5:59.0,,J. Harden makes 2-pt layup from 1 ft,12,11
32,1,5:58.0,Utah full timeout,,12,11
33,1,5:58.0,J. Clarkson enters the game for M. Conley,,12,11
34,1,5:58.0,R. O'Neale enters the game for J. Ingles,,12,11
35,1,5:58.0,,B. McLemore enters the game for D. House,12,11
36,1,5:51.0,D. Mitchell misses 2-pt jump shot from 9 ft,,12,11
37,1,5:50.0,,Defensive rebound by B. McLemore,12,11
38,1,5:40.0,,R. Westbrook makes 2-pt layup at rim (assist by J. Harden),12,13
39,1,5:39.0,Turnover by D. Mitchell (traveling),,12,13
40,1,5:32.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by P. Tucker),12,16
41,1,5:18.0,Turnover by R. Gobert (bad pass; steal by R. Covington),,12,16
42,1,5:10.0,,J. Harden makes 3-pt jump shot from 29 ft,12,19
43,1,4:51.0,J. Clarkson misses 3-pt jump shot from 26 ft,,12,19
44,1,4:48.0,Offensive rebound by R. Gobert,,12,19
45,1,4:47.0,D. Mitchell makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,15,19
46,1,4:38.0,,Offensive foul by R. Westbrook (drawn by R. O'Neale),15,19
47,1,4:38.0,,Turnover by R. Westbrook (offensive foul),15,19
48,1,4:38.0,,A. Rivers enters the game for R. Westbrook,15,19
49,1,4:21.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,18,19
50,1,4:09.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. McLemore),18,22
51,1,3:52.0,B. Bogdanović misses 2-pt layup from 4 ft (block by J. Harden),,18,22
52,1,3:52.0,,Defensive rebound by Team,18,22
53,1,3:52.0,,T. Sefolosha enters the game for P. Tucker,18,22
54,1,3:39.0,,J. Harden misses 3-pt jump shot from 27 ft,18,22
55,1,3:35.0,Defensive rebound by D. Mitchell,,18,22
56,1,3:30.0,R. O'Neale misses 3-pt jump shot from 23 ft,,18,22
57,1,3:27.0,,Defensive rebound by J. Harden,18,22
58,1,3:18.0,,B. McLemore makes 3-pt jump shot from 27 ft (assist by J. Harden),18,25
59,1,3:00.0,B. Bogdanović misses 2-pt jump shot from 9 ft (block by R. Covington),,18,25
60,1,2:58.0,,Defensive rebound by B. McLemore,18,25
61,1,2:54.0,,J. Harden misses 3-pt jump shot from 26 ft,18,25
62,1,2:54.0,Defensive rebound by Team,,18,25
63,1,2:52.0,,Loose ball foul by T. Sefolosha (drawn by D. Mitchell),18,25
