,QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,Turnover by J. Tatum (bad pass; steal by W. Cauley-Stein),,0,0
1,1,11:33.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Russell),0,2
2,1,11:16.0,M. Smart misses 3-pt jump shot from 29 ft,,0,2
3,1,11:14.0,,Defensive rebound by E. Paschall,0,2
4,1,11:07.0,,D. Russell misses 3-pt jump shot from 28 ft,0,2
5,1,11:05.0,Defensive rebound by K. Walker,,0,2
6,1,10:49.0,J. Tatum misses 2-pt layup from 8 ft,,0,2
7,1,10:48.0,,Defensive rebound by D. Green,0,2
8,1,10:39.0,,G. Robinson misses 2-pt jump shot from 22 ft,0,2
9,1,10:37.0,Defensive rebound by D. Theis,,0,2
10,1,10:31.0,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Walker),,3,2
11,1,10:22.0,Violation by Team (kicked ball),,3,2
12,1,10:14.0,,E. Paschall makes 3-pt jump shot from 28 ft (assist by D. Russell),3,5
13,1,10:00.0,K. Walker misses 2-pt jump shot from 12 ft,,3,5
14,1,9:59.0,,Defensive rebound by G. Robinson,3,5
15,1,9:50.0,,D. Russell makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),3,7
16,1,9:33.0,J. Brown makes 2-pt layup from 4 ft,,5,7
17,1,9:21.0,,D. Russell misses 3-pt jump shot from 29 ft,5,7
18,1,9:19.0,Defensive rebound by D. Theis,,5,7
19,1,9:15.0,Shooting foul by D. Green (drawn by J. Tatum),,5,7
20,1,9:15.0,J. Tatum makes free throw 1 of 2,,6,7
21,1,9:15.0,J. Tatum makes free throw 2 of 2,,7,7
22,1,9:01.0,,E. Paschall misses 2-pt layup from 4 ft (block by D. Theis),7,7
23,1,8:59.0,Defensive rebound by J. Tatum,,7,7
24,1,8:48.0,J. Brown misses 2-pt layup from 5 ft,,7,7
25,1,8:47.0,,Defensive rebound by D. Green,7,7
26,1,8:42.0,,G. Robinson misses 2-pt layup from 2 ft (block by K. Walker),7,7
27,1,8:40.0,Defensive rebound by D. Theis,,7,7
28,1,8:34.0,K. Walker misses 3-pt jump shot from 26 ft,,7,7
29,1,8:32.0,,Defensive rebound by D. Russell,7,7
30,1,8:18.0,,D. Green makes 3-pt jump shot from 26 ft (assist by G. Robinson),7,10
31,1,7:59.0,Personal foul by E. Paschall (drawn by J. Tatum),,7,10
32,1,7:54.0,Shooting foul by E. Paschall (drawn by J. Tatum),,7,10
33,1,7:54.0,J. Tatum makes free throw 1 of 2,,8,10
34,1,7:54.0,,A. Burks enters the game for E. Paschall,8,10
35,1,7:54.0,J. Tatum misses free throw 2 of 2,,8,10
36,1,7:52.0,,Defensive rebound by D. Green,8,10
37,1,7:42.0,,G. Robinson makes 2-pt jump shot from 16 ft (assist by D. Green),8,12
38,1,7:28.0,J. Brown misses 2-pt layup from 7 ft,,8,12
39,1,7:26.0,,Defensive rebound by D. Green,8,12
40,1,7:18.0,,D. Russell makes 2-pt jump shot from 19 ft,8,14
41,1,7:02.0,J. Tatum misses 2-pt jump shot from 20 ft,,8,14
42,1,7:00.0,,Defensive rebound by A. Burks,8,14
43,1,6:46.0,,D. Russell makes 2-pt jump shot from 16 ft (assist by W. Cauley-Stein),8,16
44,1,6:34.0,Boston full timeout,,8,16
45,1,6:34.0,S. Ojeleye enters the game for M. Smart,,8,16
46,1,6:34.0,R. Williams enters the game for D. Theis,,8,16
47,1,6:16.0,K. Walker misses 3-pt jump shot from 26 ft,,8,16
48,1,6:14.0,,Defensive rebound by W. Cauley-Stein,8,16
49,1,5:54.0,,Shooting foul by J. Tatum (drawn by A. Burks),8,16
50,1,5:54.0,,A. Burks makes free throw 1 of 2,8,17
51,1,5:54.0,,A. Burks makes free throw 2 of 2,8,18
52,1,5:41.0,J. Tatum misses 2-pt jump shot from 11 ft,,8,18
53,1,5:40.0,Offensive rebound by J. Tatum,,8,18
54,1,5:40.0,J. Tatum misses 2-pt layup from 1 ft,,8,18
55,1,5:39.0,,Defensive rebound by D. Green,8,18
56,1,5:29.0,,D. Russell makes 3-pt jump shot from 27 ft,8,21
57,1,5:16.0,J. Brown makes 2-pt layup from 2 ft (assist by S. Ojeleye),,10,21
58,1,5:01.0,,D. Green makes 2-pt jump shot from 8 ft,10,23
