,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MILWAUKEE_ACTION,LA LAKERS_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,D. Green makes 3-pt jump shot from 24 ft (assist by L. James),,3,0
1,1,11:27.0,,B. Lopez misses 3-pt jump shot from 25 ft,3,0
2,1,11:23.0,Defensive rebound by A. Davis,,3,0
3,1,11:20.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,3,0
4,1,11:20.0,,Defensive rebound by Team,3,0
5,1,11:05.0,,K. Middleton misses 3-pt jump shot from 27 ft (block by A. Davis),3,0
6,1,11:05.0,,Offensive rebound by Team,3,0
7,1,11:03.0,,Shooting foul by L. James (drawn by W. Matthews),3,0
8,1,11:03.0,,W. Matthews misses free throw 1 of 2,3,0
9,1,11:03.0,,Offensive rebound by Team,3,0
10,1,11:03.0,,W. Matthews makes free throw 2 of 2,3,1
11,1,10:48.0,A. Davis misses 2-pt jump shot from 17 ft,,3,1
12,1,10:45.0,,Defensive rebound by K. Middleton,3,1
13,1,10:30.0,,B. Lopez misses 2-pt layup from 2 ft,3,1
14,1,10:28.0,Defensive rebound by L. James,,3,1
15,1,10:15.0,Turnover by K. Caldwell-Pope (bad pass; steal by W. Matthews),,3,1
16,1,9:58.0,,B. Lopez misses 3-pt jump shot from 27 ft,3,1
17,1,9:54.0,Defensive rebound by L. James,,3,1
18,1,9:51.0,L. James misses 2-pt layup from 2 ft (block by W. Matthews),,3,1
19,1,9:51.0,Offensive rebound by Team,,3,1
20,1,9:42.0,Personal foul by W. Matthews (drawn by L. James),,3,1
21,1,9:32.0,L. James misses 2-pt jump shot from 5 ft (block by G. Antetokounmpo),,3,1
22,1,9:32.0,Offensive rebound by Team,,3,1
23,1,9:29.0,D. Green misses 3-pt jump shot from 23 ft,,3,1
24,1,9:26.0,,Defensive rebound by D. DiVincenzo,3,1
25,1,9:16.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,3,1
26,1,9:13.0,Defensive rebound by L. James,,3,1
27,1,8:58.0,L. James misses 2-pt jump shot from 20 ft,,3,1
28,1,8:55.0,,Defensive rebound by D. DiVincenzo,3,1
29,1,8:51.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,3,1
30,1,8:48.0,Defensive rebound by A. Davis,,3,1
31,1,8:48.0,Personal foul by G. Antetokounmpo (drawn by A. Davis),,3,1
32,1,8:33.0,L. James misses 3-pt jump shot from 27 ft,,3,1
33,1,8:30.0,,Defensive rebound by D. DiVincenzo,3,1
34,1,8:23.0,,D. DiVincenzo makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),3,4
35,1,8:02.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by A. Davis),,5,4
36,1,7:52.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),5,7
37,1,7:33.0,A. Davis misses 3-pt jump shot from 26 ft,,5,7
38,1,7:30.0,,Defensive rebound by W. Matthews,5,7
39,1,7:27.0,,D. DiVincenzo misses 3-pt jump shot from 25 ft,5,7
40,1,7:24.0,,Offensive rebound by G. Antetokounmpo,5,7
41,1,7:24.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,5,9
42,1,7:07.0,L. James misses 2-pt layup from 3 ft (block by B. Lopez),,5,9
43,1,7:04.0,,Defensive rebound by B. Lopez,5,9
44,1,7:00.0,,W. Matthews misses 3-pt jump shot from 27 ft,5,9
45,1,6:57.0,Defensive rebound by J. McGee,,5,9
46,1,6:54.0,Shooting foul by K. Middleton (drawn by L. James),,5,9
47,1,6:54.0,,Milwaukee full timeout,5,9
48,1,6:54.0,L. James makes free throw 1 of 2,,6,9
49,1,6:54.0,L. James makes free throw 2 of 2,,7,9
50,1,6:36.0,,K. Middleton misses 2-pt jump shot from 16 ft,7,9
51,1,6:33.0,Defensive rebound by L. James,,7,9
52,1,6:29.0,D. Green makes 3-pt jump shot from 28 ft (assist by K. Caldwell-Pope),,10,9
53,1,6:16.0,,D. DiVincenzo makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),10,11
54,1,6:05.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,10,11
55,1,6:01.0,,Defensive rebound by K. Middleton,10,11
