,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
0,1,11:46.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by J. Morant),0,2
1,1,11:30.0,A. Gordon misses 2-pt jump shot from 18 ft,,0,2
2,1,11:30.0,,Defensive rebound by Team,0,2
3,1,11:09.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by K. Anderson),0,4
4,1,10:51.0,M. Fultz makes 2-pt layup from 1 ft (assist by N. Vučević),,2,4
5,1,10:37.0,,Shooting foul by A. Gordon (drawn by J. Valančiūnas),2,4
6,1,10:37.0,,J. Valančiūnas makes free throw 1 of 2,2,5
7,1,10:37.0,,J. Valančiūnas makes free throw 2 of 2,2,6
8,1,10:23.0,Turnover by J. Ennis (bad pass; steal by D. Brooks),,2,6
9,1,10:16.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by D. Melton),2,9
10,1,10:15.0,Orlando full timeout,,2,9
11,1,10:01.0,J. Ennis makes 2-pt layup from 2 ft (assist by A. Gordon),,4,9
12,1,9:47.0,,Turnover by J. Valančiūnas (bad pass; steal by A. Gordon),4,9
13,1,9:43.0,Turnover by A. Gordon (lost ball; steal by J. Morant),,4,9
14,1,9:41.0,,J. Morant makes 2-pt dunk at rim,4,11
15,1,9:35.0,W. Iwundu misses 3-pt jump shot from 25 ft,,4,11
16,1,9:33.0,,Defensive rebound by K. Anderson,4,11
17,1,9:21.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by K. Anderson),4,13
18,1,8:58.0,J. Ennis misses 3-pt jump shot from 26 ft,,4,13
19,1,8:54.0,Offensive rebound by N. Vučević,,4,13
20,1,8:53.0,N. Vučević makes 2-pt jump shot from 11 ft,,6,13
21,1,8:43.0,,D. Melton misses 3-pt jump shot from 26 ft,6,13
22,1,8:41.0,Defensive rebound by A. Gordon,,6,13
23,1,8:35.0,N. Vučević misses 3-pt jump shot from 25 ft,,6,13
24,1,8:31.0,,Defensive rebound by J. Morant,6,13
25,1,8:26.0,,Personal foul by J. Ennis (drawn by D. Brooks),6,13
26,1,8:15.0,,Shooting foul by N. Vučević (drawn by J. Valančiūnas),6,13
27,1,8:15.0,,J. Valančiūnas misses free throw 1 of 2,6,13
28,1,8:15.0,,Offensive rebound by Team,6,13
29,1,8:15.0,,J. Valančiūnas makes free throw 2 of 2,6,14
30,1,8:02.0,M. Fultz misses 2-pt jump shot from 19 ft,,6,14
31,1,8:00.0,Offensive rebound by M. Fultz,,6,14
32,1,7:55.0,J. Ennis makes 3-pt jump shot from 26 ft (assist by N. Vučević),,9,14
33,1,7:31.0,,Turnover by J. Valančiūnas (bad pass; steal by M. Fultz),9,14
34,1,7:27.0,Turnover by M. Fultz (bad pass; steal by D. Melton),,9,14
35,1,7:22.0,,D. Melton misses 3-pt jump shot from 27 ft,9,14
36,1,7:18.0,Defensive rebound by A. Gordon,,9,14
37,1,7:15.0,M. Fultz misses 2-pt layup from 2 ft (block by D. Melton),,9,14
38,1,7:14.0,Offensive rebound by Team,,9,14
