,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
0,1,11:46.0,D. Russell misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by O. Anunoby,0,0
2,1,11:37.0,,Turnover by F. VanVleet (lost ball; steal by M. Beasley),0,0
3,1,11:23.0,J. Hernangómez misses 2-pt layup from 2 ft,,0,0
4,1,11:20.0,,Defensive rebound by R. Hollis-Jefferson,0,0
5,1,11:15.0,,R. Hollis-Jefferson makes 2-pt jump shot from 6 ft,0,2
6,1,11:04.0,D. Russell makes 2-pt layup from 2 ft,,2,2
7,1,10:59.0,,O. Anunoby makes 2-pt layup from 1 ft (assist by K. Lowry),2,4
8,1,10:43.0,K. Towns misses 2-pt hook shot from 6 ft,,2,4
9,1,10:43.0,,Defensive rebound by P. Siakam,2,4
10,1,10:38.0,,P. Siakam makes 2-pt layup from 4 ft,2,6
11,1,10:38.0,,Shooting foul by J. Hernangómez (drawn by P. Siakam),2,6
12,1,10:38.0,,P. Siakam misses free throw 1 of 1,2,6
13,1,10:34.0,,Offensive rebound by O. Anunoby,2,6
14,1,10:33.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by O. Anunoby),2,9
15,1,10:21.0,M. Beasley misses 3-pt jump shot from 25 ft,,2,9
16,1,10:19.0,,Defensive rebound by Team,2,9
17,1,10:19.0,Loose ball foul by J. Okogie (drawn by O. Anunoby),,2,9
18,1,10:08.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),2,11
19,1,9:54.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Towns),,2,11
20,1,9:54.0,K. Towns makes free throw 1 of 2,,3,11
21,1,9:54.0,K. Towns makes free throw 2 of 2,,4,11
22,1,9:36.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by F. VanVleet),4,13
23,1,9:26.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by D. Russell),,7,13
24,1,9:20.0,,P. Siakam makes 3-pt jump shot from 26 ft (assist by K. Lowry),7,16
