,QUARTER,TIME_REMAINING,NEW YORK_ACTION,HOUSTON_ACTION,NEW YORK_SCORE,HOUSTON_SCORE
0,1,11:48.0,Personal foul by P. Tucker (drawn by J. Randle),,0,0
1,1,11:38.0,Personal foul by R. Covington (drawn by J. Randle),,0,0
2,1,11:31.0,J. Randle misses 3-pt jump shot from 28 ft,,0,0
3,1,11:30.0,,Defensive rebound by R. Covington,0,0
4,1,11:24.0,,J. Harden makes 2-pt layup from 2 ft,0,2
5,1,11:09.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Barrett),,2,2
6,1,10:54.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. House),2,5
7,1,10:35.0,R. Barrett misses 2-pt jump shot from 10 ft,,2,5
8,1,10:33.0,Offensive rebound by T. Gibson,,2,5
9,1,10:32.0,T. Gibson misses 2-pt layup from 3 ft (block by R. Covington),,2,5
10,1,10:31.0,Offensive rebound by R. Barrett,,2,5
11,1,10:26.0,R. Barrett makes 2-pt layup from 1 ft,,4,5
12,1,10:14.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),4,7
13,1,9:58.0,J. Randle misses 2-pt jump shot from 5 ft (block by P. Tucker),,4,7
14,1,9:55.0,,Defensive rebound by D. House,4,7
15,1,9:50.0,,Shooting foul by D. Smith (drawn by J. Harden),4,7
16,1,9:50.0,,J. Harden misses free throw 1 of 2,4,7
17,1,9:50.0,,Offensive rebound by Team,4,7
18,1,9:50.0,,J. Harden makes free throw 2 of 2,4,8
19,1,9:35.0,J. Randle makes 2-pt dunk from 2 ft (assist by R. Barrett),,6,8
20,1,9:18.0,,D. House makes 2-pt layup from 2 ft (assist by J. Harden),6,10
21,1,9:12.0,New York full timeout,,6,10
22,1,8:59.0,Turnover by J. Randle (lost ball; steal by J. Harden),,6,10
23,1,8:57.0,,Personal foul by J. Randle (drawn by R. Covington),6,10
24,1,8:47.0,,J. Harden misses 2-pt jump shot from 4 ft,6,10
25,1,8:45.0,,Offensive rebound by J. Harden,6,10
26,1,8:45.0,,Shooting foul by M. Harkless (drawn by J. Harden),6,10
27,1,8:45.0,,J. Harden misses free throw 1 of 2,6,10
28,1,8:45.0,,Offensive rebound by Team,6,10
29,1,8:45.0,,J. Harden makes free throw 2 of 2,6,11
30,1,8:33.0,M. Harkless makes 2-pt layup from 2 ft (assist by J. Randle),,8,11
31,1,8:25.0,,Turnover by E. Gordon (lost ball; steal by D. Smith),8,11
32,1,8:21.0,Turnover by D. Smith (lost ball; steal by E. Gordon),,8,11
33,1,8:13.0,,Shooting foul by T. Gibson (drawn by E. Gordon),8,11
34,1,8:13.0,,E. Gordon makes free throw 1 of 2,8,12
35,1,8:13.0,,E. Gordon makes free throw 2 of 2,8,13
36,1,7:53.0,D. Smith misses 2-pt jump shot from 21 ft,,8,13
37,1,7:52.0,,Defensive rebound by J. Harden,8,13
38,1,7:43.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by D. House),8,16
39,1,7:29.0,R. Barrett makes 3-pt jump shot from 27 ft (assist by D. Smith),,11,16
40,1,7:11.0,,R. Covington misses 3-pt jump shot from 28 ft,11,16
41,1,7:09.0,Defensive rebound by R. Barrett,,11,16
42,1,7:06.0,J. Randle makes 2-pt dunk from 2 ft (assist by R. Barrett),,13,16
43,1,6:45.0,,D. House misses 3-pt jump shot from 26 ft,13,16
44,1,6:43.0,Defensive rebound by D. Smith,,13,16
45,1,6:41.0,Offensive foul by J. Randle (drawn by E. Gordon),,13,16
46,1,6:41.0,Turnover by J. Randle (offensive foul),,13,16
47,1,6:41.0,M. Robinson enters the game for T. Gibson,,13,16
48,1,6:41.0,,B. McLemore enters the game for E. Gordon,13,16
49,1,6:41.0,,A. Rivers enters the game for D. House,13,16
50,1,6:28.0,,J. Harden makes 3-pt jump shot from 27 ft,13,19
51,1,6:14.0,R. Barrett makes 2-pt jump shot from 19 ft (assist by J. Randle),,15,19
52,1,6:02.0,,J. Harden makes 3-pt jump shot from 27 ft,15,22
53,1,5:49.0,Personal foul by A. Rivers (drawn by R. Barrett),,15,22
54,1,5:42.0,Shooting foul by A. Rivers (drawn by M. Robinson),,15,22
55,1,5:42.0,M. Robinson misses free throw 1 of 2,,15,22
56,1,5:42.0,Offensive rebound by Team,,15,22
57,1,5:42.0,M. Robinson makes free throw 2 of 2,,16,22
58,1,5:30.0,,B. McLemore misses 3-pt jump shot from 26 ft,16,22
59,1,5:29.0,Defensive rebound by J. Randle,,16,22
60,1,5:10.0,J. Randle makes 2-pt jump shot from 9 ft,,18,22
61,1,5:00.0,,Turnover by J. Harden (lost ball; steal by D. Smith),18,22
62,1,4:56.0,D. Smith makes 2-pt layup from 2 ft,,20,22
63,1,4:36.0,,Turnover by J. Harden (bad pass; steal by D. Smith),20,22
64,1,4:27.0,R. Barrett makes 3-pt jump shot from 27 ft (assist by D. Smith),,23,22
65,1,4:26.0,,Houston full timeout,23,22
66,1,4:26.0,R. Bullock enters the game for D. Smith,,23,22
67,1,4:26.0,,J. Green enters the game for P. Tucker,23,22
68,1,4:08.0,,J. Green makes 2-pt dunk from 1 ft (assist by J. Harden),23,24
69,1,3:50.0,J. Randle misses 2-pt jump shot from 7 ft (block by J. Green),,23,24
70,1,3:50.0,Offensive rebound by J. Randle,,23,24
71,1,3:50.0,Personal foul by B. McLemore (drawn by J. Randle),,23,24
72,1,3:50.0,J. Randle makes free throw 1 of 2,,24,24
73,1,3:50.0,,T. Sefolosha enters the game for R. Covington,24,24
74,1,3:50.0,J. Randle makes free throw 2 of 2,,25,24
75,1,3:28.0,,J. Harden misses 2-pt layup from 2 ft (block by M. Harkless),25,24
76,1,3:28.0,,Offensive rebound by Team,25,24
77,1,3:28.0,B. Portis enters the game for J. Randle,,25,24
78,1,3:26.0,,J. Harden misses 2-pt layup from 1 ft,25,24
79,1,3:24.0,Defensive rebound by R. Barrett,,25,24
80,1,3:20.0,R. Barrett makes 2-pt layup from 2 ft,,27,24
81,1,3:02.0,,B. McLemore makes 3-pt jump shot from 26 ft (assist by A. Rivers),27,27
82,1,2:43.0,B. Portis misses 3-pt jump shot from 26 ft,,27,27
83,1,2:41.0,,Defensive rebound by J. Green,27,27
84,1,2:36.0,,J. Harden makes 2-pt layup from 1 ft,27,29
85,1,2:28.0,Turnover by R. Barrett (bad pass),,27,29
86,1,2:28.0,,E. Gordon enters the game for J. Harden,27,29
87,1,2:13.0,,E. Gordon misses 2-pt layup from 3 ft (block by M. Robinson),27,29
88,1,2:10.0,Defensive rebound by B. Portis,,27,29
89,1,2:01.0,R. Barrett misses 2-pt jump shot from 6 ft,,27,29
90,1,2:00.0,,Defensive rebound by B. McLemore,27,29
91,1,1:55.0,,Shooting foul by M. Robinson (drawn by J. Green),27,29
92,1,1:55.0,,J. Green makes free throw 1 of 2,27,30
93,1,1:55.0,K. Knox enters the game for M. Harkless,,27,30
94,1,1:55.0,,J. Green makes free throw 2 of 2,27,31
95,1,1:39.0,B. Portis makes 2-pt jump shot from 20 ft (assist by R. Bullock),,29,31
96,1,1:20.0,,A. Rivers misses 2-pt jump shot from 7 ft,29,31
97,1,1:19.0,Defensive rebound by M. Robinson,,29,31
98,1,1:10.0,R. Barrett makes 2-pt layup from 2 ft,,31,31
99,1,0:58.0,,E. Gordon misses 3-pt jump shot from 24 ft,31,31
100,1,0:56.0,Defensive rebound by R. Barrett,,31,31
101,1,0:45.0,R. Bullock misses 3-pt jump shot from 23 ft,,31,31
102,1,0:42.0,,Defensive rebound by T. Sefolosha,31,31
103,1,0:30.0,,Shooting foul by M. Robinson (drawn by E. Gordon),31,31
104,1,0:30.0,,E. Gordon makes free throw 1 of 2,31,32
105,1,0:30.0,D. Dotson enters the game for M. Robinson,,31,32
106,1,0:30.0,,E. Gordon makes free throw 2 of 2,31,33
107,1,0:10.0,Shooting foul by T. Sefolosha (drawn by B. Portis),,31,33
108,1,0:10.0,B. Portis makes free throw 1 of 2,,32,33
109,1,0:10.0,D. Smith enters the game for R. Barrett,,32,33
110,1,0:10.0,B. Portis makes free throw 2 of 2,,33,33
111,1,0:02.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by E. Gordon),33,36
112,2,11:44.0,,J. Green makes 3-pt jump shot from 26 ft,33,39
113,2,11:22.0,B. Portis misses 2-pt jump shot from 19 ft,,33,39
114,2,11:21.0,,Defensive rebound by D. Carroll,33,39
115,2,11:11.0,,B. McLemore makes 3-pt jump shot from 27 ft (assist by J. Green),33,42
116,2,10:54.0,K. Knox misses 2-pt jump shot from 3 ft,,33,42
117,2,10:52.0,,Defensive rebound by D. Carroll,33,42
118,2,10:44.0,,E. Gordon misses 3-pt jump shot from 29 ft,33,42
119,2,10:44.0,Defensive rebound by B. Portis,,33,42
120,2,10:32.0,B. Portis misses 2-pt hook shot from 8 ft,,33,42
121,2,10:30.0,,Defensive rebound by B. McLemore,33,42
122,2,10:18.0,,D. Carroll makes 2-pt layup at rim,33,44
123,2,10:10.0,New York full timeout,,33,44
124,2,10:10.0,,D. House enters the game for B. McLemore,33,44
125,2,10:02.0,D. Dotson makes 3-pt jump shot from 28 ft (assist by B. Portis),,36,44
126,2,9:46.0,,A. Rivers misses 3-pt jump shot from 28 ft,36,44
127,2,9:46.0,Defensive rebound by B. Portis,,36,44
128,2,9:32.0,D. Smith misses 2-pt jump shot from 21 ft,,36,44
129,2,9:30.0,,Defensive rebound by Team,36,44
130,2,9:14.0,,Turnover by E. Gordon (bad pass; steal by D. Smith),36,44
131,2,9:10.0,Offensive foul by K. Knox (drawn by D. House),,36,44
132,2,9:10.0,Turnover by K. Knox (offensive foul),,36,44
133,2,9:01.0,,Turnover by A. Rivers (lost ball; steal by D. Smith),36,44
134,2,9:01.0,,R. Covington enters the game for E. Gordon,36,44
135,2,9:01.0,,J. Harden enters the game for J. Green,36,44
136,2,9:01.0,,P. Tucker enters the game for A. Rivers,36,44
137,2,8:40.0,D. Smith misses 2-pt jump shot from 23 ft,,36,44
138,2,8:38.0,,Defensive rebound by P. Tucker,36,44
139,2,8:32.0,,J. Harden makes 2-pt layup from 2 ft,36,46
140,2,8:10.0,B. Portis makes 2-pt hook shot from 7 ft (assist by D. Smith),,38,46
141,2,7:57.0,,Turnover by J. Harden (bad pass),38,46
142,2,7:57.0,R. Barrett enters the game for R. Bullock,,38,46
143,2,7:57.0,J. Randle enters the game for K. Knox,,38,46
144,2,7:45.0,D. Dotson misses 3-pt jump shot from 27 ft,,38,46
145,2,7:43.0,,Defensive rebound by R. Covington,38,46
146,2,7:29.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by P. Tucker),38,49
147,2,7:19.0,Shooting foul by D. House (drawn by D. Smith),,38,49
148,2,7:19.0,D. Smith makes free throw 1 of 2,,39,49
149,2,7:19.0,D. Smith makes free throw 2 of 2,,40,49
150,2,7:06.0,,J. Harden misses 3-pt jump shot from 26 ft,40,49
151,2,7:06.0,Defensive rebound by B. Portis,,40,49
152,2,6:58.0,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Smith),,43,49
153,2,6:49.0,,J. Harden makes 2-pt jump shot from 3 ft,43,51
154,2,6:48.0,Turnover by J. Randle (inbound),,43,51
155,2,6:48.0,M. Robinson enters the game for B. Portis,,43,51
156,2,6:39.0,,R. Covington misses 3-pt jump shot from 27 ft,43,51
157,2,6:37.0,Defensive rebound by R. Barrett,,43,51
158,2,6:15.0,J. Randle makes 2-pt jump shot from 9 ft,,45,51
159,2,6:02.0,,R. Covington misses 3-pt jump shot from 26 ft,45,51
160,2,6:02.0,Defensive rebound by D. Dotson,,45,51
161,2,5:54.0,Shooting foul by D. House (drawn by D. Smith),,45,51
162,2,5:54.0,D. Smith makes free throw 1 of 2,,46,51
