,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:47.0,,Turnover by T. Hardaway (bad pass; steal by D. Jones),0,0
1,1,11:34.0,Personal foul by T. Hardaway (drawn by T. Young),,0,0
2,1,11:29.0,C. Reddish misses 2-pt jump shot from 13 ft,,0,0
3,1,11:25.0,,Defensive rebound by T. Hardaway,0,0
4,1,11:20.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,0,0
5,1,11:17.0,Defensive rebound by K. Huerter,,0,0
6,1,11:13.0,K. Huerter makes 3-pt jump shot from 25 ft,,3,0
7,1,10:52.0,,D. Finney-Smith misses 2-pt jump shot from 4 ft,3,0
8,1,10:50.0,Defensive rebound by D. Jones,,3,0
9,1,10:42.0,T. Young misses 2-pt jump shot from 7 ft,,3,0
10,1,10:40.0,Offensive rebound by T. Young,,3,0
11,1,10:35.0,T. Young makes 2-pt jump shot from 8 ft,,5,0
12,1,10:18.0,,M. Kleber misses 3-pt jump shot from 25 ft,5,0
13,1,10:13.0,Defensive rebound by D. Jones,,5,0
14,1,10:11.0,J. Collins makes 2-pt layup from 3 ft (assist by K. Huerter),,7,0
15,1,9:52.0,,J. Brunson misses 2-pt jump shot from 5 ft,7,0
16,1,9:50.0,,Offensive rebound by W. Cauley-Stein,7,0
17,1,9:49.0,,Shooting foul by D. Jones (drawn by W. Cauley-Stein),7,0
18,1,9:49.0,,W. Cauley-Stein makes free throw 1 of 2,7,1
19,1,9:49.0,,W. Cauley-Stein misses free throw 2 of 2,7,1
20,1,9:44.0,,Offensive rebound by M. Kleber,7,1
21,1,9:42.0,,M. Kleber makes 2-pt layup from 1 ft,7,3
22,1,9:31.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by D. Jones),,10,3
23,1,9:25.0,,T. Hardaway misses 3-pt jump shot from 27 ft (block by C. Reddish),10,3
24,1,9:23.0,Defensive rebound by T. Young,,10,3
25,1,9:08.0,T. Young makes 2-pt jump shot from 22 ft,,12,3
26,1,9:06.0,,Dallas full timeout,12,3
