,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,J. Jackson makes 2-pt hook shot from 6 ft (assist by D. Brooks),0,2
1,1,11:28.0,J. Redick misses 3-pt jump shot from 25 ft,,0,2
2,1,11:25.0,,Defensive rebound by J. Valančiūnas,0,2
3,1,11:14.0,,J. Jackson misses 2-pt hook shot from 5 ft,0,2
4,1,11:13.0,Defensive rebound by Team,,0,2
5,1,11:07.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Ingram),,3,2
6,1,10:47.0,,J. Valančiūnas misses 2-pt hook shot from 5 ft,3,2
7,1,10:43.0,Defensive rebound by J. Hayes,,3,2
8,1,10:38.0,Turnover by B. Ingram (bad pass; steal by J. Valančiūnas),,3,2
9,1,10:33.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Morant),3,5
10,1,10:08.0,Shooting foul by J. Valančiūnas (drawn by B. Ingram),,3,5
11,1,10:08.0,B. Ingram makes free throw 1 of 2,,4,5
12,1,10:08.0,B. Ingram makes free throw 2 of 2,,5,5
13,1,9:56.0,,J. Valančiūnas makes 2-pt dunk at rim,5,7
14,1,9:50.0,Shooting foul by J. Jackson (drawn by B. Ingram),,5,7
15,1,9:50.0,B. Ingram misses free throw 1 of 2,,5,7
16,1,9:50.0,Offensive rebound by Team,,5,7
17,1,9:50.0,B. Ingram makes free throw 2 of 2,,6,7
18,1,9:34.0,,J. Jackson misses 2-pt hook shot from 4 ft,6,7
19,1,9:32.0,,Offensive rebound by D. Brooks,6,7
20,1,9:30.0,,D. Brooks makes 2-pt layup from 1 ft,6,9
21,1,9:23.0,J. Holiday makes 3-pt jump shot from 26 ft,,9,9
22,1,9:06.0,,D. Brooks makes 2-pt jump shot from 8 ft (assist by J. Morant),9,11
23,1,8:55.0,J. Holiday misses 3-pt jump shot from 26 ft,,9,11
24,1,8:52.0,,Defensive rebound by J. Valančiūnas,9,11
25,1,8:47.0,,Personal foul by J. Hayes (drawn by J. Morant),9,11
26,1,8:39.0,,Turnover by J. Crowder (bad pass; steal by L. Ball),9,11
27,1,8:36.0,L. Ball misses 2-pt layup from 1 ft (block by J. Jackson),,9,11
28,1,8:33.0,,Defensive rebound by J. Valančiūnas,9,11
29,1,8:31.0,,J. Crowder misses 3-pt jump shot from 23 ft,9,11
30,1,8:28.0,,Offensive rebound by J. Crowder,9,11
31,1,8:22.0,,J. Morant misses 2-pt hook shot from 4 ft,9,11
32,1,8:22.0,,Offensive rebound by Team,9,11
33,1,8:22.0,Loose ball foul by B. Ingram (drawn by J. Valančiūnas),,9,11
34,1,8:15.0,,Personal foul by J. Holiday (drawn by J. Morant),9,11
35,1,8:12.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),9,14
36,1,7:52.0,J. Redick makes 2-pt jump shot from 20 ft (assist by L. Ball),,11,14
37,1,7:41.0,,J. Jackson misses 2-pt hook shot from 2 ft,11,14
38,1,7:38.0,,Offensive rebound by J. Crowder,11,14
39,1,7:38.0,,J. Crowder misses 2-pt layup at rim,11,14
40,1,7:37.0,Defensive rebound by J. Holiday,,11,14
41,1,7:31.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Ingram),,14,14
42,1,7:17.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft (assist by J. Morant),14,16
43,1,7:04.0,J. Holiday makes 2-pt dunk at rim,,16,16
44,1,6:51.0,,J. Morant misses 2-pt layup from 5 ft (block by J. Holiday),16,16
45,1,6:51.0,,Offensive rebound by Team,16,16
46,1,6:51.0,,Memphis full timeout,16,16
47,1,6:42.0,,D. Brooks misses 2-pt jump shot from 11 ft,16,16
48,1,6:38.0,,Offensive rebound by D. Brooks,16,16
49,1,6:38.0,,D. Brooks misses 2-pt layup from 3 ft,16,16
50,1,6:38.0,Defensive rebound by L. Ball,,16,16
51,1,6:33.0,Turnover by J. Redick (back court),,16,16
52,1,6:21.0,,Personal foul by J. Redick (drawn by J. Jackson),16,16
53,1,6:21.0,,B. Clarke enters the game for J. Morant,16,16
54,1,6:21.0,,T. Jones enters the game for J. Valančiūnas,16,16
55,1,6:12.0,,J. Crowder misses 3-pt jump shot from 25 ft,16,16
56,1,6:08.0,Defensive rebound by J. Holiday,,16,16
57,1,6:00.0,B. Ingram misses 3-pt jump shot from 27 ft,,16,16
58,1,5:57.0,,Defensive rebound by T. Jones,16,16
59,1,5:54.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by T. Jones),16,19
60,1,5:36.0,J. Redick misses 2-pt jump shot from 13 ft,,16,19
61,1,5:32.0,,Defensive rebound by B. Clarke,16,19
62,1,5:27.0,,J. Jackson misses 3-pt jump shot from 25 ft,16,19
63,1,5:24.0,Defensive rebound by J. Redick,,16,19
64,1,5:18.0,Turnover by L. Ball (bad pass; steal by D. Brooks),,16,19
65,1,5:14.0,,Turnover by D. Brooks (bad pass; steal by J. Holiday),16,19
66,1,5:09.0,J. Hayes makes 2-pt layup from 1 ft (assist by B. Ingram),,18,19
67,1,5:09.0,Shooting foul by D. Brooks (drawn by J. Hayes),,18,19
68,1,5:09.0,J. Hayes misses free throw 1 of 1,,18,19
69,1,5:07.0,Offensive rebound by Team,,18,19
70,1,5:04.0,J. Holiday misses 2-pt jump shot from 8 ft,,18,19
71,1,5:02.0,,Defensive rebound by Team,18,19
72,1,4:51.0,,Personal foul by B. Ingram (drawn by J. Jackson),18,19
73,1,4:51.0,,J. Jackson makes free throw 1 of 2,18,20
74,1,4:51.0,J. Hart enters the game for B. Ingram,,18,20
75,1,4:51.0,,K. Anderson enters the game for D. Brooks,18,20
76,1,4:51.0,,D. Melton enters the game for J. Crowder,18,20
77,1,4:51.0,,J. Jackson misses free throw 2 of 2,18,20
78,1,4:51.0,,Offensive rebound by Team,18,20
79,1,4:39.0,,J. Jackson misses 3-pt jump shot from 24 ft,18,20
80,1,4:35.0,Defensive rebound by J. Hart,,18,20
81,1,4:33.0,New Orleans full timeout,,18,20
82,1,4:33.0,N. Melli enters the game for J. Hayes,,18,20
83,1,4:33.0,E. Moore enters the game for J. Holiday,,18,20
84,1,4:13.0,E. Moore misses 2-pt jump shot from 11 ft,,18,20
85,1,4:08.0,Offensive rebound by L. Ball,,18,20
86,1,4:08.0,L. Ball makes 3-pt jump shot from 26 ft,,21,20
87,1,3:47.0,,D. Melton misses 2-pt jump shot from 21 ft,21,20
88,1,3:44.0,Defensive rebound by L. Ball,,21,20
89,1,3:44.0,F. Jackson enters the game for J. Redick,,21,20
90,1,3:31.0,L. Ball misses 2-pt jump shot from 22 ft,,21,20
91,1,3:27.0,,Defensive rebound by B. Clarke,21,20
92,1,3:26.0,,Turnover by D. Melton (lost ball; steal by F. Jackson),21,20
93,1,3:23.0,Turnover by F. Jackson (traveling),,21,20
94,1,3:23.0,,S. Hill enters the game for J. Jackson,21,20
95,1,3:12.0,,T. Jones makes 2-pt jump shot from 8 ft,21,22
96,1,2:58.0,Turnover by J. Hart (bad pass),,21,22
97,1,2:48.0,,T. Jones makes 2-pt jump shot from 12 ft,21,24
98,1,2:31.0,F. Jackson makes 3-pt jump shot from 26 ft (assist by J. Hart),,24,24
99,1,2:16.0,,K. Anderson makes 2-pt jump shot from 8 ft (assist by T. Jones),24,26
100,1,2:02.0,N. Melli makes 2-pt jump shot from 14 ft (assist by J. Hart),,26,26
101,1,1:45.0,,T. Jones misses 2-pt jump shot from 22 ft,26,26
102,1,1:42.0,Defensive rebound by N. Melli,,26,26
103,1,1:33.0,J. Hart makes 3-pt jump shot from 26 ft (assist by L. Ball),,29,26
104,1,1:23.0,,Turnover by D. Melton (traveling),29,26
105,1,1:23.0,N. Alexander-Walker enters the game for L. Ball,,29,26
106,1,1:13.0,N. Melli misses 3-pt jump shot from 26 ft,,29,26
107,1,1:06.0,Offensive rebound by F. Jackson,,29,26
108,1,0:53.0,J. Hart makes 2-pt layup at rim (assist by N. Alexander-Walker),,31,26
109,1,0:34.0,,D. Melton makes 2-pt hook shot from 8 ft,31,28
110,1,0:29.0,N. Melli misses 3-pt jump shot from 28 ft,,31,28
111,1,0:25.0,,Defensive rebound by T. Jones,31,28
112,1,0:23.0,,B. Clarke makes 2-pt layup from 1 ft (assist by T. Jones),31,30
113,1,0:00.0,E. Moore misses 3-pt jump shot from 26 ft,,31,30
114,1,0:00.0,Offensive rebound by Team,,31,30
115,2,11:49.0,F. Jackson makes 3-pt jump shot from 25 ft (assist by N. Melli),,34,30
116,2,11:39.0,,Turnover by J. Morant (step out of bounds),34,30
117,2,11:29.0,Personal foul by D. Melton (drawn by N. Melli),,34,30
118,2,11:24.0,N. Alexander-Walker misses 2-pt jump shot from 12 ft,,34,30
119,2,11:21.0,,Defensive rebound by D. Melton,34,30
120,2,11:19.0,,Shooting foul by N. Melli (drawn by J. Morant),34,30
121,2,11:19.0,,J. Morant misses free throw 1 of 2,34,30
122,2,11:19.0,,Offensive rebound by Team,34,30
123,2,11:19.0,,J. Morant makes free throw 2 of 2,34,31
124,2,11:08.0,F. Jackson misses 2-pt jump shot from 12 ft,,34,31
125,2,11:06.0,,Defensive rebound by K. Anderson,34,31
126,2,10:52.0,,S. Hill misses 3-pt jump shot from 26 ft,34,31
127,2,10:48.0,,Offensive rebound by K. Anderson,34,31
128,2,10:47.0,,Turnover by K. Anderson (lost ball; steal by J. Hart),34,31
129,2,10:43.0,J. Hart makes 2-pt layup at rim,,36,31
130,2,10:26.0,,D. Melton makes 2-pt jump shot from 7 ft (assist by J. Morant),36,33
131,2,10:15.0,N. Melli misses 3-pt jump shot from 26 ft,,36,33
132,2,10:12.0,,Defensive rebound by K. Anderson,36,33
133,2,10:02.0,,K. Anderson misses 3-pt jump shot from 23 ft,36,33
134,2,9:58.0,Defensive rebound by N. Melli,,36,33
135,2,9:53.0,N. Melli makes 3-pt jump shot from 26 ft (assist by N. Alexander-Walker),,39,33
136,2,9:52.0,,Memphis full timeout,39,33
137,2,9:52.0,,G. Allen enters the game for K. Anderson,39,33
138,2,9:52.0,,D. Brooks enters the game for D. Melton,39,33
139,2,9:38.0,,J. Morant makes 2-pt layup from 7 ft,39,35
140,2,9:22.0,N. Melli makes 3-pt jump shot from 27 ft (assist by N. Alexander-Walker),,42,35
141,2,9:00.0,,D. Brooks misses 2-pt jump shot from 11 ft,42,35
142,2,8:57.0,Defensive rebound by J. Hart,,42,35
143,2,8:42.0,F. Jackson misses 2-pt jump shot from 12 ft,,42,35
144,2,8:38.0,,Defensive rebound by D. Brooks,42,35
145,2,8:35.0,,J. Valančiūnas makes 2-pt layup at rim (assist by D. Brooks),42,37
146,2,8:21.0,N. Alexander-Walker misses 3-pt jump shot from 26 ft,,42,37
147,2,8:19.0,,Defensive rebound by J. Valančiūnas,42,37
148,2,8:05.0,,J. Morant misses 2-pt layup from 1 ft,42,37
149,2,8:05.0,,Offensive rebound by J. Valančiūnas,42,37
150,2,8:03.0,,J. Valančiūnas misses 2-pt hook shot from 1 ft (block by N. Alexander-Walker),42,37
151,2,8:03.0,Defensive rebound by E. Moore,,42,37
152,2,7:54.0,N. Melli makes 3-pt jump shot from 27 ft (assist by E. Moore),,45,37
153,2,7:52.0,,Memphis full timeout,45,37
154,2,7:52.0,J. Holiday enters the game for F. Jackson,,45,37
155,2,7:52.0,B. Ingram enters the game for E. Moore,,45,37
156,2,7:52.0,,J. Jackson enters the game for J. Valančiūnas,45,37
157,2,7:33.0,,S. Hill misses 3-pt jump shot from 25 ft,45,37
158,2,7:31.0,Defensive rebound by N. Alexander-Walker,,45,37
159,2,7:19.0,Personal foul by J. Jackson (drawn by N. Alexander-Walker),,45,37
160,2,7:13.0,J. Hart makes 3-pt jump shot from 23 ft (assist by N. Alexander-Walker),,48,37
161,2,6:52.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by D. Brooks),48,40
162,2,6:38.0,J. Holiday makes 2-pt layup from 2 ft,,50,40
163,2,6:31.0,,S. Hill misses 3-pt jump shot from 26 ft,50,40
164,2,6:27.0,Defensive rebound by J. Hart,,50,40
165,2,6:12.0,N. Melli makes 2-pt jump shot from 6 ft,,52,40
166,2,5:55.0,,G. Allen misses 2-pt layup from 5 ft,52,40
167,2,5:52.0,Defensive rebound by J. Hart,,52,40
168,2,5:46.0,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,52,40
169,2,5:42.0,,Defensive rebound by D. Brooks,52,40
170,2,5:39.0,,D. Brooks makes 2-pt layup from 1 ft,52,42
171,2,5:14.0,Turnover by N. Melli (lost ball; steal by J. Morant),,52,42
172,2,5:10.0,,G. Allen misses 3-pt jump shot from 26 ft,52,42
173,2,5:06.0,Defensive rebound by N. Alexander-Walker,,52,42
174,2,4:57.0,N. Alexander-Walker makes 2-pt layup from 1 ft,,54,42
175,2,4:48.0,,Turnover by J. Jackson (out of bounds lost ball),54,42
176,2,4:48.0,L. Ball enters the game for N. Alexander-Walker,,54,42
177,2,4:48.0,J. Hayes enters the game for N. Melli,,54,42
178,2,4:48.0,,J. Crowder enters the game for S. Hill,54,42
179,2,4:48.0,,T. Jones enters the game for J. Morant,54,42
180,2,4:39.0,J. Hart misses 3-pt jump shot from 26 ft,,54,42
181,2,4:36.0,,Defensive rebound by J. Jackson,54,42
182,2,4:28.0,,J. Crowder misses 3-pt jump shot from 25 ft,54,42
183,2,4:26.0,Defensive rebound by L. Ball,,54,42
184,2,4:15.0,J. Holiday makes 3-pt jump shot from 25 ft,,57,42
185,2,4:07.0,,D. Brooks makes 2-pt layup from 1 ft,57,44
186,2,4:07.0,,Shooting foul by J. Hayes (drawn by D. Brooks),57,44
187,2,4:07.0,J. Redick enters the game for J. Hart,,57,44
188,2,4:07.0,,B. Clarke enters the game for G. Allen,57,44
189,2,4:07.0,,D. Brooks misses free throw 1 of 1,57,44
190,2,4:05.0,Defensive rebound by J. Holiday,,57,44
191,2,4:04.0,Turnover by J. Holiday (bad pass),,57,44
192,2,3:55.0,,B. Clarke misses 2-pt jump shot from 10 ft,57,44
193,2,3:52.0,Defensive rebound by J. Hayes,,57,44
194,2,3:44.0,L. Ball misses 3-pt jump shot from 25 ft,,57,44
195,2,3:41.0,,Defensive rebound by T. Jones,57,44
196,2,3:40.0,,Turnover by T. Jones (bad pass),57,44
197,2,3:40.0,New Orleans full timeout,,57,44
198,2,3:36.0,Shooting foul by B. Clarke (drawn by J. Hayes),,57,44
199,2,3:36.0,J. Hayes makes free throw 1 of 2,,58,44
200,2,3:36.0,J. Hayes misses free throw 2 of 2,,58,44
201,2,3:34.0,,Defensive rebound by J. Jackson,58,44
202,2,3:24.0,,J. Jackson makes 2-pt layup from 1 ft (assist by B. Clarke),58,46
203,2,3:09.0,J. Redick misses 3-pt jump shot from 26 ft,,58,46
204,2,3:06.0,,Defensive rebound by B. Clarke,58,46
205,2,3:00.0,,D. Brooks misses 2-pt jump shot from 8 ft,58,46
206,2,2:59.0,,Offensive rebound by D. Brooks,58,46
207,2,2:57.0,,D. Brooks misses 2-pt layup from 3 ft,58,46
208,2,2:57.0,Defensive rebound by J. Holiday,,58,46
209,2,2:45.0,B. Ingram misses 3-pt jump shot from 23 ft,,58,46
210,2,2:41.0,Offensive rebound by J. Hayes,,58,46
211,2,2:38.0,J. Holiday makes 3-pt jump shot from 27 ft,,61,46
212,2,2:18.0,,D. Brooks misses 2-pt layup from 7 ft,61,46
213,2,2:17.0,,Offensive rebound by D. Brooks,61,46
214,2,2:15.0,,D. Brooks makes 2-pt jump shot from 7 ft,61,48
