,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:41.0,D. Mitchell makes 2-pt jump shot from 21 ft,,2,0
1,1,11:25.0,,N. Vučević misses 3-pt jump shot from 27 ft,2,0
2,1,11:21.0,Defensive rebound by B. Bogdanović,,2,0
3,1,11:09.0,B. Bogdanović misses 2-pt layup from 4 ft,,2,0
4,1,11:06.0,Offensive rebound by R. Gobert,,2,0
5,1,11:04.0,R. Gobert misses 2-pt hook shot from 4 ft (block by N. Vučević),,2,0
6,1,11:04.0,,Defensive rebound by A. Gordon,2,0
7,1,10:55.0,,N. Vučević makes 2-pt layup from 3 ft (assist by A. Gordon),2,2
8,1,10:42.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by R. Gobert),,5,2
9,1,10:27.0,,E. Fournier misses 2-pt jump shot from 18 ft,5,2
10,1,10:24.0,Defensive rebound by R. Gobert,,5,2
11,1,10:17.0,D. Mitchell makes 2-pt jump shot from 17 ft,,7,2
12,1,10:03.0,,N. Vučević misses 3-pt jump shot from 27 ft,7,2
13,1,10:00.0,Defensive rebound by J. Ingles,,7,2
14,1,9:49.0,J. Ingles makes 2-pt jump shot from 12 ft,,9,2
15,1,9:32.0,,W. Iwundu makes 2-pt dunk from 4 ft (assist by E. Fournier),9,4
16,1,9:11.0,Shooting foul by N. Vučević (drawn by R. Gobert),,9,4
17,1,9:11.0,R. Gobert makes free throw 1 of 2,,10,4
18,1,9:11.0,R. Gobert misses free throw 2 of 2,,10,4
19,1,9:08.0,,Defensive rebound by A. Gordon,10,4
20,1,8:57.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),10,6
21,1,8:39.0,D. Mitchell misses 3-pt jump shot from 29 ft,,10,6
22,1,8:35.0,,Defensive rebound by N. Vučević,10,6
23,1,8:30.0,Violation by Team (kicked ball),,10,6
24,1,8:23.0,,M. Fultz misses 3-pt jump shot from 25 ft,10,6
25,1,8:20.0,Defensive rebound by R. Gobert,,10,6
26,1,8:13.0,Personal foul by W. Iwundu (drawn by J. Ingles),,10,6
27,1,8:07.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by R. O'Neale),,13,6
28,1,7:51.0,,Shooting foul by B. Bogdanović (drawn by A. Gordon),13,6
29,1,7:51.0,,A. Gordon makes free throw 1 of 2,13,7
30,1,7:51.0,,A. Gordon makes free throw 2 of 2,13,8
31,1,7:34.0,J. Ingles misses 3-pt jump shot from 26 ft,,13,8
32,1,7:31.0,,Defensive rebound by A. Gordon,13,8
33,1,7:22.0,,E. Fournier misses 3-pt jump shot from 25 ft,13,8
34,1,7:18.0,Defensive rebound by R. O'Neale,,13,8
35,1,7:03.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,16,8
36,1,6:38.0,,A. Gordon misses 3-pt jump shot from 25 ft,16,8
37,1,6:35.0,Defensive rebound by D. Mitchell,,16,8
38,1,6:24.0,J. Ingles misses 3-pt jump shot from 26 ft,,16,8
39,1,6:21.0,,Defensive rebound by E. Fournier,16,8
40,1,6:16.0,,E. Fournier makes 2-pt layup from 3 ft,16,10
41,1,5:59.0,D. Mitchell makes 2-pt jump shot from 14 ft,,18,10
42,1,5:59.0,Shooting foul by M. Fultz (drawn by D. Mitchell),,18,10
43,1,5:59.0,,Orlando full timeout,18,10
44,1,5:59.0,,T. Ross enters the game for A. Gordon,18,10
45,1,5:59.0,D. Mitchell misses free throw 1 of 1,,18,10
46,1,5:55.0,,Defensive rebound by W. Iwundu,18,10
47,1,5:55.0,E. Mudiay enters the game for D. Mitchell,,18,10
48,1,5:45.0,,M. Fultz makes 2-pt layup from 2 ft (assist by E. Fournier),18,12
49,1,5:29.0,E. Mudiay makes 2-pt jump shot from 17 ft,,20,12
50,1,5:16.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by M. Fultz),20,14
51,1,4:58.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),,22,14
52,1,4:47.0,,Personal foul by R. Gobert (drawn by T. Ross),22,14
53,1,4:47.0,J. Clarkson enters the game for J. Ingles,,22,14
54,1,4:47.0,G. Niang enters the game for R. O'Neale,,22,14
55,1,4:47.0,,D. Augustin enters the game for M. Fultz,22,14
56,1,4:34.0,,N. Vučević misses 2-pt jump shot from 8 ft,22,14
57,1,4:31.0,Defensive rebound by E. Mudiay,,22,14
58,1,4:21.0,Shooting foul by W. Iwundu (drawn by B. Bogdanović),,22,14
59,1,4:21.0,B. Bogdanović makes free throw 1 of 2,,23,14
60,1,4:21.0,B. Bogdanović makes free throw 2 of 2,,24,14
61,1,4:09.0,,Shooting foul by J. Clarkson (drawn by T. Ross),24,14
62,1,4:09.0,,T. Ross makes free throw 1 of 3,24,15
63,1,4:09.0,,T. Ross makes free throw 2 of 3,24,16
64,1,4:09.0,,T. Ross makes free throw 3 of 3,24,17
65,1,4:00.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,24,17
66,1,3:57.0,,Defensive rebound by N. Vučević,24,17
67,1,3:52.0,,E. Fournier misses 3-pt jump shot from 26 ft,24,17
68,1,3:51.0,Defensive rebound by Team,,24,17
69,1,3:51.0,,M. Bamba enters the game for N. Vučević,24,17
70,1,3:39.0,E. Mudiay misses 2-pt jump shot from 10 ft,,24,17
71,1,3:29.0,Offensive rebound by R. Gobert,,24,17
72,1,3:29.0,R. Gobert misses 2-pt layup at rim,,24,17
73,1,3:29.0,,Defensive rebound by W. Iwundu,24,17
74,1,3:26.0,,E. Fournier misses 3-pt jump shot from 23 ft,24,17
75,1,3:22.0,Defensive rebound by R. Gobert,,24,17
76,1,3:14.0,R. Gobert makes 2-pt layup from 2 ft (assist by E. Mudiay),,26,17
77,1,2:48.0,,E. Fournier misses 2-pt jump shot from 9 ft,26,17
78,1,2:46.0,Defensive rebound by R. Gobert,,26,17
79,1,2:42.0,G. Niang misses 3-pt jump shot from 27 ft,,26,17
80,1,2:36.0,,Defensive rebound by T. Ross,26,17
81,1,2:31.0,,T. Ross makes 2-pt jump shot from 12 ft,26,19
