,QUARTER,TIME_REMAINING,DENVER_ACTION,PHOENIX_ACTION,DENVER_SCORE,PHOENIX_SCORE
0,1,11:39.0,,Turnover by A. Baynes (3 sec),0,0
1,1,11:22.0,N. Jokić misses 2-pt jump shot from 17 ft,,0,0
2,1,11:18.0,,Defensive rebound by R. Rubio,0,0
3,1,11:12.0,,R. Rubio makes 2-pt jump shot from 12 ft,0,2
4,1,10:53.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,2
5,1,10:41.0,,Turnover by A. Baynes (bad pass),3,2
6,1,10:33.0,J. Murray misses 3-pt jump shot from 25 ft,,3,2
7,1,10:30.0,,Defensive rebound by A. Baynes,3,2
8,1,10:24.0,,R. Rubio makes 2-pt layup from 1 ft,3,4
9,1,10:11.0,N. Jokić misses 3-pt jump shot from 25 ft,,3,4
10,1,10:09.0,,Defensive rebound by D. Booker,3,4
11,1,9:59.0,,A. Baynes misses 2-pt jump shot from 11 ft,3,4
12,1,9:57.0,Defensive rebound by P. Millsap,,3,4
13,1,9:44.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,6,4
14,1,9:25.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Baynes),6,7
15,1,8:59.0,P. Millsap makes 2-pt jump shot from 3 ft,,8,7
16,1,8:43.0,,K. Oubre makes 2-pt jump shot from 5 ft,8,9
17,1,8:29.0,N. Jokić misses 3-pt jump shot from 25 ft,,8,9
18,1,8:28.0,,Defensive rebound by D. Booker,8,9
19,1,8:19.0,,Personal foul by G. Harris (drawn by D. Šarić),8,9
20,1,8:16.0,,K. Oubre misses 3-pt jump shot from 25 ft,8,9
21,1,8:12.0,Defensive rebound by N. Jokić,,8,9
22,1,7:54.0,N. Jokić makes 2-pt hook shot from 3 ft (assist by W. Barton),,10,9
23,1,7:39.0,,D. Šarić misses 3-pt jump shot from 26 ft,10,9
24,1,7:37.0,Defensive rebound by N. Jokić,,10,9
25,1,7:34.0,Offensive foul by P. Millsap (drawn by D. Šarić),,10,9
26,1,7:34.0,Turnover by P. Millsap (offensive foul),,10,9
27,1,7:19.0,,D. Šarić misses 2-pt hook shot from 8 ft,10,9
28,1,7:17.0,Defensive rebound by N. Jokić,,10,9
29,1,7:05.0,Turnover by N. Jokić (bad pass; steal by D. Booker),,10,9
30,1,7:01.0,,D. Šarić makes 2-pt layup from 1 ft (assist by R. Rubio),10,11
31,1,7:01.0,,Shooting foul by J. Murray (drawn by D. Šarić),10,11
32,1,7:01.0,,D. Šarić misses free throw 1 of 1,10,11
33,1,6:59.0,Defensive rebound by N. Jokić,,10,11
34,1,6:50.0,J. Murray misses 2-pt jump shot from 6 ft,,10,11
35,1,6:46.0,Offensive rebound by J. Murray,,10,11
36,1,6:46.0,J. Murray makes 2-pt layup at rim,,12,11
37,1,6:33.0,,R. Rubio makes 2-pt jump shot from 19 ft,12,13
38,1,6:11.0,G. Harris makes 2-pt jump shot from 14 ft (assist by N. Jokić),,14,13
39,1,6:03.0,,D. Booker misses 3-pt jump shot from 28 ft,14,13
40,1,6:00.0,Defensive rebound by P. Millsap,,14,13
41,1,5:52.0,W. Barton misses 2-pt jump shot from 18 ft,,14,13
42,1,5:50.0,,Defensive rebound by D. Šarić,14,13
43,1,5:41.0,,Turnover by R. Rubio (bad pass; steal by G. Harris),14,13
44,1,5:35.0,Shooting foul by D. Booker (drawn by P. Millsap),,14,13
45,1,5:35.0,,Phoenix full timeout,14,13
46,1,5:35.0,P. Millsap makes free throw 1 of 2,,15,13
47,1,5:35.0,P. Millsap makes free throw 2 of 2,,16,13
48,1,5:21.0,,Turnover by R. Rubio (bad pass; steal by P. Millsap),16,13
49,1,5:12.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,19,13
50,1,4:59.0,,Personal foul by W. Barton (drawn by K. Oubre),19,13
51,1,4:59.0,,E. Okobo enters the game for R. Rubio,19,13
52,1,4:51.0,,D. Šarić misses 3-pt jump shot from 26 ft,19,13
53,1,4:51.0,Defensive rebound by Team,,19,13
54,1,4:29.0,W. Barton makes 2-pt jump shot from 11 ft,,21,13
55,1,4:19.0,,K. Oubre misses 3-pt jump shot from 25 ft,21,13
56,1,4:17.0,Defensive rebound by P. Millsap,,21,13
57,1,4:08.0,J. Murray makes 2-pt jump shot from 21 ft,,23,13
58,1,3:44.0,,A. Baynes makes 2-pt hook shot from 2 ft (assist by D. Šarić),23,15
59,1,3:28.0,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),,25,15
60,1,3:20.0,,Personal foul by J. Murray (drawn by D. Booker),25,15
61,1,3:20.0,J. Grant enters the game for W. Barton,,25,15
62,1,3:20.0,M. Morris enters the game for P. Millsap,,25,15
63,1,3:20.0,M. Porter enters the game for J. Murray,,25,15
64,1,3:20.0,,M. Bridges enters the game for A. Baynes,25,15
65,1,3:20.0,,C. Johnson enters the game for K. Oubre,25,15
66,1,3:20.0,,F. Kaminsky enters the game for D. Šarić,25,15
67,1,3:19.0,,Personal foul by M. Porter (drawn by C. Johnson),25,15
68,1,3:19.0,,C. Johnson makes free throw 1 of 2,25,16
69,1,3:19.0,,C. Johnson misses free throw 2 of 2,25,16
70,1,3:17.0,Defensive rebound by N. Jokić,,25,16
71,1,3:08.0,Personal foul by D. Booker (drawn by N. Jokić),,25,16
72,1,3:08.0,M. Plumlee enters the game for N. Jokić,,25,16
73,1,3:08.0,,K. Oubre enters the game for D. Booker,25,16
74,1,2:55.0,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,28,16
75,1,2:41.0,,K. Oubre misses 2-pt jump shot from 19 ft,28,16
76,1,2:39.0,Defensive rebound by M. Porter,,28,16
77,1,2:29.0,G. Harris makes 3-pt jump shot from 26 ft,,31,16
78,1,2:27.0,,Phoenix full timeout,31,16
79,1,2:27.0,M. Beasley enters the game for G. Harris,,31,16
80,1,2:27.0,,T. Jerome enters the game for E. Okobo,31,16
81,1,2:10.0,,K. Oubre misses 2-pt layup at rim,31,16
82,1,2:08.0,Defensive rebound by M. Plumlee,,31,16
83,1,2:07.0,Offensive foul by M. Porter (drawn by C. Johnson),,31,16
84,1,2:07.0,Turnover by M. Porter (offensive foul),,31,16
85,1,1:48.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by T. Jerome),31,19
86,1,1:30.0,Personal foul by F. Kaminsky (drawn by M. Plumlee),,31,19
87,1,1:28.0,,Violation by Team (kicked ball),31,19
88,1,1:20.0,J. Grant misses 2-pt hook shot from 3 ft,,31,19
89,1,1:17.0,,Defensive rebound by C. Johnson,31,19
90,1,1:06.0,,K. Oubre misses 3-pt jump shot from 26 ft,31,19
91,1,1:03.0,,Offensive rebound by C. Johnson,31,19
92,1,1:01.0,,T. Jerome misses 3-pt jump shot from 27 ft,31,19
93,1,0:57.0,Defensive rebound by M. Plumlee,,31,19
94,1,0:42.0,Shooting foul by T. Jerome (drawn by J. Grant),,31,19
95,1,0:42.0,J. Grant misses free throw 1 of 2,,31,19
96,1,0:42.0,Offensive rebound by Team,,31,19
97,1,0:42.0,J. Grant misses free throw 2 of 2,,31,19
98,1,0:41.0,,Defensive rebound by F. Kaminsky,31,19
99,1,0:26.0,,F. Kaminsky makes 3-pt jump shot from 23 ft (assist by C. Johnson),31,22
100,1,0:05.0,M. Morris makes 3-pt jump shot from 25 ft,,34,22
