,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:41.0,Turnover by J. Morant (bad pass; steal by A. Bradley),,0,0
1,1,11:37.0,,Shooting foul by J. Jackson (drawn by L. James),0,0
2,1,11:37.0,,L. James makes free throw 1 of 2,0,1
3,1,11:37.0,,L. James makes free throw 2 of 2,0,2
4,1,11:16.0,D. Brooks misses 2-pt layup from 3 ft (block by A. Davis),,0,2
5,1,11:13.0,,Defensive rebound by J. McGee,0,2
6,1,11:08.0,,L. James misses 2-pt jump shot from 23 ft,0,2
7,1,11:05.0,Defensive rebound by K. Anderson,,0,2
8,1,11:00.0,Turnover by K. Anderson (lost ball; steal by A. Bradley),,0,2
9,1,11:00.0,,K. Kuzma enters the game for A. Davis,0,2
10,1,10:52.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),0,4
11,1,10:42.0,J. Morant misses 2-pt layup from 1 ft,,0,4
12,1,10:40.0,,Defensive rebound by K. Kuzma,0,4
13,1,10:31.0,,Turnover by D. Green (lost ball; steal by J. Jackson),0,4
14,1,10:23.0,D. Brooks misses 2-pt dunk from 3 ft (block by J. McGee),,0,4
15,1,10:19.0,,Defensive rebound by A. Bradley,0,4
16,1,10:14.0,,A. Bradley misses 2-pt jump shot from 19 ft,0,4
17,1,10:12.0,Defensive rebound by Team,,0,4
18,1,10:12.0,,Loose ball foul by J. McGee (drawn by J. Jackson),0,4
19,1,9:58.0,D. Brooks misses 2-pt layup from 2 ft,,0,4
20,1,9:54.0,,Defensive rebound by L. James,0,4
21,1,9:41.0,,K. Kuzma misses 3-pt jump shot from 27 ft,0,4
22,1,9:38.0,Defensive rebound by J. Jackson,,0,4
23,1,9:35.0,J. Morant makes 2-pt layup from 2 ft (assist by K. Anderson),,2,4
24,1,9:28.0,,D. Green makes 3-pt jump shot from 24 ft (assist by A. Bradley),2,7
25,1,9:27.0,Memphis full timeout,,2,7
26,1,9:13.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,2,7
27,1,9:10.0,,Defensive rebound by A. Bradley,2,7
28,1,9:06.0,,D. Green misses 3-pt jump shot from 26 ft,2,7
29,1,9:03.0,Defensive rebound by K. Anderson,,2,7
30,1,8:46.0,Turnover by J. Valančiūnas (lost ball; steal by D. Green),,2,7
