,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
0,1,11:34.0,K. Nunn misses 2-pt layup from 7 ft (block by A. Davis),,0,0
1,1,11:31.0,,Defensive rebound by D. Green,0,0
2,1,11:25.0,,A. Bradley makes 2-pt jump shot from 5 ft (assist by L. James),0,2
3,1,11:07.0,K. Nunn makes 2-pt layup from 2 ft (assist by B. Adebayo),,2,2
4,1,10:55.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by L. James),2,4
5,1,10:33.0,Turnover by K. Nunn (bad pass; steal by A. Davis),,2,4
6,1,10:28.0,,A. Bradley misses 3-pt jump shot from 23 ft,2,4
7,1,10:22.0,,Offensive rebound by J. McGee,2,4
8,1,10:22.0,,J. McGee makes 2-pt layup from 1 ft,2,6
9,1,10:04.0,Turnover by M. Leonard (step out of bounds),,2,6
10,1,9:50.0,,A. Bradley makes 2-pt jump shot from 17 ft,2,8
11,1,9:35.0,K. Nunn misses 2-pt layup from 4 ft (block by J. McGee),,2,8
12,1,9:35.0,Offensive rebound by Team,,2,8
13,1,9:29.0,D. Robinson misses 3-pt jump shot from 24 ft (block by A. Davis),,2,8
14,1,9:23.0,,Defensive rebound by A. Bradley,2,8
15,1,9:21.0,,L. James misses 2-pt layup from 2 ft,2,8
16,1,9:18.0,,Offensive rebound by A. Bradley,2,8
17,1,9:16.0,,D. Green makes 3-pt jump shot from 24 ft (assist by A. Bradley),2,11
18,1,9:16.0,Miami full timeout,,2,11
19,1,9:00.0,K. Nunn misses 3-pt jump shot from 26 ft,,2,11
20,1,8:56.0,,Defensive rebound by A. Bradley,2,11
21,1,8:50.0,,D. Green misses 3-pt jump shot from 25 ft,2,11
22,1,8:45.0,Defensive rebound by D. Robinson,,2,11
23,1,8:36.0,J. Butler misses 3-pt jump shot from 25 ft,,2,11
24,1,8:32.0,,Defensive rebound by J. McGee,2,11
25,1,8:22.0,,A. Bradley makes 2-pt layup from 1 ft,2,13
26,1,8:13.0,Personal foul by A. Bradley (drawn by K. Nunn),,2,13
27,1,8:02.0,J. Butler makes 2-pt jump shot from 13 ft,,4,13
28,1,7:38.0,,Turnover by A. Bradley (bad pass; steal by K. Nunn),4,13
29,1,7:34.0,J. Butler makes 2-pt layup from 1 ft (assist by K. Nunn),,6,13
30,1,7:22.0,,J. McGee misses 2-pt layup from 4 ft,6,13
31,1,7:22.0,,Offensive rebound by J. McGee,6,13
