,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:44.0,T. Bryant makes 2-pt jump shot from 5 ft (assist by B. Beal),,2,0
1,1,11:21.0,,W. Barton misses 2-pt layup from 3 ft (block by T. Bryant),2,0
2,1,11:18.0,Defensive rebound by T. Bryant,,2,0
3,1,11:15.0,R. Hachimura misses 2-pt jump shot from 18 ft,,2,0
4,1,11:12.0,,Defensive rebound by P. Millsap,2,0
5,1,11:02.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),2,2
6,1,10:43.0,R. Hachimura makes 2-pt dunk from 1 ft (assist by T. Bryant),,4,2
7,1,10:26.0,,Turnover by W. Barton (bad pass; steal by T. Bryant),4,2
8,1,10:22.0,Turnover by T. Brown (bad pass; steal by J. Murray),,4,2
9,1,10:16.0,,W. Barton misses 3-pt jump shot from 23 ft,4,2
10,1,10:13.0,Defensive rebound by B. Beal,,4,2
11,1,10:08.0,T. Brown misses 2-pt layup from 3 ft (block by P. Millsap),,4,2
12,1,10:06.0,Offensive rebound by T. Brown,,4,2
13,1,10:05.0,T. Brown makes 2-pt layup from 1 ft,,6,2
14,1,9:49.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),6,4
15,1,9:35.0,T. Brown misses 3-pt jump shot from 23 ft,,6,4
16,1,9:32.0,,Defensive rebound by P. Millsap,6,4
17,1,9:23.0,,G. Harris misses 2-pt layup from 2 ft,6,4
18,1,9:20.0,,Offensive rebound by N. Jokić,6,4
19,1,9:19.0,,P. Millsap misses 3-pt jump shot from 25 ft,6,4
20,1,9:17.0,Defensive rebound by B. Beal,,6,4
21,1,9:09.0,B. Beal misses 3-pt jump shot from 24 ft,,6,4
22,1,9:06.0,,Defensive rebound by N. Jokić,6,4
23,1,8:59.0,,Personal foul by T. Bryant (drawn by N. Jokić),6,4
24,1,8:53.0,,P. Millsap makes 2-pt layup from 1 ft (assist by W. Barton),6,6
25,1,8:36.0,R. Hachimura misses 3-pt jump shot from 24 ft,,6,6
26,1,8:34.0,,Defensive rebound by N. Jokić,6,6
27,1,8:25.0,,P. Millsap misses 2-pt jump shot from 6 ft,6,6
28,1,8:23.0,,Offensive rebound by N. Jokić,6,6
29,1,8:20.0,,Shooting foul by T. Bryant (drawn by P. Millsap),6,6
30,1,8:20.0,,P. Millsap misses free throw 1 of 2,6,6
31,1,8:20.0,,Offensive rebound by Team,6,6
32,1,8:20.0,M. Wagner enters the game for T. Bryant,,6,6
33,1,8:20.0,,P. Millsap makes free throw 2 of 2,6,7
34,1,8:04.0,T. Brown makes 2-pt layup from 2 ft (assist by R. Hachimura),,8,7
35,1,7:52.0,,J. Murray makes 2-pt jump shot from 13 ft (assist by N. Jokić),8,9
36,1,7:38.0,B. Beal makes 2-pt layup from 2 ft,,10,9
37,1,7:29.0,,G. Harris makes 2-pt jump shot from 20 ft (assist by J. Murray),10,11
38,1,7:19.0,I. Thomas makes 2-pt jump shot from 8 ft,,12,11
39,1,7:16.0,,Denver full timeout,12,11
40,1,6:54.0,,Turnover by W. Barton (bad pass; steal by T. Brown),12,11
41,1,6:49.0,B. Beal misses 3-pt jump shot from 25 ft,,12,11
42,1,6:45.0,,Defensive rebound by W. Barton,12,11
43,1,6:38.0,,W. Barton makes 2-pt jump shot from 5 ft,12,13
44,1,6:16.0,R. Hachimura misses 2-pt jump shot from 16 ft,,12,13
45,1,6:14.0,,Defensive rebound by N. Jokić,12,13
46,1,6:07.0,,G. Harris misses 3-pt jump shot from 25 ft,12,13
47,1,6:03.0,Defensive rebound by R. Hachimura,,12,13
48,1,5:53.0,M. Wagner makes 3-pt jump shot from 24 ft (assist by T. Brown),,15,13
49,1,5:41.0,,W. Barton makes 2-pt layup from 2 ft,15,15
50,1,5:20.0,M. Wagner misses 3-pt jump shot from 23 ft,,15,15
51,1,5:17.0,,Defensive rebound by N. Jokić,15,15
52,1,5:07.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),15,17
53,1,4:49.0,I. Thomas misses 2-pt layup from 2 ft (block by P. Millsap),,15,17
54,1,4:47.0,,Defensive rebound by W. Barton,15,17
55,1,4:44.0,,W. Barton misses 3-pt jump shot from 25 ft,15,17
56,1,4:40.0,Defensive rebound by B. Beal,,15,17
57,1,4:29.0,B. Beal misses 3-pt jump shot from 26 ft,,15,17
58,1,4:25.0,,Defensive rebound by G. Harris,15,17
59,1,4:23.0,,W. Barton makes 2-pt dunk from 1 ft (assist by G. Harris),15,19
60,1,4:22.0,Washington full timeout,,15,19
61,1,4:22.0,C. Miles enters the game for T. Brown,,15,19
