,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,N. Bjelica misses 3-pt jump shot from 23 ft,0,0
1,1,11:38.0,Defensive rebound by K. Lowry,,0,0
2,1,11:31.0,K. Lowry misses 3-pt jump shot from 25 ft,,0,0
3,1,11:29.0,,Defensive rebound by B. Bogdanović,0,0
4,1,11:16.0,,N. Bjelica makes 2-pt dunk from 1 ft (assist by H. Giles),0,2
5,1,11:00.0,Personal foul by B. Bogdanović (drawn by N. Powell),,0,2
6,1,10:51.0,P. Siakam misses 3-pt jump shot from 24 ft,,0,2
7,1,10:48.0,,Defensive rebound by D. Fox,0,2
8,1,10:40.0,,H. Giles misses 2-pt jump shot from 19 ft,0,2
9,1,10:34.0,Defensive rebound by K. Lowry,,0,2
10,1,10:32.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,2,2
11,1,10:22.0,,Personal foul by S. Ibaka (drawn by H. Giles),2,2
12,1,10:12.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,2
13,1,10:08.0,Defensive rebound by O. Anunoby,,2,2
14,1,10:06.0,Shooting foul by H. Giles (drawn by N. Powell),,2,2
15,1,10:06.0,N. Powell makes free throw 1 of 2,,3,2
16,1,10:06.0,N. Powell misses free throw 2 of 2,,3,2
17,1,10:04.0,,Defensive rebound by H. Giles,3,2
18,1,9:45.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,3,2
19,1,9:43.0,Defensive rebound by N. Powell,,3,2
20,1,9:34.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by N. Powell),,5,2
21,1,9:24.0,,Turnover by D. Fox (lost ball; steal by P. Siakam),5,2
22,1,9:20.0,P. Siakam makes 2-pt layup from 1 ft (assist by S. Ibaka),,7,2
23,1,9:01.0,,D. Fox misses 3-pt jump shot from 24 ft,7,2
24,1,8:58.0,Defensive rebound by P. Siakam,,7,2
25,1,8:44.0,P. Siakam misses 3-pt jump shot from 25 ft,,7,2
26,1,8:40.0,,Defensive rebound by N. Bjelica,7,2
27,1,8:28.0,,H. Barnes misses 3-pt jump shot from 25 ft,7,2
28,1,8:27.0,Defensive rebound by Team,,7,2
29,1,8:15.0,N. Powell misses 2-pt layup from 4 ft (block by B. Bogdanović),,7,2
30,1,8:13.0,,Defensive rebound by N. Bjelica,7,2
31,1,7:58.0,,D. Fox makes 2-pt jump shot from 11 ft (assist by H. Giles),7,4
32,1,7:40.0,S. Ibaka misses 2-pt jump shot from 7 ft,,7,4
33,1,7:37.0,,Defensive rebound by H. Barnes,7,4
34,1,7:31.0,,Personal foul by P. Siakam (drawn by D. Fox),7,4
35,1,7:27.0,,D. Fox misses 2-pt jump shot from 12 ft,7,4
36,1,7:24.0,Defensive rebound by P. Siakam,,7,4
37,1,7:19.0,N. Powell makes 2-pt dunk from 1 ft (assist by P. Siakam),,9,4
38,1,7:16.0,,Sacramento full timeout,9,4
39,1,6:58.0,,N. Bjelica misses 2-pt jump shot from 19 ft,9,4
40,1,6:56.0,Defensive rebound by S. Ibaka,,9,4
41,1,6:56.0,Personal foul by D. Fox (drawn by K. Lowry),,9,4
42,1,6:49.0,Technical foul by D. Fox,,9,4
43,1,6:49.0,K. Lowry misses technical free throw,,9,4
44,1,6:49.0,Offensive rebound by Team,,9,4
45,1,6:45.0,N. Powell misses 3-pt jump shot from 23 ft,,9,4
46,1,6:43.0,,Defensive rebound by H. Giles,9,4
47,1,6:27.0,,Turnover by D. Fox (bad pass; steal by P. Siakam),9,4
48,1,6:22.0,P. Siakam makes 2-pt dunk from 1 ft (assist by N. Powell),,11,4
49,1,6:06.0,Violation by Team (kicked ball),,11,4
50,1,6:06.0,,B. Hield enters the game for B. Bogdanović,11,4
51,1,5:53.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by N. Bjelica),11,7
52,1,5:44.0,,Violation by Team (kicked ball),11,7
53,1,5:44.0,,K. Bazemore enters the game for H. Barnes,11,7
54,1,5:36.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by N. Powell),,14,7
55,1,5:18.0,,N. Bjelica makes 2-pt hook shot from 7 ft,14,9
56,1,5:12.0,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),,16,9
57,1,5:02.0,,Turnover by D. Fox (bad pass; steal by O. Anunoby),16,9
58,1,4:51.0,P. Siakam makes 2-pt layup from 2 ft,,18,9
59,1,4:32.0,,B. Hield misses 3-pt jump shot from 25 ft,18,9
60,1,4:29.0,Defensive rebound by P. Siakam,,18,9
61,1,4:23.0,N. Powell misses 3-pt jump shot from 25 ft,,18,9
62,1,4:21.0,Offensive rebound by S. Ibaka,,18,9
63,1,4:21.0,S. Ibaka makes 2-pt layup from 1 ft,,20,9
64,1,4:21.0,Shooting foul by N. Bjelica (drawn by S. Ibaka),,20,9
65,1,4:21.0,,R. Holmes enters the game for D. Fox,20,9
66,1,4:21.0,,C. Joseph enters the game for H. Giles,20,9
67,1,4:21.0,S. Ibaka makes free throw 1 of 1,,21,9
68,1,3:58.0,,K. Bazemore makes 2-pt layup from 1 ft,21,11
69,1,3:48.0,O. Anunoby misses 3-pt jump shot from 25 ft,,21,11
70,1,3:45.0,,Defensive rebound by R. Holmes,21,11
71,1,3:27.0,,N. Bjelica makes 2-pt layup from 3 ft (assist by K. Bazemore),21,13
72,1,3:08.0,Personal foul by K. Bazemore (drawn by P. Siakam),,21,13
73,1,3:08.0,P. Siakam makes free throw 1 of 2,,22,13
74,1,3:08.0,M. Gasol enters the game for O. Anunoby,,22,13
75,1,3:08.0,P. McCaw enters the game for S. Ibaka,,22,13
76,1,3:08.0,P. Siakam misses free throw 2 of 2,,22,13
77,1,3:07.0,Offensive rebound by Team,,22,13
78,1,3:02.0,K. Lowry misses 3-pt jump shot from 27 ft,,22,13
79,1,3:00.0,,Defensive rebound by K. Bazemore,22,13
80,1,2:45.0,,B. Hield makes 2-pt layup from 1 ft,22,15
81,1,2:34.0,Turnover by K. Lowry (bad pass; steal by B. Hield),,22,15
82,1,2:30.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by B. Hield),22,17
83,1,2:29.0,Toronto full timeout,,22,17
84,1,2:29.0,T. Davis enters the game for K. Lowry,,22,17
85,1,2:05.0,T. Davis misses 3-pt jump shot from 27 ft,,22,17
86,1,2:03.0,,Defensive rebound by R. Holmes,22,17
87,1,1:53.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by C. Joseph),22,20
88,1,1:42.0,M. Gasol misses 3-pt jump shot from 25 ft,,22,20
89,1,1:39.0,,Defensive rebound by B. Hield,22,20
90,1,1:30.0,,R. Holmes misses 2-pt jump shot from 8 ft,22,20
91,1,1:27.0,Defensive rebound by T. Davis,,22,20
92,1,1:18.0,T. Davis misses 2-pt jump shot from 7 ft,,22,20
93,1,1:15.0,,Defensive rebound by B. Hield,22,20
94,1,1:12.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by C. Joseph),22,22
95,1,0:55.0,P. Siakam misses 3-pt jump shot from 26 ft,,22,22
96,1,0:51.0,,Defensive rebound by N. Bjelica,22,22
97,1,0:39.0,,B. Hield misses 3-pt jump shot from 25 ft,22,22
98,1,0:35.0,Defensive rebound by M. Gasol,,22,22
99,1,0:29.0,P. Siakam misses 2-pt jump shot from 6 ft,,22,22
100,1,0:26.0,,Defensive rebound by R. Holmes,22,22
101,1,0:07.0,,Turnover by C. Joseph (bad pass; steal by P. Siakam),22,22
102,1,0:02.0,N. Powell misses 2-pt layup from 4 ft (block by R. Holmes),,22,22
103,1,0:02.0,Offensive rebound by Team,,22,22
104,1,0:02.0,,H. Barnes enters the game for N. Bjelica,22,22
105,1,0:00.0,M. Gasol misses 2-pt jump shot from 22 ft,,22,22
106,1,0:00.0,Offensive rebound by Team,,22,22
107,2,11:48.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. McCaw),,25,22
108,2,11:23.0,,H. Barnes makes 2-pt jump shot from 7 ft,25,24
109,2,11:10.0,P. McCaw makes 3-pt jump shot from 25 ft (assist by M. Gasol),,28,24
110,2,10:52.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by R. Holmes),28,27
111,2,10:39.0,Personal foul by C. Joseph (drawn by R. Hollis-Jefferson),,28,27
112,2,10:39.0,,A. Len enters the game for R. Holmes,28,27
113,2,10:27.0,T. Davis misses 3-pt jump shot from 26 ft,,28,27
114,2,10:24.0,,Defensive rebound by A. Len,28,27
115,2,10:15.0,,A. Len misses 2-pt layup from 3 ft,28,27
116,2,10:14.0,,Offensive rebound by A. Len,28,27
117,2,10:14.0,,A. Len makes 2-pt layup at rim,28,29
118,2,9:59.0,O. Anunoby misses 2-pt layup from 3 ft (block by A. Len),,28,29
119,2,9:57.0,,Defensive rebound by H. Barnes,28,29
120,2,9:48.0,,K. Bazemore misses 2-pt layup from 3 ft,28,29
121,2,9:47.0,Defensive rebound by T. Davis,,28,29
122,2,9:35.0,P. McCaw misses 3-pt jump shot from 25 ft,,28,29
123,2,9:32.0,,Defensive rebound by A. Len,28,29
124,2,9:18.0,,B. Hield misses 2-pt jump shot from 14 ft,28,29
125,2,9:15.0,Defensive rebound by T. Davis,,28,29
126,2,9:05.0,T. Davis misses 3-pt jump shot from 23 ft,,28,29
127,2,9:03.0,,Defensive rebound by C. Joseph,28,29
128,2,8:58.0,,Personal foul by P. McCaw (drawn by C. Joseph),28,29
129,2,8:58.0,S. Ibaka enters the game for M. Gasol,,28,29
130,2,8:58.0,,B. Bogdanović enters the game for B. Hield,28,29
131,2,8:51.0,,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by C. Joseph),28,31
132,2,8:51.0,,Shooting foul by T. Davis (drawn by B. Bogdanović),28,31
133,2,8:51.0,,B. Bogdanović misses free throw 1 of 1,28,31
