,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,Turnover by D. Green (step out of bounds),0,0
1,1,11:24.0,E. Gordon misses 2-pt layup from 4 ft,,0,0
2,1,11:22.0,,Defensive rebound by A. Davis,0,0
3,1,11:18.0,,J. McGee misses 2-pt layup from 4 ft,0,0
4,1,11:16.0,Defensive rebound by J. Harden,,0,0
5,1,11:10.0,J. Harden makes 2-pt layup from 2 ft,,2,0
6,1,10:52.0,,A. Bradley misses 2-pt layup from 3 ft,2,0
7,1,10:51.0,Defensive rebound by D. House,,2,0
8,1,10:45.0,R. Westbrook misses 2-pt jump shot from 20 ft,,2,0
9,1,10:42.0,,Defensive rebound by J. McGee,2,0
10,1,10:34.0,,A. Davis misses 2-pt layup from 2 ft,2,0
11,1,10:32.0,Defensive rebound by P. Tucker,,2,0
12,1,10:26.0,D. House makes 3-pt jump shot from 27 ft (assist by J. Harden),,5,0
13,1,10:21.0,,Turnover by L. James (bad pass),5,0
14,1,10:13.0,D. House misses 2-pt dunk from 2 ft (block by J. McGee),,5,0
15,1,10:10.0,,Defensive rebound by D. Green,5,0
16,1,10:05.0,,L. James misses 2-pt layup from 2 ft,5,0
17,1,10:01.0,,Offensive rebound by L. James,5,0
18,1,10:01.0,,L. James makes 2-pt layup from 1 ft,5,2
19,1,9:51.0,Shooting foul by J. McGee (drawn by D. House),,5,2
20,1,9:51.0,D. House makes free throw 1 of 3,,6,2
21,1,9:51.0,D. House makes free throw 2 of 3,,7,2
22,1,9:51.0,D. House makes free throw 3 of 3,,8,2
23,1,9:33.0,,A. Davis misses 2-pt jump shot from 3 ft,8,2
24,1,9:32.0,,Offensive rebound by D. Green,8,2
25,1,9:30.0,,A. Bradley makes 3-pt jump shot from 27 ft (assist by D. Green),8,5
26,1,9:23.0,R. Westbrook misses 2-pt layup from 2 ft,,8,5
27,1,9:21.0,,Defensive rebound by A. Davis,8,5
28,1,9:18.0,,D. Green misses 3-pt jump shot from 26 ft,8,5
29,1,9:14.0,Defensive rebound by R. Westbrook,,8,5
30,1,8:55.0,D. House makes 2-pt jump shot from 2 ft,,10,5
31,1,8:43.0,,J. McGee makes 2-pt jump shot from 13 ft (assist by D. Green),10,7
32,1,8:25.0,E. Gordon misses 3-pt jump shot from 27 ft,,10,7
