,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:58.0,,Violation by Team (jump ball),0,0
1,1,11:48.0,Shooting foul by A. Drummond (drawn by K. Love),,0,0
2,1,11:48.0,K. Love makes free throw 1 of 2,,1,0
3,1,11:48.0,K. Love misses free throw 2 of 2,,1,0
4,1,11:45.0,,Defensive rebound by A. Drummond,1,0
5,1,11:37.0,,Personal foul by C. Osman (drawn by T. Snell),1,0
6,1,11:26.0,,S. Doumbouya misses 2-pt jump shot from 8 ft,1,0
7,1,11:19.0,,Offensive rebound by A. Drummond,1,0
8,1,11:19.0,,A. Drummond misses 2-pt layup at rim,1,0
9,1,11:18.0,Defensive rebound by C. Sexton,,1,0
10,1,11:16.0,Offensive foul by T. Thompson (drawn by S. Doumbouya),,1,0
11,1,11:16.0,Turnover by T. Thompson (offensive foul),,1,0
12,1,10:53.0,,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by B. Brown),1,3
13,1,10:38.0,C. Sexton misses 2-pt jump shot from 15 ft (block by B. Brown),,1,3
14,1,10:35.0,,Defensive rebound by A. Drummond,1,3
15,1,10:27.0,,Shooting foul by C. Sexton (drawn by B. Brown),1,3
16,1,10:27.0,,B. Brown makes free throw 1 of 2,1,4
17,1,10:27.0,,B. Brown makes free throw 2 of 2,1,5
18,1,10:16.0,D. Garland misses 2-pt jump shot from 16 ft,,1,5
19,1,10:12.0,,Defensive rebound by B. Brown,1,5
20,1,10:05.0,,A. Drummond misses 2-pt layup from 3 ft,1,5
21,1,10:04.0,,Offensive rebound by A. Drummond,1,5
22,1,10:02.0,,A. Drummond misses 2-pt layup from 2 ft (block by C. Sexton),1,5
23,1,10:02.0,,Offensive rebound by A. Drummond,1,5
24,1,9:57.0,,A. Drummond makes 2-pt layup from 2 ft,1,7
25,1,9:42.0,C. Sexton makes 2-pt layup from 4 ft,,3,7
26,1,9:23.0,,S. Doumbouya makes 2-pt jump shot from 8 ft,3,9
27,1,9:13.0,C. Sexton makes 2-pt jump shot from 12 ft,,5,9
28,1,9:01.0,,A. Drummond misses 2-pt layup from 2 ft,5,9
29,1,9:00.0,Defensive rebound by K. Love,,5,9
30,1,8:54.0,Turnover by D. Garland (lost ball; steal by B. Brown),,5,9
31,1,8:49.0,,T. Snell misses 3-pt jump shot from 24 ft,5,9
32,1,8:46.0,,Offensive rebound by A. Drummond,5,9
33,1,8:46.0,,A. Drummond makes 2-pt jump shot from 6 ft,5,11
34,1,8:33.0,Personal foul by B. Brown (drawn by T. Thompson),,5,11
35,1,8:29.0,Turnover by K. Love (bad pass),,5,11
36,1,8:08.0,,S. Doumbouya makes 3-pt jump shot from 25 ft (assist by A. Drummond),5,14
37,1,7:47.0,C. Osman makes 2-pt hook shot from 6 ft,,7,14
38,1,7:36.0,,B. Brown misses 2-pt dunk from 2 ft,7,14
39,1,7:34.0,Defensive rebound by T. Thompson,,7,14
40,1,7:33.0,C. Sexton misses 2-pt layup from 3 ft,,7,14
41,1,7:30.0,Offensive rebound by T. Thompson,,7,14
42,1,7:30.0,T. Thompson makes 2-pt dunk from 1 ft,,9,14
43,1,7:15.0,,T. Snell makes 2-pt layup from 6 ft,9,16
