,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
0,1,11:44.0,Turnover by B. Ingram (lost ball; steal by K. Walker),,0,0
1,1,11:41.0,,J. Tatum makes 2-pt layup from 2 ft (assist by J. Brown),0,2
2,1,11:41.0,,Shooting foul by B. Ingram (drawn by J. Tatum),0,2
3,1,11:41.0,,J. Tatum makes free throw 1 of 1,0,3
4,1,11:31.0,E. Moore makes 2-pt jump shot from 10 ft,,2,3
5,1,11:11.0,,J. Brown misses 2-pt jump shot from 10 ft,2,3
6,1,11:07.0,,Offensive rebound by D. Theis,2,3
7,1,11:06.0,,D. Theis misses 2-pt layup from 1 ft,2,3
8,1,11:05.0,Defensive rebound by E. Moore,,2,3
9,1,10:58.0,L. Ball misses 3-pt jump shot from 29 ft,,2,3
10,1,10:55.0,,Defensive rebound by J. Tatum,2,3
11,1,10:47.0,,J. Brown misses 2-pt hook shot from 5 ft,2,3
12,1,10:45.0,Defensive rebound by J. Hart,,2,3
13,1,10:37.0,B. Ingram misses 2-pt jump shot from 3 ft,,2,3
14,1,10:36.0,Offensive rebound by L. Ball,,2,3
15,1,10:30.0,J. Hayes makes 2-pt layup from 2 ft (assist by B. Ingram),,4,3
16,1,10:30.0,Shooting foul by J. Brown (drawn by J. Hayes),,4,3
17,1,10:30.0,J. Hayes makes free throw 1 of 1,,5,3
18,1,10:16.0,,Shooting foul by L. Ball (drawn by K. Walker),5,3
19,1,10:16.0,,K. Walker makes free throw 1 of 2,5,4
20,1,10:16.0,,K. Walker makes free throw 2 of 2,5,5
21,1,10:01.0,Turnover by E. Moore (lost ball; steal by D. Theis),,5,5
22,1,9:55.0,,J. Brown misses 2-pt layup from 2 ft,5,5
23,1,9:53.0,Defensive rebound by J. Hart,,5,5
24,1,9:49.0,J. Hayes makes 2-pt dunk from 3 ft (assist by L. Ball),,7,5
25,1,9:36.0,,K. Walker misses 3-pt jump shot from 26 ft,7,5
26,1,9:33.0,Defensive rebound by B. Ingram,,7,5
27,1,9:25.0,L. Ball misses 2-pt layup from 11 ft,,7,5
28,1,9:23.0,Offensive rebound by L. Ball,,7,5
29,1,9:21.0,B. Ingram misses 3-pt jump shot from 27 ft,,7,5
30,1,9:20.0,,Defensive rebound by G. Hayward,7,5
31,1,9:13.0,,D. Theis misses 2-pt hook shot from 4 ft,7,5
32,1,9:13.0,,Offensive rebound by Team,7,5
33,1,9:09.0,,G. Hayward misses 2-pt jump shot from 17 ft,7,5
34,1,9:08.0,,Offensive rebound by Team,7,5
35,1,9:08.0,Loose ball foul by J. Hayes (drawn by D. Theis),,7,5
36,1,9:00.0,,J. Tatum misses 2-pt jump shot from 12 ft,7,5
37,1,8:58.0,Defensive rebound by J. Hart,,7,5
38,1,8:49.0,Personal foul by J. Tatum (drawn by L. Ball),,7,5
39,1,8:45.0,B. Ingram misses 2-pt jump shot from 9 ft,,7,5
40,1,8:42.0,Offensive rebound by Team,,7,5
41,1,8:39.0,E. Moore misses 2-pt hook shot from 9 ft,,7,5
42,1,8:36.0,,Defensive rebound by K. Walker,7,5
43,1,8:29.0,,J. Brown makes 2-pt jump shot from 5 ft,7,7
44,1,8:20.0,L. Ball misses 3-pt jump shot from 29 ft,,7,7
45,1,8:19.0,,Defensive rebound by J. Tatum,7,7
46,1,8:09.0,,J. Tatum makes 2-pt layup from 6 ft,7,9
47,1,7:55.0,J. Hart misses 3-pt jump shot from 26 ft,,7,9
48,1,7:53.0,,Defensive rebound by K. Walker,7,9
49,1,7:39.0,,J. Tatum makes 2-pt layup from 2 ft,7,11
50,1,7:29.0,New Orleans full timeout,,7,11
51,1,7:19.0,J. Hart misses 2-pt jump shot from 13 ft,,7,11
52,1,7:17.0,,Defensive rebound by D. Theis,7,11
53,1,7:09.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Tatum),7,14
54,1,6:56.0,J. Hayes makes 2-pt dunk from 2 ft (assist by B. Ingram),,9,14
55,1,6:40.0,,D. Theis makes 2-pt jump shot from 17 ft (assist by K. Walker),9,16
56,1,6:28.0,L. Ball makes 3-pt jump shot from 27 ft,,12,16
57,1,6:12.0,,G. Hayward misses 2-pt jump shot from 9 ft,12,16
58,1,6:10.0,Defensive rebound by J. Hart,,12,16
59,1,6:04.0,B. Ingram makes 3-pt jump shot from 24 ft (assist by L. Ball),,15,16
60,1,5:44.0,,J. Tatum makes 2-pt jump shot from 11 ft,15,18
61,1,5:34.0,Turnover by L. Ball (out of bounds lost ball),,15,18
62,1,5:21.0,,J. Brown makes 2-pt dunk at rim (assist by G. Hayward),15,20
