,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:44.0,Turnover by D. Russell (bad pass; steal by L. Markkanen),,0,0
1,1,11:24.0,,L. Markkanen misses 3-pt jump shot from 27 ft,0,0
2,1,11:20.0,Defensive rebound by G. Robinson,,0,0
3,1,11:07.0,Turnover by D. Green (bad pass; steal by W. Carter),,0,0
4,1,11:03.0,,T. Satoranský makes 2-pt dunk from 1 ft (assist by W. Carter),0,2
5,1,10:44.0,Turnover by G. Robinson (lost ball; steal by K. Dunn),,0,2
6,1,10:32.0,Violation by Team (kicked ball),,0,2
7,1,10:21.0,,L. Markkanen misses 3-pt jump shot from 26 ft,0,2
8,1,10:17.0,Defensive rebound by D. Russell,,0,2
9,1,10:04.0,D. Russell makes 3-pt jump shot from 27 ft (assist by W. Cauley-Stein),,3,2
10,1,9:52.0,,T. Satoranský misses 2-pt jump shot from 11 ft,3,2
11,1,9:48.0,Defensive rebound by D. Russell,,3,2
12,1,9:46.0,D. Russell makes 3-pt jump shot from 26 ft,,6,2
13,1,9:28.0,,Turnover by T. Satoranský (bad pass; steal by D. Green),6,2
14,1,9:19.0,Turnover by W. Cauley-Stein (discontinued dribble),,6,2
15,1,9:06.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by Z. LaVine),6,4
16,1,9:00.0,Shooting foul by T. Satoranský (drawn by D. Green),,6,4
17,1,9:00.0,D. Green makes free throw 1 of 2,,7,4
18,1,9:00.0,D. Green makes free throw 2 of 2,,8,4
19,1,8:50.0,,K. Dunn misses 2-pt jump shot from 13 ft,8,4
20,1,8:45.0,,Offensive rebound by K. Dunn,8,4
21,1,8:45.0,,K. Dunn makes 2-pt layup at rim,8,6
22,1,8:40.0,Personal foul by K. Dunn (drawn by D. Russell),,8,6
23,1,8:27.0,G. Robinson misses 2-pt layup from 2 ft,,8,6
24,1,8:24.0,Offensive rebound by W. Cauley-Stein,,8,6
25,1,8:24.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,8,6
26,1,8:23.0,,Defensive rebound by L. Markkanen,8,6
27,1,8:15.0,,Z. LaVine misses 3-pt jump shot from 27 ft,8,6
28,1,8:12.0,Defensive rebound by D. Russell,,8,6
29,1,8:03.0,E. Paschall misses 3-pt jump shot from 23 ft,,8,6
30,1,8:00.0,,Defensive rebound by Z. LaVine,8,6
31,1,7:52.0,,Turnover by Z. LaVine (bad pass; steal by E. Paschall),8,6
32,1,7:48.0,G. Robinson makes 2-pt jump shot from 8 ft (assist by D. Russell),,10,6
33,1,7:25.0,,L. Markkanen makes 2-pt layup from 2 ft,10,8
34,1,7:13.0,D. Russell misses 3-pt jump shot from 23 ft,,10,8
35,1,7:11.0,,Defensive rebound by W. Carter,10,8
36,1,7:04.0,,L. Markkanen makes 2-pt dunk from 1 ft,10,10
37,1,6:44.0,Shooting foul by W. Carter (drawn by W. Cauley-Stein),,10,10
38,1,6:44.0,,Chicago full timeout,10,10
39,1,6:44.0,W. Cauley-Stein misses free throw 1 of 2,,10,10
40,1,6:44.0,Offensive rebound by Team,,10,10
41,1,6:44.0,W. Cauley-Stein misses free throw 2 of 2,,10,10
42,1,6:42.0,,Defensive rebound by Z. LaVine,10,10
43,1,6:26.0,,Z. LaVine misses 2-pt layup from 2 ft (block by W. Cauley-Stein),10,10
44,1,6:26.0,,Offensive rebound by Team,10,10
45,1,6:26.0,,D. Gafford enters the game for W. Carter,10,10
46,1,6:26.0,Loose ball foul by W. Cauley-Stein (drawn by D. Gafford),,10,10
47,1,6:21.0,,K. Dunn makes 3-pt jump shot from 23 ft (assist by T. Satoranský),10,13
48,1,6:06.0,Offensive foul by E. Paschall (drawn by D. Gafford),,10,13
49,1,6:06.0,Turnover by E. Paschall (offensive foul),,10,13
