,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,D. Robinson misses 3-pt jump shot from 26 ft,,0,0
1,1,11:38.0,Offensive rebound by D. Jones,,0,0
2,1,11:34.0,Turnover by K. Nunn (traveling),,0,0
3,1,11:18.0,,Turnover by L. Ball (bad pass; steal by J. Butler),0,0
4,1,11:14.0,J. Butler makes 2-pt layup from 2 ft,,2,0
5,1,11:06.0,,Turnover by B. Ingram (bad pass; steal by B. Adebayo),2,0
6,1,10:43.0,Turnover by Team (shot clock),,2,0
7,1,10:23.0,,L. Ball misses 3-pt jump shot from 26 ft,2,0
8,1,10:18.0,Defensive rebound by D. Robinson,,2,0
9,1,10:14.0,Offensive foul by D. Robinson (drawn by Z. Williamson),,2,0
10,1,10:14.0,Turnover by D. Robinson (offensive foul),,2,0
11,1,10:14.0,,New Orleans full timeout,2,0
12,1,10:03.0,,Z. Williamson makes 2-pt layup from 1 ft (assist by L. Ball),2,2
13,1,9:52.0,J. Butler makes 2-pt layup from 1 ft,,4,2
14,1,9:52.0,Shooting foul by B. Ingram (drawn by J. Butler),,4,2
15,1,9:52.0,J. Butler makes free throw 1 of 1,,5,2
16,1,9:32.0,,B. Ingram misses 3-pt jump shot from 26 ft,5,2
17,1,9:26.0,Defensive rebound by K. Nunn,,5,2
18,1,9:10.0,B. Adebayo misses 2-pt jump shot from 5 ft,,5,2
19,1,9:07.0,,Defensive rebound by B. Ingram,5,2
20,1,8:47.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by L. Ball),5,5
21,1,8:41.0,Shooting foul by Z. Williamson (drawn by D. Jones),,5,5
22,1,8:41.0,D. Jones misses free throw 1 of 2,,5,5
23,1,8:41.0,Offensive rebound by Team,,5,5
24,1,8:41.0,D. Jones misses free throw 2 of 2,,5,5
25,1,8:39.0,,Defensive rebound by Z. Williamson,5,5
26,1,8:28.0,,L. Ball misses 3-pt jump shot from 25 ft,5,5
27,1,8:24.0,Defensive rebound by B. Adebayo,,5,5
28,1,8:22.0,Turnover by B. Adebayo (bad pass),,5,5
29,1,8:12.0,,Turnover by L. Ball (bad pass; steal by B. Adebayo),5,5
30,1,8:07.0,Turnover by D. Robinson (bad pass; steal by J. Holiday),,5,5
31,1,8:02.0,,J. Holiday makes 2-pt layup from 2 ft (assist by B. Ingram),5,7
32,1,7:49.0,K. Nunn misses 2-pt jump shot from 6 ft,,5,7
33,1,7:49.0,Offensive rebound by Team,,5,7
34,1,7:47.0,K. Nunn makes 2-pt jump shot from 13 ft (assist by J. Butler),,7,7
35,1,7:34.0,,J. Holiday misses 3-pt jump shot from 26 ft,7,7
36,1,7:32.0,Defensive rebound by B. Adebayo,,7,7
37,1,7:24.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,10,7
38,1,7:08.0,,Z. Williamson makes 2-pt layup from 2 ft (assist by L. Ball),10,9
39,1,6:58.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Nunn),,12,9
40,1,6:46.0,,L. Ball makes 3-pt jump shot from 27 ft (assist by Z. Williamson),12,12
41,1,6:32.0,Shooting foul by D. Favors (drawn by B. Adebayo),,12,12
42,1,6:32.0,B. Adebayo makes free throw 1 of 2,,13,12
43,1,6:32.0,B. Adebayo misses free throw 2 of 2,,13,12
44,1,6:31.0,,Defensive rebound by B. Ingram,13,12
45,1,6:20.0,,D. Favors makes 2-pt jump shot from 11 ft (assist by B. Ingram),13,14
46,1,6:04.0,J. Butler misses 2-pt jump shot from 10 ft (block by L. Ball),,13,14
47,1,6:01.0,,Defensive rebound by J. Holiday,13,14
48,1,6:00.0,,J. Holiday makes 2-pt layup from 2 ft,13,16
49,1,6:00.0,Miami full timeout,,13,16
50,1,6:00.0,G. Dragić enters the game for D. Robinson,,13,16
51,1,5:44.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Butler),,15,16
52,1,5:22.0,,B. Ingram misses 2-pt jump shot from 15 ft,15,16
53,1,5:20.0,,Offensive rebound by Z. Williamson,15,16
54,1,5:10.0,,B. Ingram misses 2-pt layup from 3 ft,15,16
55,1,5:07.0,,Offensive rebound by D. Favors,15,16
56,1,5:07.0,,D. Favors makes 2-pt layup from 1 ft,15,18
57,1,4:45.0,G. Dragić misses 2-pt jump shot from 19 ft,,15,18
58,1,4:42.0,Offensive rebound by B. Adebayo,,15,18
59,1,4:40.0,K. Nunn misses 3-pt jump shot from 24 ft,,15,18
60,1,4:33.0,Offensive rebound by D. Jones,,15,18
61,1,4:33.0,D. Jones makes 2-pt dunk at rim,,17,18
