,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PHILADELPHIA_ACTION,OKLAHOMA CITY_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,S. Adams misses 2-pt hook shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Embiid,0,0
2,1,11:28.0,,J. Embiid misses 3-pt jump shot from 25 ft,0,0
3,1,11:25.0,Defensive rebound by C. Paul,,0,0
4,1,11:21.0,T. Ferguson makes 3-pt jump shot from 26 ft (assist by C. Paul),,3,0
5,1,11:00.0,,J. Embiid makes 2-pt jump shot from 11 ft (assist by T. Harris),3,2
6,1,10:48.0,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft,,5,2
7,1,10:39.0,,B. Simmons misses 2-pt layup from 2 ft,5,2
8,1,10:37.0,Defensive rebound by S. Gilgeous-Alexander,,5,2
9,1,10:19.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,,5,2
10,1,10:17.0,,Defensive rebound by T. Harris,5,2
11,1,10:03.0,,T. Harris misses 2-pt jump shot from 18 ft,5,2
12,1,10:00.0,Defensive rebound by D. Gallinari,,5,2
13,1,9:50.0,D. Gallinari misses 3-pt jump shot from 25 ft,,5,2
14,1,9:48.0,,Defensive rebound by T. Harris,5,2
15,1,9:40.0,,J. Embiid misses 3-pt jump shot from 25 ft,5,2
16,1,9:38.0,Defensive rebound by C. Paul,,5,2
17,1,9:36.0,Turnover by C. Paul (bad pass),,5,2
18,1,9:19.0,,B. Simmons makes 2-pt hook shot from 6 ft (assist by J. Richardson),5,4
19,1,9:09.0,T. Ferguson misses 3-pt jump shot from 25 ft,,5,4
20,1,9:06.0,,Defensive rebound by J. Embiid,5,4
21,1,8:56.0,,A. Horford makes 2-pt layup from 2 ft (assist by T. Harris),5,6
22,1,8:46.0,S. Gilgeous-Alexander makes 2-pt hook shot from 7 ft,,7,6
23,1,8:26.0,,J. Embiid misses 2-pt jump shot from 7 ft (block by S. Adams),7,6
24,1,8:23.0,Defensive rebound by C. Paul,,7,6
25,1,8:15.0,S. Adams makes 2-pt hook shot from 7 ft,,9,6
26,1,8:02.0,,J. Richardson makes 2-pt layup from 1 ft (assist by B. Simmons),9,8
27,1,7:45.0,Shooting foul by J. Embiid (drawn by S. Adams),,9,8
28,1,7:45.0,S. Adams makes free throw 1 of 2,,10,8
29,1,7:45.0,S. Adams misses free throw 2 of 2,,10,8
30,1,7:43.0,,Defensive rebound by B. Simmons,10,8
31,1,7:30.0,,J. Richardson makes 2-pt jump shot from 8 ft,10,10
32,1,7:08.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,10,10
33,1,7:07.0,,Defensive rebound by Team,10,10
34,1,6:52.0,,Turnover by J. Embiid (lost ball; steal by C. Paul),10,10
35,1,6:47.0,C. Paul makes 3-pt jump shot from 25 ft,,13,10
36,1,6:30.0,,J. Richardson misses 2-pt hook shot from 8 ft,13,10
37,1,6:28.0,Defensive rebound by S. Adams,,13,10
38,1,6:24.0,C. Paul makes 3-pt jump shot from 25 ft,,16,10
39,1,6:06.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Horford),16,13
40,1,5:45.0,C. Paul misses 3-pt jump shot from 26 ft,,16,13
41,1,5:42.0,Offensive rebound by S. Gilgeous-Alexander,,16,13
42,1,5:39.0,Personal foul by J. Richardson (drawn by S. Gilgeous-Alexander),,16,13
43,1,5:39.0,,Philadelphia full timeout,16,13
44,1,5:39.0,M. Muscala enters the game for S. Adams,,16,13
45,1,5:39.0,,F. Korkmaz enters the game for J. Embiid,16,13
46,1,5:26.0,Turnover by C. Paul (out of bounds lost ball),,16,13
47,1,5:26.0,D. Schröder enters the game for C. Paul,,16,13
48,1,5:10.0,,F. Korkmaz misses 2-pt layup from 2 ft,16,13
49,1,5:07.0,Defensive rebound by D. Gallinari,,16,13
50,1,5:00.0,Shooting foul by F. Korkmaz (drawn by D. Schröder),,16,13
51,1,5:00.0,D. Schröder makes free throw 1 of 2,,17,13
52,1,5:00.0,,J. Ennis enters the game for J. Richardson,17,13
53,1,5:00.0,D. Schröder makes free throw 2 of 2,,18,13
54,1,4:48.0,,Personal foul by T. Ferguson (drawn by F. Korkmaz),18,13
55,1,4:35.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Simmons),18,16
56,1,4:22.0,D. Gallinari makes 2-pt jump shot from 3 ft (assist by M. Muscala),,20,16
57,1,4:16.0,,J. Ennis makes 3-pt jump shot from 25 ft (assist by B. Simmons),20,19
58,1,3:54.0,Personal foul by T. Harris (drawn by S. Gilgeous-Alexander),,20,19
59,1,3:54.0,D. Bazley enters the game for D. Gallinari,,20,19
60,1,3:47.0,D. Schröder misses 2-pt layup from 3 ft,,20,19
61,1,3:45.0,,Defensive rebound by A. Horford,20,19
62,1,3:37.0,,Turnover by B. Simmons (bad pass),20,19
63,1,3:37.0,Oklahoma City full timeout,,20,19
64,1,3:37.0,H. Diallo enters the game for T. Ferguson,,20,19
65,1,3:25.0,H. Diallo makes 2-pt hook shot from 4 ft (assist by D. Schröder),,22,19
66,1,3:11.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Simmons),22,22
67,1,2:55.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by D. Schröder),,25,22
68,1,2:43.0,,B. Simmons misses 2-pt layup from 2 ft,25,22
69,1,2:40.0,Defensive rebound by H. Diallo,,25,22
70,1,2:40.0,Offensive foul by H. Diallo (drawn by B. Simmons),,25,22
71,1,2:40.0,Turnover by H. Diallo (offensive foul),,25,22
72,1,2:31.0,,A. Horford misses 2-pt jump shot from 19 ft,25,22
73,1,2:30.0,,Offensive rebound by Team,25,22
74,1,2:30.0,Loose ball foul by S. Gilgeous-Alexander (drawn by J. Ennis),,25,22
75,1,2:30.0,S. Adams enters the game for M. Muscala,,25,22
76,1,2:30.0,,J. Embiid enters the game for T. Harris,25,22
77,1,2:30.0,,M. Scott enters the game for A. Horford,25,22
78,1,2:22.0,,J. Embiid misses 2-pt jump shot from 7 ft,25,22
79,1,2:17.0,,Offensive rebound by B. Simmons,25,22
80,1,2:17.0,,B. Simmons misses 2-pt layup at rim,25,22
81,1,2:15.0,,Offensive rebound by B. Simmons,25,22
82,1,2:15.0,,B. Simmons makes 2-pt layup at rim,25,24
83,1,2:04.0,D. Schröder makes 2-pt jump shot from 15 ft,,27,24
84,1,1:53.0,,F. Korkmaz makes 2-pt jump shot from 11 ft (assist by J. Embiid),27,26
85,1,1:53.0,,Shooting foul by D. Schröder (drawn by F. Korkmaz),27,26
86,1,1:53.0,,J. Richardson enters the game for J. Ennis,27,26
87,1,1:53.0,,F. Korkmaz makes free throw 1 of 1,27,27
88,1,1:34.0,D. Bazley misses 2-pt jump shot from 10 ft,,27,27
89,1,1:29.0,Offensive rebound by S. Adams,,27,27
90,1,1:29.0,S. Adams misses 2-pt dunk from 1 ft,,27,27
91,1,1:29.0,Offensive rebound by S. Adams,,27,27
92,1,1:28.0,S. Adams makes 2-pt dunk from 3 ft,,29,27
93,1,1:26.0,,Philadelphia full timeout,29,27
94,1,1:26.0,,A. Horford enters the game for J. Embiid,29,27
95,1,1:26.0,,Violation by Team (delay of game),29,27
96,1,1:18.0,,Offensive foul by B. Simmons (drawn by H. Diallo),29,27
97,1,1:18.0,,Turnover by B. Simmons (offensive foul),29,27
98,1,1:18.0,C. Paul enters the game for S. Gilgeous-Alexander,,29,27
99,1,1:18.0,,T. Burke enters the game for B. Simmons,29,27
100,1,1:06.0,H. Diallo misses 2-pt layup from 2 ft,,29,27
