,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:45.0,,K. Towns makes 2-pt layup from 3 ft (assist by T. Graham),0,2
1,1,11:28.0,B. Beal makes 2-pt layup from 1 ft,,2,2
2,1,11:17.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),2,4
3,1,10:56.0,I. Thomas misses 2-pt jump shot from 7 ft,,2,4
4,1,10:54.0,Offensive rebound by T. Bryant,,2,4
5,1,10:54.0,T. Bryant misses 2-pt layup from 1 ft,,2,4
6,1,10:53.0,Offensive rebound by T. Bryant,,2,4
7,1,10:51.0,T. Bryant makes 2-pt layup from 1 ft,,4,4
8,1,10:35.0,,Turnover by T. Graham (traveling),4,4
9,1,10:23.0,I. Thomas makes 2-pt jump shot from 17 ft (assist by B. Beal),,6,4
10,1,10:14.0,,J. Culver misses 2-pt layup from 2 ft,6,4
11,1,10:13.0,,Offensive rebound by J. Culver,6,4
12,1,10:13.0,,J. Culver misses 2-pt layup from 2 ft,6,4
13,1,10:10.0,Defensive rebound by T. Brown,,6,4
14,1,9:53.0,Turnover by R. Hachimura (lost ball; steal by R. Covington),,6,4
15,1,9:44.0,,K. Towns makes 2-pt layup from 2 ft,6,6
16,1,9:37.0,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),,8,6
17,1,9:25.0,,J. Culver makes 2-pt layup from 3 ft (assist by K. Towns),8,8
18,1,9:07.0,R. Hachimura makes 2-pt hook shot from 6 ft (assist by B. Beal),,10,8
19,1,8:58.0,,R. Covington makes 3-pt jump shot from 29 ft (assist by J. Teague),10,11
20,1,8:40.0,B. Beal misses 2-pt jump shot from 14 ft,,10,11
21,1,8:38.0,,Defensive rebound by K. Towns,10,11
22,1,8:30.0,,Turnover by J. Culver (lost ball; steal by T. Brown),10,11
23,1,8:29.0,T. Brown makes 2-pt layup from 1 ft,,12,11
24,1,8:29.0,Shooting foul by J. Culver (drawn by T. Brown),,12,11
25,1,8:29.0,T. Brown misses free throw 1 of 1,,12,11
26,1,8:26.0,,Defensive rebound by R. Covington,12,11
27,1,8:20.0,,J. Teague misses 2-pt jump shot from 9 ft,12,11
28,1,8:17.0,Defensive rebound by T. Bryant,,12,11
29,1,8:14.0,T. Brown misses 3-pt jump shot from 24 ft,,12,11
30,1,8:11.0,Offensive rebound by T. Bryant,,12,11
31,1,8:10.0,T. Bryant makes 2-pt layup at rim,,14,11
32,1,8:04.0,,Minnesota full timeout,14,11
33,1,8:04.0,,J. Okogie enters the game for J. Culver,14,11
34,1,7:57.0,,K. Towns misses 3-pt jump shot from 24 ft,14,11
35,1,7:52.0,Defensive rebound by T. Bryant,,14,11
36,1,7:48.0,Turnover by B. Beal (bad pass),,14,11
37,1,7:38.0,,Turnover by J. Teague (bad pass; steal by T. Brown),14,11
38,1,7:33.0,B. Beal makes 2-pt dunk from 1 ft (assist by T. Brown),,16,11
39,1,7:26.0,,T. Graham misses 2-pt layup from 2 ft,16,11
40,1,7:24.0,Defensive rebound by I. Thomas,,16,11
41,1,7:22.0,Shooting foul by R. Covington (drawn by B. Beal),,16,11
42,1,7:22.0,B. Beal makes free throw 1 of 2,,17,11
43,1,7:22.0,B. Beal makes free throw 2 of 2,,18,11
44,1,7:12.0,,K. Towns misses 2-pt layup from 2 ft,18,11
45,1,7:10.0,,Offensive rebound by K. Towns,18,11
46,1,6:58.0,,J. Okogie makes 2-pt layup from 1 ft,18,13
47,1,6:53.0,Turnover by T. Bryant (inbound),,18,13
48,1,6:41.0,,Personal foul by T. Bryant (drawn by K. Towns),18,13
49,1,6:38.0,,Turnover by K. Towns (bad pass; steal by R. Hachimura),18,13
50,1,6:37.0,Personal take foul by R. Covington (drawn by B. Beal),,18,13
51,1,6:37.0,,J. Layman enters the game for R. Covington,18,13
52,1,6:25.0,Turnover by B. Beal (bad pass; steal by J. Okogie),,18,13
53,1,6:22.0,,J. Okogie makes 2-pt dunk at rim,18,15
54,1,5:59.0,R. Hachimura misses 2-pt hook shot from 6 ft,,18,15
55,1,5:58.0,,Defensive rebound by K. Towns,18,15
56,1,5:54.0,,Turnover by K. Towns (bad pass),18,15
