,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:35.0,T. Prince misses 3-pt jump shot from 24 ft,,0,0
1,1,11:34.0,Offensive rebound by G. Temple,,0,0
2,1,11:31.0,G. Temple makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,3,0
3,1,11:16.0,,L. Markkanen misses 2-pt dunk from 1 ft,3,0
4,1,11:14.0,Defensive rebound by T. Prince,,3,0
5,1,11:11.0,Shooting foul by T. Satoranský (drawn by T. Prince),,3,0
6,1,11:11.0,T. Prince makes free throw 1 of 2,,4,0
7,1,11:11.0,T. Prince makes free throw 2 of 2,,5,0
8,1,11:03.0,,Shooting foul by J. Allen (drawn by W. Carter),5,0
9,1,11:03.0,,W. Carter makes free throw 1 of 2,5,1
10,1,11:03.0,,W. Carter makes free throw 2 of 2,5,2
11,1,10:51.0,T. Prince misses 3-pt jump shot from 23 ft,,5,2
12,1,10:47.0,,Defensive rebound by Z. LaVine,5,2
13,1,10:36.0,,W. Carter misses 2-pt jump shot from 9 ft,5,2
14,1,10:34.0,Defensive rebound by J. Allen,,5,2
15,1,10:28.0,J. Harris misses 3-pt jump shot from 25 ft,,5,2
16,1,10:25.0,,Defensive rebound by L. Markkanen,5,2
17,1,10:17.0,,T. Satoranský makes 2-pt jump shot from 6 ft,5,4
18,1,10:01.0,J. Harris makes 2-pt jump shot from 3 ft,,7,4
19,1,9:50.0,,Turnover by T. Satoranský (bad pass; steal by T. Prince),7,4
20,1,9:42.0,J. Harris makes 2-pt layup from 1 ft (assist by T. Prince),,9,4
21,1,9:26.0,,Z. LaVine makes 2-pt jump shot from 22 ft (assist by W. Carter),9,6
22,1,9:08.0,J. Harris makes 3-pt jump shot from 23 ft (assist by J. Allen),,12,6
23,1,8:48.0,,Turnover by C. Hutchison (bad pass; steal by J. Allen),12,6
24,1,8:41.0,J. Harris misses 3-pt jump shot from 26 ft,,12,6
25,1,8:37.0,,Defensive rebound by L. Markkanen,12,6
26,1,8:32.0,,L. Markkanen makes 2-pt jump shot from 6 ft,12,8
27,1,8:17.0,G. Temple misses 3-pt jump shot from 25 ft,,12,8
28,1,8:14.0,,Defensive rebound by L. Markkanen,12,8
29,1,8:06.0,,Personal foul by S. Dinwiddie (drawn by Z. LaVine),12,8
30,1,7:58.0,,W. Carter misses 2-pt jump shot from 4 ft,12,8
31,1,7:57.0,Defensive rebound by J. Allen,,12,8
