,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
0,1,11:41.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,2,0
1,1,11:21.0,,D. Sabonis misses 2-pt layup from 1 ft,2,0
2,1,11:20.0,,Offensive rebound by D. Sabonis,2,0
3,1,11:19.0,,D. Sabonis makes 2-pt layup from 1 ft,2,2
4,1,11:06.0,L. James misses 2-pt jump shot from 17 ft,,2,2
5,1,11:03.0,,Defensive rebound by D. Sabonis,2,2
6,1,10:44.0,,M. Brogdon misses 3-pt jump shot from 27 ft,2,2
7,1,10:42.0,Defensive rebound by K. Caldwell-Pope,,2,2
8,1,10:29.0,L. James makes 2-pt layup from 1 ft (assist by J. McGee),,4,2
9,1,10:13.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by M. Brogdon),4,4
10,1,9:45.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by J. Dudley),,6,4
11,1,9:29.0,,M. Brogdon misses 2-pt layup from 1 ft,6,4
12,1,9:27.0,Defensive rebound by K. Caldwell-Pope,,6,4
13,1,9:18.0,J. Dudley misses 3-pt jump shot from 22 ft,,6,4
14,1,9:14.0,,Defensive rebound by M. Turner,6,4
15,1,9:02.0,,T. Warren misses 2-pt jump shot from 12 ft,6,4
16,1,9:00.0,Defensive rebound by L. James,,6,4
17,1,8:48.0,L. James misses 2-pt layup from 2 ft,,6,4
18,1,8:45.0,Offensive rebound by J. McGee,,6,4
19,1,8:45.0,J. McGee misses 2-pt layup at rim,,6,4
20,1,8:45.0,Offensive rebound by L. James,,6,4
21,1,8:43.0,L. James makes 2-pt layup at rim,,8,4
22,1,8:26.0,,M. Turner makes 2-pt jump shot from 9 ft,8,6
23,1,8:10.0,Offensive foul by J. McGee (drawn by M. Brogdon),,8,6
24,1,8:10.0,Turnover by J. McGee (offensive foul),,8,6
25,1,8:00.0,,J. Lamb misses 2-pt layup from 1 ft (block by J. McGee),8,6
26,1,8:00.0,Defensive rebound by L. James,,8,6
27,1,7:54.0,K. Caldwell-Pope misses 2-pt layup from 3 ft,,8,6
28,1,7:53.0,Offensive rebound by K. Caldwell-Pope,,8,6
29,1,7:53.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,10,6
30,1,7:53.0,Shooting foul by T. Warren (drawn by K. Caldwell-Pope),,10,6
31,1,7:53.0,K. Caldwell-Pope makes free throw 1 of 1,,11,6
32,1,7:35.0,,Turnover by M. Brogdon (bad pass),11,6
33,1,7:22.0,J. McGee makes 2-pt dunk from 3 ft (assist by D. Green),,13,6
34,1,6:58.0,,M. Brogdon misses 2-pt layup from 1 ft,13,6
35,1,6:57.0,,Offensive rebound by D. Sabonis,13,6
36,1,6:54.0,,Turnover by Team (shot clock),13,6
37,1,6:54.0,,Indiana full timeout,13,6
38,1,6:42.0,Personal take foul by M. Turner (drawn by J. McGee),,13,6
39,1,6:36.0,,Loose ball foul by J. Lamb (drawn by J. McGee),13,6
40,1,6:30.0,D. Green misses 3-pt jump shot from 26 ft,,13,6
41,1,6:27.0,,Defensive rebound by M. Turner,13,6
42,1,6:23.0,,T. Warren misses 2-pt layup from 2 ft (block by D. Green),13,6
43,1,6:21.0,Defensive rebound by L. James,,13,6
44,1,6:16.0,Shooting foul by J. Lamb (drawn by L. James),,13,6
45,1,6:16.0,L. James misses free throw 1 of 2,,13,6
46,1,6:16.0,Offensive rebound by Team,,13,6
47,1,6:16.0,A. Bradley enters the game for D. Green,,13,6
48,1,6:16.0,,A. Holiday enters the game for J. Lamb,13,6
49,1,6:16.0,L. James makes free throw 2 of 2,,14,6
50,1,6:07.0,,Shooting foul by J. Dudley (drawn by D. Sabonis),14,6
51,1,6:07.0,Violation by Team (delay of game),,14,6
52,1,6:07.0,,D. Sabonis misses free throw 1 of 2,14,6
53,1,6:07.0,,Offensive rebound by Team,14,6
54,1,6:07.0,,D. Sabonis makes free throw 2 of 2,14,7
55,1,5:44.0,J. Dudley misses 3-pt jump shot from 26 ft,,14,7
56,1,5:38.0,,Defensive rebound by A. Holiday,14,7
57,1,5:36.0,,Shooting foul by K. Caldwell-Pope (drawn by A. Holiday),14,7
58,1,5:36.0,,A. Holiday misses free throw 1 of 2,14,7
59,1,5:36.0,,Offensive rebound by Team,14,7
60,1,5:36.0,,A. Holiday makes free throw 2 of 2,14,8
61,1,5:24.0,A. Bradley misses 2-pt layup from 2 ft,,14,8
62,1,5:22.0,,Defensive rebound by T. Warren,14,8
63,1,5:12.0,,D. Sabonis misses 2-pt jump shot from 21 ft,14,8
64,1,5:09.0,Defensive rebound by L. James,,14,8
65,1,5:01.0,J. McGee makes 2-pt layup from 2 ft (assist by L. James),,16,8
66,1,4:44.0,,D. Sabonis makes 2-pt hook shot from 7 ft,16,10
67,1,4:36.0,Turnover by L. James (bad pass; steal by T. Warren),,16,10
68,1,4:25.0,,M. Brogdon makes 2-pt jump shot from 20 ft,16,12
69,1,4:23.0,LA Lakers full timeout,,16,12
70,1,4:23.0,A. Caruso enters the game for J. Dudley,,16,12
71,1,4:23.0,D. Howard enters the game for J. McGee,,16,12
72,1,4:23.0,,J. Holiday enters the game for D. Sabonis,16,12
73,1,4:03.0,L. James makes 2-pt layup from 1 ft,,18,12
74,1,3:51.0,,M. Brogdon makes 2-pt layup from 1 ft,18,14
75,1,3:38.0,D. Howard makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),,20,14
76,1,3:21.0,,M. Turner misses 2-pt layup from 3 ft,20,14
77,1,3:18.0,Defensive rebound by A. Caruso,,20,14
78,1,3:08.0,D. Howard makes 2-pt dunk from 1 ft (assist by L. James),,22,14
79,1,2:55.0,,M. Brogdon misses 2-pt jump shot from 20 ft,22,14
80,1,2:53.0,Defensive rebound by L. James,,22,14
81,1,2:46.0,L. James makes 2-pt layup from 3 ft,,24,14
82,1,2:28.0,,M. Turner makes 2-pt dunk from 1 ft (assist by A. Holiday),24,16
83,1,2:28.0,LA Lakers full timeout,,24,16
84,1,2:28.0,R. Rondo enters the game for L. James,,24,16
85,1,2:28.0,,T. McConnell enters the game for M. Brogdon,24,16
86,1,2:28.0,,D. Sabonis enters the game for M. Turner,24,16
87,1,2:14.0,A. Bradley misses 2-pt jump shot from 20 ft,,24,16
88,1,2:11.0,,Defensive rebound by T. McConnell,24,16
89,1,2:11.0,,D. McDermott enters the game for T. Warren,24,16
90,1,2:01.0,,T. McConnell makes 2-pt layup from 1 ft (assist by A. Holiday),24,18
91,1,1:57.0,Turnover by D. Howard (bad pass; steal by T. McConnell),,24,18
92,1,1:55.0,,D. Sabonis misses 2-pt layup at rim,24,18
93,1,1:53.0,Defensive rebound by D. Howard,,24,18
94,1,1:48.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,24,18
95,1,1:46.0,,Defensive rebound by J. Holiday,24,18
96,1,1:28.0,,D. McDermott misses 3-pt jump shot from 27 ft,24,18
97,1,1:24.0,,Offensive rebound by T. McConnell,24,18
98,1,1:15.0,,Turnover by D. Sabonis (bad pass; steal by A. Caruso),24,18
99,1,1:10.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Rondo),,26,18
100,1,0:53.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by D. Sabonis),26,21
101,1,0:47.0,A. Bradley misses 3-pt jump shot from 25 ft,,26,21
102,1,0:44.0,,Defensive rebound by D. Sabonis,26,21
103,1,0:35.0,,T. McConnell makes 2-pt jump shot from 6 ft,26,23
104,1,0:18.0,Turnover by A. Bradley (lost ball; steal by T. McConnell),,26,23
105,1,0:14.0,,Shooting foul by A. Caruso (drawn by J. Holiday),26,23
106,1,0:14.0,,J. Holiday misses free throw 1 of 2,26,23
107,1,0:14.0,,Offensive rebound by Team,26,23
108,1,0:14.0,,J. Holiday makes free throw 2 of 2,26,24
109,1,0:03.0,Shooting foul by T. McConnell (drawn by R. Rondo),,26,24
110,1,0:03.0,R. Rondo makes free throw 1 of 2,,27,24
111,1,0:03.0,R. Rondo makes free throw 2 of 2,,28,24
112,1,0:00.0,,D. Sabonis misses 3-pt jump shot from 28 ft,28,24
113,1,0:00.0,,Offensive rebound by Team,28,24
114,2,11:44.0,,A. Holiday misses 2-pt layup from 1 ft (block by D. Howard),28,24
115,2,11:39.0,,Offensive rebound by T. McConnell,28,24
116,2,11:29.0,,J. Holiday misses 3-pt jump shot from 28 ft,28,24
117,2,11:26.0,Defensive rebound by A. Bradley,,28,24
118,2,11:17.0,Personal foul by A. Holiday (drawn by D. Howard),,28,24
