,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,J. Richardson makes 2-pt jump shot from 17 ft,0,2
1,1,11:32.0,G. Hayward makes 2-pt jump shot from 9 ft (assist by K. Walker),,2,2
2,1,11:09.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Richardson),2,4
3,1,10:54.0,G. Hayward misses 2-pt jump shot from 11 ft,,2,4
4,1,10:51.0,,Defensive rebound by A. Horford,2,4
5,1,10:42.0,,B. Simmons makes 2-pt layup from 2 ft (assist by A. Horford),2,6
6,1,10:23.0,J. Brown misses 2-pt jump shot from 13 ft,,2,6
7,1,10:20.0,,Defensive rebound by B. Simmons,2,6
8,1,10:15.0,,B. Simmons misses 2-pt layup from 2 ft,2,6
9,1,10:12.0,Defensive rebound by J. Brown,,2,6
10,1,10:05.0,Shooting foul by J. Richardson (drawn by J. Tatum),,2,6
11,1,10:05.0,J. Tatum makes free throw 1 of 2,,3,6
12,1,10:05.0,J. Tatum makes free throw 2 of 2,,4,6
13,1,9:51.0,,J. Richardson makes 2-pt jump shot from 21 ft,4,8
14,1,9:35.0,K. Walker makes 3-pt jump shot from 26 ft,,7,8
15,1,9:23.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by M. Scott),7,11
16,1,9:08.0,K. Walker makes 3-pt jump shot from 26 ft,,10,11
17,1,8:57.0,,Shooting foul by D. Theis (drawn by J. Richardson),10,11
18,1,8:57.0,,J. Richardson makes free throw 1 of 2,10,12
19,1,8:57.0,,J. Richardson makes free throw 2 of 2,10,13
20,1,8:45.0,J. Brown makes 3-pt jump shot from 26 ft (assist by D. Theis),,13,13
21,1,8:29.0,,Shooting foul by K. Walker (drawn by J. Richardson),13,13
22,1,8:29.0,,J. Richardson makes free throw 1 of 2,13,14
23,1,8:29.0,,J. Richardson makes free throw 2 of 2,13,15
24,1,8:17.0,J. Brown makes 3-pt jump shot from 25 ft (assist by D. Theis),,16,15
25,1,8:01.0,,B. Simmons makes 2-pt layup from 1 ft (assist by T. Harris),16,17
26,1,7:46.0,K. Walker makes 3-pt jump shot from 25 ft,,19,17
27,1,7:29.0,,T. Harris misses 2-pt jump shot from 2 ft,19,17
28,1,7:27.0,Defensive rebound by J. Tatum,,19,17
29,1,7:17.0,K. Walker misses 3-pt jump shot from 26 ft,,19,17
30,1,7:14.0,,Defensive rebound by M. Scott,19,17
31,1,7:03.0,,M. Scott makes 2-pt jump shot from 5 ft,19,19
32,1,6:47.0,J. Tatum misses 2-pt jump shot from 19 ft,,19,19
33,1,6:45.0,,Defensive rebound by Team,19,19
